year,ARE,SGP,USA,MWI,ARG,TUR,KEN,KOR,MUS,HUN,NOR,OMN,KWT,GHA,BRA,JOR,EGY,DNK,AUS,NGA,ESP,MYS,IND,QAT,CZE,GBR,THA,UGA,ZAF,SAU,LBN,ZMB,IRQ,YEM,RUS,SYC,ITA,URY,SYR,JPN,FRA,NZL
1967,77147.0,8864.0,35266.0,638.0,19884.0,8776.0,2119.0,5357.0,3179.0,5292.0,32692.0,47.0,71661.0,2114.0,10180.0,6344.0,4825.0,28239.0,29338.0,2071.0,11108.0,2351.0,658.0,14762.0,11601.0,37633.0,4057.0,960.0,8240.0,30596.0,11116.0,2590.0,5080.0,4289.0,6062.0,6398.0,23288.0,15378.0,7669.0,12529.0,20056.0,29846.0
1966,77147.0,8160.0,34765.0,611.0,19535.0,8776.0,2107.0,5266.0,3118.0,4900.0,31563.0,47.0,71661.0,2114.0,10180.0,6344.0,4825.0,26940.0,27843.0,2071.0,10520.0,2509.0,616.0,14762.0,11601.0,37633.0,4057.0,1003.0,7803.0,30596.0,11116.0,2456.0,5080.0,4289.0,5728.0,6427.0,23288.0,15378.0,7669.0,11683.0,19378.0,32076.0
1965,77147.0,7567.0,33193.0,551.0,19187.0,8776.0,1863.0,5174.0,3321.0,4789.0,30552.0,47.0,71661.0,2114.0,10180.0,6344.0,4825.0,26553.0,27796.0,2071.0,9932.0,2441.0,621.0,14762.0,11601.0,37633.0,4057.0,1046.0,7648.0,30596.0,11116.0,2699.0,5080.0,4289.0,5473.0,5619.0,23288.0,15378.0,7669.0,10726.0,18538.0,30527.0
1964,77147.0,7194.0,31534.0,497.0,18838.0,8776.0,1875.0,5083.0,3297.0,4678.0,29115.0,47.0,71661.0,2114.0,10180.0,6344.0,4825.0,25469.0,27158.0,2071.0,9343.0,2248.0,661.0,14762.0,11601.0,37633.0,4057.0,1048.0,7484.0,30596.0,11116.0,2361.0,5080.0,4289.0,5218.0,5798.0,23288.0,15378.0,7669.0,10610.0,17836.0,29057.0
1963,77147.0,7701.0,30263.0,497.0,18489.0,8776.0,1823.0,4992.0,3665.0,4496.0,28277.0,47.0,71661.0,2114.0,10180.0,6344.0,4825.0,23237.0,25656.0,2071.0,8755.0,2167.0,622.0,14762.0,11601.0,37633.0,4057.0,967.0,7091.0,30596.0,11116.0,2154.0,5080.0,4289.0,5008.0,5541.0,23288.0,15378.0,7669.0,10004.0,16842.0,28153.0
1962,77147.0,7126.0,29248.0,518.0,18141.0,8776.0,1698.0,4900.0,3277.0,4313.0,27272.0,47.0,71661.0,2114.0,10180.0,6344.0,4825.0,23424.0,24428.0,2071.0,8166.0,1816.0,601.0,14762.0,11601.0,37633.0,4057.0,845.0,6791.0,30596.0,11116.0,2152.0,5080.0,4289.0,4798.0,5063.0,23288.0,15378.0,7669.0,9609.0,16190.0,26846.0
1961,77147.0,6809.0,27825.0,527.0,17792.0,8776.0,1567.0,4809.0,3361.0,4157.0,26943.0,47.0,71661.0,2114.0,10180.0,6344.0,4825.0,22363.0,24408.0,2071.0,7578.0,1762.0,598.0,14762.0,11601.0,37633.0,4057.0,795.0,6545.0,30596.0,11116.0,2287.0,5080.0,4289.0,4588.0,4707.0,23288.0,15378.0,7669.0,9195.0,15207.0,26771.0
1960,77147.0,6431.0,27430.0,497.0,16065.0,8776.0,1743.0,4718.0,2785.0,3993.0,25359.0,47.0,71661.0,2114.0,10180.0,6344.0,4825.0,21222.0,24080.0,2071.0,7212.0,1825.0,591.0,14762.0,11601.0,37633.0,4057.0,838.0,6466.0,30596.0,11116.0,2324.0,5080.0,4289.0,4588.0,4590.0,23288.0,15378.0,7669.0,8548.0,14576.0,25603.0
1959,77147.0,6070.0,26897.0,497.0,15078.0,8776.0,1706.0,4627.0,2699.0,3556.0,24108.0,47.0,71661.0,2114.0,10180.0,6344.0,4825.0,20908.0,23608.0,2071.0,6845.0,1738.0,560.0,14762.0,11601.0,37633.0,4057.0,821.0,6430.0,30596.0,11116.0,2222.0,5080.0,4289.0,4588.0,4473.0,23288.0,15378.0,7669.0,7905.0,13597.0,26137.0
1958,77147.0,6380.0,25350.0,491.0,16622.0,8776.0,1696.0,4536.0,2626.0,3119.0,23227.0,47.0,71661.0,1893.0,10180.0,6344.0,4825.0,19528.0,22620.0,2022.0,6977.0,1664.0,558.0,14762.0,11601.0,37633.0,4057.0,799.0,6207.0,30596.0,11116.0,1868.0,5080.0,4289.0,4588.0,4356.0,23288.0,15378.0,7669.0,7442.0,13352.0,24591.0
1957,77147.0,6395.0,26033.0,483.0,15891.0,8776.0,1712.0,4444.0,2633.0,3105.0,23444.0,47.0,71661.0,1997.0,10180.0,6344.0,4825.0,19279.0,21984.0,2088.0,6533.0,1711.0,527.0,14762.0,11601.0,37633.0,4057.0,811.0,6237.0,30596.0,11116.0,1989.0,5080.0,4289.0,4588.0,4239.0,23288.0,15378.0,7669.0,7121.0,13101.0,23942.0
1956,77147.0,6364.0,26010.0,473.0,15371.0,8776.0,1689.0,4353.0,2607.0,2374.0,22870.0,47.0,71661.0,1996.0,10180.0,6344.0,4825.0,17926.0,22046.0,2037.0,6292.0,1768.0,543.0,14762.0,11601.0,37633.0,4057.0,792.0,6121.0,30596.0,11116.0,1960.0,5080.0,4289.0,4588.0,4122.0,23288.0,15378.0,7669.0,6691.0,12490.0,23616.0
1955,77147.0,6392.0,25600.0,445.0,15271.0,8776.0,1628.0,4262.0,2578.0,2791.0,21798.0,47.0,71661.0,1946.0,10180.0,6344.0,4825.0,17901.0,21746.0,2127.0,6050.0,1700.0,519.0,14762.0,11601.0,37633.0,4057.0,763.0,5868.0,30596.0,11116.0,1786.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,6455.0,11995.0,22768.0
1954,77147.0,6300.0,23906.0,448.0,14496.0,8776.0,1543.0,4170.0,2568.0,2767.0,21482.0,47.0,71661.0,2167.0,10180.0,6344.0,4825.0,17846.0,20924.0,2112.0,5908.0,1726.0,515.0,14762.0,11601.0,37633.0,4057.0,733.0,5666.0,30596.0,11116.0,1895.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,5997.0,11450.0,22790.0
1953,77147.0,6301.0,24387.0,439.0,14206.0,8776.0,1402.0,4079.0,2492.0,2742.0,20536.0,47.0,71661.0,1977.0,10180.0,6344.0,4825.0,17621.0,19954.0,1997.0,5655.0,1647.0,502.0,14762.0,11601.0,37633.0,4057.0,765.0,5429.0,30596.0,11116.0,1829.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,5861.0,10903.0,20094.0
1952,77147.0,6144.0,23644.0,431.0,13725.0,8776.0,1476.0,3988.0,2463.0,2718.0,19908.0,47.0,71661.0,1782.0,10180.0,6344.0,4825.0,16710.0,19720.0,1997.0,5706.0,1670.0,478.0,14762.0,11601.0,37633.0,4057.0,750.0,5330.0,30596.0,11116.0,1766.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,5683.0,10602.0,19800.0
1951,77147.0,6006.0,23056.0,422.0,14917.0,8776.0,1716.0,3897.0,2454.0,2694.0,19427.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16724.0,20035.0,1997.0,5261.0,1617.0,470.0,14762.0,11601.0,37633.0,4057.0,723.0,5345.0,30596.0,11116.0,1703.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,5372.0,10344.0,19272.0
1950,77147.0,5885.0,21599.0,412.0,14638.0,8776.0,1411.0,3806.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,4771.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5324.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,4626.0,9863.0,21497.0
1949,77147.0,5885.0,19845.0,412.0,14638.0,8776.0,1411.0,3714.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,4766.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5333.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,4503.0,8897.0,21497.0
1948,77147.0,5885.0,20545.0,412.0,14638.0,8776.0,1411.0,3623.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,4820.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5308.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,4102.0,8293.0,21497.0
1947,77147.0,5885.0,19666.0,412.0,14638.0,8776.0,1411.0,3532.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,4889.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5064.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3795.0,7356.0,21497.0
