,year,AFG,AGO,ALB,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGR,BHR,BIH,BLR,BLZ,BRA,BRB,BRN,BTN,BWA,BGD,BOL,MMR,CAN,CHE,CHL,CHN,CMR,COL,CPV,CUB,CYP,CAF,COM,CRI,CZE,CIV,DEU,DJI,DMA,DNK,DZA,COD,DOM,ECU,EGY,ERI,ESP,EST,ETH,SLV,FIN,FJI,FRA,GAB,GEO,GHA,GIN,GNB,GNQ,GRC,GUY,GTM,HKG,HRV,HTI,HND,HUN,IDN,IND,IRL,IRQ,ISL,ISR,ITA,IRN,JOR,JPN,JAM,KAZ,KEN,KHM,KIR,KWT,XKX,KGZ,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,Laos,MAR,MDG,MDV,MEX,MLI,MLT,MNE,MNG,MRT,MUS,MWI,MAC,MKD,MYS,FSM,MDA,MOZ,NAM,NGA,NOR,NPL,NZL,NLD,NIC,NER,PRK,OMN,PER,PNG,POL,PRT,PAK,PAN,PRY,PHL,QAT,ROU,RWA,COG,RUS,SAU,SEN,SGP,SLB,SLE,SOM,SUR,SVK,SVN,SWE,SWZ,SYC,Serbia ,KOR,SDN,SYR,STP,TCD,TGO,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,THA,BHS,GMB,UGA,UKR,UZB,ARE,GBR,USA,URY,VCT,VUT,VEN,VNM,WSM,YEM,ZAF,ZMB,ZWE
0,1995,,30.0,50.0,50.0,,90.0,90.0,,,,,,50.0,70.0,,50.0,50.0,50.0,,,,50.0,30.0,30.0,,70.0,,50.0,50.0,50.0,70.0,,10.0,,,,50.0,90.0,50.0,70.0,,,,50.0,30.0,50.0,50.0,50.0,,70.0,70.0,30.0,70.0,,50.0,50.0,50.0,,50.0,70.0,,,30.0,30.0,50.0,70.0,,10.0,50.0,50.0,50.0,30.0,70.0,,,50.0,50.0,,70.0,70.0,70.0,,50.0,,,,,,,,,,,70.0,,,,,,50.0,30.0,,30.0,30.0,50.0,,50.0,,,50.0,,,50.0,,10.0,30.0,,50.0,,,,,30.0,,10.0,70.0,70.0,,50.0,50.0,70.0,90.0,70.0,50.0,,50.0,,,50.0,,,70.0,,30.0,,,50.0,,50.0,50.0,,,70.0,30.0,,,,,,,,,,50.0,70.0,50.0,50.0,50.0,70.0,,50.0,50.0,,,90.0,70.0,50.0,,,70.0,30.0,,30.0,50.0,70.0,50.0
1,1996,,30.0,50.0,70.0,50.0,90.0,90.0,30.0,,70.0,50.0,30.0,50.0,70.0,,70.0,50.0,50.0,70.0,,,70.0,50.0,70.0,30.0,70.0,70.0,50.0,50.0,30.0,70.0,10.0,10.0,70.0,,,50.0,90.0,50.0,70.0,,,70.0,50.0,30.0,50.0,50.0,50.0,,50.0,70.0,30.0,70.0,50.0,50.0,50.0,50.0,30.0,50.0,70.0,,,30.0,50.0,50.0,90.0,50.0,10.0,50.0,70.0,50.0,30.0,70.0,10.0,,50.0,50.0,10.0,70.0,50.0,70.0,,50.0,,,50.0,,,70.0,,10.0,,,70.0,30.0,30.0,70.0,50.0,10.0,50.0,30.0,,30.0,50.0,50.0,,50.0,10.0,,50.0,,,50.0,,50.0,30.0,,30.0,50.0,30.0,90.0,90.0,50.0,30.0,10.0,30.0,70.0,30.0,50.0,50.0,70.0,90.0,70.0,50.0,,50.0,,30.0,50.0,50.0,50.0,70.0,,30.0,,30.0,50.0,70.0,50.0,50.0,,,70.0,30.0,10.0,,,,,,,,70.0,70.0,70.0,50.0,50.0,50.0,70.0,,50.0,30.0,,50.0,90.0,70.0,70.0,,,50.0,30.0,50.0,30.0,50.0,70.0,50.0
2,1997,,30.0,30.0,70.0,50.0,90.0,90.0,30.0,30.0,70.0,50.0,30.0,50.0,70.0,,50.0,50.0,50.0,70.0,,,70.0,50.0,70.0,30.0,70.0,90.0,50.0,50.0,30.0,70.0,10.0,10.0,70.0,,,50.0,90.0,50.0,70.0,50.0,,70.0,50.0,30.0,50.0,50.0,50.0,,50.0,70.0,30.0,70.0,50.0,50.0,50.0,70.0,30.0,50.0,70.0,,,30.0,50.0,70.0,90.0,50.0,30.0,50.0,70.0,50.0,30.0,70.0,10.0,50.0,50.0,70.0,10.0,70.0,50.0,70.0,,70.0,50.0,,50.0,,,70.0,,10.0,,,70.0,30.0,50.0,70.0,70.0,10.0,50.0,30.0,,30.0,50.0,50.0,,50.0,10.0,,50.0,,,50.0,,50.0,30.0,70.0,30.0,50.0,30.0,90.0,90.0,50.0,30.0,10.0,30.0,70.0,30.0,50.0,50.0,50.0,90.0,70.0,50.0,,50.0,10.0,30.0,70.0,50.0,50.0,70.0,,30.0,,30.0,50.0,70.0,70.0,50.0,,,70.0,30.0,10.0,,30.0,,,,,,70.0,70.0,70.0,50.0,50.0,50.0,70.0,30.0,50.0,30.0,,50.0,90.0,70.0,70.0,,,50.0,30.0,50.0,30.0,50.0,70.0,50.0
3,1998,,30.0,30.0,70.0,50.0,90.0,70.0,30.0,30.0,70.0,50.0,30.0,50.0,70.0,10.0,50.0,50.0,50.0,70.0,,,70.0,50.0,70.0,30.0,70.0,90.0,50.0,50.0,30.0,70.0,10.0,10.0,70.0,,,50.0,90.0,50.0,50.0,50.0,,70.0,50.0,30.0,50.0,50.0,70.0,,70.0,70.0,30.0,70.0,50.0,50.0,50.0,70.0,30.0,50.0,70.0,,,30.0,50.0,70.0,90.0,50.0,30.0,50.0,70.0,50.0,30.0,70.0,10.0,50.0,50.0,70.0,10.0,70.0,50.0,70.0,30.0,70.0,50.0,,50.0,,50.0,70.0,,10.0,,,70.0,30.0,50.0,70.0,70.0,10.0,50.0,30.0,,30.0,50.0,50.0,,50.0,10.0,,50.0,,,50.0,,50.0,50.0,70.0,30.0,50.0,30.0,90.0,90.0,50.0,30.0,10.0,30.0,70.0,30.0,50.0,50.0,50.0,90.0,70.0,50.0,,50.0,10.0,10.0,70.0,50.0,50.0,70.0,,30.0,,30.0,50.0,70.0,70.0,50.0,,,70.0,30.0,10.0,,30.0,,30.0,10.0,,,70.0,70.0,70.0,50.0,50.0,50.0,70.0,30.0,50.0,30.0,10.0,50.0,90.0,70.0,70.0,,,50.0,30.0,50.0,30.0,50.0,70.0,50.0
4,1999,,30.0,30.0,70.0,50.0,90.0,70.0,30.0,30.0,70.0,50.0,30.0,50.0,70.0,10.0,30.0,50.0,50.0,70.0,,,70.0,30.0,70.0,30.0,70.0,90.0,50.0,50.0,30.0,70.0,10.0,10.0,70.0,,,50.0,90.0,50.0,50.0,50.0,,70.0,50.0,10.0,50.0,50.0,70.0,,70.0,70.0,30.0,70.0,50.0,50.0,50.0,70.0,30.0,50.0,50.0,10.0,10.0,30.0,50.0,70.0,90.0,50.0,30.0,50.0,70.0,30.0,30.0,70.0,10.0,50.0,50.0,70.0,10.0,70.0,50.0,50.0,30.0,70.0,50.0,,50.0,,50.0,70.0,,10.0,,,70.0,30.0,50.0,70.0,70.0,10.0,50.0,30.0,,30.0,50.0,50.0,,50.0,10.0,70.0,50.0,,,50.0,,50.0,50.0,70.0,30.0,50.0,30.0,90.0,90.0,50.0,30.0,10.0,30.0,70.0,30.0,50.0,50.0,50.0,90.0,70.0,50.0,30.0,50.0,10.0,30.0,70.0,50.0,50.0,70.0,,30.0,,30.0,50.0,70.0,70.0,50.0,,,50.0,30.0,10.0,,30.0,30.0,30.0,10.0,,,70.0,50.0,70.0,50.0,50.0,50.0,70.0,30.0,50.0,30.0,10.0,50.0,90.0,70.0,70.0,,,50.0,30.0,50.0,30.0,50.0,70.0,50.0
5,2000,,30.0,30.0,70.0,70.0,90.0,70.0,30.0,30.0,70.0,50.0,30.0,50.0,70.0,30.0,30.0,50.0,50.0,70.0,,,70.0,30.0,70.0,30.0,70.0,90.0,50.0,50.0,30.0,70.0,10.0,10.0,70.0,,,50.0,90.0,50.0,50.0,30.0,,70.0,50.0,10.0,50.0,50.0,30.0,,70.0,70.0,30.0,70.0,50.0,50.0,50.0,70.0,30.0,50.0,50.0,10.0,10.0,30.0,50.0,70.0,90.0,50.0,30.0,50.0,70.0,30.0,30.0,70.0,10.0,50.0,50.0,70.0,10.0,70.0,50.0,50.0,30.0,70.0,50.0,,50.0,,50.0,70.0,,10.0,,,50.0,30.0,50.0,70.0,70.0,10.0,50.0,30.0,,30.0,50.0,50.0,,50.0,10.0,70.0,50.0,,,50.0,,50.0,50.0,70.0,30.0,50.0,30.0,90.0,90.0,50.0,30.0,10.0,30.0,70.0,30.0,50.0,50.0,50.0,90.0,70.0,50.0,30.0,50.0,10.0,30.0,30.0,50.0,50.0,70.0,,30.0,,30.0,50.0,50.0,70.0,50.0,,,50.0,30.0,10.0,,30.0,30.0,30.0,10.0,,,70.0,50.0,70.0,50.0,50.0,50.0,70.0,30.0,50.0,30.0,10.0,50.0,90.0,70.0,70.0,,,50.0,30.0,50.0,30.0,50.0,70.0,50.0
6,2001,,,30.0,70.0,70.0,90.0,70.0,30.0,,70.0,50.0,50.0,50.0,80.0,30.0,30.0,50.0,50.0,70.0,,,70.0,30.0,70.0,30.0,70.0,90.0,50.0,30.0,50.0,70.0,30.0,10.0,70.0,,,50.0,90.0,50.0,50.0,50.0,,70.0,50.0,,50.0,30.0,30.0,,70.0,70.0,30.0,70.0,50.0,50.0,50.0,50.0,30.0,50.0,50.0,10.0,10.0,50.0,50.0,70.0,90.0,50.0,30.0,50.0,70.0,30.0,30.0,90.0,10.0,50.0,50.0,70.0,10.0,70.0,50.0,30.0,30.0,50.0,50.0,,50.0,,50.0,70.0,,10.0,,,50.0,50.0,50.0,90.0,70.0,10.0,50.0,50.0,,50.0,50.0,70.0,,50.0,30.0,70.0,50.0,,,30.0,,50.0,50.0,50.0,30.0,50.0,30.0,90.0,90.0,50.0,30.0,10.0,50.0,70.0,50.0,50.0,50.0,50.0,90.0,50.0,50.0,30.0,30.0,10.0,30.0,30.0,30.0,50.0,70.0,,,,30.0,50.0,50.0,70.0,50.0,,,50.0,,10.0,,30.0,10.0,30.0,10.0,,,70.0,50.0,50.0,50.0,50.0,50.0,70.0,50.0,30.0,30.0,10.0,50.0,90.0,90.0,70.0,,,50.0,30.0,50.0,30.0,50.0,50.0,30.0
7,2002,,,50.0,70.0,70.0,90.0,70.0,30.0,,70.0,50.0,50.0,50.0,80.0,30.0,30.0,50.0,50.0,70.0,,,70.0,30.0,70.0,30.0,70.0,90.0,70.0,30.0,50.0,70.0,50.0,10.0,70.0,50.0,,50.0,90.0,70.0,50.0,50.0,,90.0,50.0,,50.0,30.0,30.0,,70.0,90.0,30.0,70.0,70.0,50.0,50.0,50.0,30.0,50.0,50.0,10.0,10.0,50.0,50.0,70.0,90.0,50.0,30.0,50.0,70.0,30.0,30.0,90.0,10.0,50.0,50.0,70.0,10.0,70.0,50.0,30.0,30.0,50.0,50.0,,50.0,,50.0,70.0,,10.0,,,50.0,50.0,50.0,90.0,70.0,10.0,50.0,50.0,,70.0,50.0,70.0,30.0,50.0,50.0,70.0,50.0,,70.0,30.0,,50.0,50.0,50.0,30.0,50.0,30.0,90.0,90.0,70.0,30.0,10.0,50.0,70.0,,70.0,50.0,50.0,90.0,50.0,50.0,30.0,30.0,30.0,30.0,30.0,30.0,50.0,70.0,,,,30.0,70.0,50.0,90.0,50.0,,30.0,50.0,,10.0,,50.0,10.0,30.0,10.0,,,70.0,50.0,50.0,70.0,50.0,50.0,70.0,50.0,30.0,30.0,10.0,50.0,90.0,90.0,70.0,,,50.0,30.0,,30.0,50.0,50.0,10.0
8,2003,,,50.0,30.0,70.0,90.0,70.0,30.0,,70.0,50.0,50.0,50.0,80.0,50.0,30.0,50.0,50.0,70.0,,,70.0,30.0,70.0,30.0,70.0,90.0,70.0,30.0,50.0,70.0,50.0,10.0,70.0,50.0,,50.0,90.0,70.0,50.0,50.0,,90.0,30.0,,50.0,50.0,30.0,,70.0,90.0,30.0,70.0,70.0,70.0,50.0,50.0,50.0,50.0,70.0,10.0,30.0,50.0,50.0,70.0,90.0,50.0,50.0,50.0,70.0,30.0,30.0,90.0,,50.0,50.0,70.0,10.0,70.0,50.0,70.0,30.0,50.0,70.0,,50.0,,50.0,70.0,,10.0,,,50.0,50.0,70.0,90.0,70.0,10.0,50.0,50.0,,70.0,50.0,50.0,30.0,50.0,70.0,70.0,30.0,,70.0,30.0,,50.0,70.0,70.0,30.0,50.0,30.0,90.0,90.0,70.0,50.0,10.0,50.0,70.0,,70.0,50.0,50.0,90.0,50.0,50.0,50.0,50.0,50.0,30.0,30.0,30.0,50.0,70.0,,30.0,,30.0,70.0,50.0,90.0,50.0,,30.0,50.0,,10.0,,70.0,30.0,10.0,10.0,,,70.0,50.0,50.0,70.0,50.0,50.0,70.0,50.0,50.0,50.0,10.0,50.0,90.0,90.0,70.0,,,50.0,30.0,,30.0,70.0,50.0,10.0
9,2004,,,50.0,30.0,90.0,90.0,70.0,30.0,,70.0,50.0,50.0,70.0,80.0,70.0,30.0,50.0,50.0,70.0,,,70.0,30.0,70.0,30.0,70.0,90.0,70.0,30.0,50.0,70.0,50.0,10.0,70.0,50.0,,50.0,90.0,70.0,50.0,50.0,,90.0,30.0,,30.0,50.0,30.0,,70.0,90.0,30.0,70.0,70.0,70.0,50.0,50.0,50.0,50.0,70.0,10.0,30.0,50.0,70.0,70.0,90.0,70.0,50.0,50.0,70.0,30.0,30.0,90.0,,50.0,50.0,70.0,10.0,70.0,30.0,70.0,30.0,50.0,70.0,,50.0,,50.0,70.0,,10.0,,,50.0,50.0,90.0,90.0,70.0,10.0,50.0,50.0,,70.0,30.0,70.0,,50.0,70.0,70.0,30.0,,70.0,30.0,,50.0,70.0,50.0,30.0,50.0,30.0,90.0,90.0,70.0,50.0,10.0,50.0,70.0,,70.0,50.0,30.0,70.0,50.0,50.0,50.0,50.0,50.0,30.0,30.0,30.0,50.0,70.0,,30.0,,30.0,90.0,50.0,90.0,50.0,,,50.0,,10.0,,70.0,30.0,10.0,10.0,,,70.0,50.0,50.0,50.0,70.0,50.0,70.0,50.0,70.0,50.0,10.0,30.0,90.0,90.0,50.0,,,30.0,30.0,,30.0,70.0,50.0,10.0
