Variable Name;.;.;.;Consumption of fixed capital of national economy | individuals | Average | All Ages | constant 2015 local currency;Gross domestic product | individuals | Average | All Ages | constant 2015 local currency;Net domestic product | individuals | Average | All Ages | constant 2015 local currency;Net foreign income | individuals | Average | All Ages | constant 2015 local currency;National income | individuals | Average | All Ages | constant 2015 local currency;Population | individuals | Population | All Ages | population;Consumption of fixed capital of national economy | individuals | Total | All Ages | constant 2015 local currency;Gross domestic product | individuals | Total | All Ages | constant 2015 local currency;Net domestic product | individuals | Total | All Ages | constant 2015 local currency;Net foreign income | individuals | Total | All Ages | constant 2015 local currency;National income | individuals | Total | All Ages | constant 2015 local currency;National income price index | individuals | Indices | All Ages | constant 2015 local currency;PPP conversion factor, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency
;BM;1971;p0p100;2582.0065918;62527.5039062;59945.4960938;;74491.4140625;52856.0;136474544.0;3304953856.0;3168479232.0;;3937318144.0;0.0910401791;;;0.7637609243;1.0;0.5027857423;
;BM;1970;p0p100;2511.36108398;61108.578125;58597.21875;;72813.046875;52286.0;131309024.0;3195123200.0;3063814144.0;;3807102976.0;0.0831066296;;;0.7325748801;1.0;0.4738194048;
;BM;1969;p0p100;2418.10644531;58109.296875;55691.1914062;;69209.2890625;51720.0;125064464.0;3005412864.0;2880348416.0;;3579504384.0;0.0782036483;;;0.7260239124;1.0;0.4551522434;
;BM;1968;p0p100;2302.31689453;56808.1445312;54505.828125;;67721.234375;51147.0;117756608.0;2905566208.0;2787809536.0;;3463737856.0;0.0735819191;;;0.7169389129;1.0;0.4266958535;
;BM;1967;p0p100;2161.91186523;56284.9648438;54123.0507812;;67216.75;50558.0;109301944.0;2845655296.0;2736353280.0;;3398344448.0;0.0675177351;;;0.6862595677;0.8690450191;0.3955148458;
;BM;1966;p0p100;2002.3125;50329.8984375;48327.5820312;;60035.9375;49914.0;99943424.0;2512166400.0;2412222976.0;;2996633856.0;0.0652469248;;;0.6827741861;0.8571400046;0.3925950229;
;BM;1965;p0p100;1846.91796875;44639.1171875;42792.1992188;;53176.6992188;49209.0;90884984.0;2196646144.0;2105761280.0;;2616772096.0;0.0635881498;;;0.6846889853;0.8571400046;0.3859422505;
;BM;1964;p0p100;1716.8104248;43291.796875;41574.9882812;;51646.0546875;48435.0;83153712.0;2096838272.0;2013684480.0;;2501476608.0;0.0626724362;;;0.687740624;0.8571400046;0.4065442681;
;BM;1963;p0p100;1614.92663574;39643.984375;38029.0585938;;47251.5234375;47603.0;76875352.0;1887172480.0;1810297216.0;;2249314304.0;0.0623847991;;;0.6958558559;0.8571400046;0.4159260094;
;BM;1962;p0p100;1541.25085449;39961.3125;38420.0625;;47716.3554688;46725.0;72014944.0;1867192320.0;1795177472.0;;2229546752.0;0.0616019703;;;0.6954626441;0.8571400046;0.384881407;
;BM;1961;p0p100;1483.24597168;38995.0820312;37511.8320312;;46583.3476562;45834.0;67983096.0;1787300480.0;1719317376.0;;2135101184.0;0.0610062107;;;0.69789505;0.8571400046;0.3375636935;
;BM;1960;p0p100;1431.8963623;37987.6914062;36555.796875;;45392.9609375;44946.0;64358012.0;1707394816.0;1643036800.0;;2040231936.0;0.0604386702;;;0.6999271512;0.8571400046;0.4122904241;
;BM;1959;p0p100;;;;;;44075.0;;;;;;;;;;;;
;BM;1958;p0p100;;;;;;43233.0;;;;;;;;;;;;
