Variable Code;country;year;perc;npopul992t;npopul999i;ntaxre992t;inyixx999i;xlceup999i;xlceux999i;xlcusp999i;xlcusx999i;xlcyup999i;xlcyux999i
;US-OR;1981;p0p100;1200061.25;;1092321.0;0.4366059899;;;1.0;1.0;1.0903964043;
;US-OR;1980;p0p100;1161891.625;;1128676.0;0.399116993;;;1.0;1.0;1.0109244585;
;US-OR;1979;p0p100;1109905.5;;1100919.0;0.3660068512;;;1.0;1.0;0.9860848188;
;US-OR;1978;p0p100;1100346.875;;1066402.0;0.33810094;;;1.0;1.0;0.9547064304;
;US-OR;1977;p0p100;1068049.25;;1022599.0;0.315928787;;;1.0;1.0;0.9135241508;
;US-OR;1976;p0p100;1037337.375;;987121.0;0.2975162268;;;1.0;1.0;0.8714398146;
;US-OR;1975;p0p100;1008149.6875;;925316.0;0.2820289731;;;1.0;1.0;0.8604028821;
;US-OR;1974;p0p100;979506.3125;;911551.0;0.2580621839;;;1.0;1.0;0.7967916131;
;US-OR;1973;p0p100;952435.875;;904211.0;0.2368501127;;;1.0;1.0;0.7372254133;
;US-OR;1972;p0p100;925802.9375;;853424.0;0.2246379256;;;1.0;1.0;0.7126262784;
;US-OR;1971;p0p100;898929.875;;818348.0;0.2153150141;;;1.0;1.0;0.6847807765;
;US-OR;1970;p0p100;871207.8125;;771094.0;0.2049063742;;;1.0;1.0;0.672759831;
;US-OR;1969;p0p100;856129.0625;;783705.0;0.1946323365;;;1.0;1.0;0.6523371339;
;US-OR;1968;p0p100;842860.875;;754520.0;0.1855068803;;;1.0;1.0;0.6194906235;
;US-OR;1967;p0p100;829589.625;;733744.0;0.1779426634;;;1.0;1.0;0.6002780199;
;US-OR;1966;p0p100;815758.875;;707584.0;0.1729178131;;;1.0;1.0;0.5991725326;
;US-OR;1965;p0p100;801595.625;;692441.0;0.1681890637;;;1.0;1.0;0.5878564715;
;US-OR;1964;p0p100;786898.8125;;669578.0;0.165165171;;;1.0;1.0;0.6169885993;
;US-OR;1963;p0p100;771370.5625;;650077.0;0.1626706868;;;1.0;1.0;0.6245597005;
;US-OR;1962;p0p100;755740.75;;627907.0;0.1608581692;;;1.0;1.0;0.5787657499;
;US-OR;1961;p0p100;739671.375;;612490.0;0.1589020491;;;1.0;1.0;0.5063357949;
;US-OR;1960;p0p100;723045.875;;609649.0;0.1571702808;;;1.0;1.0;0.6174277663;
;US-OR;1959;p0p100;721945.875;;602822.0;0.1550257355;;;1.0;;0.6377097964;
;US-OR;1958;p0p100;720055.5;;586487.0;0.152988866;;;1.0;;0.6633341312;
;US-OR;1957;p0p100;718007.75;;591142.0;0.149516359;;;1.0;;0.7038274407;
;US-OR;1956;p0p100;714823.6875;;603542.0;0.1444735378;;;1.0;;0.6517068744;
;US-OR;1955;p0p100;711726.625;;592592.0;0.1396730095;;;1.0;;0.6540765762;
;US-OR;1954;p0p100;708549.25;;578796.0;0.1376989633;;;1.0;;0.653101325;
;US-OR;1953;p0p100;705290.8125;;582873.0;0.136299178;;;1.0;;0.6625382304;
;US-OR;1952;p0p100;702615.6875;;586167.0;0.1345584542;;;1.0;;0.7204616666;
;US-OR;1951;p0p100;699414.4375;;574454.0;0.1316781193;;;1.0;;;
;US-OR;1950;p0p100;696191.1875;;552769.0;0.1233422235;;;1.0;;;
;US-OR;1949;p0p100;676527.5625;;541639.0;0.122229591;;;1.0;;;
;US-OR;1948;p0p100;659359.3125;;557588.0;0.1222924143;;;1.0;;;
