Variable Code;country;year;perc;npopul992t;npopul999i;ntaxre992t;inyixx999i;xlceup999i;xlceux999i;xlcusp999i;xlcusx999i;xlcyup999i;xlcyux999i
;US-CA;1978;p0p100;10258089.0;;9697144.0;0.33810094;;;1.0;1.0;0.9547064304;
;US-CA;1977;p0p100;9981119.0;;9360959.0;0.315928787;;;1.0;1.0;0.9135241508;
;US-CA;1976;p0p100;9717604.0;;9010032.0;0.2975162268;;;1.0;1.0;0.8714398146;
;US-CA;1975;p0p100;9467064.0;;8660529.0;0.2820289731;;;1.0;1.0;0.8604028821;
;US-CA;1974;p0p100;9220377.0;;8505321.0;0.2580621839;;;1.0;1.0;0.7967916131;
;US-CA;1973;p0p100;8987281.0;;8362306.5;0.2368501127;;;1.0;1.0;0.7372254133;
;US-CA;1972;p0p100;8757140.0;;7952251.0;0.2246379256;;;1.0;1.0;0.7126262784;
;US-CA;1971;p0p100;8523555.0;;7628899.0;0.2153150141;;;1.0;1.0;0.6847807765;
;US-CA;1970;p0p100;8280715.0;;7588270.0;0.2049063742;;;1.0;1.0;0.672759831;
;US-CA;1969;p0p100;8086339.5;;7841121.0;0.1946323365;;;1.0;1.0;0.6523371339;
;US-CA;1968;p0p100;7911070.5;;7538265.0;0.1855068803;;;1.0;1.0;0.6194906235;
;US-CA;1967;p0p100;7737653.5;;7294735.0;0.1779426634;;;1.0;1.0;0.6002780199;
;US-CA;1966;p0p100;7560915.5;;7080194.0;0.1729178131;;;1.0;1.0;0.5991725326;
;US-CA;1965;p0p100;7383029.5;;6768232.0;0.1681890637;;;1.0;1.0;0.5878564715;
;US-CA;1964;p0p100;7202193.0;;6588903.0;0.165165171;;;1.0;1.0;0.6169885993;
;US-CA;1963;p0p100;7015773.5;;6405244.0;0.1626706868;;;1.0;1.0;0.6245597005;
;US-CA;1962;p0p100;6830491.5;;6186519.0;0.1608581692;;;1.0;1.0;0.5787657499;
;US-CA;1961;p0p100;6643311.0;;5928684.0;0.1589020491;;;1.0;1.0;0.5063357949;
;US-CA;1960;p0p100;6453247.0;;5768956.0;0.1571702808;;;1.0;1.0;0.6174277663;
;US-CA;1959;p0p100;6285022.5;;5624403.0;0.1550257355;;;1.0;;0.6377097964;
;US-CA;1958;p0p100;6114457.5;;5380726.0;0.152988866;;;1.0;;0.6633341312;
;US-CA;1957;p0p100;5947177.0;;5361993.0;0.149516359;;;1.0;;0.7038274407;
;US-CA;1956;p0p100;5775245.0;;5155868.0;0.1444735378;;;1.0;;0.6517068744;
;US-CA;1955;p0p100;5608858.0;;5089543.0;0.1396730095;;;1.0;;0.6540765762;
;US-CA;1954;p0p100;5446545.0;;4733521.0;0.1376989633;;;1.0;;0.653101325;
;US-CA;1953;p0p100;5288214.0;;4640312.0;0.136299178;;;1.0;;0.6625382304;
;US-CA;1952;p0p100;5138642.0;;4598269.0;0.1345584542;;;1.0;;0.7204616666;
;US-CA;1951;p0p100;4989475.5;;4290151.0;0.1316781193;;;1.0;;;
;US-CA;1950;p0p100;4844384.5;;4078066.0;0.1233422235;;;1.0;;;
;US-CA;1949;p0p100;4663650.5;;3998611.0;0.122229591;;;1.0;;;
;US-CA;1948;p0p100;4502907.0;;4060087.0;0.1222924143;;;1.0;;;
;US-CA;1947;p0p100;4346992.0;;4536857.0;0.115778029;;;1.0;;;
;US-CA;1946;p0p100;4187436.5;;4382029.0;0.1041131839;;;1.0;;;
;US-CA;1945;p0p100;4068519.25;;4083251.0;0.0924932137;;;1.0;;;
;US-CA;1944;p0p100;3949735.75;;3935568.0;0.0902230665;;;1.0;;;
;US-CA;1943;p0p100;3829627.75;;3576061.0;0.0881233886;;;1.0;;;
;US-CA;1942;p0p100;3705809.75;;2844004.0;0.0841214508;;;1.0;;;
;US-CA;1941;p0p100;3596012.0;;2064085.0;0.0776699111;;;1.0;;;
;US-CA;1940;p0p100;3493083.0;;1215016.0;0.0728873089;;;1.0;;;
;US-CA;1939;p0p100;3391859.25;;637691.0;0.0722233132;;;1.0;;;
;US-CA;1938;p0p100;3298182.75;;535289.0;0.0731385574;;;1.0;;;
;US-CA;1937;p0p100;3208372.5;;519391.0;0.0745024458;;;1.0;;;
;US-CA;1936;p0p100;3126519.75;;443322.0;0.0718643889;;;1.0;;;
;US-CA;1935;p0p100;3046011.25;;377129.0;0.0710029826;;;1.0;;;
;US-CA;1934;p0p100;2965842.5;;326640.0;0.0696032047;;;1.0;;;
;US-CA;1933;p0p100;2889622.75;;304047.0;0.0663639754;;;1.0;;;
;US-CA;1932;p0p100;2816627.0;;316525.0;0.0681944638;;;1.0;;;
;US-CA;1931;p0p100;2744089.25;;267333.0;0.076970011;;;1.0;;;
;US-CA;1930;p0p100;2669880.5;;307261.0;0.0854135603;;;1.0;;;
;US-CA;1929;p0p100;2538446.75;;318603.0;0.0888322517;;;1.0;;;
;US-CA;1928;p0p100;2413974.75;;316738.0;0.0885895565;;;1.0;;;
;US-CA;1927;p0p100;2290951.25;;315566.0;0.089317672;;;1.0;;;
;US-CA;1926;p0p100;2170601.25;;315344.0;0.0908953026;;;1.0;;;
;US-CA;1925;p0p100;2057202.625;;305074.0;0.0904098675;;;1.0;;;
;US-CA;1924;p0p100;1946579.125;;511218.0;0.0888322517;;;1.0;;;
;US-CA;1923;p0p100;1834059.875;;517109.0;0.0887715742;;;1.0;;;
;US-CA;1922;p0p100;1731383.375;;420923.0;0.0862837657;;;1.0;;;
;US-CA;1921;p0p100;1639657.625;;386082.0;0.0928369835;;;1.0;;;
