Variable Name;.;.;.;Consumption of fixed capital of national economy | individuals | Average | All Ages | constant 2015 local currency;Gross domestic product | individuals | Average | All Ages | constant 2015 local currency;Net domestic product | individuals | Average | All Ages | constant 2015 local currency;National income | individuals | Average | All Ages | constant 2015 local currency;Population | individuals | Population | All Ages | population;Consumption of fixed capital of national economy | individuals | Total | All Ages | constant 2015 local currency;Gross domestic product | individuals | Total | All Ages | constant 2015 local currency;Net domestic product | individuals | Total | All Ages | constant 2015 local currency;National income | individuals | Total | All Ages | constant 2015 local currency;National income price index | individuals | Indices | All Ages | constant 2015 local currency;PPP conversion factor, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency
;VG;2014;p0p100;4718.65576172;33085.4140625;28366.7597656;28366.7597656;29588.0;139615584.0;978931264.0;839315712.0;839315712.0;0.9577978849;1.4290162325;;1.0950232744;;0.3166146874;
;VG;2013;p0p100;4776.26318359;33269.1875;28492.9257812;28492.9257812;29056.0;138779104.0;966669504.0;827890432.0;827890432.0;0.9283410907;1.3974479437;;1.0796715021;;0.3082954586;
;VG;2012;p0p100;4857.18066406;32170.8066406;27313.625;27313.625;28509.0;138473360.0;917157504.0;778684160.0;778684160.0;0.9495601654;1.4469544888;;1.122317791;;0.3214392066;
;VG;2011;p0p100;4993.17822266;34435.4765625;29442.3007812;29442.3007812;27901.0;139314672.0;960784256.0;821469632.0;821469632.0;0.8930199742;1.3782666922;;1.0755841732;;0.3068244457;
;VG;2010;p0p100;5173.57470703;35535.6171875;30362.0429688;30362.0429688;27224.0;140845392.0;967421696.0;826576256.0;826576256.0;0.9056559205;1.4121681452;;1.1143909693;;0.3362835348;
;VG;2009;p0p100;5394.48388672;36619.3398438;31224.8554688;31224.8554688;26447.0;142667920.0;968471680.0;825803776.0;825803776.0;0.8864588141;1.3912758827;;1.1082322598;;0.3519050181;
;VG;2008;p0p100;5638.87060547;38525.5507812;32886.6796875;32886.6796875;25604.0;144377648.0;986408256.0;842030592.0;842030592.0;0.9855903983;1.5618209839;;1.2463607788;;0.3856636286;
;VG;2007;p0p100;5880.35400391;40238.0;34357.6484375;34357.6484375;24731.0;145427040.0;995126016.0;849699008.0;849699008.0;0.995668292;1.6102095842;;1.2845462561;;0.4200136364;
;VG;2006;p0p100;6082.84179688;42023.0546875;35940.2109375;35940.2109375;23905.0;145410336.0;1004561088.0;859150784.0;859150784.0;0.9190011621;1.5228233337;;1.2181690931;;0.4168199003;
;VG;2005;p0p100;6228.66943359;43892.328125;37663.65625;37663.65625;23168.0;144305808.0;1016897472.0;872591616.0;872591616.0;0.83846277;1.4165478945;;1.1443796158;;0.3931948543;
;VG;2004;p0p100;6335.46923828;39070.0976562;32734.6308594;32734.6308594;22541.0;142807808.0;880679104.0;737871296.0;737871296.0;0.8301612735;1.4292951822;;1.1676197052;;0.4058318436;
;VG;2003;p0p100;6494.18701172;39581.890625;33087.703125;33087.703125;22000.0;142872112.0;870801536.0;727929472.0;727929472.0;0.8013140559;1.4061560631;;1.1585762501;;0.4177138209;
;VG;2002;p0p100;6703.87451172;44830.296875;38126.4257812;38126.4257812;21529.0;144327712.0;965151488.0;820823808.0;820823808.0;0.7981215715;1.4314284325;;1.1794127226;;0.4304105043;
;VG;2001;p0p100;6861.58935547;48634.3085938;41772.7148438;41772.7148438;21085.0;144676608.0;1025454336.0;880777728.0;880777728.0;0.7741238475;1.4224247932;;1.1642769575;;0.4176844656;
;VG;2000;p0p100;6855.85058594;47342.3476562;40486.5;40486.5;20645.0;141539040.0;977382784.0;835843776.0;835843776.0;0.753038466;1.4174226522;;1.1610159874;;0.4135853052;
;VG;1999;p0p100;6660.6171875;44383.5195312;37722.9023438;37722.9023438;20188.0;134464544.0;896014528.0;761549952.0;761549952.0;0.7361080647;1.4053647518;;1.1616598368;;0.4316340089;
;VG;1998;p0p100;6300.40136719;41460.9140625;35160.5117188;35160.5117188;19722.0;124256512.0;817692160.0;693435648.0;693435648.0;0.7203217745;1.3976602554;;1.1547197104;;0.427203685;
;VG;1997;p0p100;5804.79052734;38450.1796875;32645.3867188;32645.3867188;19270.0;111858312.0;740934912.0;629076608.0;629076608.0;0.6904495358;1.3537628651;;1.1212096214;;0.4124456346;
;VG;1996;p0p100;5199.61083984;35599.453125;30399.84375;30399.84375;18833.0;97924272.0;670444544.0;572520256.0;572520256.0;0.6563344002;1.2842125893;;1.086542964;;0.4174976051;
;VG;1995;p0p100;4497.62695312;33748.5273438;29250.9003906;29250.9003906;18427.0;82877776.0;621884096.0;539006336.0;539006336.0;0.6256372333;1.256144762;;1.0571998358;;0.4395302236;
;VG;1994;p0p100;3733.17382812;27767.5;24034.3261719;24034.3261719;18052.0;67391256.0;501258912.0;433867648.0;433867648.0;0.6004195809;;;1.0355402231;;0.5051574707;
;VG;1993;p0p100;2995.0402832;22356.3105469;19361.2714844;19361.2714844;17703.0;53021200.0;395773760.0;342752576.0;342752576.0;0.5852043033;;;1.0314393044;;0.6237720251;
;VG;1992;p0p100;2362.74926758;17555.2636719;15192.5136719;15192.5136719;17344.0;40979524.0;304478464.0;263498960.0;263498960.0;0.5670583248;;;1.0247386694;;0.7669298053;
;VG;1991;p0p100;1871.64367676;14907.0859375;13035.4423828;13035.4423828;16934.0;31694414.0;252436592.0;220742176.0;220742176.0;0.5329496861;;;0.9882127047;;0.7895988226;
;VG;1990;p0p100;1510.68835449;12208.53125;10697.8427734;10697.8427734;16461.0;24867442.0;200964624.0;176097184.0;176097184.0;0.5119591951;;;0.9832562208;;0.7865504622;
;VG;1989;p0p100;1263.76745605;10041.0146484;8777.24707031;8777.24707031;15900.0;20093902.0;159652128.0;139558224.0;139558224.0;0.4917956591;;;0.9823335409;;0.8561031818;
;VG;1988;p0p100;1107.66650391;9626.515625;8518.84863281;8518.84863281;15266.0;16909636.0;146958384.0;130048744.0;130048744.0;0.4485587478;;;0.9329519272;;0.9254685044;
;VG;1987;p0p100;1013.09454346;9053.25;8040.15527344;8040.15527344;14589.0;14780036.0;132077864.0;117297824.0;117297824.0;0.4439868927;;;0.9566756487;;1.0590250492;
;VG;1986;p0p100;958.376831055;8262.81152344;7304.43505859;7304.43505859;13938.0;13357856.0;115167072.0;101809216.0;101809216.0;0.4269507527;;;0.94393152;;1.0895675421;
;VG;1985;p0p100;936.308044434;8338.52734375;7402.21972656;7402.21972656;13304.0;12456642.0;110935768.0;98479128.0;98479128.0;0.407258153;;;0.9188529849;;1.096701622;
;VG;1984;p0p100;931.08605957;8595.61132812;7664.52539062;7664.52539062;12731.0;11853657.0;109430728.0;97577072.0;97577072.0;0.396414876;;;0.9256783128;;1.0925519466;
;VG;1983;p0p100;933.039123535;8505.57421875;7572.53515625;7572.53515625;12188.0;11371881.0;103665936.0;92294056.0;92294056.0;0.3809773326;;;0.9242605567;;1.0365098715;
;VG;1982;p0p100;930.885681152;8361.18359375;7430.29736328;7430.29736328;11712.0;10902533.0;97926176.0;87023640.0;87023640.0;0.3578795493;;;0.9065580368;;0.984292686;
;VG;1981;p0p100;917.524353027;8461.82714844;7544.30273438;7544.30273438;11315.0;10381788.0;95745568.0;85363784.0;85363784.0;0.3109576702;;;0.835865736;;0.8671177626;
;VG;1980;p0p100;886.383544922;8647.89160156;7761.50878906;7761.50878906;11002.0;9751992.0;95144112.0;85392120.0;85392120.0;0.2861906886;;;0.8413630128;;0.8093867302;
;VG;1979;p0p100;834.508056641;7729.2421875;6894.734375;6894.734375;10792.0;9006011.0;83413984.0;74407976.0;74407976.0;0.2615346611;;;0.8373203278;;0.7867493629;
;VG;1978;p0p100;775.697265625;7007.76074219;6232.06347656;6232.06347656;10662.0;8270484.0;74716744.0;66446260.0;66446260.0;0.234053582;;;0.8106632829;;0.7379395366;
;VG;1977;p0p100;722.098205566;6553.02294922;5830.92480469;5830.92480469;10591.0;7647742.0;69403064.0;61755324.0;61755324.0;0.2169185579;;;0.8031603098;;0.7003411055;
;VG;1976;p0p100;679.569274902;6463.28955078;5783.72021484;5783.72021484;10543.0;7164699.0;68142464.0;60977760.0;60977760.0;0.2136946917;;;0.8391653299;;0.698879838;
;VG;1975;p0p100;647.373718262;6527.24658203;5879.87304688;5879.87304688;10476.0;6781887.0;68379432.0;61597548.0;61597548.0;0.1953506023;;;0.8089541197;;0.6654338837;
;VG;1974;p0p100;621.433837891;6303.63964844;5682.20605469;5682.20605469;10379.0;6449862.0;65425476.0;58975616.0;58975616.0;0.1858484596;;;0.8383931518;;0.640709877;
;VG;1973;p0p100;601.288391113;5807.22558594;5205.9375;5205.9375;10264.0;6171624.0;59605364.0;53433740.0;53433740.0;0.1706202328;;;0.8361984491;;0.5929789543;
;VG;1972;p0p100;592.115783691;5577.86230469;4985.74609375;4985.74609375;10125.0;5995172.5;56475852.0;50480680.0;50480680.0;0.1590813845;;;0.8222948313;;0.5634822249;
;VG;1971;p0p100;595.591125488;5661.65332031;5066.06201172;5066.06201172;9970.0;5938043.5;56446684.0;50508640.0;50508640.0;0.1524539739;;;0.8223800063;;0.5413748026;
;VG;1970;p0p100;608.312438965;6393.57861328;5785.26611328;5785.26611328;9803.0;5963287.0;62676252.0;56712964.0;56712964.0;0.1590195745;;;0.9013146162;;0.5829579234;
;VG;1969;p0p100;;;;;9621.0;;;;;;;;;;;
;VG;1968;p0p100;;;;;9424.0;;;;;;;;;;;
;VG;1967;p0p100;;;;;9218.0;;;;;;;;;;;
;VG;1966;p0p100;;;;;9007.0;;;;;;;;;;;
;VG;1965;p0p100;;;;;8814.0;;;;;;;;;;;
;VG;1964;p0p100;;;;;8627.0;;;;;;;;;;;
;VG;1963;p0p100;;;;;8452.0;;;;;;;;;;;
;VG;1962;p0p100;;;;;8298.0;;;;;;;;;;;
;VG;1961;p0p100;;;;;8155.0;;;;;;;;;;;
;VG;1960;p0p100;;;;;8033.0;;;;;;;;;;;
;VG;1959;p0p100;;;;;7932.0;;;;;;;;;;;
;VG;1958;p0p100;;;;;7849.0;;;;;;;;;;;
