Variable Code;country;year;perc;npopul992t;npopul999i;ntaxre992t;inyixx999i;xlceup999i;xlceux999i;xlcusp999i;xlcusx999i;xlcyup999i;xlcyux999i
;US-CO;1981;p0p100;1281016.875;;1342760.0;0.4366059899;;;1.0;1.0;1.0903964043;
;US-CO;1980;p0p100;1249700.75;;1296849.0;0.399116993;;;1.0;1.0;1.0109244585;
;US-CO;1979;p0p100;1181075.125;;1261473.0;0.3660068512;;;1.0;1.0;0.9860848188;
;US-CO;1978;p0p100;1166147.875;;1207960.0;0.33810094;;;1.0;1.0;0.9547064304;
;US-CO;1977;p0p100;1123587.875;;1146904.0;0.315928787;;;1.0;1.0;0.9135241508;
;US-CO;1976;p0p100;1083247.375;;1085371.0;0.2975162268;;;1.0;1.0;0.8714398146;
;US-CO;1975;p0p100;1045019.5;;1041115.0;0.2820289731;;;1.0;1.0;0.8604028821;
;US-CO;1974;p0p100;1007855.75;;1037734.0;0.2580621839;;;1.0;1.0;0.7967916131;
;US-CO;1973;p0p100;972789.125;;1007203.0;0.2368501127;;;1.0;1.0;0.7372254133;
;US-CO;1972;p0p100;938627.5;;966646.0;0.2246379256;;;1.0;1.0;0.7126262784;
;US-CO;1971;p0p100;904674.5625;;864608.0;0.2153150141;;;1.0;1.0;0.6847807765;
;US-CO;1970;p0p100;870322.25;;826275.0;0.2049063742;;;1.0;1.0;0.672759831;
;US-CO;1969;p0p100;850827.75;;812777.0;0.1946323365;;;1.0;1.0;0.6523371339;
;US-CO;1968;p0p100;833301.875;;767454.0;0.1855068803;;;1.0;1.0;0.6194906235;
;US-CO;1967;p0p100;815931.625;;728209.0;0.1779426634;;;1.0;1.0;0.6002780199;
;US-CO;1966;p0p100;798171.6875;;703835.0;0.1729178131;;;1.0;1.0;0.5991725326;
;US-CO;1965;p0p100;780250.25;;682637.0;0.1681890637;;;1.0;1.0;0.5878564715;
;US-CO;1964;p0p100;761976.375;;676922.0;0.165165171;;;1.0;1.0;0.6169885993;
;US-CO;1963;p0p100;743069.9375;;665273.0;0.1626706868;;;1.0;1.0;0.6245597005;
;US-CO;1962;p0p100;724241.75;;651871.0;0.1608581692;;;1.0;1.0;0.5787657499;
;US-CO;1961;p0p100;705169.5625;;632945.0;0.1589020491;;;1.0;1.0;0.5063357949;
;US-CO;1960;p0p100;685748.1875;;616050.0;0.1571702808;;;1.0;1.0;0.6174277663;
;US-CO;1959;p0p100;674542.8125;;597727.0;0.1550257355;;;1.0;;0.6377097964;
;US-CO;1958;p0p100;662791.5;;577895.0;0.152988866;;;1.0;;0.6633341312;
;US-CO;1957;p0p100;651097.6875;;575065.0;0.149516359;;;1.0;;0.7038274407;
;US-CO;1956;p0p100;638589.875;;571640.0;0.1444735378;;;1.0;;0.6517068744;
;US-CO;1955;p0p100;626386.5;;552922.0;0.1396730095;;;1.0;;0.6540765762;
;US-CO;1954;p0p100;614335.0625;;522393.0;0.1376989633;;;1.0;;0.653101325;
;US-CO;1953;p0p100;602434.125;;527275.0;0.136299178;;;1.0;;0.6625382304;
;US-CO;1952;p0p100;591241.9375;;509876.0;0.1345584542;;;1.0;;0.7204616666;
;US-CO;1951;p0p100;579813.1875;;501563.0;0.1316781193;;;1.0;;;
;US-CO;1950;p0p100;568575.4375;;471209.0;0.1233422235;;;1.0;;;
;US-CO;1949;p0p100;560120.5625;;459267.0;0.122229591;;;1.0;;;
;US-CO;1948;p0p100;553419.625;;440969.0;0.1222924143;;;1.0;;;
;US-CO;1947;p0p100;546709.3125;;491025.0;0.115778029;;;1.0;;;
;US-CO;1946;p0p100;538916.875;;439460.0;0.1041131839;;;1.0;;;
;US-CO;1945;p0p100;535816.375;;403785.0;0.0924932137;;;1.0;;;
;US-CO;1944;p0p100;532296.5625;;350109.0;0.0902230665;;;1.0;;;
;US-CO;1943;p0p100;528139.0;;335369.0;0.0881233886;;;1.0;;;
;US-CO;1942;p0p100;522974.84375;;282158.0;0.0841214508;;;1.0;;;
;US-CO;1941;p0p100;519307.75;;179568.0;0.0776699111;;;1.0;;;
;US-CO;1940;p0p100;516200.75;;110060.0;0.0728873089;;;1.0;;;
;US-CO;1939;p0p100;507115.5625;;55574.0;0.0722233132;;;1.0;;;
;US-CO;1938;p0p100;498888.28125;;42700.0;0.0731385574;;;1.0;;;
;US-CO;1937;p0p100;490990.15625;;46123.0;0.0745024458;;;1.0;;;
;US-CO;1936;p0p100;484070.46875;;40919.0;0.0718643889;;;1.0;;;
;US-CO;1935;p0p100;477131.8125;;34280.0;0.0710029826;;;1.0;;;
;US-CO;1934;p0p100;470017.84375;;32138.0;0.0696032047;;;1.0;;;
;US-CO;1933;p0p100;463304.84375;;30238.0;0.0663639754;;;1.0;;;
;US-CO;1932;p0p100;456892.96875;;32647.9980469;0.0681944638;;;1.0;;;
;US-CO;1931;p0p100;450342.375;;27156.0;0.076970011;;;1.0;;;
;US-CO;1930;p0p100;443298.0625;;30623.0;0.0854135603;;;1.0;;;
;US-CO;1929;p0p100;440197.8125;;32168.0;0.0888322517;;;1.0;;;
;US-CO;1928;p0p100;437208.28125;;31091.0;0.0885895565;;;1.0;;;
;US-CO;1927;p0p100;433358.5;;31727.0;0.089317672;;;1.0;;;
;US-CO;1926;p0p100;428832.15625;;35110.0;0.0908953026;;;1.0;;;
;US-CO;1925;p0p100;424482.90625;;35808.0;0.0904098675;;;1.0;;;
;US-CO;1924;p0p100;419499.09375;;73350.0;0.0888322517;;;1.0;;;
;US-CO;1923;p0p100;412808.15625;;72366.0;0.0887715742;;;1.0;;;
;US-CO;1922;p0p100;407008.875;;67463.0;0.0862837657;;;1.0;;;
;US-CO;1921;p0p100;402568.34375;;69676.0;0.0928369835;;;1.0;;;
