Variable Code;country;year;perc;npopul992t;npopul999i;ntaxre992t;inyixx999i;xlceup999i;xlceux999i;xlcusp999i;xlcusx999i;xlcyup999i;xlcyux999i
;US-WV;1977;p0p100;782746.5625;;644787.0;0.315928787;;;1.0;1.0;0.9135241508;
;US-WV;1976;p0p100;768599.9375;;640695.0;0.2975162268;;;1.0;1.0;0.8714398146;
;US-WV;1975;p0p100;755189.125;;609955.0;0.2820289731;;;1.0;1.0;0.8604028821;
;US-WV;1974;p0p100;741802.625;;606958.0;0.2580621839;;;1.0;1.0;0.7967916131;
;US-WV;1973;p0p100;729234.625;;585085.0;0.2368501127;;;1.0;1.0;0.7372254133;
;US-WV;1972;p0p100;716639.0625;;585919.0;0.2246379256;;;1.0;1.0;0.7126262784;
;US-WV;1971;p0p100;703490.4375;;559868.0;0.2153150141;;;1.0;1.0;0.6847807765;
;US-WV;1970;p0p100;689294.0;;556185.0;0.2049063742;;;1.0;1.0;0.672759831;
;US-WV;1969;p0p100;688667.0;;568098.0;0.1946323365;;;1.0;1.0;0.6523371339;
;US-WV;1968;p0p100;689307.8125;;566235.0;0.1855068803;;;1.0;1.0;0.6194906235;
;US-WV;1967;p0p100;689775.625;;560091.0;0.1779426634;;;1.0;1.0;0.6002780199;
;US-WV;1966;p0p100;689594.1875;;551812.0;0.1729178131;;;1.0;1.0;0.5991725326;
;US-WV;1965;p0p100;688928.875;;538422.0;0.1681890637;;;1.0;1.0;0.5878564715;
;US-WV;1964;p0p100;687583.0625;;533314.0;0.165165171;;;1.0;1.0;0.6169885993;
;US-WV;1963;p0p100;685261.9375;;528212.0;0.1626706868;;;1.0;1.0;0.6245597005;
;US-WV;1962;p0p100;682580.1875;;524214.0;0.1608581692;;;1.0;1.0;0.5787657499;
;US-WV;1961;p0p100;679214.4375;;530808.0;0.1589020491;;;1.0;1.0;0.5063357949;
;US-WV;1960;p0p100;675027.125;;543870.0;0.1571702808;;;1.0;1.0;0.6174277663;
;US-WV;1959;p0p100;684011.125;;548657.0;0.1550257355;;;1.0;;0.6377097964;
;US-WV;1958;p0p100;692353.125;;560207.0;0.152988866;;;1.0;;0.6633341312;
;US-WV;1957;p0p100;700638.5625;;593185.0;0.149516359;;;1.0;;0.7038274407;
;US-WV;1956;p0p100;707892.0;;586368.0;0.1444735378;;;1.0;;0.6517068744;
;US-WV;1955;p0p100;715293.8125;;572779.0;0.1396730095;;;1.0;;0.6540765762;
;US-WV;1954;p0p100;722677.4375;;568245.0;0.1376989633;;;1.0;;0.653101325;
;US-WV;1953;p0p100;730038.625;;607584.0;0.136299178;;;1.0;;0.6625382304;
;US-WV;1952;p0p100;738071.8125;;610803.0;0.1345584542;;;1.0;;0.7204616666;
;US-WV;1951;p0p100;745621.75;;589091.0;0.1316781193;;;1.0;;;
;US-WV;1950;p0p100;753209.3125;;599684.0;0.1233422235;;;1.0;;;
;US-WV;1949;p0p100;746527.0625;;596898.0;0.122229591;;;1.0;;;
;US-WV;1948;p0p100;742087.4375;;618189.0;0.1222924143;;;1.0;;;
;US-WV;1947;p0p100;737553.375;;611357.0;0.115778029;;;1.0;;;
;US-WV;1946;p0p100;731467.9375;;573963.0;0.1041131839;;;1.0;;;
;US-WV;1945;p0p100;731688.0;;545803.0;0.0924932137;;;1.0;;;
;US-WV;1944;p0p100;731307.625;;480479.0;0.0902230665;;;1.0;;;
;US-WV;1943;p0p100;730013.9375;;444235.0;0.0881233886;;;1.0;;;
;US-WV;1942;p0p100;727277.5625;;382693.0;0.0841214508;;;1.0;;;
;US-WV;1941;p0p100;726575.375;;265351.0;0.0776699111;;;1.0;;;
;US-WV;1940;p0p100;726626.0625;;125404.0;0.0728873089;;;1.0;;;
;US-WV;1939;p0p100;713389.3125;;68243.0;0.0722233132;;;1.0;;;
;US-WV;1938;p0p100;701374.8125;;54470.0;0.0731385574;;;1.0;;;
;US-WV;1937;p0p100;689837.75;;59903.0;0.0745024458;;;1.0;;;
;US-WV;1936;p0p100;679688.75;;48050.0;0.0718643889;;;1.0;;;
;US-WV;1935;p0p100;669525.4375;;37878.0;0.0710029826;;;1.0;;;
;US-WV;1934;p0p100;659128.875;;31031.0;0.0696032047;;;1.0;;;
;US-WV;1933;p0p100;649307.0625;;26813.0;0.0663639754;;;1.0;;;
;US-WV;1932;p0p100;639919.0625;;28240.0;0.0681944638;;;1.0;;;
;US-WV;1931;p0p100;630348.375;;23311.0;0.076970011;;;1.0;;;
;US-WV;1930;p0p100;620098.875;;28136.0;0.0854135603;;;1.0;;;
;US-WV;1929;p0p100;613274.25;;30551.0;0.0888322517;;;1.0;;;
;US-WV;1928;p0p100;606648.25;;30643.0;0.0885895565;;;1.0;;;
;US-WV;1927;p0p100;598876.9375;;32500.0;0.089317672;;;1.0;;;
;US-WV;1926;p0p100;590227.375;;32543.9980469;0.0908953026;;;1.0;;;
;US-WV;1925;p0p100;581880.625;;35810.0;0.0904098675;;;1.0;;;
;US-WV;1924;p0p100;572725.375;;75037.0;0.0888322517;;;1.0;;;
;US-WV;1923;p0p100;561313.375;;89263.0;0.0887715742;;;1.0;;;
;US-WV;1922;p0p100;551191.75;;69501.0;0.0862837657;;;1.0;;;
;US-WV;1921;p0p100;542975.375;;75277.0;0.0928369835;;;1.0;;;
