Variable Name;.;.;.;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Threshold | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | individuals | Share | Adults | share of total (ratio)
Variable Category;.;.;.;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality
Variable Description;.;.;.;Average Fiscal income within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Fiscal income threshold value at a given percentile.  Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Total Fiscal income  within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals of all ages.;Fiscal income share held by a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
Variable Decomposition;.;.;.;[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking]
Variable Unit;.;.;.;"TZS; Tanzanian shilling | local currency | market";"TZS; Tanzanian shilling | local currency | market";"TZS; Tanzanian shilling | local currency | market";share;share
Methodological Notes;.;.;.;Excludes capital gains.;Excludes capital gains.;Excludes capital gains.;Excludes capital gains.;Fiscal income rescaled to match the macroeconomic aggregates.
Sources;.;.;.;Atkinson, Anthony B. (2015). Top Incomes in East Africa before and after independence. The World Wealth and Income Database WP 2/2015.;Atkinson, Anthony B. (2015). Top Incomes in East Africa before and after independence. The World Wealth and Income Database WP 2/2015.;Atkinson, Anthony B. (2015). Top Incomes in East Africa before and after independence. The World Wealth and Income Database WP 2/2015.;Atkinson, Anthony B. (2015). Top Incomes in East Africa before and after independence. The World Wealth and Income Database WP 2/2015.;WID.world computations using fiscal and net national income.
Variable Code;country;year;perc;afiinc992t;tfiinc992i;mfiinc999i;sfiinc992i;sptinc992i
;TZ;1965;p99.99p100;;154356144.0;;0.0140531445;0.0140531445
;TZ;1965;p99.95p99.99;;84956504.0;;0.0243060905;0.0243060905
;TZ;1965;p99.9p99.95;;61748644.0;;0.0206572209;0.0206572209
;TZ;1965;p99.9p99.99;;61748644.0;;0.0449633114;0.0449633114
;TZ;1965;p99.95p100;;84956504.0;;0.038359236;0.038359236
;TZ;1965;p99.995p100;;;;0.0089885499;0.0089885499
;TZ;1964;p0p100;1980807.75;;7.49707408179e+12;;
;TZ;1964;p99.9p100;;67118592.0;;0.0540863499;0.0540863499
;TZ;1964;p99.99p100;;152788576.0;;0.0123070851;0.0123070851
;TZ;1964;p99.95p99.99;;89846144.0;;0.0224124081;0.0224124081
;TZ;1964;p99.9p99.95;;67118592.0;;0.0193668567;0.0193668567
;TZ;1964;p99.9p99.99;;67118592.0;;0.0417792648;0.0417792648
;TZ;1964;p99.75p100;;;;0.0910572931;0.0910572931
;TZ;1964;p99.95p100;;89846144.0;;0.0347194932;0.0347194932
;TZ;1964;p99.995p100;;;;0.0079719396;0.0079719396
;TZ;1963;p0p100;1656744.125;;6.09388540723e+12;;
;TZ;1963;p99.9p100;;65000360.0;;0.062513791;0.062513791
;TZ;1963;p99.99p100;;148237840.0;;0.0144042075;0.0144042075
;TZ;1963;p99.95p99.99;;86571032.0;;0.025682874;0.025682874
;TZ;1963;p99.9p99.95;;65000360.0;;0.0224267114;0.0224267114
;TZ;1963;p99.9p99.99;;65000360.0;;0.0481095873;0.0481095873
;TZ;1963;p99.75p100;;;;0.1062631756;0.1062631756
;TZ;1963;p99.95p100;;86571032.0;;0.0400870815;0.0400870815
;TZ;1963;p99.995p100;;;;0.009471585;0.009471585
;TZ;1962;p0p100;1522705.125;;5.44574799872e+12;;
;TZ;1962;p99.9p100;;63086092.0;;0.064348571;0.064348571
;TZ;1962;p99.99p100;;137693808.0;;0.014061274;0.014061274
;TZ;1962;p99.95p99.99;;83182624.0;;0.0267308764;0.0267308764
;TZ;1962;p99.9p99.95;;63086092.0;;0.0235564206;0.0235564206
;TZ;1962;p99.9p99.99;;63086092.0;;0.0502872989;0.0502872989
;TZ;1962;p99.75p100;;;;0.1115706414;0.1115706414
;TZ;1962;p99.95p100;;83182624.0;;0.0407921486;0.0407921486
;TZ;1962;p99.995p100;;;;0.0090284031;0.0090284031
;TZ;1961;p0p100;1417993.25;;4.93244173517e+12;;
;TZ;1961;p99.9p100;;60716852.0;;0.0655992553;0.0655992553
;TZ;1961;p99.99p100;;127270272.0;;0.0148850875;0.0148850875
;TZ;1961;p99.95p99.99;;78503168.0;;0.0266064666;0.0266064666
;TZ;1961;p99.9p99.95;;60716852.0;;0.0241076984;0.0241076984
;TZ;1961;p99.9p99.99;;60716852.0;;0.050714165;0.050714165
;TZ;1961;p99.75p100;;;;0.1144216806;0.1144216806
;TZ;1961;p99.95p100;;78503168.0;;0.0414915532;0.0414915532
;TZ;1961;p99.995p100;;;;0.0098908003;0.0098908003
;TZ;1960;p0p100;1419679.0;;4.80501930394e+12;;
;TZ;1960;p99.9p100;;59113900.0;;0.0653587282;0.0653587282
;TZ;1960;p99.99p100;;132060904.0;;0.0156254675;0.0156254675
;TZ;1960;p99.95p99.99;;76435824.0;;0.0262406226;0.0262406226
