Variable Name;.;.;.;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Average | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | individuals | Share | Adults | share of total (ratio)
;AR;2004;p99.99p100;34646628.0;;51279420.0;;0.0249000005;;;0.0249000005
;AR;2004;p99.5p99.9;2237091.75;;3311051.5;;0.0643000007;;;0.0643000007
;AR;2004;p99.9p99.99;7004927.0;;10367779.0;;0.0452999994;;;0.0452999994
;AR;2004;p99p99.5;918497.6875;;1359440.375;;0.0329999998;;;0.0329999998
;AR;2004;p99.5p100;3743573.75;;5540749.5;;0.1344999969;;;0.1344999969
;AR;2003;p0p100;136349.21875;136349.21875;190837.796875;190837.796875;;3.45699804774e+12;4.83850138419e+12;
;AR;2003;p99p100;2297486.5;;3215620.0;;0.1685000062;;;0.1685000062
;AR;2003;p99.9p100;10089972.0;;14122179.0;;0.074000001;;;0.074000001
;AR;2003;p99.99p100;38035120.0;;53234912.0;;0.0278999992;;;0.0278999992
;AR;2003;p99.5p99.9;2048642.875;;2867332.25;;0.0601000004;;;0.0601000004
;AR;2003;p99.9p99.99;6984338.5;;9775456.0;;0.0461000018;;;0.0461000018
;AR;2003;p99p99.5;938083.5;;1312965.375;;0.0344000012;;;0.0344000012
;AR;2003;p99.5p100;3656889.5;;5118274.5;;0.134100005;;;0.134100005
;AR;2002;p0p100;124566.5625;124566.5625;173787.0;173787.0;;3.09373488333e+12;4.31617369702e+12;
;AR;2002;p99p100;1934520.5;;2698914.75;;0.1553000063;;;0.1553000063
;AR;2002;p99.9p100;8620117.0;;12026215.0;;0.0692000017;;;0.0692000017
;AR;2002;p99.99p100;33627392.0;;46914704.0;;0.0270000007;;;0.0270000007
