Variable Name;.;.;.;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Beta coefficient | Adults | constant 2015 local currency;Fiscal income  | tax unit | Share | Adults | share of total (ratio);Pre-tax national income  | tax unit | Share | Adults | share of total (ratio);Fiscal income  | tax unit | Threshold | Adults | constant 2015 local currency
Variable Category;.;.;.;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality
Variable Description;.;.;.;Average Fiscal income within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;The beta coefficient corresponds to the inverted Pareto-Lorenz coefficient. It is equal to mean income over percentile <percentile>. A coefficient b=2=200% for an income level 100 000 EUR means that the average income above 100 000 EUR is 200 000 EUR, a coefficient of 3 or 300% at income level 1 000 000 EUR means that the average income level above 1 000 000 EUR in a given population is 3 000 000 EUR.;Fiscal income share held by a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Fiscal income threshold value at a given percentile.  Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.
Variable Decomposition;.;.;.;[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ]
Variable Unit;.;.;.;"EUR; Euro | local currency | market";;share;share;"EUR; Euro | local currency | market"
Methodological Notes;.;.;.;"Tax units are single individuals aged 20+ plus one half of married individuals.  Series have the following breaks in coverage: from 1891, Prussia; from 1925, the Republic of Weimar; from 1935, Saarland is included; from 1950, the Federal Republic of Germany; from 1960, West Berlin and Saarland are included; from 1991, reunification. Excludes capital gains.";"Tax units are single individuals aged 20+ plus one half of married individuals.  Series have the following breaks in coverage: from 1891, Prussia; from 1925, the Republic of Weimar; from 1935, Saarland is included; from 1950, the Federal Republic of Germany; from 1960, West Berlin and Saarland are included; from 1991, reunification. Excludes capital gains.";"Tax units are single individuals aged 20+ plus one half of married individuals.  Series have the following breaks in coverage: from 1891, Prussia; from 1925, the Republic of Weimar; from 1935, Saarland is included; from 1950, the Federal Republic of Germany; from 1960, West Berlin and Saarland are included; from 1991, reunification. Excludes capital gains.";WID.world computations using wid.world/gpinter.;"Tax units are single individuals aged 20+ plus one half of married individuals.  Series have the following breaks in coverage: from 1891, Prussia; from 1925, the Republic of Weimar; from 1935, Saarland is included; from 1950, the Federal Republic of Germany; from 1960, West Berlin and Saarland are included; from 1991, reunification. Excludes capital gains."
Sources;.;.;.;http://wid.world/document/top-incomes-germany-1871-2013-wid-world-working-paper-2017-18/ (Bartels, C. “Top incomes in Germany, 1871-2013,” WID.world Working Paper 2017/18);http://wid.world/document/top-incomes-germany-1871-2013-wid-world-working-paper-2017-18/ (Bartels, C. “Top incomes in Germany, 1871-2013,” WID.world Working Paper 2017/18);http://wid.world/document/top-incomes-germany-1871-2013-wid-world-working-paper-2017-18/ (Bartels, C. “Top incomes in Germany, 1871-2013,” WID.world Working Paper 2017/18);;http://wid.world/document/top-incomes-germany-1871-2013-wid-world-working-paper-2017-18/ (Bartels, C. “Top incomes in Germany, 1871-2013,” WID.world Working Paper 2017/18)
Variable Code;country;year;perc;afiinc992t;bfiinc992t;sfiinc992t;sptinc992t;tfiinc992t
;DE;2013;p0p100;30860.3833082;;;;
;DE;2013;p0p50;10332.765625;;0.167411499;0.167411499;
;DE;2013;p50p90;33110.5703125;;0.4291659927;0.4291659927;15202.2939453
;DE;2013;p99p100;408418.3125;2.1951431143;0.1323438931;0.1323438931;186055.4375
;DE;2013;p99.9p100;1649957.625;2.6983311007;0.0534652376;0.0534652376;611473.375
;DE;2013;p99.99p100;7028673.5;;0.0227757168;0.0227757168;
;DE;2013;p90p100;124497.742188;1.9572809784;0.4034225082;0.4034225082;63607.4960938
;DE;2013;p50p100;;;;;15202.2939453
;DE;2013;p95p100;174739.59375;2.1164483035;0.2831131363;0.2831131363;82562.65625
;DE;2013;p99.5p100;595663.0625;2.7250521583;0.0965093422;0.0965093422;218587.765625
;DE;2012;p0p100;30983.1087733;;;;
;DE;2012;p99p100;403516.75;2.2082485914;0.1302376556;0.1302376556;182731.578125
;DE;2012;p99.9p100;1636732.125;2.7456725409;0.0528265953;0.0528265953;596113.375
;DE;2012;p99.99p100;7075679.0;;0.0228372145;0.0228372145;
;DE;2012;p90p100;122220.28125;1.9695318102;0.3944739151;0.3944739151;62055.5
;DE;2012;p95p100;171921.359375;2.1281622491;0.2774436951;0.2774436951;80783.953125
;DE;2012;p99.5p100;589618.125;2.7350177826;0.0951515484;0.0951515484;215581.09375
;DE;2011;p0p100;30855.180746;;;;
;DE;2011;p99p100;404617.90625;2.4334632625;0.13113451;0.13113451;166272.453125
;DE;2011;p99.9p100;1653263.0;2.7368372479;0.0535813761;0.0535813761;604077.9375
;DE;2011;p99.99p100;7127819.5;;0.023100884;0.023100884;
;DE;2011;p90p100;121531.0625;1.9650024143;0.3938757324;0.3938757324;61847.7929688
