Variable Code;country;year;perc;npopul992t;npopul999i;ntaxre992t;inyixx999i;xlceup999i;xlceux999i;xlcusp999i;xlcusx999i;xlcyup999i;xlcyux999i
;US-MA;1978;p0p100;2624597.5;;2442305.0;0.33810094;;;1.0;1.0;0.9547064304;
;US-MA;1977;p0p100;2568195.0;;2358318.0;0.315928787;;;1.0;1.0;0.9135241508;
;US-MA;1976;p0p100;2514550.5;;2328108.0;0.2975162268;;;1.0;1.0;0.8714398146;
;US-MA;1975;p0p100;2463593.25;;2321090.0;0.2820289731;;;1.0;1.0;0.8604028821;
;US-MA;1974;p0p100;2412986.25;;2359827.0;0.2580621839;;;1.0;1.0;0.7967916131;
;US-MA;1973;p0p100;2365304.25;;2360618.0;0.2368501127;;;1.0;1.0;0.7372254133;
;US-MA;1972;p0p100;2317786.5;;2307811.0;0.2246379256;;;1.0;1.0;0.7126262784;
;US-MA;1971;p0p100;2268738.25;;2277152.0;0.2153150141;;;1.0;1.0;0.6847807765;
;US-MA;1970;p0p100;2216583.0;;2282629.0;0.2049063742;;;1.0;1.0;0.672759831;
;US-MA;1969;p0p100;2195207.5;;2333244.0;0.1946323365;;;1.0;1.0;0.6523371339;
;US-MA;1968;p0p100;2178042.5;;2261185.0;0.1855068803;;;1.0;1.0;0.6194906235;
;US-MA;1967;p0p100;2160468.25;;2189378.0;0.1779426634;;;1.0;1.0;0.6002780199;
;US-MA;1966;p0p100;2141018.75;;2148354.0;0.1729178131;;;1.0;1.0;0.5991725326;
;US-MA;1965;p0p100;2120255.25;;2114626.0;0.1681890637;;;1.0;1.0;0.5878564715;
;US-MA;1964;p0p100;2097615.25;;2052787.125;0.165165171;;;1.0;1.0;0.6169885993;
;US-MA;1963;p0p100;2072259.25;;2040914.0;0.1626706868;;;1.0;1.0;0.6245597005;
;US-MA;1962;p0p100;2046105.5;;2029442.0;0.1608581692;;;1.0;1.0;0.5787657499;
;US-MA;1961;p0p100;2018218.125;;2013059.0;0.1589020491;;;1.0;1.0;0.5063357949;
;US-MA;1960;p0p100;1988242.25;;2004142.0;0.1571702808;;;1.0;1.0;0.6174277663;
;US-MA;1959;p0p100;1983386.75;;1984857.0;0.1550257355;;;1.0;;0.6377097964;
;US-MA;1958;p0p100;1976369.25;;1965671.0;0.152988866;;;1.0;;0.6633341312;
;US-MA;1957;p0p100;1968931.5;;1984951.0;0.149516359;;;1.0;;0.7038274407;
;US-MA;1956;p0p100;1958392.625;;1978612.0;0.1444735378;;;1.0;;0.6517068744;
;US-MA;1955;p0p100;1948109.625;;1967702.0;0.1396730095;;;1.0;;0.6540765762;
;US-MA;1954;p0p100;1937624.375;;1946708.0;0.1376989633;;;1.0;;0.653101325;
;US-MA;1953;p0p100;1926935.125;;2013856.0;0.136299178;;;1.0;;0.6625382304;
;US-MA;1952;p0p100;1917856.375;;2010392.0;0.1345584542;;;1.0;;0.7204616666;
;US-MA;1951;p0p100;1907357.875;;1965876.0;0.1316781193;;;1.0;;;
;US-MA;1950;p0p100;1896817.125;;1931414.0;0.1233422235;;;1.0;;;
;US-MA;1949;p0p100;1880074.75;;1902361.0;0.122229591;;;1.0;;;
;US-MA;1948;p0p100;1868979.0;;1947809.0;0.1222924143;;;1.0;;;
;US-MA;1947;p0p100;1857644.375;;2040169.0;0.115778029;;;1.0;;;
;US-MA;1946;p0p100;1842401.25;;1998784.0;0.1041131839;;;1.0;;;
;US-MA;1945;p0p100;1843039.5;;1858647.0;0.0924932137;;;1.0;;;
;US-MA;1944;p0p100;1842165.25;;1784053.0;0.0902230665;;;1.0;;;
;US-MA;1943;p0p100;1838990.125;;1718101.0;0.0881233886;;;1.0;;;
;US-MA;1942;p0p100;1832180.375;;1515933.0;0.0841214508;;;1.0;;;
;US-MA;1941;p0p100;1830494.875;;1175879.0;0.0776699111;;;1.0;;;
;US-MA;1940;p0p100;1830705.875;;668373.0;0.0728873089;;;1.0;;;
;US-MA;1939;p0p100;1811892.875;;376285.0;0.0722233132;;;1.0;;;
;US-MA;1938;p0p100;1795785.375;;302493.0;0.0731385574;;;1.0;;;
;US-MA;1937;p0p100;1780530.875;;318041.0;0.0745024458;;;1.0;;;
;US-MA;1936;p0p100;1768523.75;;288076.0;0.0718643889;;;1.0;;;
;US-MA;1935;p0p100;1756168.875;;262410.0;0.0710029826;;;1.0;;;
;US-MA;1934;p0p100;1742881.5;;248216.0;0.0696032047;;;1.0;;;
;US-MA;1933;p0p100;1730796.125;;240713.0;0.0663639754;;;1.0;;;
;US-MA;1932;p0p100;1719567.125;;259002.015625;0.0681944638;;;1.0;;;
;US-MA;1931;p0p100;1707548.625;;202018.0;0.076970011;;;1.0;;;
;US-MA;1930;p0p100;1693369.25;;208891.0;0.0854135603;;;1.0;;;
;US-MA;1929;p0p100;1680185.5;;217453.0;0.0888322517;;;1.0;;;
;US-MA;1928;p0p100;1667444.125;;215559.0;0.0885895565;;;1.0;;;
;US-MA;1927;p0p100;1651443.5;;214356.0;0.089317672;;;1.0;;;
;US-MA;1926;p0p100;1632891.375;;224042.0;0.0908953026;;;1.0;;;
;US-MA;1925;p0p100;1615041.375;;221530.0;0.0904098675;;;1.0;;;
;US-MA;1924;p0p100;1594806.5;;378049.0;0.0888322517;;;1.0;;;
;US-MA;1923;p0p100;1568118.125;;415100.0;0.0887715742;;;1.0;;;
;US-MA;1922;p0p100;1544855.625;;397241.0;0.0862837657;;;1.0;;;
;US-MA;1921;p0p100;1526782.375;;388442.0;0.0928369835;;;1.0;;;
