Variable Decomposition;.;.;.;[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ]
Variable Unit;.;.;.;"MYR; Malaysian ringgit | local currency | market";"MYR; Malaysian ringgit | local currency | market";"MYR; Malaysian ringgit | local currency | market";"MYR; Malaysian ringgit | local currency | market";;;"MYR; Malaysian ringgit | local currency | market";"MYR; Malaysian ringgit | local currency | market";"MYR; Malaysian ringgit | local currency | market";share;share;"MYR; Malaysian ringgit | local currency | market"
Methodological Notes;.;.;.;"Individuals aged 15+. Up to 1988, Peninsular Malaysia; from 1989, Malaysia. Excludes capital gains.";"Individuals aged 15+. Up to 1988, Peninsular Malaysia; from 1989, Malaysia. Excludes capital gains.";Fiscal income rescaled to match the macroeconomic aggregates.;Fiscal income rescaled to match the macroeconomic aggregates.;"Individuals aged 15+. Up to 1988, Peninsular Malaysia; from 1989, Malaysia. Excludes capital gains.";Fiscal income rescaled to match the macroeconomic aggregates.;Fiscal income rescaled to match the macroeconomic aggregates.;"Individuals aged 15+. Up to 1988, Peninsular Malaysia; from 1989, Malaysia. Excludes capital gains.";Fiscal income rescaled to match the macroeconomic aggregates.;"Individuals aged 15+. Up to 1988, Peninsular Malaysia; from 1989, Malaysia. Excludes capital gains.";Fiscal income rescaled to match the macroeconomic aggregates.;"Individuals aged 15+. Up to 1988, Peninsular Malaysia; from 1989, Malaysia. Excludes capital gains."
Sources;.;.;.;"Atkinson, Anthony B. (2015). Top incomes in Malaysia; 1947 to the present_x000D_(with a note on the Straits Settlements 1916 to 1921). WTID Methodological note._x000D_";"Atkinson, Anthony B. (2015). Top incomes in Malaysia; 1947 to the present_x000D_(with a note on the Straits Settlements 1916 to 1921). WTID Methodological note._x000D_";WID.world computations using fiscal and net national income.;WID.world computations using fiscal and net national income.;"Atkinson, Anthony B. (2015). Top incomes in Malaysia; 1947 to the present_x000D_(with a note on the Straits Settlements 1916 to 1921). WTID Methodological note._x000D_";WID.world computations using fiscal and net national income.;WID.world computations using fiscal and net national income.;"Atkinson, Anthony B. (2015). Top incomes in Malaysia; 1947 to the present_x000D_(with a note on the Straits Settlements 1916 to 1921). WTID Methodological note._x000D_";WID.world computations using fiscal and net national income.;"Atkinson, Anthony B. (2015). Top incomes in Malaysia; 1947 to the present_x000D_(with a note on the Straits Settlements 1916 to 1921). WTID Methodological note._x000D_";WID.world computations using fiscal and net national income.;"Atkinson, Anthony B. (2015). Top incomes in Malaysia; 1947 to the present_x000D_(with a note on the Straits Settlements 1916 to 1921). WTID Methodological note._x000D_"
Variable Code;country;year;perc;afiinc992i;afiinc992t;aptinc992i;aptinc992t;bfiinc992i;bptinc992i;tptinc992i;mfiinc999i;mptinc999i;sfiinc992i;sptinc992i;tfiinc992i
;MY;2012;p90p95;37958.0390625;;44473.3046875;;;;48506.3007812;;;0.0474285185;0.0474285185;41400.2070312
;MY;2012;p95p99;84692.328125;;99229.2578125;;;;75893.28125;;;0.0846583918;0.0846583918;64775.0390625
;MY;2012;p95p100;140665.75;;164810.171875;;2.1716041565;2.1716041565;75893.28125;;;0.1757616699;0.1757616699;64775.0390625
;MY;2011;p0p100;39477.3007812;39477.3007812;47021.0585938;47021.0585938;;;;5.94004017152e+11;7.07512827904e+11;;;
;MY;2011;p99p100;353263.59375;;420769.0625;;2.2315313816;2.2315313816;188556.203125;;;0.0894851536;0.0894851536;158305.453125
;MY;2011;p90p100;83994.8984375;;100045.570312;;2.2123327255;2.2123327255;45221.7539062;;;0.2127676308;0.2127676308;37966.6679688
;MY;2011;p90p95;35236.0625;;41969.3554688;;;;45221.7539062;;;0.0446282662;0.0446282662;37966.6679688
;MY;2011;p95p99;77626.3671875;;92460.0625;;;;71785.7265625;;;0.0786542147;0.0786542147;60268.8867188
;MY;2011;p95p100;132753.734375;;158121.78125;;2.2026910782;2.2026910782;71785.7265625;;;0.1681393683;0.1681393683;60268.8867188
;MY;2010;p0p100;37500.4257812;37500.4257812;44296.5;44296.5;;;;5.45209483264e+11;6.44015915008e+11;;;
;MY;2010;p99p100;353451.90625;;417506.78125;;2.351508379;2.351508379;177548.5;;;0.0942526832;0.0942526832;150308.59375
;MY;2010;p90p100;92378.6015625;;109120.054688;;2.5143678188;2.5143680573;43398.6015625;;;0.2463401854;0.2463401854;36740.2890625
;MY;2010;p90p95;45810.5117188;;54112.59375;;;;43398.6015625;;;0.0610800013;0.0610800013;36740.2890625
;MY;2010;p95p99;85320.4609375;;100782.796875;;;;68395.6484375;;;0.0910075083;0.0910075083;57902.2304688
;MY;2010;p99p99.5;181424.6875;;214303.640625;;;;177548.5;;;0.0241896585;0.0241896585;150308.59375
;MY;2010;p95p100;138946.6875;;164127.515625;;2.3996777534;2.3996777534;68395.6484375;;;0.1852601916;0.1852601916;57902.2304688
;MY;2010;p99.5p100;525479.125;;620709.9375;;2.3195099831;2.3195099831;267603.90625;;;0.0700630248;0.0700630248;226547.484375
;MY;2009;p0p100;35037.4140625;35037.4140625;40326.8203125;40326.8203125;;;;5.00547649536e+11;5.7611255808e+11;;;
;MY;2009;p99p100;329807.6875;;379596.90625;;2.3184404373;2.3184401989;163729.4375;;;0.0941300467;0.0941300467;142254.109375
;MY;2009;p90p100;87273.3359375;;100448.507812;;2.5063729286;2.5063729286;40077.2382812;;;0.2490861565;0.2490861565;34820.5703125
;MY;2009;p90p95;43635.6796875;;50223.1171875;;;;40077.2382812;;;0.062270131;0.062270131;34820.5703125
;MY;2009;p95p99;81186.8984375;;93443.2265625;;;;63478.7695312;;;0.0926859826;0.0926859826;55152.6757812
;MY;2009;p99p99.5;172239.578125;;198241.640625;;;;163729.4375;;;0.0245793536;0.0245793536;142254.109375
;MY;2009;p95p100;130910.992188;;150673.890625;;2.3736109734;2.3736109734;63478.7695312;;;0.1868160367;0.1868160367;55152.6757812
;MY;2009;p99.5p100;487375.78125;;560952.1875;;2.2550189495;2.2550189495;248757.1875;;;0.069550693;0.069550693;216129.34375
;MY;2008;p0p100;39724.3789062;39724.3789062;46610.9296875;46610.9296875;;;;5.56027674624e+11;6.52419661824e+11;;;
;MY;2007;p0p100;36690.5;36690.5;42862.1289062;42862.1289062;;;;5.02929752064e+11;5.87526438912e+11;;;
;MY;2006;p0p100;34266.7226562;34266.7226562;40124.421875;40124.421875;;;;4.59844616192e+11;5.3845245952e+11;;;
;MY;2005;p0p100;32449.3867188;32449.3867188;38177.6601562;38177.6601562;;;;4.261142528e+11;5.0133598208e+11;;;
;MY;2005;p99p100;306807.5;;360968.09375;;2.4362080097;2.4362080097;148168.0;;;0.0945494622;0.0945494622;125936.492188
;MY;2005;p90p100;80261.78125;;94430.3515625;;2.3911504745;2.391150713;39491.59375;;;0.2473445684;0.2473445684;33566.1757812
;MY;2005;p90p95;40485.2734375;;47632.1210938;;;;39491.59375;;;0.0623822026;0.0623822026;33566.1757812
;MY;2005;p95p99;73346.046875;;86293.7890625;;;;58469.5234375;;;0.0904129073;0.0904129073;49696.6054688
;MY;2005;p99p99.5;149932.84375;;176400.421875;;;;148168.0;;;0.023102548;0.023102548;125936.492188
;MY;2005;p95p100;120038.28125;;141228.578125;;2.4154222012;2.4154222012;58469.5234375;;;0.184962377;0.184962377;49696.6054688
;MY;2005;p99.5p100;463682.15625;;545535.75;;2.5029637814;2.5029635429;217955.921875;;;0.071446918;0.071446918;185253.25
;MY;2004;p0p100;31246.7460938;31246.7460938;34896.4140625;34896.4140625;;;;3.96764807168e+11;4.43107540992e+11;;;
;MY;2003;p0p100;29014.8203125;29014.8203125;32168.5625;32168.5625;;;;3.55882172416e+11;3.94564534272e+11;;;
;MY;2003;p99p100;275113.3125;;305016.53125;;2.1670703888;2.1670706272;140750.625;;;0.0948181078;0.0948181078;126951.710938
;MY;2003;p90p100;78835.796875;;87404.7890625;;2.2093844414;2.2093844414;39560.6953125;;;0.2717087865;0.2717087865;35682.2421875
;MY;2003;p90p95;42615.8984375;;47248.0;;;;39560.6953125;;;0.073438175;0.073438175;35682.2421875
;MY;2003;p95p99;75041.34375;;83197.90625;;;;57334.5898438;;;0.1034524888;0.1034524888;51713.6171875
;MY;2003;p99p99.5;150465.890625;;166820.65625;;;;140750.625;;;0.0259291194;0.0259291194;126951.710938
;MY;2003;p95p100;115055.6875;;127561.578125;;2.2248625755;2.2248623371;57334.5898438;;;0.198270604;0.198270604;51713.6171875
;MY;2003;p99.5p100;399760.71875;;443212.40625;;2.1751596928;2.1751596928;203760.84375;;;0.0688889921;0.0688889921;183784.53125
;MY;2003;p99.75p100;579304.1875;;642271.1875;;;;;;;0.0499144569;0.0499144569;
;MY;2002;p0p100;27634.234375;27634.234375;30414.9589844;30414.9589844;;;;3.27028015104e+11;3.59935541248e+11;;;
;MY;2002;p99p100;246841.703125;;271680.40625;;2.3433272839;2.3433272839;115937.890625;;;0.089324519;0.089324519;105338.132812
;MY;2002;p90p100;68229.4453125;;75095.109375;;2.1777703762;2.1777703762;34482.5664062;;;0.2469019443;0.2469019443;31329.9570312
;MY;2002;p90p95;36411.4648438;;40075.40625;;;;34482.5664062;;;0.0658810958;0.0658810958;31329.9570312
;MY;2002;p95p99;63348.9179688;;69723.46875;;;;48248.359375;;;0.0916963369;0.0916963369;43837.1953125
;MY;2002;p99p99.5;125206.890625;;137805.96875;;;;115937.890625;;;0.0226542857;0.0226542857;105338.132812
;MY;2002;p95p100;100047.4375;;110114.8125;;2.2822499275;2.2822499275;48248.359375;;;0.1810208559;0.1810208559;43837.1953125
;MY;2002;p99.5p100;368476.53125;;405554.875;;2.4184024334;2.4184024334;167695.359375;;;0.0666702315;0.0666702315;152363.609375
;MY;2002;p99.75p100;554266.5;;610040.1875;;;;;;;0.0501430519;0.0501430519;
;MY;2001;p0p100;26600.2207031;26600.2207031;28949.6679688;28949.6679688;;;;3.03415263232e+11;3.30214244352e+11;;;
;MY;2001;p99p100;211669.296875;;230364.859375;;2.0667309761;2.0667309761;111463.398438;;;0.0795741901;0.0795741901;102417.4375
;MY;2001;p90p100;62292.5117188;;67794.4609375;;2.1687204838;2.1687204838;31260.1171875;;;0.2341804802;0.2341804802;28723.1621094
;MY;2001;p90p95;33737.2421875;;36717.0625;;;;31260.1171875;;;0.063415356;0.063415356;28723.1621094
;MY;2001;p95p99;60642.4453125;;65998.65625;;;;45694.8984375;;;0.0911909416;0.0911909416;41986.4726562
;MY;2001;p99p99.5;121768.398438;;132523.515625;;;;111463.398438;;;0.0228885841;0.0228885841;102417.4375
;MY;2001;p95p100;90847.78125;;98871.8515625;;2.1637392044;2.1637394428;45694.8984375;;;0.1707651317;0.1707651317;41986.4726562
;MY;2001;p99.5p100;301570.21875;;328206.1875;;2.0218837261;2.0218834877;162326.953125;;;0.0566856042;0.0566856042;149153.09375
;MY;2001;p99.75p100;426775.40625;;464470.09375;;;;;;;0.0401101001;0.0401101001;
;MY;2000;p0p100;28412.7714844;28412.7714844;30589.1171875;30589.1171875;;;;3.0877515776e+11;3.32426543104e+11;;;
;MY;2000;p99p100;232552.3125;;250365.21875;;2.2456445694;2.2456445694;111489.25;;;0.0818477347;0.0818477347;103557.046875
;MY;2000;p90p100;64000.8515625;;68903.1484375;;2.2934205532;2.2934207916;30043.8339844;;;0.2252538651;0.2252538651;27906.2851562
;MY;2000;p90p95;33062.0546875;;35594.5234375;;;;30043.8339844;;;0.0581816919;0.0581816919;27906.2851562
;MY;2000;p95p99;60536.53125;;65173.4726562;;;;45220.8007812;;;0.0852244347;0.0852244347;42003.4453125
;MY;2000;p99p99.5;124649.835938;;134197.6875;;;;111489.25;;;0.0219355077;0.0219355077;103557.046875
;MY;2000;p95p100;94939.6484375;;102211.78125;;2.2602822781;2.2602822781;45220.8007812;;;0.167072162;0.167072162;42003.4453125
;MY;2000;p99.5p100;340454.78125;;366532.75;;2.2045414448;2.2045414448;166262.578125;;;0.0599122234;0.0599122234;154433.375
;MY;2000;p99.75p100;495637.875;;533602.5;;;;;;;0.0436104424;0.0436104424;
;MY;1999;p0p100;25439.6699219;25439.6699219;27032.9316406;27032.9316406;;;;2.68252545024e+11;2.85052960768e+11;;;
;MY;1998;p0p100;26145.4570312;26145.4570312;27955.4667969;27955.4667969;;;;2.67172184064e+11;2.85668114432e+11;;;
;MY;1997;p0p100;28085.4335938;28085.4335938;30361.1914062;30361.1914062;;;;2.78226108416e+11;3.00770721792e+11;;;
;MY;1996;p0p100;27156.0390625;27156.0390625;29303.7792969;29303.7792969;;;;2.60702158848e+11;2.81320783872e+11;;;
;MY;1995;p0p100;25458.4433594;25458.4433594;27614.6191406;27614.6191406;;;;2.36868255744e+11;2.56929562624e+11;;;
;MY;1995;p99p100;226162.015625;;245316.5625;;2.046138525;2.046138525;119892.453125;;;0.088835679;0.088835679;110531.140625
;MY;1995;p99.9p100;724077.8125;;785402.8125;;2.0140454769;2.0140454769;389962.8125;;;0.0284411926;0.0284411926;359514.15625
;MY;1995;p90p100;68610.84375;;74421.765625;;2.1286430359;2.1286430359;34962.0703125;;;0.2695013881;0.2695013881;32232.1992188
;MY;1995;p90p95;38358.2578125;;41606.9726562;;;;34962.0703125;;;0.075335063;0.075335063;32232.1992188
;MY;1995;p95p99;67038.828125;;72716.609375;;;;52629.0625;;;0.1053306609;0.1053306609;48519.734375
;MY;1995;p99.5p99.9;221446.890625;;240202.09375;;;;172043.46875;;;0.0347935408;0.0347935408;158610.15625
;MY;1995;p99p99.5;130352.15625;;141392.1875;;;;119892.453125;;;0.0256009437;0.0256009437;110531.140625
;MY;1995;p95p100;98863.4296875;;107236.5625;;2.0375921726;2.0375921726;52629.0625;;;0.1941663325;0.1941663325;48519.734375
;MY;1995;p99.5p100;321971.875;;349240.9375;;2.0299575329;2.0299575329;172043.46875;;;0.0632347316;0.0632347316;158610.15625
;MY;1995;p99.75p100;457176.09375;;495896.15625;;;;;;;0.0448943079;0.0448943079;
;MY;1994;p0p100;24088.9902344;24088.9902344;26042.2480469;26042.2480469;;;;2.1719130112e+11;2.34802266112e+11;;;
;MY;1994;p99p100;216181.875;;233711.0;;2.0825197697;2.0825197697;112225.109375;;;0.0897429362;0.0897429362;103807.84375
;MY;1994;p99.9p100;717441.25;;775615.0;;2.0889718533;2.0889716148;371290.34375;;;0.029782569;0.029782569;343442.28125
;MY;1994;p90p100;65100.3554688;;70379.0234375;;2.1356468201;2.1356468201;32954.4296875;;;0.270249486;0.270249486;30482.7363281
;MY;1994;p90p95;36442.296875;;39397.2226562;;;;32954.4296875;;;0.0756409988;0.0756409988;30482.7363281
;MY;1994;p95p99;63152.59375;;68273.328125;;;;48138.578125;;;0.1048655435;0.1048655435;44528.0195312
;MY;1994;p99.5p99.9;208222.453125;;225106.1875;;;;160866.296875;;;0.0345756076;0.0345756076;148800.765625
;MY;1994;p99p99.5;122298.765625;;132215.359375;;;;112225.109375;;;0.0253847595;0.0253847595;103807.84375
;MY;1994;p95p100;93758.4140625;;101360.820312;;2.105604887;2.105604887;48138.578125;;;0.1946084797;0.1946084797;44528.0195312
;MY;1994;p99.5p100;310065.0;;335206.65625;;2.0837595463;2.0837593079;160866.296875;;;0.0643581748;0.0643581748;148800.765625
;MY;1994;p99.75p100;444741.625;;480803.53125;;;;;;;0.0461560637;0.0461560637;
;MY;1993;p0p100;22854.3730469;22854.3730469;24827.9375;24827.9375;;;;1.99682015232e+11;2.16925339648e+11;;;
;MY;1993;p99p100;209998.28125;;228132.453125;;2.0890376568;2.0890376568;109204.570312;;;0.091885291;0.091885291;100523.9375
;MY;1993;p99.9p100;716165.6875;;778009.375;;2.2138383389;2.2138381004;351430.09375;;;0.0313356407;0.0313356407;323495.03125
;MY;1993;p90p100;63089.7773438;;68537.8203125;;2.1287798882;2.1287801266;32195.8222656;;;0.2760512829;0.2760512829;29636.5898438
;MY;1993;p90p95;34960.8710938;;37979.875;;;;32195.8222656;;;0.0764861852;0.0764861852;29636.5898438
;MY;1993;p95p99;61523.8242188;;66836.6484375;;;;47331.1953125;;;0.1076797917;0.1076797917;43568.8554688
;MY;1993;p99.5p99.9;199561.796875;;216794.734375;;;;155254.109375;;;0.0349276178;0.0349276178;142913.015625
;MY;1993;p99p99.5;117115.234375;;127228.585938;;;;109204.570312;;;0.0256220363;0.0256220363;100523.9375
;MY;1993;p95p100;91218.6796875;;99095.765625;;2.0936672688;2.0936672688;47331.1953125;;;0.1995650828;0.1995650828;43568.8554688
;MY;1993;p99.5p100;302881.34375;;329036.3125;;2.1193404198;2.1193404198;155254.109375;;;0.0662632585;0.0662632585;142913.015625
;MY;1993;p99.75p100;434928.53125;;472486.28125;;;;;;;0.0475760251;0.0475760251;
;MY;1992;p0p100;20533.3164062;20533.3164062;23219.8457031;23219.8457031;;;;1.81780774912e+11;2.05564526592e+11;;;
;MY;1991;p0p100;20894.7421875;20894.7421875;22726.9648438;22726.9648438;;;;1.71513511936e+11;1.86553237504e+11;;;
;MY;1990;p0p100;19888.7949219;19888.7949219;21758.8457031;21758.8457031;;;;1.58852939776e+11;1.73789134848e+11;;;
;MY;1989;p0p100;18309.234375;18309.234375;20121.9746094;20121.9746094;;;;1.4248493056e+11;1.56591915008e+11;;;
;MY;1988;p0p100;17120.4667969;17120.4667969;18784.3046875;18784.3046875;;;;1.07050606592e+11;1.17454225408e+11;;;
;MY;1988;p99p100;135298.875;;148447.78125;;1.7931106091;1.7931104898;82787.859375;;;0.0790274888;0.0790274888;75454.84375
;MY;1988;p99.9p100;362690.9375;;397938.71875;;1.6950782537;1.6950782537;234761.265625;;;0.0211843681;0.0211843681;213967.078125
;MY;1988;p90p100;45095.890625;;49478.4921875;;2.1322581768;2.1322579384;23204.7402344;;;0.2634034455;0.2634034455;21149.3574219
