Variable Code;country;year;perc;npopul992t;npopul999i;ntaxre992t;inyixx999i;xlceup999i;xlceux999i;xlcusp999i;xlcusx999i;xlcyup999i;xlcyux999i
;US-FL;1978;p0p100;3933835.0;;3668748.0;0.33810094;;;1.0;1.0;0.9547064304;
;US-FL;1977;p0p100;3780840.25;;3438134.0;0.315928787;;;1.0;1.0;0.9135241508;
;US-FL;1976;p0p100;3636031.75;;3327753.0;0.2975162268;;;1.0;1.0;0.8714398146;
;US-FL;1975;p0p100;3498994.5;;3180918.0;0.2820289731;;;1.0;1.0;0.8604028821;
;US-FL;1974;p0p100;3366169.75;;3190195.0;0.2580621839;;;1.0;1.0;0.7967916131;
;US-FL;1973;p0p100;3240970.75;;3100655.0;0.2368501127;;;1.0;1.0;0.7372254133;
;US-FL;1972;p0p100;3119381.25;;2845807.0;0.2246379256;;;1.0;1.0;0.7126262784;
;US-FL;1971;p0p100;2999068.0;;2542511.0;0.2153150141;;;1.0;1.0;0.6847807765;
;US-FL;1970;p0p100;2878013.75;;2443083.0;0.2049063742;;;1.0;1.0;0.672759831;
;US-FL;1969;p0p100;2779572.0;;2458112.0;0.1946323365;;;1.0;1.0;0.6523371339;
;US-FL;1968;p0p100;2689442.0;;2327030.0;0.1855068803;;;1.0;1.0;0.6194906235;
;US-FL;1967;p0p100;2601579.75;;2219933.0;0.1779426634;;;1.0;1.0;0.6002780199;
;US-FL;1966;p0p100;2514219.75;;1978223.0;0.1729178131;;;1.0;1.0;0.5991725326;
;US-FL;1965;p0p100;2428087.75;;1918677.0;0.1681890637;;;1.0;1.0;0.5878564715;
;US-FL;1964;p0p100;2342585.75;;1826217.0;0.165165171;;;1.0;1.0;0.6169885993;
;US-FL;1963;p0p100;2256873.5;;1737193.0;0.1626706868;;;1.0;1.0;0.6245597005;
;US-FL;1962;p0p100;2173124.5;;1685127.0;0.1608581692;;;1.0;1.0;0.5787657499;
;US-FL;1961;p0p100;2090346.0;;1603908.0;0.1589020491;;;1.0;1.0;0.5063357949;
;US-FL;1960;p0p100;2008227.125;;1565665.0;0.1571702808;;;1.0;1.0;0.6174277663;
;US-FL;1959;p0p100;1910776.5;;1509908.0;0.1550257355;;;1.0;;0.6377097964;
;US-FL;1958;p0p100;1816057.25;;1420349.0;0.152988866;;;1.0;;0.6633341312;
;US-FL;1957;p0p100;1725643.25;;1377490.0;0.149516359;;;1.0;;0.7038274407;
;US-FL;1956;p0p100;1637114.625;;1282833.0;0.1444735378;;;1.0;;0.6517068744;
;US-FL;1955;p0p100;1553286.875;;1182710.0;0.1396730095;;;1.0;;0.6540765762;
;US-FL;1954;p0p100;1473556.625;;1093433.0;0.1376989633;;;1.0;;0.653101325;
;US-FL;1953;p0p100;1397730.0;;1051866.0;0.136299178;;;1.0;;0.6625382304;
;US-FL;1952;p0p100;1326878.625;;979277.0;0.1345584542;;;1.0;;0.7204616666;
;US-FL;1951;p0p100;1258653.625;;904277.0;0.1316781193;;;1.0;;;
;US-FL;1950;p0p100;1193874.0;;822036.0;0.1233422235;;;1.0;;;
