Variable Name;.;.;.;Consumption of fixed capital of national economy | individuals | Average | All Ages | constant 2015 local currency;Gross domestic product | individuals | Average | All Ages | constant 2015 local currency;Net domestic product | individuals | Average | All Ages | constant 2015 local currency;National income | individuals | Average | All Ages | constant 2015 local currency;Population | individuals | Population | All Ages | population;Consumption of fixed capital of national economy | individuals | Total | All Ages | constant 2015 local currency;Gross domestic product | individuals | Total | All Ages | constant 2015 local currency;Net domestic product | individuals | Total | All Ages | constant 2015 local currency;National income | individuals | Total | All Ages | constant 2015 local currency;National income price index | individuals | Indices | All Ages | constant 2015 local currency;PPP conversion factor, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency
;KY;2014;p0p100;3237.39477539;51557.3867188;48319.9921875;48319.9921875;59172.0;191563120.0;3050753792.0;2859190528.0;2859190528.0;0.9754582047;1.2387324572;;0.9492130876;;0.2744551897;
;KY;2013;p0p100;3179.33496094;50943.453125;47764.1210938;47764.1210938;58371.0;185580960.0;2973620480.0;2788039424.0;2788039424.0;0.9592188597;1.2289983034;;0.9495269656;;0.2711332738;
;KY;2012;p0p100;3218.30859375;51041.5273438;47823.21875;47823.21875;57523.0;185126768.0;2936061696.0;2750935040.0;2750935040.0;0.9456169009;1.226459384;;0.951292634;;0.272456497;
;KY;2011;p0p100;3253.85888672;51262.6445312;48008.7851562;48008.7851562;56579.0;184100080.0;2900389120.0;2716289024.0;2716289024.0;0.9352742434;1.2286173105;;0.9587994218;;0.2735100687;
;KY;2010;p0p100;3402.9284668;51648.9101562;48245.9804688;48245.9804688;55507.0;188886352.0;2866875904.0;2677989632.0;2677989632.0;0.9230710864;1.2250784636;;0.9667519331;;0.2917313278;
;KY;2009;p0p100;3498.27954102;54291.8085938;50793.5273438;50793.5273438;54279.0;189883120.0;2946905088.0;2757021952.0;2757021952.0;0.9172530174;1.2253197432;;0.976038456;;0.3099285662;
;KY;2008;p0p100;3626.9699707;60000.0273438;56373.0546875;56373.0546875;52926.0;191961008.0;3175561472.0;2983600384.0;2983600384.0;0.9049229622;1.2205398083;;0.9740123153;;0.3013903499;
;KY;2007;p0p100;3767.64648438;61903.0;58135.3554688;58135.3554688;51483.0;193969744.0;3186952192.0;2992982528.0;2992982528.0;0.8936380744;1.2300845385;;0.9813010693;;0.3208602667;
;KY;2006;p0p100;3486.40014648;61746.7578125;58260.3554688;58260.3554688;50031.0;174428080.0;3089252096.0;2914823936.0;2914823936.0;0.8651023507;1.2201310396;;0.9760330915;0.8333299756;0.3339684308;
;KY;2005;p0p100;3590.41625977;60741.3554688;57150.9375;57150.9375;48622.0;174573216.0;2953366016.0;2778792960.0;2778792960.0;0.8582722545;1.2341787815;;0.9970499873;0.8333299756;0.342574209;
