Variable Name;.;.;.;Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio);Fiscal income  | equal-split adults | Share | Adults | share of total (ratio)
;SI;2009;p50p90;0.4361737967;0.4361737967
;SI;2009;p99p100;0.0687925145;0.0687925145
;SI;2009;p99.9p100;0.01468392;0.01468392
;SI;2009;p90p100;0.3020827174;0.3020827174
;SI;2009;p95p100;0.1949986815;0.1949986815
;SI;2009;p99.5p100;0.0433907472;0.0433907472
;SI;2008;p0p50;0.270593673;0.270593673
;SI;2008;p50p90;0.430899024;0.430899024
;SI;2008;p99p100;0.0717928931;0.0717928931
;SI;2008;p99.9p100;0.016956348;0.016956348
;SI;2008;p90p100;0.2985072732;0.2985072732
;SI;2008;p95p100;0.1955411583;0.1955411583
;SI;2008;p99.5p100;0.0462402888;0.0462402888
;SI;2007;p0p50;0.2697835863;0.2697835863
;SI;2007;p50p90;0.4315601289;0.4315601289
;SI;2007;p99p100;0.0708508268;0.0708508268
;SI;2007;p99.9p100;0.0157735497;0.0157735497
;SI;2007;p90p100;0.2986562848;0.2986562848
;SI;2007;p95p100;0.1949048489;0.1949048489
;SI;2007;p99.5p100;0.0451862738;0.0451862738
;SI;2006;p0p50;0.2562265098;0.2562265098
;SI;2006;p50p90;0.4404573143;0.4404573143
;SI;2006;p99p100;0.0720248073;0.0720248073
;SI;2006;p99.9p100;0.0165108088;0.0165108088
;SI;2006;p90p100;0.3033161759;0.3033161759
;SI;2006;p95p100;0.1979056299;0.1979056299
;SI;2006;p99.5p100;0.0463432036;0.0463432036
;SI;2005;p0p50;0.2449936271;0.2449936271
;SI;2005;p50p90;0.4474360943;0.4474360943
;SI;2005;p99p100;0.0733832121;0.0733832121
;SI;2005;p99.9p100;0.0164783243;0.0164783243
;SI;2005;p90p100;0.3075702786;0.3075702786
;SI;2005;p95p100;0.2016661912;0.2016661912
;SI;2005;p99.5p100;0.046890121;0.046890121
;SI;2004;p0p50;0.2366965264;0.2366965264
;SI;2004;p50p90;0.4559346437;0.4559346437
;SI;2004;p99p100;0.0742776841;0.0742776841
;SI;2004;p99.9p100;0.0172511972;0.0172511972
;SI;2004;p90p100;0.3073688447;0.3073688447
;SI;2004;p95p100;0.2017847896;0.2017847896
;SI;2004;p99.5p100;0.0477720536;0.0477720536
;SI;2003;p0p50;0.2353518009;0.2353518009
;SI;2003;p50p90;0.4586156905;0.4586156905
;SI;2003;p99p100;0.0728664622;0.0728664622
;SI;2003;p99.9p100;0.016757343;0.016757343
;SI;2003;p90p100;0.3060325086;0.3060325086
;SI;2003;p95p100;0.2003131956;0.2003131956
;SI;2003;p99.5p100;0.0467539504;0.0467539504
;SI;2002;p0p50;0.2428899556;0.2428899556
;SI;2002;p50p90;0.4544645548;0.4544645548
;SI;2002;p99p100;0.0711031258;0.0711031258
;SI;2002;p99.9p100;0.0148684727;0.0148684727
;SI;2002;p90p100;0.3026455045;0.3026455045
;SI;2002;p95p100;0.198013857;0.198013857
;SI;2002;p99.5p100;0.0446313396;0.0446313396
;SI;2001;p0p50;0.2551661134;0.2551661134
;SI;2001;p50p90;0.4497564435;0.4497564435
;SI;2001;p99p100;0.0688079596;0.0688079596
;SI;2001;p99.9p100;0.0145566678;0.0145566678
;SI;2001;p90p100;0.2950774431;0.2950774431
;SI;2001;p95p100;0.1926074773;0.1926074773
;SI;2001;p99.5p100;0.0429787077;0.0429787077
;SI;2000;p0p50;0.2460430115;0.2460430115
;SI;2000;p50p90;0.4537416995;0.4537416995
;SI;2000;p99p100;0.0742237046;0.0742237046
;SI;2000;p99.9p100;0.0158526059;0.0158526059
;SI;2000;p90p100;0.3002152741;0.3002152741
;SI;2000;p95p100;0.1980129182;0.1980129182
;SI;2000;p99.5p100;0.047295671;0.047295671
;SI;1999;p0p50;0.2389207631;0.2389207631
;SI;1999;p50p90;0.4584217966;0.4584217966
;SI;1999;p99p100;0.0724144503;0.0724144503
;SI;1999;p99.9p100;0.0146501623;0.0146501623
;SI;1999;p90p100;0.3026574552;0.3026574552
;SI;1999;p95p100;0.1996302903;0.1996302903
;SI;1999;p99.5p100;0.045154009;0.045154009
;SI;1998;p0p50;0.2420099527;0.2420099527
;SI;1998;p50p90;0.4612442255;0.4612442255
;SI;1998;p99p100;0.071796529;0.071796529
;SI;1998;p99.9p100;0.0159990825;0.0159990825
;SI;1998;p90p100;0.2967458367;0.2967458367
;SI;1998;p95p100;0.1947558522;0.1947558522
;SI;1998;p99.5p100;0.0457938388;0.0457938388
;SI;1997;p0p50;0.247080341;0.247080341
;SI;1997;p50p90;0.4584170878;0.4584170878
;SI;1997;p99p100;0.0684956461;0.0684956461
;SI;1997;p99.9p100;0.0134683289;0.0134683289
;SI;1997;p90p100;0.2945025563;0.2945025563
;SI;1997;p95p100;0.193013981;0.193013981
;SI;1997;p99.5p100;0.0423385054;0.0423385054
;SI;1996;p0p50;0.2328598201;0.2328598201
;SI;1996;p50p90;0.4682600796;0.4682600796
;SI;1996;p99p100;0.0682320967;0.0682320967
;SI;1996;p99.9p100;0.0129857184;0.0129857184
;SI;1996;p90p100;0.2988801003;0.2988801003
;SI;1996;p95p100;0.1949619353;0.1949619353
;SI;1996;p99.5p100;0.0421246924;0.0421246924
;SI;1995;p0p50;0.2409378886;0.2409378886
;SI;1995;p50p90;0.4693146646;0.4693146646
;SI;1995;p99p100;0.0649615377;0.0649615377
;SI;1995;p99.9p100;0.0118695255;0.0118695255
;SI;1995;p90p100;0.2897474468;0.2897474468
;SI;1995;p95p100;0.1875339001;0.1875339001
;SI;1995;p99.5p100;0.0393381715;0.0393381715
;SI;1994;p0p50;0.2935828269;0.2935828269
;SI;1994;p50p90;0.4374859631;0.4374859631
;SI;1994;p99p100;0.060719084;0.060719084
;SI;1994;p99.9p100;0.0120422272;0.0120422272
;SI;1994;p90p100;0.2689312398;0.2689312398
;SI;1994;p95p100;0.1737385243;0.1737385243
;SI;1994;p99.5p100;0.037693806;0.037693806
;SI;1993;p0p50;0.2526203096;0.2526203096
;SI;1993;p50p90;0.4702220261;0.4702220261
;SI;1993;p99p100;0.0591392592;0.0591392592
;SI;1993;p99.9p100;0.0115343872;0.0115343872
;SI;1993;p90p100;0.2771576941;0.2771576941
;SI;1993;p95p100;0.1750822216;0.1750822216
;SI;1993;p99.5p100;0.0363654569;0.0363654569
;SI;1992;p0p50;0.3183546364;0.3183546364
;SI;1992;p50p90;0.4383020997;0.4383020997
;SI;1992;p99p100;0.0508724935;0.0508724935
;SI;1992;p99.9p100;0.0099328849;0.0099328849
;SI;1992;p90p100;0.2433432341;0.2433432341
;SI;1992;p95p100;0.1526017785;0.1526017785
