Variable Code;country;year;perc;npopul992t;npopul999i;ntaxre992t;inyixx999i;xlceup999i;xlceux999i;xlcusp999i;xlcusx999i;xlcyup999i;xlcyux999i
;US-PA;1978;p0p100;5294980.0;;4739845.0;0.33810094;;;1.0;1.0;0.9547064304;
;US-PA;1977;p0p100;5208999.5;;4643941.0;0.315928787;;;1.0;1.0;0.9135241508;
;US-PA;1976;p0p100;5127569.0;;4627499.0;0.2975162268;;;1.0;1.0;0.8714398146;
;US-PA;1975;p0p100;5050622.0;;4573333.0;0.2820289731;;;1.0;1.0;0.8604028821;
;US-PA;1974;p0p100;4973424.0;;4634600.0;0.2580621839;;;1.0;1.0;0.7967916131;
;US-PA;1973;p0p100;4901312.5;;4548583.0;0.2368501127;;;1.0;1.0;0.7372254133;
;US-PA;1972;p0p100;4828626.0;;4462062.0;0.2246379256;;;1.0;1.0;0.7126262784;
;US-PA;1971;p0p100;4751812.0;;4349899.0;0.2153150141;;;1.0;1.0;0.6847807765;
;US-PA;1970;p0p100;4667492.0;;4424546.0;0.2049063742;;;1.0;1.0;0.672759831;
;US-PA;1969;p0p100;4639169.0;;4569714.0;0.1946323365;;;1.0;1.0;0.6523371339;
;US-PA;1968;p0p100;4619510.5;;4456643.0;0.1855068803;;;1.0;1.0;0.6194906235;
;US-PA;1967;p0p100;4598778.0;;4388799.0;0.1779426634;;;1.0;1.0;0.6002780199;
;US-PA;1966;p0p100;4573830.0;;4349440.0;0.1729178131;;;1.0;1.0;0.5991725326;
;US-PA;1965;p0p100;4545824.5;;4257086.0;0.1681890637;;;1.0;1.0;0.5878564715;
;US-PA;1964;p0p100;4513519.5;;4063371.0;0.165165171;;;1.0;1.0;0.6169885993;
;US-PA;1963;p0p100;4475057.0;;4043443.0;0.1626706868;;;1.0;1.0;0.6245597005;
;US-PA;1962;p0p100;4434529.0;;4021286.0;0.1608581692;;;1.0;1.0;0.5787657499;
;US-PA;1961;p0p100;4389879.0;;4015992.0;0.1589020491;;;1.0;1.0;0.5063357949;
;US-PA;1960;p0p100;4340289.5;;4080064.0;0.1571702808;;;1.0;1.0;0.6174277663;
;US-PA;1959;p0p100;4339716.5;;4053190.0;0.1550257355;;;1.0;;0.6377097964;
;US-PA;1958;p0p100;4334375.5;;4056485.0;0.152988866;;;1.0;;0.6633341312;
;US-PA;1957;p0p100;4328062.5;;4162856.0;0.149516359;;;1.0;;0.7038274407;
;US-PA;1956;p0p100;4314864.5;;4168160.25;0.1444735378;;;1.0;;0.6517068744;
;US-PA;1955;p0p100;4302147.5;;4134583.0;0.1396730095;;;1.0;;0.6540765762;
;US-PA;1954;p0p100;4288901.0;;4115703.0;0.1376989633;;;1.0;;0.653101325;
;US-PA;1953;p0p100;4275117.0;;4261351.0;0.136299178;;;1.0;;0.6625382304;
;US-PA;1952;p0p100;4264827.5;;4217689.0;0.1345584542;;;1.0;;0.7204616666;
;US-PA;1951;p0p100;4251303.5;;4180637.25;0.1316781193;;;1.0;;;
;US-PA;1950;p0p100;4237599.0;;4060469.0;0.1233422235;;;1.0;;;
;US-PA;1949;p0p100;4202176.5;;3974815.0;0.122229591;;;1.0;;;
;US-PA;1948;p0p100;4179345.25;;4073136.0;0.1222924143;;;1.0;;;
;US-PA;1947;p0p100;4155957.5;;4193136.25;0.115778029;;;1.0;;;
;US-PA;1946;p0p100;4123798.25;;4127644.0;0.1041131839;;;1.0;;;
;US-PA;1945;p0p100;4127172.0;;3872854.0;0.0924932137;;;1.0;;;
;US-PA;1944;p0p100;4127159.25;;3698731.0;0.0902230665;;;1.0;;;
;US-PA;1943;p0p100;4121987.75;;3299341.0;0.0881233886;;;1.0;;;
;US-PA;1942;p0p100;4108660.75;;3048757.0;0.0841214508;;;1.0;;;
;US-PA;1941;p0p100;4106816.0;;2225625.0;0.0776699111;;;1.0;;;
;US-PA;1940;p0p100;4109225.5;;1228183.0;0.0728873089;;;1.0;;;
;US-PA;1939;p0p100;4056861.5;;633694.0;0.0722233132;;;1.0;;;
;US-PA;1938;p0p100;4010776.0;;507568.0;0.0731385574;;;1.0;;;
;US-PA;1937;p0p100;3966795.0;;582112.0;0.0745024458;;;1.0;;;
;US-PA;1936;p0p100;3930225.25;;476337.0;0.0718643889;;;1.0;;;
;US-PA;1935;p0p100;3893041.75;;397386.0;0.0710029826;;;1.0;;;
;US-PA;1934;p0p100;3853957.5;;349437.0;0.0696032047;;;1.0;;;
;US-PA;1933;p0p100;3817695.5;;337791.0;0.0663639754;;;1.0;;;
;US-PA;1932;p0p100;3783474.0;;352467.0;0.0681944638;;;1.0;;;
;US-PA;1931;p0p100;3747666.75;;282793.0;0.076970011;;;1.0;;;
;US-PA;1930;p0p100;3707284.0;;333844.0;0.0854135603;;;1.0;;;
;US-PA;1929;p0p100;3679748.5;;371402.0;0.0888322517;;;1.0;;;
;US-PA;1928;p0p100;3653161.5;;361220.0;0.0885895565;;;1.0;;;
;US-PA;1927;p0p100;3619412.25;;381374.0;0.089317672;;;1.0;;;
;US-PA;1926;p0p100;3580044.0;;397575.0;0.0908953026;;;1.0;;;
;US-PA;1925;p0p100;3542186.75;;376923.0;0.0904098675;;;1.0;;;
;US-PA;1924;p0p100;3499068.75;;713427.0;0.0888322517;;;1.0;;;
;US-PA;1923;p0p100;3441755.25;;740478.0;0.0887715742;;;1.0;;;
;US-PA;1922;p0p100;3391922.0;;587770.0;0.0862837657;;;1.0;;;
;US-PA;1921;p0p100;3353449.75;;621103.0;0.0928369835;;;1.0;;;
