Variable Decomposition;.;.;.;[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ]
Variable Unit;.;.;.;"MUR; Mauritian rupee | local currency | market";"MUR; Mauritian rupee | local currency | market";"MUR; Mauritian rupee | local currency | market";"MUR; Mauritian rupee | local currency | market";;;"MUR; Mauritian rupee | local currency | market";"MUR; Mauritian rupee | local currency | market";"MUR; Mauritian rupee | local currency | market";share;share;"MUR; Mauritian rupee | local currency | market"
Methodological Notes;.;.;.;Adults are individuals aged 15+. Excludes capital gains. Individuals aged 15+ minus the number of married women and those not married but living together. Excludes capital gains.;Adults are individuals aged 15+. Excludes capital gains. Individuals aged 15+ minus the number of married women and those not married but living together. Excludes capital gains.;Fiscal income rescaled to match the macroeconomic aggregates.;Fiscal income rescaled to match the macroeconomic aggregates.;Adults are individuals aged 15+. Excludes capital gains. Individuals aged 15+ minus the number of married women and those not married but living together. Excludes capital gains.;Fiscal income rescaled to match the macroeconomic aggregates.;Fiscal income rescaled to match the macroeconomic aggregates.;Adults are individuals aged 15+. Excludes capital gains. Individuals aged 15+ minus the number of married women and those not married but living together. Excludes capital gains.;Fiscal income rescaled to match the macroeconomic aggregates.;Adults are individuals aged 15+. Excludes capital gains. Individuals aged 15+ minus the number of married women and those not married but living together. Excludes capital gains.;Fiscal income rescaled to match the macroeconomic aggregates.;Adults are individuals aged 15+. Excludes capital gains. Individuals aged 15+ minus the number of married women and those not married but living together. Excludes capital gains.
Sources;.;.;.;"Atkinson, Anthony B. (2011). Income Distribution and Taxation in Mauritius: A Seventy-five Year History of Top Incomes; mimeo. Series updated by the same author.";"Atkinson, Anthony B. (2011). Income Distribution and Taxation in Mauritius: A Seventy-five Year History of Top Incomes; mimeo. Series updated by the same author.";WID.world computations using fiscal and net national income.;WID.world computations using fiscal and net national income.;"Atkinson, Anthony B. (2011). Income Distribution and Taxation in Mauritius: A Seventy-five Year History of Top Incomes; mimeo. Series updated by the same author.";WID.world computations using fiscal and net national income.;WID.world computations using fiscal and net national income.;"Atkinson, Anthony B. (2011). Income Distribution and Taxation in Mauritius: A Seventy-five Year History of Top Incomes; mimeo. Series updated by the same author.";WID.world computations using fiscal and net national income.;"Atkinson, Anthony B. (2011). Income Distribution and Taxation in Mauritius: A Seventy-five Year History of Top Incomes; mimeo. Series updated by the same author.";WID.world computations using fiscal and net national income.;"Atkinson, Anthony B. (2011). Income Distribution and Taxation in Mauritius: A Seventy-five Year History of Top Incomes; mimeo. Series updated by the same author."
Variable Code;country;year;perc;afiinc992i;afiinc992t;aptinc992i;aptinc992t;bfiinc992t;bptinc992t;tptinc992t;mfiinc999i;mptinc999i;sfiinc992t;sptinc992t;tfiinc992t
;MU;2010;p95p100;;1303285.625;;1449670.25;;;;;;0.1406188011;0.1406188011;
;MU;2010;p99.5p100;;4724155.5;;5254771.0;;;;;;0.050971508;0.050971508;
;MU;2009;p0p100;318027.15625;453452.9375;373161.21875;532064.75;;;;3.07186270208e+11;3.60440922112e+11;;;
;MU;2008;p0p100;324046.53125;462035.59375;380294.9375;542236.3125;;;;3.11119970304e+11;3.65124583424e+11;;;
;MU;2008;p99p100;;3288229.25;;3859004.25;2.2501647472;2.2501647472;1714987.375;;;0.0711682439;0.0711682439;1461328.25
;MU;2008;p99.9p100;;10328693.0;;12121561.0;1.8927464485;1.8927464485;6404218.0;;;0.0223544687;0.0223544687;5456987.0
;MU;2008;p90p100;;882222.5;;1035359.8125;;;;;;0.1909425855;0.1909425855;
;MU;2008;p90p95;;438390.8125;;514487.28125;;;;;;0.0474412516;0.0474412516;
;MU;2008;p95p99;;835511.125;;980540.1875;;;;;;0.07233309;0.07233309;
;MU;2008;p99.5p99.9;;3387258.25;;3975222.75;;;2635296.5;;;0.0293247122;0.0293247122;2245516.75
;MU;2008;p99p99.5;;1800929.75;;2113537.5;;;1714987.375;;;0.0194890611;0.0194890611;1461328.25
;MU;2008;p95p100;;1326054.125;;1556232.25;;;;;;0.1435013264;0.1435013264;
;MU;2008;p99.5p100;;4775528.5;;5604471.0;2.1266946793;2.1266946793;2635296.5;;;0.0516791791;0.0516791791;2245516.75
;MU;2007;p0p100;330620.75;471409.375;371547.53125;529764.0625;;;;3.15404910592e+11;3.544481792e+11;;;
;MU;2007;p99p100;;3072653.25;;3453009.75;2.3597257137;2.3597257137;1463309.75;;;0.0651800856;0.0651800856;1302123.0
;MU;2007;p99.9p100;;10295544.0;;11570006.0;1.9397485256;1.9397485256;5964693.5;;;0.021839641;0.021839641;5307669.5
;MU;2007;p95p99;;732380.5;;823040.1875;;;;;;0.0621439405;0.0621439405;
;MU;2007;p99.5p99.9;;3132288.5;;3520027.25;;;2221242.25;;;0.0265781302;0.0265781302;1976567.625
;MU;2007;p99p99.5;;1580383.875;;1776015.875;;;1463309.75;;;0.0167623125;0.0167623125;1302123.0
;MU;2007;p95p100;;1200434.5;;1349033.5;;;;;;0.1273240298;0.1273240298;
;MU;2007;p99.5p100;;4564922.5;;5130003.5;2.3095200062;2.3095202446;2221242.25;;;0.0484177694;0.0484177694;1976567.625
;MU;2006;p0p100;318753.5625;454488.84375;350382.90625;499586.9375;;;;3.00837076992e+11;3.3068859392e+11;;;
;MU;2006;p99p100;;2708091.5;;2976810.5;2.1936850548;2.1936850548;1356990.875;;;0.0595853776;0.0595853776;1234494.25
;MU;2006;p99.9p100;;8729947.0;;9596204.0;1.8652143478;1.8652143478;5144826.5;;;0.0192080289;0.0192080289;4680399.0
;MU;2006;p95p99;;719331.5;;790709.4375;;;;;;0.0633090883;0.0633090883;
;MU;2006;p99.5p99.9;;2753418.25;;3026634.75;;;2016423.375;;;0.0242331456;0.0242331456;1834399.375
;MU;2006;p99.9p99.95;;5638411.0;;6197900.5;;;5144826.5;;;0.0062025748;0.0062025748;4680399.0
;MU;2006;p99p99.5;;1467473.5;;1613088.125;;;1356990.875;;;0.016144203;0.016144203;1234494.25
;MU;2006;p95p100;;1117083.0;;1227929.125;;;;;;0.1228944659;0.1228944659;
;MU;2006;p99.5p100;;3948709.75;;4340533.0;2.1525900364;2.1525900364;2016423.375;;;0.0434411764;0.0434411764;1834399.375
;MU;2006;p99.95p100;;11821115.0;;12994103.0;;;;;;0.0130054532;0.0130054532;
