Variable Name;.;.;.;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Share | Adults | share of total (ratio);Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | tax unit | Share | Adults | share of total (ratio)
Variable Category;.;.;.;Income inequality;Income inequality;Income inequality;Income inequality
Variable Description;.;.;.;Average Fiscal income within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Total Fiscal income  within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals of all ages.;Fiscal income share held by a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.
Variable Decomposition;.;.;.;[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ]
Variable Unit;.;.;.;"EUR; Euro | local currency | market";share;"EUR; Euro | local currency | market";share
Methodological Notes;.;.;.;Excludes capital gains.;Fiscal income rescaled to match the macroeconomic aggregates.;Excludes capital gains.;Excludes capital gains.
Sources;.;.;.;Nolan, Brian (2007). Long Term Trends in Top Income Shares in Ireland;WID.world computations using fiscal and net national income.;Nolan, Brian (2007). Long Term Trends in Top Income Shares in Ireland;Nolan, Brian (2007). Long Term Trends in Top Income Shares in Ireland
Variable Code;country;year;perc;afiinc992t;sptinc992t;mfiinc999i;sfiinc992t
;IE;2004;p90p100;117441.101562;0.3221450041;;0.3221450041
;IE;2004;p99p99.5;218703.6875;0.0299913622;;0.0299913622
;IE;2004;p99.5p100;519935.46875;0.0713403491;;0.0713403491
;IE;2003;p0p100;35474.6132812;;77447128730.2;
;IE;2003;p99p100;333461.6875;0.0939975367;;0.0939975367
;IE;2003;p99.9p100;1089084.75;0.0307472107;;0.0307472107
;IE;2003;p90p100;111248.367188;0.3135789251;;0.3135789251
;IE;2003;p99p99.5;208624.375;0.0294047128;;0.0294047128
;IE;2003;p99.5p100;476779.28125;0.0671515412;;0.0671515412
;IE;2002;p0p100;35451.6445312;;74558933113.4;
;IE;2002;p99p100;327573.53125;0.0924243144;;0.0924243144
;IE;2002;p99.9p100;1067108.25;0.0300568808;;0.0300568808
;IE;2002;p90p100;109758.273438;0.3096253357;;0.3096253357
;IE;2002;p99p99.5;203455.234375;0.0286947228;;0.0286947228
;IE;2002;p99.5p100;467253.15625;0.0658622519;;0.0658622519
;IE;2001;p0p100;36087.3710938;;71422499023.3;
;IE;2001;p99p100;337417.21875;0.0934544051;;0.0934544051
;IE;2001;p99.9p100;1089852.625;0.0301562976;;0.0301562976
;IE;2001;p90p100;114216.5;0.3164503599;;0.3164503599
;IE;2001;p99p99.5;202479.546875;0.0280540474;;0.0280540474
;IE;2001;p99.5p100;479962.46875;0.0665217753;;0.0665217753
;IE;2000;p0p100;33384.7695312;;68539050788.1;
;IE;2000;p99p100;322497.15625;0.0966046021;;0.0966046021
;IE;2000;p99.9p100;1078341.875;0.0322732024;;0.0322732024
;IE;2000;p90p100;105796.304688;0.3169270247;;0.3169270247
;IE;2000;p99p99.5;193787.671875;0.0290233381;;0.0290233381
;IE;2000;p99.5p100;463381.0;0.0694481453;;0.0694481453
;IE;1999;p0p100;;;65090073208.9;
;IE;1999;p99p100;;0.0892704038;;0.0892704038
;IE;1999;p99.9p100;;0.0293732265;;0.0293732265
;IE;1999;p90p100;;0.3048061117;;0.3048061117
;IE;1999;p99p99.5;;0.0284000002;;0.0284000002
;IE;1999;p99.5p100;;0.0638827362;;0.0638827362
;IE;1999;p99.95p100;;0.0802399963;;0.0802399963
;IE;1998;p0p100;;;61539962384.6;
;IE;1998;p99p100;;0.0877146075;;0.0877146075
;IE;1998;p99.9p100;;0.0288729778;;0.0288729778
;IE;1998;p90p100;;0.3020626574;;0.3020626574
;IE;1998;p99p99.5;;0.0292000007;;0.0292000007
;IE;1998;p99.5p100;;0.0627770299;;0.0627770299
;IE;1998;p99.95p100;;0.0821949989;;0.0821949989
;IE;1997;p0p100;;;60066811295.8;
;IE;1997;p99p100;;0.0765955425;;0.0765955425
;IE;1997;p99.9p100;;0.0232734932;;0.0232734932
