Variable Code;country;year;perc;npopul992t;npopul999i;ntaxre992t;inyixx999i;xlceup999i;xlceux999i;xlcusp999i;xlcusx999i;xlcyup999i;xlcyux999i
;US-ND;1978;p0p100;271092.375;;265969.0;0.33810094;;;1.0;1.0;0.9547064304;
;US-ND;1977;p0p100;265240.3125;;272066.0;0.315928787;;;1.0;1.0;0.9135241508;
;US-ND;1976;p0p100;259674.25;;259946.015625;0.2975162268;;;1.0;1.0;0.8714398146;
;US-ND;1975;p0p100;254386.765625;;243847.0;0.2820289731;;;1.0;1.0;0.8604028821;
;US-ND;1974;p0p100;249136.46875;;239524.0;0.2580621839;;;1.0;1.0;0.7967916131;
;US-ND;1973;p0p100;244189.171875;;226725.0;0.2368501127;;;1.0;1.0;0.7372254133;
;US-ND;1972;p0p100;239259.84375;;233690.0;0.2246379256;;;1.0;1.0;0.7126262784;
;US-ND;1971;p0p100;234173.484375;;212780.0;0.2153150141;;;1.0;1.0;0.6847807765;
;US-ND;1970;p0p100;228767.453125;;214946.0;0.2049063742;;;1.0;1.0;0.672759831;
;US-ND;1969;p0p100;228612.40625;;219437.0;0.1946323365;;;1.0;1.0;0.6523371339;
;US-ND;1968;p0p100;228878.265625;;218688.0;0.1855068803;;;1.0;1.0;0.6194906235;
;US-ND;1967;p0p100;229086.765625;;218879.0;0.1779426634;;;1.0;1.0;0.6002780199;
;US-ND;1966;p0p100;229079.671875;;221148.0;0.1729178131;;;1.0;1.0;0.5991725326;
;US-ND;1965;p0p100;228911.796875;;217642.0;0.1681890637;;;1.0;1.0;0.5878564715;
;US-ND;1964;p0p100;228517.671875;;214000.0;0.165165171;;;1.0;1.0;0.6169885993;
;US-ND;1963;p0p100;227799.109375;;211746.0;0.1626706868;;;1.0;1.0;0.6245597005;
;US-ND;1962;p0p100;226960.296875;;209068.0;0.1608581692;;;1.0;1.0;0.5787657499;
;US-ND;1961;p0p100;225893.59375;;205379.0;0.1589020491;;;1.0;1.0;0.5063357949;
;US-ND;1960;p0p100;224553.09375;;206555.0;0.1571702808;;;1.0;1.0;0.6174277663;
;US-ND;1959;p0p100;226143.609375;;206382.0;0.1550257355;;;1.0;;0.6377097964;
;US-ND;1958;p0p100;227495.15625;;206125.0;0.152988866;;;1.0;;0.6633341312;
;US-ND;1957;p0p100;228803.0625;;205814.0;0.149516359;;;1.0;;0.7038274407;
;US-ND;1956;p0p100;229751.390625;;206616.0;0.1444735378;;;1.0;;0.6517068744;
;US-ND;1955;p0p100;230727.28125;;206016.0;0.1396730095;;;1.0;;0.6540765762;
;US-ND;1954;p0p100;231676.671875;;200647.0;0.1376989633;;;1.0;;0.653101325;
;US-ND;1953;p0p100;232598.546875;;201670.0;0.136299178;;;1.0;;0.6625382304;
;US-ND;1952;p0p100;233713.125;;211000.0;0.1345584542;;;1.0;;0.7204616666;
;US-ND;1951;p0p100;234653.140625;;203780.0;0.1316781193;;;1.0;;;
;US-ND;1950;p0p100;235584.546875;;198629.0;0.1233422235;;;1.0;;;
;US-ND;1949;p0p100;235576.65625;;217305.0;0.122229591;;;1.0;;;
;US-ND;1948;p0p100;236263.90625;;198521.0;0.1222924143;;;1.0;;;
;US-ND;1947;p0p100;236914.34375;;201465.0;0.115778029;;;1.0;;;
;US-ND;1946;p0p100;237054.8125;;188034.0;0.1041131839;;;1.0;;;
;US-ND;1945;p0p100;239240.65625;;175955.0;0.0924932137;;;1.0;;;
;US-ND;1944;p0p100;241248.578125;;160511.0;0.0902230665;;;1.0;;;
;US-ND;1943;p0p100;242969.28125;;156798.0;0.0881233886;;;1.0;;;
;US-ND;1942;p0p100;244217.078125;;127094.0;0.0841214508;;;1.0;;;
;US-ND;1941;p0p100;246156.953125;;88634.0;0.0776699111;;;1.0;;;
;US-ND;1940;p0p100;248369.34375;;39963.0;0.0728873089;;;1.0;;;
;US-ND;1939;p0p100;246940.8125;;14207.0;0.0722233132;;;1.0;;;
;US-ND;1938;p0p100;245864.46875;;11810.0;0.0731385574;;;1.0;;;
;US-ND;1937;p0p100;244890.4375;;11777.0;0.0745024458;;;1.0;;;
;US-ND;1936;p0p100;244351.0625;;11185.0;0.0718643889;;;1.0;;;
;US-ND;1935;p0p100;243753.328125;;10569.0;0.0710029826;;;1.0;;;
;US-ND;1934;p0p100;243015.015625;;10129.0;0.0696032047;;;1.0;;;
;US-ND;1933;p0p100;242433.25;;8908.0;0.0663639754;;;1.0;;;
;US-ND;1932;p0p100;241961.546875;;9800.0;0.0681944638;;;1.0;;;
;US-ND;1931;p0p100;241368.859375;;7785.0;0.076970011;;;1.0;;;
;US-ND;1930;p0p100;240458.890625;;8753.0;0.0854135603;;;1.0;;;
;US-ND;1929;p0p100;240559.09375;;9579.0;0.0888322517;;;1.0;;;
;US-ND;1928;p0p100;240708.375;;9710.0;0.0885895565;;;1.0;;;
;US-ND;1927;p0p100;240369.328125;;9758.0;0.089317672;;;1.0;;;
;US-ND;1926;p0p100;239633.765625;;9881.0;0.0908953026;;;1.0;;;
;US-ND;1925;p0p100;238973.515625;;11715.0;0.0904098675;;;1.0;;;
;US-ND;1924;p0p100;237930.140625;;19160.0;0.0888322517;;;1.0;;;
;US-ND;1923;p0p100;235882.453125;;18054.0;0.0887715742;;;1.0;;;
;US-ND;1922;p0p100;234304.234375;;18750.0;0.0862837657;;;1.0;;;
;US-ND;1921;p0p100;233477.359375;;18440.0;0.0928369835;;;1.0;;;
