Variable Name;.;.;.;Fiscal income  | equal-split adults | Average | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Average | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Threshold | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Share | Adults | share of total (ratio);Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio);Fiscal income  | equal-split adults | Threshold | Adults | constant 2015 local currency
Variable Category;.;.;.;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality
Variable Description;.;.;.;Average Fiscal income within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Average Pre-tax national income within a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;The beta coefficient corresponds to the inverted Pareto-Lorenz coefficient. It is equal to mean income over a given percentile. A coefficient b=2=200% for an income level 100 000 EUR means that the average income above 100 000 EUR is 200 000 EUR, a coefficient of 3 or 300% at income level 1 000 000 EUR means that the average income level above 1 000 000 EUR in a given population is 3 000 000 EUR.;The beta coefficient corresponds to the inverted Pareto-Lorenz coefficient. It is equal to mean income over a given percentile. A coefficient b=2=200% for an income level 100 000 EUR means that the average income above 100 000 EUR is 200 000 EUR, a coefficient of 3 or 300% at income level 1 000 000 EUR means that the average income level above 1 000 000 EUR in a given population is 3 000 000 EUR.;Pre-tax national income threshold value at a given percentile.  Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Fiscal income share held by a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Fiscal income threshold value at a given percentile.  Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.
Variable Decomposition;.;.;.;[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ]
Variable Unit;.;.;.;"INR; Indian rupee | local currency | market";"INR; Indian rupee | local currency | market";;;"INR; Indian rupee | local currency | market";share;share;"INR; Indian rupee | local currency | market"
Methodological Notes;.;.;.;Tax units are individuals (40% of total population). Excludes capital gains.;;Tax units are individuals (40% of total population). Excludes capital gains.;;;Tax units are individuals (40% of total population). Excludes capital gains.;;Tax units are individuals (40% of total population). Excludes capital gains.
Sources;.;.;.;"http://wid.world/document/chancelpiketty2017widworld/ (Chancel, Lucas; Piketty, Thomas (2017).Indian Income inequality, 1922-2014: From British Raj to Billionaire Raj?)";"http://wid.world/document/chancelpiketty2017widworld/ (Chancel, Lucas; Piketty, Thomas (2017).Indian Income inequality, 1922-2014: From British Raj to Billionaire Raj?)";"http://wid.world/document/chancelpiketty2017widworld/ (Chancel, Lucas; Piketty, Thomas (2017).Indian Income inequality, 1922-2014: From British Raj to Billionaire Raj?)";"http://wid.world/document/chancelpiketty2017widworld/ (Chancel, Lucas; Piketty, Thomas (2017).Indian Income inequality, 1922-2014: From British Raj to Billionaire Raj?)";"http://wid.world/document/chancelpiketty2017widworld/ (Chancel, Lucas; Piketty, Thomas (2017).Indian Income inequality, 1922-2014: From British Raj to Billionaire Raj?)";"http://wid.world/document/chancelpiketty2017widworld/ (Chancel, Lucas; Piketty, Thomas (2017).Indian Income inequality, 1922-2014: From British Raj to Billionaire Raj?)";"http://wid.world/document/chancelpiketty2017widworld/ (Chancel, Lucas; Piketty, Thomas (2017).Indian Income inequality, 1922-2014: From British Raj to Billionaire Raj?)";"http://wid.world/document/chancelpiketty2017widworld/ (Chancel, Lucas; Piketty, Thomas (2017).Indian Income inequality, 1922-2014: From British Raj to Billionaire Raj?)"
Variable Code;country;year;perc;afiinc992j;aptinc992j;bfiinc992j;bptinc992j;tptinc992j;sfiinc992j;sptinc992j;tfiinc992j
;IN;2013;p0p100;96257.8172811;139758.528611;6.64014141669e+16;6.64014141669e+16;2.10475235331e-12;1.0;1.0;1.44963500839e-12
;IN;2013;p0p50;28696.3481637;41664.7656176;;;2.10475235331e-12;0.1490598321;0.1490598321;1.44963500839e-12
;IN;2013;p50p90;71321.0925867;103552.430758;;;65284.359375;0.2963752747;0.2963752747;44964.1953125
;IN;2013;p90p99;360871.337033;523955.856329;;;199032.234375;0.3374109864;0.3374109864;137082.203125
;IN;2013;p99p100;2090275.82161;3034910.63346;2.3397321701;2.3397321701;1297118.875;0.217153877;0.217153877;893382.5625
;IN;2013;p99.9p100;8290221.13462;12036727.4094;2.6449368;2.6449368;4550856.5;0.0861251727;0.0861251727;3134374.0
;IN;2013;p99.99p100;36921640.4297;53607221.586;2.97477650642;2.97477650642;18020588.0;0.0383570306;0.0383570306;12411568.0
;IN;2013;p99.999p100;180010884.825;261361176.762;3.51974725723;3.51974725723;74255664.0;0.0187009107;0.0187009107;51143128.0
;IN;2013;p0p10;14343.5898889;20825.7269331;;;2.10475235331e-12;0.0149012208;0.0149012208;1.44963500839e-12
;IN;2013;p10p20;23300.8964478;33831.0081701;;;29054.3554688;0.0242067575;0.0242067575;20011.0078125
;IN;2013;p20p30;29355.7031412;42622.0954646;;;38535.3671875;0.0304969549;0.0304969549;26540.9941406
;IN;2013;p30p40;35075.3301668;50926.5291187;;;46864.40625;0.036438942;0.036438942;32277.5683594
;IN;2013;p40p50;41406.221174;60118.4684018;;;55281.4726562;0.0430159569;0.0430159569;38074.7695312
;IN;2013;p50p60;49040.7097903;71203.1254806;;;65284.359375;0.0509472489;0.0509472489;44964.1953125
;IN;2013;p60p70;59160.1293536;85895.7003645;;;78010.8671875;0.0614600778;0.0614600778;53729.4960938
;IN;2013;p70p80;73938.6151483;107352.860812;;;94934.9375;0.0768131018;0.0768131018;65385.8515625
;IN;2013;p80p90;103144.916055;149758.036373;;;123389.882812;0.1071548462;0.1071548462;84984.015625
;IN;2013;p90p100;533812.061646;775051.734996;3.89410185814;3.89410161972;199032.234375;0.5545648932;0.5545648932;137082.203125
;IN;2013;p0p1;6801.70311849;9875.5202096;;;2.10475235331e-12;0.0007066131;0.0007066131;1.44963500839e-12
;IN;2013;p1p2;8905.61246775;12930.2256173;;;11998.7421875;0.0009251833;0.0009251833;8264.05859375
;IN;2013;p2p3;11124.2700771;16151.5361741;;;15491.7060547;0.0011556745;0.0011556745;10669.8154297
;IN;2013;p3p4;13100.8088577;19021.3098664;;;18477.8574219;0.0013610125;0.0013610125;12726.5097656
;IN;2013;p4p5;14560.9804677;21141.360388;;;20635.9023438;0.0015127063;0.0015127063;14212.8496094
;IN;2013;p5p6;15866.8156678;23037.3269841;;;22541.3164062;0.0016483665;0.0016483665;15525.1904297
;IN;2013;p6p7;16993.6435822;24673.3895477;;;24224.703125;0.00176543;0.00176543;16684.6132812
;IN;2013;p7p8;17852.5343091;25920.4290883;;;25522.0214844;0.0018546581;0.0018546581;17578.1347656
;IN;2013;p8p9;18727.4897925;27190.7933498;;;26815.140625;0.0019455552;0.0019455552;18468.7617188
;IN;2013;p9p10;19502.0405483;28315.3781058;;;27948.9042969;0.0020260215;0.0020260215;19249.6328125
;IN;2013;p10p11;20257.6578412;29412.4730123;;;29054.3554688;0.0021045208;0.0021045208;20011.0078125
;IN;2013;p11p12;20968.5233126;30444.5919106;;;30095.7851562;0.002178371;0.002178371;20728.2851562
;IN;2013;p12p13;21684.5524558;31484.2080407;;;31144.0761719;0.0022527575;0.0022527575;21450.2890625
;IN;2013;p13p14;22358.698484;32463.0132913;;;32133.8242188;0.002322793;0.002322793;22131.9707031
;IN;2013;p14p15;23000.7149993;33395.1691002;;;33070.1171875;0.0023894906;0.0023894906;22776.8378906
;IN;2013;p15p16;23639.2890669;34322.3267546;;;33985.6601562;0.0024558306;0.0024558306;23407.4121094
;IN;2013;p16p17;24297.94408;35278.6403101;;;34916.140625;0.0025242567;0.0025242567;24048.2734375
;IN;2013;p17p18;24981.8437103;36271.6069984;;;35905.6484375;0.0025953054;0.0025953054;24729.7910156
;IN;2013;p18p19;25615.2541061;37191.2674212;;;36847.6757812;0.002661109;0.002661109;25378.6054688
;IN;2013;p19p20;26204.4864218;38046.7848615;;;37721.0859375;0.0027223229;0.0027223229;25980.1621094
;IN;2013;p20p21;26769.0478616;38866.4821948;;;38535.3671875;0.0027809739;0.0027809739;26540.9941406
;IN;2013;p21p22;27378.3611228;39751.1555362;;;39420.5351562;0.002844274;0.002844274;27150.6484375
;IN;2013;p22p23;27958.4135777;40593.3445647;;;40274.0273438;0.0029045343;0.0029045343;27738.4863281
;IN;2013;p23p24;28529.8599131;41423.0382069;;;41101.875;0.0029639006;0.0029639006;28308.6601562
;IN;2013;p24p25;29109.912368;42265.2272353;;;41921.0390625;0.0030241609;0.0030241609;28872.8554688
;IN;2013;p25p26;29664.7202057;43070.7631309;;;42733.1601562;0.0030817986;0.0030817986;29432.1992188
