Variable Name;.;.;.;Fiscal capital income [total fiscal income ranking] | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal labour income [total fiscal income ranking] | tax unit | Average | Adults | constant 2015 local currency;Capital component of mixed income | tax unit | Average | Adults | constant 2015 local currency;Labour component of mixed income | tax unit | Average | Adults | constant 2015 local currency;Mixed income | tax unit | Average | Adults | constant 2015 local currency;Wages and pensions | tax unit | Average | Adults | constant 2015 local currency;Personal debt | individuals | Average | Adults | constant 2015 local currency;Personal debt | individuals | Average | All Ages | constant 2015 local currency;Net personal wealth | individuals | Average | Adults | constant 2015 local currency;Net personal wealth | individuals | Average | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | Adults | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | All Ages | constant 2015 local currency;Personal financial assets | individuals | Average | Adults | constant 2015 local currency;Personal financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | Adults | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | All Ages | constant 2015 local currency;Personal non-financial assets | individuals | Average | Adults | constant 2015 local currency;Personal non-financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | Adults | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | All Ages | constant 2015 local currency;Fiscal income  | tax unit | Beta coefficient | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Personal debt | individuals | Total | All Ages | constant 2015 local currency;Net personal wealth | individuals | Total | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Total | All Ages | constant 2015 local currency;Personal financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Total | All Ages | constant 2015 local currency;Personal non-financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | tax unit | Share | Adults | share of total (ratio);Pre-tax national income  | tax unit | Share | Adults | share of total (ratio);Fiscal income  | tax unit | Threshold | Adults | constant 2015 local currency
;TW;2010;p99p100;2409637.0;5259941.5;2850304.75;66543.5234375;155268.21875;221811.75;2695036.5;;;;;;;;;;;;;;;1.6375063658;;;;;;;;;0.1119875312;0.1119875312;3212165.75
;TW;2010;p99.9p100;13635386.0;19761142.0;6125757.0;166586.4375;388701.6875;555288.125;5737055.0;;;;;;;;;;;;;;;2.2145857811;;;;;;;;;0.0420722403;0.0420722403;8923178.0
;TW;2010;p99.99p100;76211776.0;89938664.0;13726888.0;290052.1875;676788.4375;966840.625;13050099.0;;;;;;;;;;;;;;;2.3332285881;;;;;;;;;0.0191517137;0.0191517137;38546872.0
;TW;2010;p90p100;;1709479.0;;;;;;;;;;;;;;;;;;;;1.6258944273;;;;;;;;;0.3639594913;0.3639594913;1051408.375
;TW;2010;p90p95;;1015861.1875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1081418097;0.1081418097;1051408.375
;TW;2010;p95p99;;1688886.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1438301355;0.1438301355;1556796.5
;TW;2010;p99.9p99.99;;11962091.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0229205247;0.0229205247;8923178.0
;TW;2010;p95p100;;2403097.0;;;;;;;;;;;;;;;;;;;;1.5436165333;;;;;;;;;0.2558176816;0.2558176816;1556796.5
;TW;2009;p0p100;;437526.34375;;;;;;675347.375;517715.75;3854360.5;2954721.0;806185.3125;618015.0;2990909.25;2292806.5;1620973.75;1242625.125;1538798.625;1179630.375;563750.3125;432166.375;;5.56973214925e+12;1.19694698742e+13;6.83124782531e+13;1.4288366338e+13;5.30091658445e+13;2.87292103066e+13;2.72727843799e+13;9.9915881513e+12;;;
;TW;2009;p99p100;1866048.25;4227922.0;2361873.5;74339.5546875;173458.96875;247798.5;2188414.75;;;;;;;;;;;;;;;1.4337861538;;;;;;;;;0.0966323018;0.0966323018;2948781.25
;TW;2009;p99.9p100;9635393.0;14346602.0;4711209.0;226174.203125;527739.8125;753914.0;4183469.5;;;;;;;;;;;;;;;1.8825684786;;;;;;;;;0.0327898376;0.0327898376;7620760.0
;TW;2009;p99.99p100;50141060.0;59845984.0;9704924.0;505399.34375;1179265.125;1684664.5;8525659.0;;;;;;;;;;;;;;;2.0032455921;;;;;;;;;0.0136805288;0.0136805288;29874512.0
;TW;2009;p90p100;;1474862.125;;;;;;;;;;;;;;;;;;;;1.4773617983;;;;;;;;;0.3370911181;0.3370911181;998307.9375
;TW;2009;p90p95;;910189.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1040154472;0.1040154472;998307.9375
;TW;2009;p95p99;;1492438.375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1364433616;0.1364433616;1466772.125
;TW;2009;p99.9p99.99;;9290111.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0191093087;0.0191093087;7620760.0
;TW;2009;p95p100;;2039534.375;;;;;;;;;;;;;;;;;;;;1.3904916048;;;;;;;;;0.2330756634;0.2330756634;1466772.125
;TW;2008;p0p100;;492283.0;;;;;;;;;;;;;;;;;;;;;6.17606755123e+12;;;;;;;;;;
;TW;2008;p99p100;2963740.5;5601179.0;2637438.25;65802.6484375;153539.515625;219342.15625;2483898.75;;;;;;;;;;;;;;;1.6921256781;;;;;;;;;0.1137795374;0.1137795374;3310143.5
;TW;2008;p99.9p100;16338861.0;21531252.0;5192390.5;193006.125;450347.65625;643353.75;4742043.0;;;;;;;;;;;;;;;2.3223834038;;;;;;;;;0.0437369831;0.0437369831;9271187.0
;TW;2008;p99.99p100;87054064.0;97497288.0;10443228.0;403346.28125;941141.3125;1344487.625;9502086.0;;;;;;;;;;;;;;;2.3308312893;;;;;;;;;0.0198084153;0.0198084153;41829408.0
;TW;2008;p90p100;;1814140.125;;;;;;;;;;;;;;;;;;;;1.6584646702;;;;;;;;;0.3685157597;0.3685157597;1093867.25
;TW;2008;p90p95;;1077328.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1094216853;0.1094216853;1093867.25
;TW;2008;p95p99;;1788396.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1453145444;0.1453145444;1613742.0
;TW;2008;p99.9p99.99;;13088903.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0239285659;0.0239285659;9271187.0
;TW;2008;p95p100;;2550951.75;;;;;;;;;;;;;;;;;;;;1.5807679892;;;;;;;;;0.2590940893;0.2590940893;1613742.0
;TW;2007;p0p100;;469169.46875;;;;;;;;;;;;;;;;;;;;;5.79994176717e+12;;;;;;;;;;
;TW;2007;p99p100;2556443.25;5053438.0;2496994.75;60701.8984375;141637.765625;202339.671875;2355357.0;;;;;;;;;;;;;;;1.5910004377;;;;;;;;;0.1077101901;0.1077101901;3176264.25
;TW;2007;p99.9p100;14017258.0;18892254.0;4874995.0;197575.1875;461008.8125;658584.0;4413986.5;;;;;;;;;;;;;;;2.1350433826;;;;;;;;;0.0402669199;0.0402669199;8848651.0
;TW;2007;p99.99p100;72425144.0;82593944.0;10168801.0;397442.03125;927364.75;1324806.75;9241436.0;;;;;;;;;;;;;;;2.1401665211;;;;;;;;;0.0176072083;0.0176072083;38592296.0
;TW;2007;p90p100;;1655025.875;;;;;;;;;;;;;;;;;;;;1.5823850632;;;;;;;;;0.3527565897;0.3527565897;1045905.9375
;TW;2007;p90p95;;986263.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1051073819;0.1051073819;1045905.9375
;TW;2007;p95p99;;1641377.125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1399390399;0.1399390399;1545220.375
;TW;2007;p99.9p99.99;;11812882.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0226597115;0.0226597115;8848651.0
;TW;2007;p95p100;;2323788.5;;;;;;;;;;;;;;;;;;;;1.5038557053;;;;;;;;;0.2476492226;0.2476492226;1545220.375
;TW;2006;p0p100;;443624.4375;;;;;;;;;;;;;;;;;;;;;5.40725477376e+12;;;;;;;;;;
;TW;2006;p99p100;2161466.0;4408321.0;2246855.25;55214.2265625;128833.1875;184047.421875;2118022.0;;;;;;;;;;;;;;;1.4842563868;;;;;;;;;0.0993704647;0.0993704647;2970053.75
;TW;2006;p99.9p100;11985585.0;16225943.0;4240358.0;195490.140625;456143.6875;651633.875;3784214.5;;;;;;;;;;;;;;;2.0377318859;;;;;;;;;0.0365753844;0.0365753844;7962746.5
;TW;2006;p99.99p100;64402624.0;72971112.0;8568486.0;444175.15625;1036408.6875;1480583.875;7532078.0;;;;;;;;;;;;;;;2.1682384014;;;;;;;;;0.0164515786;0.0164515786;33654560.0
;TW;2006;p90p100;;1486055.375;;;;;;;;;;;;;;;;;;;;1.4737458229;;;;;;;;;0.3349805772;0.3349805772;1008352.5625
;TW;2006;p90p95;;903818.8125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1018675864;0.1018675864;1008352.5625
;TW;2006;p95p99;;1483285.375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1337425113;0.1337425113;1476157.5
;TW;2006;p99.9p99.99;;9919671.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0201238059;0.0201238059;7962746.5
;TW;2006;p95p100;;2068291.875;;;;;;;;;;;;;;;;;;;;1.401132226;;;;;;;;;0.233112976;0.233112976;1476157.5
;TW;2005;p0p100;;436570.8125;;;;;;;;;;;;;;;;;;;;;5.24254760141e+12;;;;;;;;;;
;TW;2005;p99p100;2102864.0;4311497.5;2208633.75;62059.6953125;144805.953125;206865.65625;2063827.75;;;;;;;;;;;;;;;1.4876685143;;;;;;;;;0.098758176;0.098758176;2898157.5
;TW;2005;p99.9p100;11639990.0;15804704.0;4164713.5;186479.71875;435119.34375;621599.0625;3729594.25;;;;;;;;;;;;;;;2.0253446102;;;;;;;;;0.0362014584;0.0362014584;7803464.0
;TW;2005;p99.99p100;61603208.0;70122856.0;8519646.0;313028.4375;730399.625;1043428.0625;7789246.5;;;;;;;;;;;;;;;2.1115510464;;;;;;;;;0.0160648599;0.0160648599;33209170.0
;TW;2005;p90p100;;1457956.75;;;;;;;;;;;;;;;;;;;;1.4746897221;;;;;;;;;0.3339565992;0.3339565992;988653.1875
;TW;2005;p90p95;;888800.9375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.101793468;0.101793468;988653.1875
;TW;2005;p95p99;;1456017.125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1334049702;0.1334049702;1443298.25
;TW;2005;p99.9p99.99;;9768155.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0201365985;0.0201365985;7803464.0
;TW;2005;p95p100;;2027112.5;;;;;;;;;;;;;;;;;;;;1.4045001268;;;;;;;;;0.2321631461;0.2321631461;1443298.25
;TW;2004;p0p100;;413877.25;;;;;;;;;;;;;;;;;;;;;4.8848479191e+12;;;;;;;;;;
;TW;2004;p99p100;1698216.25;3774166.25;2075950.0;63360.7070312;147841.640625;211202.34375;1928108.375;;;;;;;;;;;;;;;1.4037936926;;;;;;;;;0.0911903903;0.0911903903;2688547.75
;TW;2004;p99.9p100;9425563.0;13334753.0;3909189.5;191780.421875;447487.65625;639268.0625;3461702.0;;;;;;;;;;;;;;;1.8875696659;;;;;;;;;0.0322186872;0.0322186872;7064509.0
;TW;2004;p99.99p100;49562488.0;57436320.0;7873830.5;310845.34375;725305.875;1036151.25;7148524.5;;;;;;;;;;;;;;;1.9763607979;;;;;;;;;0.013879925;0.013879925;29061658.0
;TW;2004;p90p100;;1311134.25;;;;;;;;;;;;;;;;;;;;1.3943314552;;;;;;;;;0.3167931139;0.3167931139;940331.8125
;TW;2004;p90p95;;813766.4375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0983101428;0.0983101428;940331.8125
;TW;2004;p95p99;;1317086.875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1272925735;0.1272925735;1358609.125
;TW;2004;p99.9p99.99;;8433605.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0183387604;0.0183387604;7064509.0
;TW;2004;p95p100;;1808502.125;;;;;;;;;;;;;;;;;;;;1.3311423063;;;;;;;;;0.2184829563;0.2184829563;1358609.125
;TW;2003;p0p100;;399596.1875;;;;;;;;;;;;;;;;;;;;;4.61985021952e+12;;;;;;;;;;
;TW;2003;p99p100;1715524.75;3671283.5;1955758.875;61170.9257812;142732.171875;203903.078125;1813026.75;;;;;;;;;;;;;;;1.4529564381;;;;;;;;;0.0918747559;0.0918747559;2526767.75
;TW;2003;p99.9p100;10717320.0;14383096.0;3665776.75;185585.09375;433031.90625;618617.0;3232744.75;;;;;;;;;;;;;;;2.1627511978;;;;;;;;;0.035993617;0.035993617;6650370.5
;TW;2003;p99.99p100;61330296.0;68265528.0;6935231.0;263368.40625;614526.25;877894.625;6320704.5;;;;;;;;;;;;;;;2.0721950531;;;;;;;;;0.017086463;0.017086463;32943580.0
;TW;2003;p90p100;;1238497.125;;;;;;;;;;;;;;;;;;;;1.3670723438;;;;;;;;;0.3099372387;0.3099372387;905948.4375
;TW;2003;p90p95;;765036.375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0957262143;0.0957262143;905948.4375
;TW;2003;p95p99;;1222127.125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1223362833;0.1223362833;1299994.5
;TW;2003;p99.9p99.99;;8394970.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0189071521;0.0189071521;6650370.5
;TW;2003;p95p100;;1711957.75;;;;;;;;;;;;;;;;;;;;1.3168962002;;;;;;;;;0.2142110318;0.2142110318;1299994.5
;TW;2002;p0p100;;397201.46875;;;;;;;;;;;;;;;;;;;;;4.50003573146e+12;;;;;;;;;;
;TW;2002;p99p100;1510255.625;3405741.75;1895486.0;62611.1523438;146092.703125;208703.84375;1749393.375;;;;;;;;;;;;;;;1.3680465221;;;;;;;;;0.0857433453;0.0857433453;2489492.5
;TW;2002;p99.9p100;8631185.0;12245196.0;3614010.5;195837.40625;456954.0;652791.375;3157056.5;;;;;;;;;;;;;;;1.9435552359;;;;;;;;;0.0308282785;0.0308282785;6300410.5
;TW;2002;p99.99p100;48634020.0;56055680.0;7421660.0;342051.75;798120.8125;1140172.5;6623539.5;;;;;;;;;;;;;;;2.0714149475;;;;;;;;;0.0141149973;0.0141149973;27061542.0
;TW;2002;p90p100;;1208604.5;;;;;;;;;;;;;;;;;;;;1.3306158781;;;;;;;;;0.3042800128;0.3042800128;908304.5625
;TW;2002;p90p95;;765384.4375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0963471457;0.0963471457;908304.5625
;TW;2002;p95p99;;1213346.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1221895367;0.1221895367;1294424.0
;TW;2002;p99.9p99.99;;7376397.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0167132802;0.0167132802;6300410.5
;TW;2002;p95p100;;1651824.625;;;;;;;;;;;;;;;;;;;;1.2761077881;;;;;;;;;0.2079328746;0.2079328746;1294424.0
;TW;2001;p0p100;;427707.90625;;;;;;;;;;;;;;;;;;;;;4.73794609152e+12;;;;;;;;;;
;TW;2001;p99p100;1883828.125;3912009.5;2028181.375;72176.578125;168412.015625;240588.578125;1859769.25;;;;;;;;;;;;;;;1.445102334;;;;;;;;;0.0914644226;0.0914644226;2707081.25
;TW;2001;p99.9p100;9825709.0;13690570.0;3864861.5;187820.921875;438248.8125;626069.75;3426612.75;;;;;;;;;;;;;;;1.9918215275;;;;;;;;;0.0320087448;0.0320087448;6873392.0
;TW;2001;p99.99p100;51165804.0;59824572.0;8658769.0;267056.875;623132.75;890189.625;8035636.5;;;;;;;;;;;;;;;2.1179246902;;;;;;;;;0.0139895706;0.0139895706;28246790.0
;TW;2001;p90p100;;1391802.125;;;;;;;;;;;;;;;;;;;;1.4254864454;;;;;;;;;0.3254095912;0.3254095912;976370.0
;TW;2001;p90p95;;880607.5625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1029449925;0.1029449925;976370.0
;TW;2001;p95p99;;1400744.375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1310001612;0.1310001612;1394787.375
;TW;2001;p99.9p99.99;;8563551.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0180191752;0.0180191752;6873392.0
;TW;2001;p95p100;;1902996.875;;;;;;;;;;;;;;;;;;;;1.3643634319;;;;;;;;;0.2224645913;0.2224645913;1394787.375
;TW;2000;p0p100;;434545.53125;;;;;;;;;;;;;;;;;;;;;4.69960962867e+12;;;;;;;;;;
;TW;2000;p99p100;;3846268.25;;;;;;;;;;;;;;;;;;;;1.4287011623;;;;;;;;;0.0885123536;0.0885123536;2692143.25
;TW;2000;p99.9p100;;13473518.0;;;;;;;;;;;;;;;;;;;;1.9245148897;;;;;;;;;0.0310055986;0.0310055986;7000994.5
;TW;2000;p99.99p100;;57407148.0;;;;;;;;;;;;;;;;;;;;1.9346656799;;;;;;;;;0.0132130394;0.0132130394;29672904.0
;TW;2000;p90p100;;1359730.875;;;;;;;;;;;;;;;;;;;;1.3817722797;;;;;;;;;0.3129087985;0.3129087985;984048.5
;TW;2000;p90p95;;862554.8125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0992479473;0.0992479473;984048.5
;TW;2000;p95p99;;1359567.375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.125148505;0.125148505;1389030.75
;TW;2000;p99.9p99.99;;8591034.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0177925583;0.0177925583;7000994.5
;TW;2000;p95p100;;1856907.0;;;;;;;;;;;;;;;;;;;;1.3368364573;;;;;;;;;0.2136608511;0.2136608511;1389030.75
;TW;1999;p0p100;;416141.90625;;;;;;;;;;;;;;;;;;;;;4.39751252378e+12;;;;;;;;;;
;TW;1999;p99p100;;3289579.5;;;;;;;;;;;;;;;;;;;;1.2879215479;;;;;;;;;0.0790493935;0.0790493935;2554177.0
;TW;1999;p99.9p100;;10369121.0;;;;;;;;;;;;;;;;;;;;1.6377584934;;;;;;;;;0.0249169525;0.0249169525;6331288.0
;TW;1999;p99.99p100;;40620288.0;;;;;;;;;;;;;;;;;;;;1.7637242079;;;;;;;;;0.0097627826;0.0097627826;23030974.0
;TW;1999;p90p100;;1236092.125;;;;;;;;;;;;;;;;;;;;1.2924535275;;;;;;;;;0.2970362902;0.2970362902;956392.0
;TW;1999;p90p95;;806476.625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0968992561;0.0968992561;956392.0
;TW;1999;p95p99;;1259740.375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1210876405;0.1210876405;1342856.375
;TW;1999;p99.9p99.99;;7007212.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0151541699;0.0151541699;6331288.0
;TW;1999;p95p100;;1665707.75;;;;;;;;;;;;;;;;;;;;1.2404212952;;;;;;;;;0.2001370341;0.2001370341;1342856.375
;TW;1998;p0p100;;400050.09375;;;;;;;;;;;;;;;;;;;;;4.12469113651e+12;;;;;;;;;;
;TW;1998;p99p100;;3201378.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0800243542;0.0800243542;
;TW;1998;p99.9p100;;9924470.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0248077475;0.0248077475;
;TW;1998;p99.99p100;;39346596.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00983705;0.00983705;
;TW;1998;p90p100;;1227494.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3068351448;0.3068351448;
;TW;1998;p90p95;;808315.4375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1010268033;0.1010268033;
;TW;1998;p95p99;;1257996.875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1257839948;0.1257839948;
;TW;1998;p99.9p99.99;;6654694.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0149706984;0.0149706984;
;TW;1998;p95p100;;1646672.625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2058083564;0.2058083564;
;TW;1997;p0p100;;390217.71875;;;;;;;;;;;;;;;;;;;;;3.91779267379e+12;;;;;;;;;;
;TW;1997;p99p100;;2936782.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0752600357;0.0752600357;
;TW;1997;p99.9p100;;8817887.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0225970615;0.0225970615;
;TW;1997;p99.99p100;;33771524.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00865597;0.00865597;
;TW;1997;p90p100;;1144013.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2931731641;0.2931731641;
;TW;1997;p90p95;;765635.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0981035903;0.0981035903;
;TW;1997;p95p99;;1168794.375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1198095307;0.1198095307;
;TW;1997;p99.9p99.99;;6044709.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0139410906;0.0139410906;
;TW;1997;p95p100;;1522391.625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1950695664;0.1950695664;
;TW;1996;p0p100;;379630.1875;;;;;;;;;;;;;;;;;;;;;3.72743549747e+12;;;;;;;;;;
;TW;1996;p99p100;;2770266.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0729726851;0.0729726851;
;TW;1996;p99.9p100;;8121787.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0213936698;0.0213936698;
;TW;1996;p99.99p100;;31959162.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0084198955;0.0084198955;
;TW;1996;p90p100;;1107000.625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2915998101;0.2915998101;
;TW;1996;p90p95;;747581.9375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0984618887;0.0984618887;
;TW;1996;p95p99;;1140458.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1201652288;0.1201652288;
;TW;1996;p99.9p99.99;;5472664.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0129737742;0.0129737742;
;TW;1996;p95p100;;1466419.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1931379139;0.1931379139;
;TW;1995;p0p100;;376069.1875;;;;;;;;;;;;;;;;;;;;;3.61189264589e+12;;;;;;;;;;
;TW;1995;p99p100;;2743723.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0729578808;0.0729578808;
;TW;1995;p99.9p100;;8354635.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0222153999;0.0222153999;
;TW;1995;p99.99p100;;34243572.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0091071688;0.0091071688;
;TW;1995;p90p100;;1082795.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2879245281;0.2879245281;
;TW;1995;p90p95;;730337.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0971014649;0.0971014649;
;TW;1995;p95p99;;1108136.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1178651899;0.1178651899;
;TW;1995;p99.9p99.99;;5477515.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0131082321;0.0131082321;
;TW;1995;p95p100;;1435253.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1908230633;0.1908230633;
;TW;1994;p0p100;;364159.09375;;;;;;;;;;;;;;;;;;;;;3.42935391437e+12;;;;;;;;;;
;TW;1994;p99p100;;2653390.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0728634298;0.0728634298;
;TW;1994;p99.9p100;;7341735.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0201605316;0.0201605316;
;TW;1994;p99.99p100;;31430086.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0086322995;0.0086322995;
;TW;1994;p90p100;;1042759.1875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2863472402;0.2863472402;
;TW;1994;p90p95;;707260.125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0971087068;0.0971087068;
;TW;1994;p95p99;;1059475.625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1163751036;0.1163751036;
;TW;1994;p99.9p99.99;;4664719.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0115282321;0.0115282321;
;TW;1994;p95p100;;1378258.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1892385334;0.1892385334;
;TW;1993;p0p100;;338281.71875;;;;;;;;;;;;;;;;;;;;;3.1218770903e+12;;;;;;;;;;
;TW;1993;p99p100;;2352673.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0695476755;0.0695476755;
;TW;1993;p99.9p100;;7019648.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0207506269;0.0207506269;
;TW;1993;p99.99p100;;27947008.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0082628308;0.0082628308;
;TW;1993;p90p100;;939371.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2776892483;0.2776892483;
;TW;1993;p90p95;;639765.5625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0945610851;0.0945610851;
;TW;1993;p95p99;;960554.625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1135804951;0.1135804951;
;TW;1993;p99.9p99.99;;4693924.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0124877961;0.0124877961;
;TW;1993;p95p100;;1238977.875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1831281632;0.1831281632;
;TW;1992;p0p100;;316269.8125;;;;;;;;;;;;;;;;;;;;;2.86404326195e+12;;;;;;;;;;
;TW;1992;p99p100;;2341703.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0740412399;0.0740412399;
;TW;1992;p99.9p100;;7088010.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0224109869;0.0224109869;
;TW;1992;p99.99p100;;28139406.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0088987546;0.0088987546;
;TW;1992;p90p100;;915598.875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2894993424;0.2894993424;
;TW;1992;p90p95;;608472.5625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0961951911;0.0961951911;
;TW;1992;p95p99;;942981.0625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1192629188;0.1192629188;
;TW;1992;p99.9p99.99;;4748501.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0135122314;0.0135122314;
;TW;1992;p95p100;;1222725.125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1933041662;0.1933041662;
;TW;1991;p0p100;;293692.15625;;;;;;;;;;;;;;;;;;;;;2.61068659098e+12;;;;;;;;;;
;TW;1991;p99p100;;2363795.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0804853886;0.0804853886;
;TW;1991;p99.9p100;;8505617.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0289606228;0.0289606228;
;TW;1991;p99.99p100;;42162564.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0143584227;0.0143584227;
;TW;1991;p90p100;;860189.875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2928883433;0.2928883433;
;TW;1991;p90p95;;554018.1875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0943195596;0.0943195596;
;TW;1991;p95p99;;867003.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1180834025;0.1180834025;
