Variable Name;.;.;.;Fiscal capital income [total fiscal income ranking] | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal labour income [total fiscal income ranking] | tax unit | Average | Adults | constant 2015 local currency;Capital component of mixed income | tax unit | Average | Adults | constant 2015 local currency;Labour component of mixed income | tax unit | Average | Adults | constant 2015 local currency;Mixed income | tax unit | Average | Adults | constant 2015 local currency;Wages and pensions | tax unit | Average | Adults | constant 2015 local currency;Personal debt | individuals | Average | Adults | constant 2015 local currency;Personal debt | individuals | Average | All Ages | constant 2015 local currency;Net personal wealth | individuals | Average | Adults | constant 2015 local currency;Net personal wealth | individuals | Average | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | Adults | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | All Ages | constant 2015 local currency;Personal financial assets | individuals | Average | Adults | constant 2015 local currency;Personal financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | Adults | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | All Ages | constant 2015 local currency;Personal non-financial assets | individuals | Average | Adults | constant 2015 local currency;Personal non-financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | Adults | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | All Ages | constant 2015 local currency;Fiscal income  | tax unit | Beta coefficient | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Personal debt | individuals | Total | All Ages | constant 2015 local currency;Net personal wealth | individuals | Total | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Total | All Ages | constant 2015 local currency;Personal financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Total | All Ages | constant 2015 local currency;Personal non-financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | tax unit | Share | Adults | share of total (ratio);Pre-tax national income  | tax unit | Share | Adults | share of total (ratio);Fiscal income  | tax unit | Threshold | Adults | constant 2015 local currency
;TW;2013;p99.99p100;73599824.0;86371896.0;12772072.0;93022.53125;217052.59375;310075.125;12555019.0;;;;;;;;;;;;;;;2.2395384312;;;;;;;;;0.0167998578;0.0167998578;38566832.0
;TW;2013;p90p100;;1871028.5;;;;;;;;;;;;;;;;;;;;1.6038478613;;;;;;;;;0.363866061;0.363866061;1166587.25
;TW;2013;p90p95;;1145626.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1113971844;0.1113971844;1166587.25
;TW;2013;p95p99;;1873046.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1457034349;0.1457034349;1726043.75
;TW;2013;p99.9p99.99;;12469449.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.021824114;0.021824114;9204556.0
;TW;2013;p95p100;;2596430.5;;;;;;;;;;;;;;;;;;;;1.5042668581;;;;;;;;;0.252468884;0.252468884;1726043.75
;TW;2012;p0p100;;536320.0625;;;;;;762476.125;598076.125;4697967.5;3685023.0;915860.125;718388.4375;3566287.5;2797348.5;1848698.875;1450094.75;1894155.75;1485750.5;801728.5625;628865.1875;;7.09194153984e+12;1.39446357852e+13;8.59193359729e+13;1.67498177577e+13;6.52224799703e+13;3.38101524234e+13;3.46414949335e+13;1.46625097892e+13;;;
;TW;2012;p99p100;2760181.5;6066253.0;3306071.25;30974.2871094;72273.3359375;103247.617188;3233798.0;;;;;;;;;;;;;;;1.7717446089;;;;;;;;;0.113108702;0.113108702;3423886.75
;TW;2012;p99.9p100;15525746.0;22171340.0;6645594.0;108683.914062;253595.828125;362279.71875;6391998.0;;;;;;;;;;;;;;;2.3739507198;;;;;;;;;0.0413392223;0.0413392223;9339427.0
;TW;2012;p99.99p100;83224904.0;97202184.0;13977285.0;174380.71875;406888.34375;581269.0625;13570397.0;;;;;;;;;;;;;;;2.4640784264;;;;;;;;;0.0181269217;0.0181269217;39447684.0
;TW;2012;p90p100;;2049942.25;;;;;;;;;;;;;;;;;;;;1.7619638443;;;;;;;;;0.3822237551;0.3822237551;1163441.75
;TW;2012;p90p95;;1247561.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1163075715;0.1163075715;1163441.75
;TW;2012;p95p99;;2048841.875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.152807489;0.152807489;1730575.75
;TW;2012;p99.9p99.99;;13832923.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0232123006;0.0232123006;9339427.0
;TW;2012;p95p100;;2852323.25;;;;;;;;;;;;;;;;;;;;1.648193121;;;;;;;;;0.2659161985;0.2659161985;1730575.75
;TW;2011;p0p100;;515156.75;;;;;;747824.375;583156.625;4525239.5;3528801.0;949832.9375;740683.75;3484847.0;2717498.5;1800161.625;1403773.625;1788217.0;1394459.25;734852.5;573041.125;;6.72784239821e+12;1.35437620347e+13;8.19560961802e+13;1.72023150019e+13;6.31136636109e+13;3.26025200271e+13;3.23861925069e+13;1.33088296305e+13;;;
;TW;2011;p99p100;2944140.25;6046617.5;3102477.0;43336.1054688;101117.578125;144453.6875;3001359.5;;;;;;;;;;;;;;;1.7282613516;;;;;;;;;0.1173742041;0.1173742041;3498670.75
;TW;2011;p99.9p100;16684196.0;23168022.0;6483825.5;113500.140625;264833.65625;378333.8125;6218992.0;;;;;;;;;;;;;;;2.3567752838;;;;;;;;;0.0449721813;0.0449721813;9830391.0
;TW;2011;p99.99p100;91684312.0;105962432.0;14278121.0;194229.15625;453201.375;647430.5;13824919.0;;;;;;;;;;;;;;;2.4400098324;;;;;;;;;0.0205723811;0.0205723811;43427052.0
;TW;2011;p90p100;;1938858.625;;;;;;;;;;;;;;;;;;;;1.7065690756;;;;;;;;;0.3763629496;0.3763629496;1136115.0
;TW;2011;p90p95;;1141954.875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1108356938;0.1108356938;1136115.0
;TW;2011;p95p99;;1908050.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1481530368;0.1481530368;1684921.25
;TW;2011;p99.9p99.99;;13966816.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0243998002;0.0243998002;9830391.0
;TW;2011;p95p100;;2735762.5;;;;;;;;;;;;;;;;;;;;1.6236737967;;;;;;;;;0.2655272484;0.2655272484;1684921.25
;TW;2010;p0p100;;469689.5;;;;;;707389.3125;547585.75;4255150.0;3293885.75;986275.25;763469.625;3331642.75;2579004.25;1693835.25;1311187.5;1630896.875;1262467.25;651532.125;504347.03125;;6.06765580288e+12;1.26832481403e+13;7.62933915156e+13;1.76835778314e+13;5.97352146534e+13;3.03698857165e+13;2.92414229053e+13;1.16817479598e+13;;;
