Variable Code;country;year;perc;npopul992t;npopul999i;ntaxre992t;inyixx999i;xlceup999i;xlceux999i;xlcusp999i;xlcusx999i;xlcyup999i;xlcyux999i
;US-AR;1978;p0p100;918572.9375;;764141.0;0.33810094;;;1.0;1.0;0.9547064304;
;US-AR;1977;p0p100;898751.8125;;743997.0;0.315928787;;;1.0;1.0;0.9135241508;
;US-AR;1976;p0p100;879899.4375;;742277.0;0.2975162268;;;1.0;1.0;0.8714398146;
;US-AR;1975;p0p100;861990.625;;698413.0;0.2820289731;;;1.0;1.0;0.8604028821;
;US-AR;1974;p0p100;844207.5;;698242.0;0.2580621839;;;1.0;1.0;0.7967916131;
;US-AR;1973;p0p100;827450.875;;675245.0;0.2368501127;;;1.0;1.0;0.7372254133;
;US-AR;1972;p0p100;810754.75;;637451.0;0.2246379256;;;1.0;1.0;0.7126262784;
;US-AR;1971;p0p100;793526.25;;616877.0;0.2153150141;;;1.0;1.0;0.6847807765;
;US-AR;1970;p0p100;775214.25;;596133.0;0.2049063742;;;1.0;1.0;0.672759831;
;US-AR;1969;p0p100;765817.25;;611567.0;0.1946323365;;;1.0;1.0;0.6523371339;
;US-AR;1968;p0p100;757927.625;;576062.0;0.1855068803;;;1.0;1.0;0.6194906235;
;US-AR;1967;p0p100;749930.5;;563254.0;0.1779426634;;;1.0;1.0;0.6002780199;
;US-AR;1966;p0p100;741319.4375;;546394.0;0.1729178131;;;1.0;1.0;0.5991725326;
;US-AR;1965;p0p100;732293.0;;547028.0;0.1681890637;;;1.0;1.0;0.5878564715;
;US-AR;1964;p0p100;722660.5;;511981.0;0.165165171;;;1.0;1.0;0.6169885993;
;US-AR;1963;p0p100;712138.4375;;502876.0;0.1626706868;;;1.0;1.0;0.6245597005;
;US-AR;1962;p0p100;701390.875;;484080.0;0.1608581692;;;1.0;1.0;0.5787657499;
;US-AR;1961;p0p100;690100.0;;467252.0;0.1589020491;;;1.0;1.0;0.5063357949;
;US-AR;1960;p0p100;678148.75;;455571.0;0.1571702808;;;1.0;1.0;0.6174277663;
;US-AR;1959;p0p100;687662.75;;449939.0;0.1550257355;;;1.0;;0.6377097964;
;US-AR;1958;p0p100;696544.1875;;437224.0;0.152988866;;;1.0;;0.6633341312;
;US-AR;1957;p0p100;705380.8125;;437599.0;0.149516359;;;1.0;;0.7038274407;
;US-AR;1956;p0p100;713190.0;;435817.0;0.1444735378;;;1.0;;0.6517068744;
;US-AR;1955;p0p100;721159.5;;415988.0;0.1396730095;;;1.0;;0.6540765762;
;US-AR;1954;p0p100;729121.5625;;390897.0;0.1376989633;;;1.0;;0.653101325;
;US-AR;1953;p0p100;737072.0;;399806.0;0.136299178;;;1.0;;0.6625382304;
;US-AR;1952;p0p100;745712.3125;;384817.0;0.1345584542;;;1.0;;0.7204616666;
;US-AR;1951;p0p100;753876.0;;366990.0;0.1316781193;;;1.0;;;
;US-AR;1950;p0p100;762088.875;;344316.0;0.1233422235;;;1.0;;;
;US-AR;1949;p0p100;762678.3125;;326192.0;0.122229591;;;1.0;;;
;US-AR;1948;p0p100;765520.5;;304152.0;0.1222924143;;;1.0;;;
;US-AR;1947;p0p100;768247.4375;;330597.0;0.115778029;;;1.0;;;
;US-AR;1946;p0p100;769323.25;;317400.0;0.1041131839;;;1.0;;;
;US-AR;1945;p0p100;777043.625;;310517.0;0.0924932137;;;1.0;;;
;US-AR;1944;p0p100;784197.5625;;294518.0;0.0902230665;;;1.0;;;
;US-AR;1943;p0p100;790428.1875;;255218.0;0.0881233886;;;1.0;;;
;US-AR;1942;p0p100;795128.625;;187460.0;0.0841214508;;;1.0;;;
;US-AR;1941;p0p100;802091.25;;99509.0;0.0776699111;;;1.0;;;
