Variable Code;country;year;perc;npopul992t;npopul999i;ntaxre992t;inyixx999i;xlceup999i;xlceux999i;xlcusp999i;xlcusx999i;xlcyup999i;xlcyux999i
;US-NJ;1982;p0p100;3448265.75;;3176623.0;0.4632197618;;;1.0;1.0;1.1410177946;
;US-NJ;1981;p0p100;3396602.5;;3271589.0;0.4366059899;;;1.0;1.0;1.0903964043;
;US-NJ;1980;p0p100;3352063.5;;3354753.0;0.399116993;;;1.0;1.0;1.0109244585;
;US-NJ;1979;p0p100;3347633.25;;3152764.0;0.3660068512;;;1.0;1.0;0.9860848188;
;US-NJ;1978;p0p100;3242436.25;;3045723.0;0.33810094;;;1.0;1.0;0.9547064304;
;US-NJ;1977;p0p100;3180758.5;;3007951.0;0.315928787;;;1.0;1.0;0.9135241508;
;US-NJ;1976;p0p100;3122173.75;;2964986.0;0.2975162268;;;1.0;1.0;0.8714398146;
;US-NJ;1975;p0p100;3066618.25;;2918856.0;0.2820289731;;;1.0;1.0;0.8604028821;
;US-NJ;1974;p0p100;3011199.25;;2979182.0;0.2580621839;;;1.0;1.0;0.7967916131;
;US-NJ;1973;p0p100;2959140.75;;2994647.0;0.2368501127;;;1.0;1.0;0.7372254133;
;US-NJ;1972;p0p100;2907006.75;;2908163.0;0.2246379256;;;1.0;1.0;0.7126262784;
;US-NJ;1971;p0p100;2852666.0;;2837104.0;0.2153150141;;;1.0;1.0;0.6847807765;
;US-NJ;1970;p0p100;2794116.5;;2829051.0;0.2049063742;;;1.0;1.0;0.672759831;
;US-NJ;1969;p0p100;2748223.0;;2819768.0;0.1946323365;;;1.0;1.0;0.6523371339;
;US-NJ;1968;p0p100;2708062.0;;2768834.0;0.1855068803;;;1.0;1.0;0.6194906235;
;US-NJ;1967;p0p100;2667816.75;;2704102.0;0.1779426634;;;1.0;1.0;0.6002780199;
;US-NJ;1966;p0p100;2625696.0;;2609358.0;0.1729178131;;;1.0;1.0;0.5991725326;
;US-NJ;1965;p0p100;2582426.75;;2698570.0;0.1681890637;;;1.0;1.0;0.5878564715;
;US-NJ;1964;p0p100;2537356.75;;2465655.0;0.165165171;;;1.0;1.0;0.6169885993;
;US-NJ;1963;p0p100;2489520.25;;2419371.0;0.1626706868;;;1.0;1.0;0.6245597005;
;US-NJ;1962;p0p100;2441267.75;;2386667.0;0.1608581692;;;1.0;1.0;0.5787657499;
;US-NJ;1961;p0p100;2391505.5;;2339605.0;0.1589020491;;;1.0;1.0;0.5063357949;
;US-NJ;1960;p0p100;2339852.25;;2306163.0;0.1571702808;;;1.0;1.0;0.6174277663;
;US-NJ;1959;p0p100;2308204.75;;2266499.0;0.1550257355;;;1.0;;0.6377097964;
;US-NJ;1958;p0p100;2274483.75;;2218235.0;0.152988866;;;1.0;;0.6633341312;
;US-NJ;1957;p0p100;2240748.5;;2248216.0;0.149516359;;;1.0;;0.7038274407;
;US-NJ;1956;p0p100;2203992.0;;2230309.0;0.1444735378;;;1.0;;0.6517068744;
;US-NJ;1955;p0p100;2168060.5;;2182689.0;0.1396730095;;;1.0;;0.6540765762;
;US-NJ;1954;p0p100;2132433.0;;2140475.0;0.1376989633;;;1.0;;0.653101325;
;US-NJ;1953;p0p100;2097107.375;;2191420.0;0.136299178;;;1.0;;0.6625382304;
;US-NJ;1952;p0p100;2064036.875;;2117199.0;0.1345584542;;;1.0;;0.7204616666;
;US-NJ;1951;p0p100;2029931.125;;2089995.125;0.1316781193;;;1.0;;;
;US-NJ;1950;p0p100;1996284.125;;2008440.0;0.1233422235;;;1.0;;;
