Variable Code;country;year;perc;agdpro999i;npopul999i;mgdpro999i;inyixx999i;xlceux999i;xlcusx999i;xlcyux999i
;MC;1980;p0p100;85244.6796875;26745.0;2279868928.0;0.3791492879;;;
;MC;1979;p0p100;85024.5546875;26395.0;2244223232.0;0.3394642472;;;
;MC;1978;p0p100;83071.875;26087.0;2167095808.0;0.3077158034;;;
;MC;1977;p0p100;80753.59375;25809.0;2084169600.0;0.2815817297;;;
;MC;1976;p0p100;78934.2109375;25523.0;2014637952.0;0.2588445842;;;
;MC;1975;p0p100;76648.65625;25197.0;1931316096.0;0.2336975634;;;
;MC;1974;p0p100;78535.59375;24835.0;1950431360.0;0.2054350376;;;
;MC;1973;p0p100;76524.375;24439.0;1870179328.0;0.1837173849;;;
;MC;1972;p0p100;73143.1796875;24051.0;1759166592.0;0.1703226715;;;
;MC;1971;p0p100;70941.9765625;23720.0;1682743808.0;0.1594725996;;;
;MC;1970;p0p100;68018.7421875;23484.0;1597352192.0;0.1505861431;;;
;MC;1969;p0p100;;23346.0;;;;;
;MC;1968;p0p100;;23304.0;;;;;
;MC;1967;p0p100;;23292.0;;;;;
;MC;1966;p0p100;;23305.0;;;;;
;MC;1965;p0p100;;23282.0;;;;;
;MC;1964;p0p100;;23236.0;;;;;
;MC;1963;p0p100;;23168.0;;;;;
;MC;1962;p0p100;;23039.0;;;;;
;MC;1961;p0p100;;22808.0;;;;;
;MC;1960;p0p100;;22452.0;;;;;
;MC;1959;p0p100;;21974.0;;;;;
;MC;1958;p0p100;;21399.0;;;;;
