Variable Code;country;year;perc;afiinc992j;aptinc992j;aptkin992j;aptlin992j;bfiinc992j;bptinc992j;bptkin992j;bptlin992j;tptlin992j;sfiinc992j;sptinc992j;sptkin992j;sptlin992j;tfiinc992j;tptinc992j;tptkin992j
;TH;2014;p99.9p100;12447243.3573;16315020.7852;;;2.2101387978;2.3944084644;;;;0.068813669;0.0777799818;;;5631883.0;6813800.0;
;TH;2014;p99.99p100;45045776.2682;65313619.8102;;;2.262762785;2.600689888;;;;0.0249032259;0.031137516;;;19907424.0;25113960.0;
;TH;2014;p99.999p100;159981380.677;272075384.502;;;2.1998207569;2.6477673054;;;;0.0088444529;0.0129708806;;;72724736.0;102756528.0;
;TH;2014;p0p10;26568.250173;24407.6828113;;;;;;;;0.0146880616;0.0116360817;;;0.0;0.0;
;TH;2014;p10p20;43285.1088587;41974.2788059;;;;;;;;0.0239298539;0.020010754;;;36412.078125;33777.5585938;
;TH;2014;p20p30;56669.740072;57446.5469973;;;;;;;;0.0313294488;0.0273869797;;;50238.65625;50104.9101562;
;TH;2014;p30p40;70151.4711896;72658.3149925;;;;;;;;0.0387827246;0.0346390149;;;63187.265625;64930.2265625;
;TH;2014;p40p50;85393.0994302;90085.5126336;;;;;;;;0.0472089467;0.0429472306;;;77422.5546875;80596.5703125;
;TH;2014;p50p60;103774.270744;112071.626339;;;;;;;;0.057370842;0.0534288571;;;94156.8828125;100320.125;
;TH;2014;p60p70;125426.500713;139481.640283;;;;;;;;0.069341118;0.0664962656;;;114070.953125;124724.398438;
;TH;2014;p70p80;154570.177937;180300.03927;;;;;;;;0.0854529855;0.0859559672;;;138142.65625;156402.0625;
;TH;2014;p80p90;236281.910781;283961.588339;;;;;;;;0.1306267157;0.1353754168;;;175290.109375;211023.265625;
;TH;2014;p90p100;906712.449469;1095198.83739;;;2.6400637627;2.71175313;;;;0.5012693028;0.5221234323;;;343443.375;403871.15625;
;TH;2014;p0p1;11320.145145;10084.0765149;;;;;;;;0.0006258259;0.0004807467;;;0.0;0.0;
;TH;2014;p1p2;17949.462136;16232.4557758;;;;;;;;0.0009923228;0.0007738636;;;15514.3828125;13955.2568359;
;TH;2014;p2p3;21751.7380194;19806.6927322;;;;;;;;0.0012025288;0.0009442613;;;20057.1582031;18209.5976562;
;TH;2014;p3p4;24658.7737426;22555.3364796;;;;;;;;0.0013632422;0.0010752997;;;23308.4375;21276.4960938;
;TH;2014;p4p5;27073.7168141;24847.7981795;;;;;;;;0.0014967505;0.0011845902;;;25930.1074219;23760.9003906;
;TH;2014;p5p6;29168.0370616;26841.9584037;;;;;;;;0.0016125335;0.0012796595;;;28165.0527344;25886.046875;
;TH;2014;p6p7;31033.2865573;28622.4000851;;;;;;;;0.0017156524;0.00136454;;;30133.3964844;27762.7597656;
;TH;2014;p7p8;32724.9646782;30240.5230206;;;;;;;;0.0018091756;0.0014416821;;;31904.5488281;29455.2617188;
;TH;2014;p8p9;34279.6168671;31730.2551295;;;;;;;;0.0018951234;0.0015127034;;;33522.71875;31004.5488281;
;TH;2014;p9p10;35722.7607083;33115.3317922;;;;;;;;0.0019749065;0.0015787353;;;35018.0390625;32438.6210938;
;TH;2014;p10p11;37069.5787222;34570.4302692;;;;;;;;0.0020493644;0.0016481054;;;36412.078125;33777.5585938;
;TH;2014;p11p12;38404.8361207;36180.2091929;;;;;;;;0.0021231831;0.0017248498;;;37732.3046875;35369.6601562;
;TH;2014;p12p13;39767.3673062;37819.6353649;;;;;;;;0.0021985096;0.0018030076;;;39081.9257812;36995.703125;
;TH;2014;p13p14;41152.4427447;39479.854414;;;;;;;;0.0022750825;0.0018821566;;;40456.578125;38647.0390625;
;TH;2014;p14p15;42554.5706174;41151.6017276;;;;;;;;0.0023525981;0.0019618552;;;41851.1640625;40314.5976562;
;TH;2014;p15p16;43967.408379;42825.2146616;;;;;;;;0.0024307058;0.0020416428;;;43259.7773438;41988.921875;
;TH;2014;p16p17;45383.6827388;44490.6569596;;;;;;;;0.0025090035;0.0021210408;;;44675.6328125;43660.1523438;
;TH;2014;p17p18;46795.0717383;46137.5456134;;;;;;;;0.0025870311;0.0021995544;;;46090.9414062;45318.078125;
;TH;2014;p18p19;48192.1036749;47755.1557474;;;;;;;;0.002664265;0.0022766721;;;47496.8320312;46952.140625;
;TH;2014;p19p20;49564.0265444;49332.4841082;;;;;;;;0.0027401107;0.0023518694;;;48883.2148438;48551.4648438;
;TH;2014;p20p21;50899.8440747;50859.5383935;;;;;;;;0.0028139604;0.0024246699;;;50238.65625;50104.9101562;
;TH;2014;p21p22;52199.8005338;52340.0937987;;;;;;;;0.0028858276;0.0024952537;;;51554.875;51606.2226562;
;TH;2014;p22p23;53475.755555;53791.014165;;;;;;;;0.0029563678;0.0025644246;;;52840.7421875;53069.0546875;
;TH;2014;p23p24;54739.6698477;55228.82635;;;;;;;;0.0030262424;0.0026329707;;;54108.7890625;54510.828125;
;TH;2014;p24p25;56002.1353784;56667.9327482;;;;;;;;0.0030960368;0.0027015784;;;55370.34375;55947.0898438;
;TH;2014;p25p26;57271.9963338;58120.0056968;;;;;;;;0.0031662402;0.0027708043;;;56635.1953125;57390.9882812;
;TH;2014;p26p27;58555.9406036;59593.3672305;;;;;;;;0.0032372221;0.0028410451;;;57911.1914062;58852.6367188;
;TH;2014;p27p28;59857.9691293;61092.1979018;;;;;;;;0.0033092038;0.0029125002;;;59203.7578125;60338.4257812;
;TH;2014;p28p29;61178.8526187;62615.6528095;;;;;;;;0.0033822278;0.0029851291;;;60515.390625;61850.1757812;
;TH;2014;p29p30;62515.4366452;64156.840879;;;;;;;;0.0034561199;0.0030586035;;;61845.0078125;63384.203125;
;TH;2014;p30p31;63860.7553589;65702.6685805;;;;;;;;0.0035304949;0.0031322991;;;63187.265625;64930.2265625;
;TH;2014;p31p32;65212.6398283;67244.0275838;;;;;;;;0.0036052328;0.0032057816;;;64535.2265625;66474.2109375;
;TH;2014;p32p33;66576.1228168;68780.722536;;;;;;;;0.003680612;0.0032790417;;;65892.0078125;68013.046875;
;TH;2014;p33p34;67956.1402228;70314.5067296;;;;;;;;0.0037569052;0.0033521631;;;67263.015625;69547.890625;
;TH;2014;p34p35;69356.4824121;71848.4325541;;;;;;;;0.0038343221;0.0034252913;;;68652.671875;71081.1171875;
;TH;2014;p35p36;70779.5120459;73387.1201062;;;;;;;;0.0039129932;0.0034986464;;;70064.1015625;72616.515625;
;TH;2014;p36p37;72225.8229482;74937.0404514;;;;;;;;0.0039929515;0.0035725371;;;71498.84375;74159.5703125;
;TH;2014;p37p38;73693.7894733;76506.8379569;;;;;;;;0.0040741069;0.0036473754;;;72956.453125;75717.78125;
;TH;2014;p38p39;75179.1327194;78107.7502997;;;;;;;;0.004156223;0.003723697;;;74434.0703125;77301.03125;
;TH;2014;p39p40;76674.3140703;79754.043127;;;;;;;;0.004238883;0.0038021822;;;75925.890625;78921.9765625;
;TH;2014;p40p41;78169.453306;81462.2921348;;;;;;;;0.0043215407;0.003883621;;;77422.5546875;80596.5703125;
;TH;2014;p41p42;79667.3637203;83238.9342019;;;;;;;;0.0044043516;0.0039683203;;;78916.59375;82339.6015625;
;TH;2014;p42p43;81185.0598435;85078.1819979;;;;;;;;0.0044882563;0.0040560043;;;80421.46875;84148.6953125;
;TH;2014;p43p44;82738.8823635;86973.3495688;;;;;;;;0.0045741582;0.0041463543;;;81954.71875;86016.984375;
;TH;2014;p44p45;84342.2407518;88918.2051565;;;;;;;;0.0046627987;0.004239073;;;83531.3671875;87937.984375;
;TH;2014;p45p46;86004.6024997;90907.2007377;;;;;;;;0.0047547012;0.0043338961;;;85163.03125;89905.7578125;
;TH;2014;p46p47;87730.3223162;92935.8529628;;;;;;;;0.0048501063;0.0044306098;;;86856.84375;91915.2265625;
;TH;2014;p47p48;89517.1512511;95001.0361851;;;;;;;;0.0049488898;0.004529065;;;88614.125;93962.5234375;
;TH;2014;p48p49;91354.5268185;97101.5294486;;;;;;;;0.0050504678;0.0046292036;;;90428.78125;96045.3828125;
;TH;2014;p49p50;93221.3914311;99238.5439417;;;;;;;;0.005153676;0.0047310833;;;92285.3984375;98163.703125;
;TH;2014;p50p51;95086.7398975;101416.240682;;;;;;;;0.0052568004;0.0048349025;;;94156.8828125;100320.125;
;TH;2014;p51p52;96939.7233485;103639.9235;;;;;;;;0.0053592413;0.004940914;;;96014.078125;102520.039062;
;TH;2014;p52p53;98797.2215463;105913.802253;;;;;;;;0.0054619317;0.0050493185;;;97866.140625;104768.179688;
;TH;2014;p53p54;100677.436669;108241.393293;;;;;;;;0.005565878;0.0051602838;;;99732.125;107068.382812;
;TH;2014;p54p55;102596.237715;110625.441328;;;;;;;;0.0056719575;0.0052739405;;;101629.234375;109423.835938;
;TH;2014;p55p56;104565.972853;113067.577556;;;;;;;;0.0057808529;0.0053903665;;;103571.804688;111836.765625;
;TH;2014;p56p57;106594.062777;115567.919188;;;;;;;;0.0058929743;0.0055095674;;;105569.976562;114308.125;
;TH;2014;p57p58;108681.097099;118124.629907;;;;;;;;0.0060083545;0.0056314557;;;107628.117188;116837.148438;
;TH;2014;p58p59;110818.534863;120733.275201;;;;;;;;0.0061265212;0.0057558198;;;109742.679688;119420.820312;
;TH;2014;p59p60;112985.68067;123386.060488;;;;;;;;0.0062463302;0.0058822883;;;111899.601562;122053.15625;
;TH;2014;p60p61;115149.549917;126072.544156;;;;;;;;0.0063659581;0.0060103633;;;114070.953125;124724.398438;
;TH;2014;p61p62;117299.622232;128796.086273;;;;;;;;0.0064848233;0.0061402051;;;116225.304688;127426.59375;
;TH;2014;p62p63;119458.336582;131577.120756;;;;;;;;0.0066041662;0.0062727877;;;118375.367188;130175.140625;
;TH;2014;p63p64;121651.661182;134438.425757;;;;;;;;0.0067254226;0.0064091971;;;120547.078125;132992.46875;
;TH;2014;p64p65;123904.999905;137403.023617;;;;;;;;0.0068499967;0.0065505309;;;122766.28125;135901.59375;
;TH;2014;p65p66;126241.937251;140493.399458;;;;;;;;0.0069791926;0.006697861;;;125057.710938;138925.4375;
;TH;2014;p66p67;128682.494771;143730.3486;;;;;;;;0.007114117;0.0068521788;;;127443.53125;142085.84375;
;TH;2014;p67p68;131240.705244;147131.423502;;;;;;;;0.0072555458;0.0070143212;;;129941.226562;145402.3125;
;TH;2014;p68p69;133921.176068;150708.638369;;;;;;;;0.0074037337;0.0071848608;;;132560.78125;148890.046875;
;TH;2014;p69p70;136714.523983;154465.392343;;;;;;;;0.0075581619;0.0073639597;;;135300.71875;152557.375;
;TH;2014;p70p71;139593.955315;158394.447598;;;;;;;;0.0077173491;0.0075512729;;;138142.65625;156402.0625;
;TH;2014;p71p72;142542.699801;162499.183739;;;;;;;;0.0078803683;0.0077469614;;;141056.328125;160415.71875;
;TH;2014;p72p73;145570.747161;166805.651078;;;;;;;;0.0080477716;0.0079522673;;;144042.15625;164616.15625;
;TH;2014;p73p74;148697.394568;171348.505225;;;;;;;;0.008220626;0.0081688426;;;147115.59375;169034.390625;
;TH;2014;p74p75;151951.58357;176171.163368;;;;;;;;0.0084005315;0.0083987573;;;150300.203125;173709.078125;
;TH;2014;p75p76;155375.968414;181328.30479;;;;;;;;0.0085898461;0.0086446181;;;153631.015625;178688.78125;
;TH;2014;p76p77;159032.374179;186889.299316;;;;;;;;0.0087919878;0.0089097321;;;157159.140625;184034.84375;
;TH;2014;p77p78;163009.764958;192942.759032;;;;;;;;0.0090118749;0.0091983238;;;160958.46875;189825.40625;
;TH;2014;p78p79;167435.547578;199602.92633;;;;;;;;0.009256551;0.0095158396;;;165134.90625;196160.671875;
;TH;2014;p79p80;172491.743824;207018.152221;;;;;;;;0.0095360791;0.009869352;;;169839.96875;203170.265625;
;TH;2014;p80p81;178432.897809;215381.71889;;;;;;;;0.0098645315;0.0102680754;;;175290.109375;211023.265625;
;TH;2014;p81p82;185548.357631;224931.116889;;;;;;;;0.0102579044;0.0107233319;;;181771.296875;219937.15625;
;TH;2014;p82p83;194137.663255;235944.821814;;;;;;;;0.0107327579;0.0112483976;;;189570.171875;230168.25;
;TH;2014;p83p84;204549.073485;248752.784755;;;;;;;;0.011308345;0.0118590025;;;199007.921875;242019.5;
;TH;2014;p84p85;217184.636623;263740.886349;;;;;;;;0.0120068928;0.012573543;;;210460.125;255848.53125;
;TH;2014;p85p86;232491.615822;281348.436253;;;;;;;;0.0128531279;0.0134129627;;;224354.03125;272069.15625;
;TH;2014;p86p87;250934.356152;302052.017465;;;;;;;;0.0138727212;0.0143999821;;;241152.5;291143.71875;
;TH;2014;p87p88;272926.883471;326320.457473;;;;;;;;0.0150885619;0.015556952;;;261310.78125;313556.0625;
;TH;2014;p88p89;298686.343618;354509.767447;;;;;;;;0.0165126547;0.0169008449;;;285178.46875;339743.46875;
;TH;2014;p89p90;327927.279941;386633.876052;;;;;;;;0.0181292184;0.0184323248;;;312791.9375;369944.5625;
;TH;2014;p90p91;359480.339348;422085.899889;;;;;;;;0.019873606;0.0201224592;;;343443.375;403871.15625;
;TH;2014;p91p92;393315.535836;461382.078598;;;;;;;;0.02174416;0.0219958592;;;375846.9375;440895.5;
;TH;2014;p92p93;432244.781687;507620.748653;;;;;;;;0.0238963347;0.0242002346;;;411604.5625;482998.25;
;TH;2014;p93p94;480953.23846;565656.664683;;;;;;;;0.0265891459;0.02696703;;;454481.09375;534180.5625;
;TH;2014;p94p95;545861.010751;641718.107737;;;;;;;;0.0301775243;0.0305931717;;;510122.5;600151.25;
;TH;2014;p95p96;632079.095071;740131.988838;;;;;;;;0.0349440277;0.0352849402;;;585354.8125;687161.125;
;TH;2014;p96p97;737216.697189;868566.769875;;;;;;;;0.0407564826;0.0414079204;;;681639.5;797157.8125;
;TH;2014;p97p98;893995.926374;1065942.84867;;;;;;;;0.049423907;0.0508175977;;;800232.5625;951456.375;
;TH;2014;p98p99;1204927.40862;1447980.89086;;;;;;;;0.0666135252;0.0690308213;;;1007472.4375;1206497.625;
;TH;2014;p1p100;182596.056597;211775.521269;;;11.7694692612;15.1753225327;;;;0.9993741741;0.9995192533;;;15514.3828125;13955.2568359;
;TH;2014;p2p100;184276.123885;213770.858674;;;9.1875486374;11.7394609451;;;;0.9983818513;0.9987453896;;;20057.1582031;18209.5976562;
;TH;2014;p3p100;185951.633028;215770.48925;;;7.9778676033;10.1412601471;;;;0.9971793225;0.9978011284;;;23308.4375;21276.4960938;
;TH;2014;p4p100;187631.766969;217783.147098;;;7.2360582352;9.1656103134;;;;0.9958160803;0.9967258287;;;25930.1074219;23760.9003906;
;TH;2014;p5p100;189321.851709;219814.045516;;;6.7218708992;8.4916038513;;;;0.9943193298;0.9955412386;;;28165.0527344;25886.046875;
;TH;2014;p6p100;191025.61569;221866.940047;;;6.3393325806;7.9915304184;;;;0.9927067963;0.9942615791;;;30133.3964844;27762.7597656;
;TH;2014;p7p100;192745.963304;223944.838331;;;6.041331768;7.6028804779;;;;0.9909911439;0.9928970391;;;31904.5488281;29455.2617188;
;TH;2014;p8p100;194485.321982;226050.320017;;;5.8015975952;7.2908759117;;;;0.9891819683;0.991455357;;;33522.71875;31004.5488281;
;TH;2014;p9p100;196245.824246;228185.705343;;;5.6041350365;7.0343837738;;;;0.9872868449;0.9899426536;;;35018.0390625;32438.6210938;
;TH;2014;p10p100;198029.413828;230353.153946;;;5.4385638237;6.8197097778;;;;0.9853119383;0.9883639184;;;36412.078125;33777.5585938;
;TH;2014;p11p100;199837.951319;232552.959819;;;5.2962031364;6.5749278069;;;;0.983262574;0.9867158129;;;37732.3046875;35369.6601562;
;TH;2014;p12p100;201672.418528;234784.468361;;;5.1602478027;6.3462634087;;;;0.9811393909;0.9849909631;;;39081.9257812;36995.703125;
;TH;2014;p13p100;203533.396127;237048.431956;;;5.0309100151;6.1336765289;;;;0.9789408812;0.9831879556;;;40456.578125;38647.0390625;
;TH;2014;p14p100;205421.546751;239345.740991;;;4.9083828926;5.9369497299;;;;0.9766657987;0.9813057989;;;41851.1640625;40314.5976562;
;TH;2014;p15p100;207337.628831;241677.436758;;;4.7928500175;5.7557430267;;;;0.9743132006;0.9793439438;;;43259.7773438;41988.921875;
;TH;2014;p16p100;209282.512384;244044.725124;;;4.6844892502;5.5896444321;;;;0.9718824947;0.977302301;;;44675.6328125;43660.1523438;
;TH;2014;p17p100;211257.197062;246448.990979;;;4.5834860802;5.4382047653;;;;0.9693734911;0.9751812601;;;46090.9414062;45318.078125;
;TH;2014;p18p100;213262.832734;248891.813484;;;4.4900431633;5.3009681702;;;;0.96678646;0.9729817057;;;47496.8320312;46952.140625;
;TH;2014;p19p100;215300.742986;251374.982089;;;4.4043898582;5.1774954796;;;;0.9641221951;0.9707050336;;;48883.2148438;48551.4648438;
;TH;2014;p20p100;217372.451923;253900.513343;;;4.3267965317;5.0673780441;;;;0.9613820843;0.9683531644;;;50238.65625;50104.9101562;
;TH;2014;p21p100;219479.700142;256470.652239;;;4.2572054863;4.9697623253;;;;0.9585681239;0.9659284944;;;51554.875;51606.2226562;
;TH;2014;p22p100;221624.314262;259087.710678;;;4.19419384;4.882086277;;;;0.9556822965;0.9634332407;;;52840.7421875;53069.0546875;
;TH;2014;p23p100;223808.061765;261753.901541;;;4.1362609863;4.8018698692;;;;0.9527259286;0.960868816;;;54108.7890625;54510.828125;
;TH;2014;p24p100;226032.645847;264471.336711;;;4.0821967125;4.72716856;;;;0.9496996861;0.9582358452;;;55370.34375;55947.0898438;
;TH;2014;p25p100;228299.719329;267242.048796;;;4.0310573578;4.6565160751;;;;0.9466036493;0.9555342669;;;56635.1953125;57390.9882812;
;TH;2014;p26p100;230610.904759;270068.022362;;;3.9821474552;4.5888857841;;;;0.9434374091;0.9527634626;;;57911.1914062;58852.6367188;
;TH;2014;p27p100;232967.822087;272951.236809;;;3.9350175858;4.523671627;;;;0.9402001871;0.9499224174;;;59203.7578125;60338.4257812;
;TH;2014;p28p100;235372.125575;275893.723468;;;3.8894588947;4.4606781006;;;;0.9368909832;0.9470099173;;;60515.390625;61850.1757812;
;TH;2014;p29p100;237825.551954;278897.639987;;;3.8455092907;4.4001126289;;;;0.9335087553;0.9440247883;;;61845.0078125;63384.203125;
;TH;2014;p30p100;240329.982202;281965.365685;;;3.803456068;4.342590332;;;;0.9300526355;0.9409661847;;;63187.265625;64930.2265625;
;TH;2014;p31p100;242887.507209;285099.60766;;;3.7636423111;4.2888755798;;;;0.9265221406;0.9378338857;;;64535.2265625;66474.2109375;
;TH;2014;p32p100;245500.37289;288303.366197;;;3.7257988453;4.2389421463;;;;0.9229169077;0.9346281041;;;65892.0078125;68013.046875;
;TH;2014;p33p100;248170.884068;291579.823539;;;3.6895592213;4.192504406;;;;0.9192362957;0.9313490623;;;67263.015625;69547.890625;
;TH;2014;p34p100;250901.410517;294932.328323;;;3.6546487808;4.1492362022;;;;0.9154793906;0.9279968991;;;68652.671875;71081.1171875;
;TH;2014;p35p100;253694.409432;298364.388227;;;3.6208901405;4.1087675095;;;;0.9116450686;0.9245716077;;;70064.1015625;72616.515625;
;TH;2014;p36p100;256552.454652;301879.658009;;;3.5882041454;4.0706768036;;;;0.9077320751;0.9210729612;;;71498.84375;74159.5703125;
;TH;2014;p37p100;259478.274212;305481.921817;;;3.5566184521;4.0344805717;;;;0.9037391237;0.9175004242;;;72956.453125;75717.78125;
;TH;2014;p38p100;262474.798158;309175.068352;;;3.5262722969;3.9996240139;;;;0.8996650168;0.9138530489;;;74434.0703125;77301.03125;
;TH;2014;p39p100;265545.218957;312963.057179;;;3.4974265099;3.9654741287;;;;0.8955087939;0.9101293519;;;75925.890625;78921.9765625;
;TH;2014;p40p100;268693.067352;316849.874103;;;3.4704754353;3.9313070774;;;;0.8912699108;0.9063271698;;;77422.5546875;80596.5703125;
;TH;2014;p41p100;271922.281197;320839.494138;;;3.4456920624;3.8965392113;;;;0.8869483703;0.9024435488;;;78916.59375;82339.6015625;
;TH;2014;p42p100;275237.021131;324936.055545;;;3.4224321842;3.8614509106;;;;0.8825440186;0.8984752286;;;80421.46875;84148.6953125;
;TH;2014;p43p100;278641.441474;329144.088379;;;3.3999438286;3.8265011311;;;;0.8780557622;0.8944192242;;;81954.71875;86016.984375;
;TH;2014;p44p100;282139.701411;333468.565803;;;3.3776497841;3.7920877934;;;;0.8734816038;0.8902728697;;;83531.3671875;87937.984375;
;TH;2014;p45p100;285736.018885;337914.936067;;;3.3551650047;3.758546114;;;;0.8688188052;0.8860337969;;;85163.03125;89905.7578125;
;TH;2014;p46p100;289434.748797;342489.153358;;;3.3323194981;3.7261416912;;;;0.8640641039;0.8816999007;;;86856.84375;91915.2265625;
;TH;2014;p47p100;293240.492716;347197.706287;;;3.3091845512;3.6950657368;;;;0.8592139977;0.8772692912;;;88614.125;93962.5234375;
;TH;2014;p48p100;297158.24921;352047.6423;;;3.2861025333;3.665430069;;;;0.8542651076;0.8727402263;;;90428.78125;96045.3828125;
;TH;2014;p49p100;301193.616328;357046.585754;;;3.2637190819;3.6372566223;;;;0.8492146399;0.8681110229;;;92285.3984375;98163.703125;
;TH;2014;p50p100;305353.060864;362202.746684;;;3.2430243492;3.6104693413;;;;0.844060964;0.8633799399;;;94156.8828125;100320.125;
;TH;2014;p51p100;309644.210326;367524.920302;;;3.2249875069;3.5849080086;;;;0.8388041637;0.8585450374;;;96014.078125;102520.039062;
;TH;2014;p52p100;314075.553788;373022.524376;;;3.209236145;3.5604562759;;;;0.8334449223;0.8536041234;;;97866.140625;104768.179688;
;TH;2014;p53p100;318655.943808;378705.688734;;;3.1951184273;3.537045002;;;;0.8279829906;0.848554805;;;99732.125;107068.382812;
;TH;2014;p54p100;323394.606946;384585.347282;;;3.1821022034;3.514639616;;;;0.8224171124;0.8433945211;;;101629.234375;109423.835938;
;TH;2014;p55p100;328301.237466;390673.345105;;;3.1697936058;3.4932460785;;;;0.8167451551;0.8381205804;;;103571.804688;111836.765625;
;TH;2014;p56p100;333386.129904;396982.567152;;;3.1579635143;3.4729163647;;;;0.8109643024;0.832730214;;;105569.976562;114308.125;
;TH;2014;p57p100;338660.36412;403527.093877;;;3.1465790272;3.4537568092;;;;0.8050713283;0.8272206466;;;107628.117188;116837.148438;
;TH;2014;p58p100;344136.060919;410322.390674;;;3.1358451843;3.4359366894;;;;0.7990629738;0.821589191;;;109742.679688;119420.820312;
;TH;2014;p59p100;349826.732325;417385.539906;;;3.1262552738;3.4197030067;;;;0.7929364527;0.8158333713;;;111899.601562;122053.15625;
;TH;2014;p60p100;355747.758667;424735.526885;;;3.1186532974;3.4053924084;;;;0.7866901226;0.809951083;;;114070.953125;124724.398438;
;TH;2014;p61p100;361916.943458;432393.552005;;;3.113925457;3.3932754993;;;;0.7803241643;0.8039407195;;;116225.304688;127426.59375;
;TH;2014;p62p100;368354.241487;440382.959087;;;3.1117475033;3.3830034733;;;;0.7738393413;0.7978005145;;;118375.367188;130175.140625;
;TH;2014;p63p100;375081.157856;448729.062911;;;3.1114909649;3.374093771;;;;0.7672351751;0.791527727;;;120547.078125;132992.46875;
;TH;2014;p64p100;382120.866061;457459.358453;;;3.1125881672;3.3661074638;;;;0.7605097524;0.78511853;;;122766.28125;135901.59375;
;TH;2014;p65p100;389498.46227;466603.825209;;;3.1145496368;3.3586637974;;;;0.7536597557;0.7785679992;;;125057.710938;138925.4375;
;TH;2014;p66p100;397241.301293;476195.308452;;;3.1169984341;3.3514621258;;;;0.7466805632;0.7718701384;;;127443.53125;142085.84375;
;TH;2014;p67p100;405379.446856;486270.004135;;;3.1197137833;3.3443071842;;;;0.739566446;0.7650179594;;;129941.226562;145402.3125;
;TH;2014;p68p100;413946.282657;496868.08473;;;3.1226904392;3.3371477127;;;;0.7323109004;0.7580036382;;;132560.78125;148890.046875;
;TH;2014;p69p100;422979.350569;508034.518437;;;3.12621665;3.3301210403;;;;0.7249071667;0.7508187774;;;135300.71875;152557.375;
;TH;2014;p70p100;432521.511347;519820.155978;;;3.1309771538;3.3236143589;;;;0.7173490047;0.7434548177;;;138142.65625;156402.0625;
;TH;2014;p71p100;442622.461512;532283.111598;;;3.1379127502;3.3181481361;;;;0.7096316555;0.735903545;;;141056.328125;160415.71875;
;TH;2014;p72p100;453339.596142;545489.680518;;;3.1472702026;3.3137068748;;;;0.7017512877;0.7281565837;;;144042.15625;164616.15625;
;TH;2014;p73p100;464738.44246;559515.015199;;;3.1590018272;3.3100662231;;;;0.6937035161;0.7202043167;;;147115.59375;169034.390625;
;TH;2014;p74p100;476893.867653;574444.496244;;;3.1729421616;3.3069341183;;;;0.6854828905;0.7120354739;;;150300.203125;173709.078125;
;TH;2014;p75p100;489891.558917;590375.429171;;;3.1887543201;3.3039312363;;;;0.6770823588;0.7036367162;;;153631.015625;178688.78125;
;TH;2014;p76p100;503829.708726;607419.058978;;;3.2058568001;3.3005654812;;;;0.668492513;0.6949920976;;;157159.140625;184034.84375;
;TH;2014;p77p100;518820.897513;625702.961861;;;3.2233214378;3.2962024212;;;;0.6597005257;0.6860823659;;;160958.46875;189825.40625;
;TH;2014;p78p100;534994.130703;645373.880069;;;3.2397398949;3.2900269032;;;;0.6506886506;0.6768840419;;;165134.90625;196160.671875;
;TH;2014;p79p100;552496.920414;666601.068458;;;3.2530441284;3.2809972763;;;;0.6414320996;0.6673682024;;;169839.96875;203170.265625;
;TH;2014;p80p100;571497.179371;689580.214333;;;3.2602932453;3.2677924633;;;;0.6318960206;0.6574988505;;;175290.109375;211023.265625;
;TH;2014;p81p100;592184.773469;714538.029833;;;3.257856369;3.2488281727;;;;0.6220314895;0.6472307751;;;181771.296875;219937.15625;
;TH;2014;p82p100;614775.685361;741738.41386;;;3.2429978848;3.2225921154;;;;0.611773585;0.6365074431;;;189570.171875;230168.25;
;TH;2014;p83p100;639519.098707;771490.978124;;;3.2135357857;3.1877224445;;;;0.6010408274;0.6252590455;;;199007.921875;242019.5;
;TH;2014;p84p100;666704.725547;804162.114714;;;3.1678433418;3.1431179047;;;;0.5897324826;0.6134000426;;;210460.125;255848.53125;
;TH;2014;p85p100;696672.731172;840190.19628;;;3.1052381992;3.0881493092;;;;0.5777255896;0.6008264993;;;224354.03125;272069.15625;
;TH;2014;p86p100;729828.525047;880107.465257;;;3.0264191628;3.0229313374;;;;0.5648724616;0.5874135369;;;241152.5;291143.71875;
;TH;2014;p87p100;766666.537479;924573.268696;;;2.9339261055;2.948669672;;;;0.55099974;0.5730135547;;;261310.78125;313556.0625;
;TH;2014;p88p100;807811.50934;974427.669246;;;2.8326525688;2.8681278229;;;;0.5359111785;0.5574566025;;;285178.46875;339743.46875;
;TH;2014;p89p100;854095.614823;1030783.84225;;;2.7305550575;2.7863197327;;;;0.5193985235;0.5405557577;;;312791.9375;369944.5625;
;TH;2014;p91p100;967516.017673;1169989.16616;;;2.5742287636;2.6536655426;;;;0.4813956999;0.5020009741;;;375846.9375;440895.5;
;TH;2014;p92p100;1039291.07807;1258565.05105;;;2.5249745846;2.6057341099;;;;0.45965154;0.4800051145;;;411604.5625;482998.25;
;TH;2014;p93p100;1126011.97853;1365842.81072;;;2.4775772095;2.5568935871;;;;0.4357552057;0.4558048807;;;454481.09375;534180.5625;
;TH;2014;p94p100;1233521.77111;1499207.16806;;;2.4180893898;2.4980487823;;;;0.4091660607;0.4288378505;;;510122.5;600151.25;
;TH;2014;p95p100;1371053.92003;1670704.9763;;;2.3422613144;2.4313147068;;;;0.3789885355;0.3982446779;;;585354.8125;687161.125;
;TH;2014;p96p100;1555797.62371;1903348.21345;;;2.2824347019;2.3876681328;;;;0.3440445072;0.3629597359;;;681639.5;797157.8125;
;TH;2014;p97p100;1828657.93627;2248275.36135;;;2.2851581573;2.3629832268;;;;0.3032880252;0.3215518155;;;800232.5625;951456.375;
