Variable Code;country;year;perc;afiinc992j;aptinc992j;aptkin992j;aptlin992j;bfiinc992j;bptinc992j;bptkin992j;bptlin992j;tptlin992j;sfiinc992j;sptinc992j;sptkin992j;sptlin992j;tfiinc992j;tptinc992j;tptkin992j
;TH;2016;p99.1p99.2;1700655.2015;2113683.12841;;;;;;;;0.0090307603;0.0094391527;;;1652180.0;2049737.625;
;TH;2016;p99.2p100;3987110.83;5148099.96428;;;2.2762169838;2.3617017269;;;;0.1693777411;0.1839204783;;;1751639.125;2179826.5;
;TH;2016;p99.2p99.3;1808798.2047;2256946.74874;;;;;;;;0.0096050175;0.0100789303;;;1751639.125;2179826.5;
;TH;2016;p99.3p100;4298298.35732;5561121.86105;;;2.2986760139;2.3778693676;;;;0.159772724;0.1738415483;;;1869901.75;2338699.5;
;TH;2016;p99.3p99.4;1942096.13152;2433942.87497;;;;;;;;0.0103128515;0.0108693484;;;1869901.75;2338699.5;
;TH;2016;p99.4p100;4690998.71896;6082318.34981;;;2.3196678162;2.3967535496;;;;0.1494598722;0.1629721996;;;2022271.75;2537732.0;
;TH;2016;p99.4p99.5;2126370.5434;2663169.96462;;;;;;;;0.0112913791;0.0118930163;;;2022271.75;2537732.0;
;TH;2016;p99.5p100;5203924.35701;6766148.04025;;;2.3168337345;2.4130122662;;;;0.1381684931;0.1510791837;;;2246136.25;2804025.5;
;TH;2016;p99.5p99.6;2404220.84319;2987792.5451;;;;;;;;0.0127668101;0.0133426953;;;2246136.25;2804025.5;
;TH;2016;p99.6p100;5903850.22207;7710736.9362;;;2.2831578255;2.4097456932;;;;0.1254016827;0.1377364887;;;2585826.5;3199813.5;
;TH;2016;p99.6p99.7;2827385.73852;3489524.49361;;;;;;;;0.0150138857;0.0155832982;;;2585826.5;3199813.5;
;TH;2016;p99.7p100;6929338.39223;9117807.74364;;;2.2296891212;2.3783931732;;;;0.1103877972;0.1221531905;;;3107760.0;3833599.75;
;TH;2016;p99.7p99.8;3499061.85354;4317997.24938;;;;;;;;0.0185805969;0.0192830395;;;3107760.0;3833599.75;
;TH;2016;p99.8p100;8644476.74103;11517713.023;;;2.1748065948;2.3452689648;;;;0.0918072011;0.1028701513;;;3974825.5;4911041.5;
;TH;2016;p99.8p99.9;4777294.73918;5917756.26883;;;;;;;;0.0253682248;0.0264271423;;;3974825.5;4911041.5;
;TH;2016;p99.91p100;13229158.357;18183284.2923;;;2.123789072;2.3478524685;;;;0.0632241161;0.0730815867;;;6229036.0;7744645.5;
;TH;2016;p99.91p99.92;6423102.88726;7986374.47195;;;;;;;;0.0034107738;0.0035665047;;;6229036.0;7744645.5;
;TH;2016;p99.92p100;14079915.2836;19457898.0392;;;2.1246159077;2.3594658375;;;;0.0598133422;0.0695150821;;;6627040.5;8246738.5;
;TH;2016;p99.92p99.93;6851631.66531;8537364.73405;;;;;;;;0.0036383297;0.0038125624;;;6627040.5;8246738.5;
;TH;2016;p99.93p100;15112527.2242;21017974.2349;;;2.1323046684;2.3770487309;;;;0.0561750125;0.0657025196;;;7087414.5;8842046.0;
;TH;2016;p99.93p99.94;7349784.72314;9195891.44877;;;;;;;;0.0039028572;0.0041066431;;;7087414.5;8842046.0;
;TH;2016;p99.94p100;16406317.6655;22988321.3388;;;2.1504709721;2.401414156;;;;0.0522721554;0.0615958764;;;7629174.0;9572827.0;
;TH;2016;p99.94p99.95;7959525.07966;10021712.0937;;;;;;;;0.0042266394;0.0044754329;;;7629174.0;9572827.0;
;TH;2016;p99.95p100;18095676.1495;25581643.097;;;2.1724879742;2.4321975708;;;;0.0480455159;0.0571204433;;;8329471.5;10517913.0;
;TH;2016;p99.95p99.96;8797861.1794;11126670.69;;;;;;;;0.0046718097;0.0049688783;;;8329471.5;10517913.0;
;TH;2016;p99.96p100;20420129.8869;29195386.1151;;;2.1923072338;2.4720745087;;;;0.0433737062;0.0521515648;;;9314447.0;11810075.0;
;TH;2016;p99.96p99.97;9951805.83362;12707818.4272;;;;;;;;0.0052845734;0.0056749773;;;9314447.0;11810075.0;
;TH;2016;p99.97p100;23909571.2538;34691242.0481;;;2.235206604;2.5225446224;;;;0.0380891328;0.0464765875;;;10696806.0;13752479.0;
;TH;2016;p99.97p99.98;11835745.2241;15300002.8734;;;;;;;;0.0062849764;0.0068325787;;;10696806.0;13752479.0;
;TH;2016;p99.98p100;29946484.1708;44386861.5908;;;2.2548055649;2.5723369122;;;;0.0318041563;0.0396440088;;;13281182.0;17255462.0;
;TH;2016;p99.98p99.99;15842952.4245;20754849.742;;;;;;;;0.0084128696;0.0092685698;;;13281182.0;17255462.0;
;TH;2016;p99.991p100;46715666.6986;72619682.8496;;;2.261030674;2.6446869373;;;;0.0223261122;0.0291870355;;;20661226.0;27458706.0;
;TH;2016;p99.991p99.992;21337271.0499;28415711.3401;;;;;;;;0.0011330444;0.0012689709;;;20661226.0;27458706.0;
;TH;2016;p99.992p100;49887966.2735;78145179.3709;;;2.2618749142;2.654708147;;;;0.0211930679;0.0279180647;;;22056024.0;29436448.0;
;TH;2016;p99.992p99.993;22874940.2287;30607422.7729;;;;;;;;0.0012146971;0.001366847;;;22056024.0;29436448.0;
;TH;2016;p99.993p100;53746970.1183;84936287.5361;;;2.2627680302;2.6653208733;;;;0.0199783708;0.0265512177;;;23752752.0;31867190.0;
;TH;2016;p99.993p99.994;24771863.36;33341253.3375;;;;;;;;0.0013154269;0.0014889326;;;23752752.0;31867190.0;
;TH;2016;p99.994p100;58576154.5656;93535459.8213;;;2.2637209892;2.6766405106;;;;0.0186629439;0.0250622851;;;25876048.0;34945096.0;
;TH;2016;p99.994p99.995;27190626.5892;36872124.8586;;;;;;;;0.0014438672;0.0016466121;;;25876048.0;34945096.0;
;TH;2016;p99.995p100;64853259.9976;104868126.6;;;2.2647483349;2.6888298988;;;;0.0172190766;0.0234156729;;;28635968.0;39001400.0;
;TH;2016;p99.995p99.996;30418786.5401;41657032.1977;;;;;;;;0.0016152879;0.0018602934;;;28635968.0;39001400.0;
;TH;2016;p99.996p100;73461878.4952;120670900.12;;;2.2658727169;2.7021305561;;;;0.0156037888;0.0215553795;;;32421008.0;44657688.0;
