Variable Name;.;.;.;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Threshold | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | individuals | Threshold | Adults | constant 2015 local currency
;MW;1980;p99.75p100;5304407.5;;8602067.0;;;;;;;0.0439772867;0.0439772867;
;MW;1980;p99.95p100;13601870.0;;22057920.0;;1.1907430887;1.1907430887;18524500.0;;;0.0225548968;0.0225548968;11423010.0
;MW;1979;p0p100;280317.5625;426295.25;455703.875;693015.4375;;;;8.93818241024e+11;1.45305357517e+12;;;
;MW;1979;p99.9p100;11545139.0;;18768588.0;;1.4117412567;1.4117411375;13294638.0;;;0.0411853977;0.0411853977;8177943.0
;MW;1979;p99.99p100;30457274.0;;49513480.0;;1.0726751089;1.0726751089;46158876.0;;;0.0108670779;0.0108670779;28393754.0
;MW;1979;p99.5p99.9;2349305.25;;3819195.0;;;;2887936.5;;;0.0335235484;0.0335235484;1776459.125
;MW;1979;p99.95p99.99;12458362.0;;20253188.0;;;;22308554.0;;;0.0177777987;0.0177777987;13722682.0
;MW;1979;p99.9p99.95;7031166.5;;11430357.0;;;;13294638.0;;;0.0125405211;0.0125405211;8177943.0
;MW;1979;p99.9p99.99;9443373.0;;15351809.0;;;;13294638.0;;;0.0303183198;0.0303183198;8177943.0
;MW;1979;p99.5p100;4188446.0;;;;2.3577497005;;2887936.5;;;0.074708946;0.074708946;1776459.125
;MW;1979;p99.75p100;6699007.0;;10890376.0;;;;;;;0.0597447455;0.0597447455;
;MW;1979;p99.95p100;16058574.0;;26105944.0;;1.1702212095;1.1702212095;22308554.0;;;0.0286448766;0.0286448766;13722682.0
;MW;1979;p99.995p100;39756556.0;;64631044.0;;;;;;;0.0070925187;0.0070925187;
;MW;1978;p0p100;290454.1875;441492.03125;475046.40625;722073.25;;;;8.98748973056e+11;1.46993053696e+12;;;
;MW;1978;p99.9p100;10537371.0;;17234182.0;;1.2971316576;1.2971316576;13286379.0;;;0.0362784788;0.0362784788;8123594.5
;MW;1978;p99.99p100;28460210.0;;46547516.0;;1.1530854702;1.1530854702;40367792.0;;;0.0098001454;0.0098001454;24681786.0
;MW;1978;p99.5p99.9;2410645.25;;3942681.75;;;;3087048.5;;;0.0331983529;0.0331983529;1887491.75
;MW;1978;p99.95p99.99;10858216.0;;17758932.0;;;;20564362.0;;;0.0149536831;0.0149536831;12573519.0
;MW;1978;p99.9p99.95;6695250.5;;10950280.0;;;;13286379.0;;;0.0115246493;0.0115246493;8123594.5
;MW;1978;p99.9p99.99;8545549.0;;13976499.0;;;;13286379.0;;;0.0264783334;0.0264783334;8123594.5
;MW;1978;p99.5p100;4035967.5;;;;2.1382701397;;3087048.5;;;0.069476828;0.069476828;1887491.75
;MW;1978;p99.75p100;6330275.0;;10353352.0;;;;;;;0.0544859506;0.0544859506;
;MW;1978;p99.95p100;14379034.0;;23517336.0;;1.1435966492;1.1435966492;20564362.0;;;0.0247538276;0.0247538276;12573519.0
;MW;1978;p99.995p100;38208504.0;;62491136.0;;;;;;;0.0065784631;0.0065784631;
;MW;1977;p0p100;268754.125;408306.15625;464175.0625;705200.4375;;;;8.070578176e+11;1.39389894656e+12;;;
;MW;1977;p99.9p100;10290010.0;;17772252.0;;1.3826560974;1.3826560974;12853704.0;;;0.0382873267;0.0382873267;7442205.0
;MW;1977;p99.99p100;32045050.0;;55346176.0;;1.387440443;1.387440443;39890848.0;;;0.0119255353;0.0119255353;23096524.0
;MW;1977;p99.5p99.9;2174440.5;;3755555.5;;;;2914653.5;;;0.0323633328;0.0323633328;1687564.0
;MW;1977;p99.95p99.99;10043310.0;;17346166.0;;;;19881034.0;;;0.0149482051;0.0149482051;11510980.0
;MW;1977;p99.9p99.95;6135342.0;;10596573.0;;;;12853704.0;;;0.0114135873;0.0114135873;7442205.0
;MW;1977;p99.9p99.99;7872303.0;;13596542.0;;;;12853704.0;;;0.0263617933;0.0263617933;7442205.0
;MW;1977;p99.5p100;3797531.25;;;;2.2503035069;;2914653.5;;;0.0706506595;0.0706506595;1687564.0
;MW;1977;p99.75p100;6029787.5;;10414266.0;;;;;;;0.0560901277;0.0560901277;
;MW;1977;p99.95p100;14444182.0;;24947074.0;;1.2548177242;1.2548177242;19881034.0;;;0.0268737413;0.0268737413;11510980.0
;MW;1977;p99.995p100;46307348.0;;79979112.0;;;;;;;0.0086166179;0.0086166179;
;MW;1976;p0p100;266176.09375;404190.3125;457323.6875;694449.3125;;;;7.76081375232e+11;1.33340449997e+12;;;
;MW;1976;p99.9p100;10434027.0;;17926958.0;;1.2869024277;1.2869024277;13930317.0;;;0.0391992144;0.0391992144;8107862.0
;MW;1976;p99.99p100;28915988.0;;49681272.0;;1.1836791039;1.1836791039;41971908.0;;;0.0108652841;0.0108652841;24428908.0
;MW;1976;p99.5p99.9;2461361.0;;4228925.0;;;;3353192.75;;;0.0369885378;0.0369885378;1951658.625
;MW;1976;p99.95p99.99;10592850.0;;18199836.0;;;;20720024.0;;;0.0159188304;0.0159188304;12059675.0
;MW;1976;p99.9p99.95;6609684.0;;11356261.0;;;;13930317.0;;;0.012415099;0.012415099;8107862.0
;MW;1976;p99.9p99.99;8380068.0;;14398001.0;;;;13930317.0;;;0.0283339303;0.0283339303;8107862.0
;MW;1976;p99.5p100;4055871.75;;;;2.0781664848;;3353192.75;;;0.0761877522;0.0761877522;1951658.625
;MW;1976;p99.75p100;6320512.5;;10859428.0;;;;;;;0.0593639612;0.0593639612;
;MW;1976;p99.95p100;14257915.0;;24496874.0;;1.1822801828;1.1822801828;20720024.0;;;0.0267841145;0.0267841145;12059675.0
;MW;1976;p99.995p100;38907796.0;;66848444.0;;;;;;;0.0073098703;0.0073098703;
;MW;1975;p0p100;273324.6875;414841.59375;441151.84375;669563.125;;;;7.66817468416e+11;1.23765968077e+12;;;
;MW;1975;p99.9p100;11411955.0;;18419138.0;;1.300110817;1.300110817;14167360.0;;;0.0417518392;0.0417518392;8777679.0
;MW;1975;p99.99p100;33064652.0;;53367048.0;;1.2366532087;1.2366532087;43154416.0;;;0.0120992139;0.0120992139;26737206.0
;MW;1975;p99.5p99.9;2732887.75;;4410938.5;;;;3374736.0;;;0.0399948247;0.0399948247;2090887.0
;MW;1975;p99.95p99.99;11479898.0;;18528798.0;;;;20771038.0;;;0.0168006662;0.0168006662;12869123.0
;MW;1975;p99.9p99.95;7026024.5;;11340152.0;;;;14167360.0;;;0.0128519591;0.0128519591;8777679.0
;MW;1975;p99.9p99.99;9005622.0;;14535265.0;;;;14167360.0;;;0.0296526253;0.0296526253;8777679.0
;MW;1975;p99.5p100;4468676.5;;;;2.1372156143;;3374736.0;;;0.0817466676;0.0817466676;2090887.0
;MW;1975;p99.75p100;6977183.0;;11261322.0;;;;;;;0.0638176575;0.0638176575;
;MW;1975;p99.95p100;15797363.0;;25497280.0;;1.2275400162;1.2275400162;20771038.0;;;0.0288998801;0.0288998801;12869123.0
;MW;1975;p99.995p100;45589920.0;;73583096.0;;;;;;;0.0083412677;0.0083412677;
;MW;1974;p0p100;272874.0625;413690.125;429195.78125;650681.3125;;;;7.32019359744e+11;1.15137223066e+12;;;
;MW;1974;p99.9p100;11472693.0;;18045070.0;;1.2601211071;1.2601211071;14320108.0;;;0.042043373;0.042043373;9104437.0
;MW;1974;p99.99p100;32128048.0;;50533288.0;;1.165517807;1.165517807;43356940.0;;;0.0117759015;0.0117759015;27565472.0
;MW;1974;p99.5p99.9;2971939.25;;4674478.0;;;;3657297.0;;;0.043565087;0.043565087;2325236.0
;MW;1974;p99.95p99.99;11617113.0;;18272224.0;;;;20615300.0;;;0.0170295555;0.0170295555;13106793.0
;MW;1974;p99.9p99.95;7225090.5;;11364137.0;;;;14320108.0;;;0.0132379141;0.0132379141;9104437.0
;MW;1974;p99.9p99.99;9177197.0;;14434551.0;;;;14320108.0;;;0.0302674696;0.0302674696;9104437.0
;MW;1974;p99.5p100;4672065.5;;;;2.0092864037;;3657297.0;;;0.08560846;0.08560846;2325236.0
;MW;1974;p99.75p100;7172878.0;;11282014.0;;;;;;;0.0657159537;0.0657159537;
;MW;1974;p99.95p100;15719789.0;;24725206.0;;1.1993619204;1.1993619204;20615300.0;;;0.0288054571;0.0288054571;13106793.0
;MW;1974;p99.995p100;42788128.0;;67300224.0;;;;;;;0.0078415722;0.0078415722;
;MW;1973;p0p100;256179.09375;387943.75;409154.5625;619601.5;;;;6.65381568512e+11;1.06270929715e+12;;;
;MW;1973;p99.9p100;11697928.0;;18683260.0;;1.2462220192;1.2462220192;14991919.0;;;0.0456624962;0.0456624962;9386713.0
;MW;1973;p99.99p100;34447120.0;;55016964.0;;1.3080554008;1.3080554008;42060120.0;;;0.0134487301;0.0134487301;26334604.0
;MW;1973;p99.5p99.9;3173741.5;;5068918.0;;;;3996548.5;;;0.0495551415;0.0495551415;2502311.5
;MW;1973;p99.95p99.99;11403826.0;;18213538.0;;;;20965868.0;;;0.0178063232;0.0178063232;13127111.0
;MW;1973;p99.9p99.95;7382307.5;;11790598.0;;;;14991919.0;;;0.0144074447;0.0144074447;9386713.0
;MW;1973;p99.9p99.99;9169738.0;;14645380.0;;;;14991919.0;;;0.0322137661;0.0322137661;9386713.0
;MW;1973;p99.5p100;4878554.0;;;;1.9496189356;;3996548.5;;;0.0952176377;0.0952176377;2502311.5
;MW;1973;p99.75p100;7413294.0;;11840088.0;;;;;;;0.0723447651;0.0723447651;
;MW;1973;p99.95p100;16013035.0;;25575100.0;;1.2198445797;1.2198445797;20965868.0;;;0.0312550515;0.0312550515;13127111.0
;MW;1973;p99.995p100;48301656.0;;77144632.0;;;;;;;0.0094288858;0.0094288858;
;MW;1972;p0p100;254537.84375;385027.9375;410424.1875;620830.1875;;;;6.43632267264e+11;1.03781125325e+12;;;
;MW;1972;p99.9p100;10032878.0;;16177302.0;;1.174120307;1.174120307;13778232.0;;;0.0394155458;0.0394155458;8545017.0
;MW;1972;p99.99p100;27187016.0;;43837132.0;;1.1845296621;1.1845296621;37008048.0;;;0.0106827049;0.0106827049;22951740.0
;MW;1972;p99.5p99.9;2915366.75;;4700821.5;;;;3637050.5;;;0.0458143689;0.0458143689;2255634.75
;MW;1972;p99.95p99.99;10030214.0;;16173006.0;;;;18998216.0;;;0.0157625023;0.0157625023;11782358.0
;MW;1972;p99.9p99.95;6603363.0;;10647453.0;;;;13778232.0;;;0.0129703395;0.0129703395;8545017.0
;MW;1972;p99.9p99.99;8126483.5;;13103377.0;;;;13778232.0;;;0.0287328418;0.0287328418;8545017.0
;MW;1972;p99.5p100;4338848.0;;;;1.9235595465;;3637050.5;;;0.0852299184;0.0852299184;2255634.75
;MW;1972;p99.75p100;6520303.0;;10513525.0;;;;;;;0.0640405491;0.0640405491;
;MW;1972;p99.95p100;13461983.0;;21706490.0;;1.1425542831;1.1425541639;18998216.0;;;0.0264452081;0.0264452081;11782358.0
;MW;1972;p99.995p100;36857016.0;;59429316.0;;;;;;;0.0072411885;0.0072411885;
;MW;1971;p0p100;237004.046875;358107.25;380465.125;574873.375;;;;5.8407256064e+11;9.37617915904e+11;;;
;MW;1971;p99.9p100;9483003.0;;15223166.0;;1.1578204632;1.1578204632;13148123.0;;;0.040011473;0.040011473;8190392.0
;MW;1971;p99.99p100;24920380.0;;40004948.0;;1.1470748186;1.1470748186;34875624.0;;;0.0105164926;0.0105164926;21725156.0
;MW;1971;p99.5p99.9;2865817.5;;4600527.5;;;;3534000.5;;;0.0483674966;0.0483674966;2201443.5
;MW;1971;p99.95p99.99;9590805.0;;15396222.0;;;;18000316.0;;;0.0161870103;0.0161870103;11212980.0
;MW;1971;p99.9p99.95;6308543.0;;10127171.0;;;;13148123.0;;;0.0133079691;0.0133079691;8190392.0
;MW;1971;p99.9p99.99;7767398.5;;12469088.0;;;;13148123.0;;;0.0294949785;0.0294949785;8190392.0
;MW;1971;p99.5p100;4189234.75;;;;1.9029490948;;3534000.5;;;0.0883789659;0.0883789659;2201443.5
;MW;1971;p99.75p100;6266180.5;;10059166.0;;;;;;;0.0660977513;0.0660977513;
;MW;1971;p99.95p100;12657086.0;;20318554.0;;1.1287887096;1.1287887096;18000316.0;;;0.026703503;0.026703503;11212980.0
;MW;1971;p99.995p100;32839614.0;;52717780.0;;;;;;;0.0069292192;0.0069292192;
;MW;1970;p0p100;209347.609375;315969.65625;338780.0625;511322.90625;;;;5.0341101568e+11;8.14652850176e+11;;;
;MW;1970;p99.9p100;9795820.0;;15852241.0;;1.1494842768;1.1494842768;13790741.0;;;0.0467915274;0.0467915274;8521926.0
;MW;1970;p99.99p100;26815786.0;;43395068.0;;1.2447921038;1.2447921038;34861296.0;;;0.0128113413;0.0128113413;21542380.0
;MW;1970;p99.5p99.9;2977280.25;;4818031.0;;;;3506521.5;;;0.0568869449;0.0568869449;2166839.0
;MW;1970;p99.95p99.99;9599145.0;;15533968.0;;;;18279790.0;;;0.0183413755;0.0183413755;11295913.0
;MW;1970;p99.9p99.95;6548370.0;;10597003.0;;;;13790741.0;;;0.0156388115;0.0156388115;8521926.0
;MW;1970;p99.9p99.99;7904337.0;;12791318.0;;;;13790741.0;;;0.033980187;0.033980187;8521926.0
;MW;1970;p99.5p100;4340968.0;;;;2.0033643246;;3506521.5;;;0.1036784723;0.1036784723;2166839.0
;MW;1970;p99.75p100;6506149.0;;10528678.0;;;;;;;0.0776954517;0.0776954517;
;MW;1970;p99.95p100;13042883.0;;21106852.0;;1.1546550989;1.1546550989;18279790.0;;;0.0311527159;0.0311527159;11295913.0
;MW;1970;p99.995p100;36923764.0;;59752464.0;;;;;;;0.0088202329;0.0088202329;
;MW;1969;p0p100;198156.15625;298582.96875;347295.65625;523307.34375;;;;4.65861279744e+11;8.16485367808e+11;;;
;MW;1969;p99.9p100;9385144.0;;16448743.0;;1.0357054472;1.0357055664;15881679.0;;;0.0473617539;0.0473617539;9061595.0
;MW;1969;p99.99p100;20559428.0;;36033200.0;;1.0091907978;1.0091906786;35705044.0;;;0.0103770895;0.0103770895;20372192.0
;MW;1969;p99.5p99.9;3138725.5;;5501044.0;;;;3817251.25;;;0.0633587539;0.0633587539;2178005.5
;MW;1969;p99.95p99.99;9712921.0;;17023216.0;;;;20493884.0;;;0.0196069311;0.0196069311;11693177.0
;MW;1969;p99.9p99.95;6887509.0;;12071298.0;;;;15881679.0;;;0.0173777342;0.0173777342;9061595.0
;MW;1969;p99.9p99.99;8143310.0;;14272260.0;;;;15881679.0;;;0.0369846635;0.0369846635;9061595.0
;MW;1969;p99.5p100;4387990.0;;;;2.0146827698;;3817251.25;;;0.1107205078;0.1107205078;2178005.5
;MW;1969;p99.75p100;6512470.0;;11413990.0;;;;;;;0.0821632817;0.0821632817;
;MW;1969;p99.95p100;11882481.0;;20825666.0;;1.0161892176;1.0161893368;20493884.0;;;0.0299840197;0.0299840197;11693177.0
;MW;1969;p99.995p100;25778644.0;;45180584.0;;;;;;;0.0065057082;0.0065057082;
;MW;1968;p0p100;192270.375;289238.28125;336899.59375;506808.5;;;;4.41108627456e+11;7.72918345728e+11;;;
;MW;1968;p99.9p100;9713579.0;;17020306.0;;1.0770093203;1.0770093203;15803305.0;;;0.0505197607;0.0505197607;9019030.0
;MW;1968;p99.99p100;22512738.0;;39447220.0;;1.036218524;1.036218524;38068436.0;;;0.0117108384;0.0117108384;21725858.0
;MW;1968;p99.5p99.9;3044588.0;;5334781.5;;;;3472693.5;;;0.0633398443;0.0633398443;1981884.625
;MW;1968;p99.95p99.99;10067809.0;;17640994.0;;;;20736490.0;;;0.0209454615;0.0209454615;11834424.0
;MW;1968;p99.9p99.95;6869727.5;;12037259.0;;;;15803305.0;;;0.0178634617;0.0178634617;9019030.0
;MW;1968;p99.9p99.99;8291167.5;;14527932.0;;;;15803305.0;;;0.0388089232;0.0388089232;9019030.0
;MW;1968;p99.5p100;4378366.0;;;;2.2091932297;;3472693.5;;;0.1138596088;0.1138596088;1981884.625
;MW;1968;p99.75p100;6605122.0;;11573613.0;;;;;;;0.0858831704;0.0858831704;
;MW;1968;p99.95p100;12557091.0;;22002760.0;;1.0610648394;1.0610648394;20736490.0;;;0.0326562971;0.0326562971;11834424.0
;MW;1968;p99.995p100;28742358.0;;50362872.0;;;;;;;0.0074757035;0.0074757035;
;MW;1967;p0p100;200491.4375;301114.0;354344.46875;532182.75;;;;4.4839550976e+11;7.92485101568e+11;;;
;MW;1967;p99.9p100;9551919.0;;16881866.0;;1.0673760176;1.0673758984;15816232.0;;;0.0476419143;0.0476419143;8948973.0
;MW;1967;p99.99p100;22400422.0;;39590048.0;;1.0895016193;1.0895016193;36337760.0;;;0.0111746117;0.0111746117;20560246.0
;MW;1967;p99.5p99.9;2952846.0;;5218799.5;;;;3336817.25;;;0.0589122809;0.0589122809;1888002.625
;MW;1967;p99.95p99.99;9745699.0;;17224348.0;;;;20664128.0;;;0.0194439497;0.0194439497;11691958.0
;MW;1967;p99.9p99.95;6826567.5;;12065135.0;;;;15816232.0;;;0.017023351;0.017023351;8948973.0
;MW;1967;p99.9p99.99;8124023.5;;14358233.0;;;;15816232.0;;;0.0364673026;0.0364673026;8948973.0
;MW;1967;p99.5p100;4272641.0;;;;2.263048172;;3336817.25;;;0.1065541953;0.1065541953;1888002.625
;MW;1967;p99.75p100;6493819.5;;11477043.0;;;;;;;0.0809736997;0.0809736997;
;MW;1967;p99.95p100;12276945.0;;21698022.0;;1.0500333309;1.0500332117;20664128.0;;;0.0306185614;0.0306185614;11691958.0
;MW;1967;p99.995p100;28752868.0;;50817232.0;;;;;;;0.0071717873;0.0071717873;
;MW;1966;p0p100;192316.53125;288369.375;339025.78125;508352.84375;;;;4.18097922048e+11;7.37045250048e+11;;;
;MW;1966;p99.9p100;8841514.0;;15586291.0;;1.0684367418;1.0684367418;14587939.0;;;0.0459731705;0.0459731705;8275187.5
;MW;1966;p99.99p100;19701008.0;;34729980.0;;1.0336233377;1.0336233377;33600228.0;;;0.0102457535;0.0102457535;19060142.0
;MW;1966;p99.5p99.9;2642214.0;;4657835.0;;;;2817974.0;;;0.0549556389;0.0549556389;1598530.375
;MW;1966;p99.95p99.99;9175655.0;;16175331.0;;;;19508184.0;;;0.0190848093;0.0190848093;11066256.0
;MW;1966;p99.9p99.95;6401762.0;;11285365.0;;;;14587939.0;;;0.0166426096;0.0166426096;8275187.5
;MW;1966;p99.9p99.99;7634664.5;;13458791.0;;;;14587939.0;;;0.035727419;0.035727419;8275187.5
;MW;1966;p99.5p100;3882055.75;;;;2.4285154343;;2817974.0;;;0.1009288132;0.1009288132;1598530.375
;MW;1966;p99.75p100;5980939.0;;10543516.0;;;;;;;0.0777485594;0.0777485594;
;MW;1966;p99.95p100;11280976.0;;19886704.0;;1.0194031;1.0194031;19508184.0;;;0.0293305628;0.0293305628;11066256.0
;MW;1966;p99.995p100;24975018.0;;44027288.0;;;;;;;0.0064942841;0.0064942841;
