Variable Code;country;year;perc;afiinc992t;bfiinc992t;tfiinc992t;mfiinc999i;sfiinc992t;sptinc992t
;PT;1976;p0p100;11483.2441406;;;43345727488.0;;
;PT;1976;p99p100;90602.8828125;;;;0.0789000019;0.0789000019
;PT;1976;p99.9p100;149284.09375;;;;0.0130000003;0.0130000003
;PT;1976;p99.99p100;436290.875;;;;0.0038000001;0.0038000001
;PT;1976;p90p100;36413.3554688;;;;0.3170999885;0.3170999885
;PT;1976;p90p95;24321.5039062;;;;0.1058999971;0.1058999971
;PT;1976;p95p99;37980.8085938;;;;0.1323000044;0.1323000044
;PT;1976;p99.5p99.9;107368.109375;;;;0.0373999998;0.0373999998
;PT;1976;p99.9p99.99;117388.109375;;;;0.0092000002;0.0092000002
;PT;1976;p99p99.5;65454.5507812;;;;0.0285;0.0285
;PT;1976;p95p100;48505.2109375;;;;0.2111999989;0.2111999989
;PT;1976;p99.5p100;115751.203125;;;;0.0504000001;0.0504000001
;PT;1975;p0p100;11416.46875;;;42550947840.0;;
;PT;1975;p99.9p100;165540.9375;;;;0.0144999996;0.0144999996
;PT;1975;p99.99p100;422339.28125;;;;0.0037;0.0037
;PT;1975;p99.9p99.99;137002.125;;;;0.0108000003;0.0108000003
;PT;1974;p0p100;11510.109375;;;42359676928.0;;
;PT;1974;p99.9p100;217543.875;;;;0.0188999996;0.0188999996
;PT;1974;p99.99p100;460328.0;;;;0.0040000002;0.0040000002
;PT;1974;p99.9p99.99;190562.5;;;;0.0148999998;0.0148999998
;PT;1973;p0p100;12318.5253906;;;44763865088.0;;
;PT;1973;p99.9p100;301807.75;;;;0.0244999994;0.0244999994
;PT;1973;p99.99p100;862153.6875;;;;0.0070000002;0.0070000002
;PT;1973;p99.9p99.99;239534.71875;;;;0.0175000001;0.0175000001
;PT;1972;p0p100;11914.0078125;;;42748657664.0;;
;PT;1972;p99.9p100;294279.78125;;;;0.0247000009;0.0247000009
;PT;1972;p99.99p100;929138.4375;;;;0.0077999998;0.0077999998
;PT;1972;p99.9p99.99;223725.921875;;;;0.0168999992;0.0168999992
;PT;1971;p0p100;11325.2441406;;;40124338176.0;;
;PT;1971;p99.9p100;282002.21875;;;;0.0249000005;0.0249000005
;PT;1971;p99.99p100;883222.5;;;;0.0077999998;0.0077999998
;PT;1971;p99.9p99.99;215186.6875;;;;0.0171000008;0.0171000008
;PT;1970;p0p100;11094.8525391;;;38813032448.0;;
;PT;1970;p99.9p100;322864.34375;;;;0.0291000009;0.0291000009
;PT;1970;p99.99p100;876347.875;;;;0.0078999996;0.0078999996
;PT;1970;p99.9p99.99;261353.96875;;;;0.0211999994;0.0211999994
;PT;1969;p0p100;10379.6484375;;;36589109248.0;;
;PT;1969;p99.9p100;323849.21875;;;;0.0311999992;0.0311999992
;PT;1969;p99.99p100;788722.4375;;;;0.0076000001;0.0076000001
;PT;1969;p99.9p99.99;272186.375;;;;0.0236000009;0.0236000009
;PT;1968;p0p100;10447.5605469;;;37110534144.0;;
;PT;1968;p99.9p100;327012.875;;;;0.0313000008;0.0313000008
;PT;1968;p99.99p100;783437.0625;;;;0.0074999998;0.0074999998
;PT;1968;p99.9p99.99;276289.0;;;;0.0238000005;0.0238000005
;PT;1967;p0p100;10169.1933594;;;36398370816.0;;
;PT;1967;p99.9p100;331519.9375;;;;0.0326000005;0.0326000005
;PT;1967;p99.99p100;793065.4375;;;;0.0077999998;0.0077999998
;PT;1967;p99.9p99.99;280226.9375;;;;0.0248000007;0.0248000007
;PT;1966;p0p100;9506.04785156;;;34285348864.0;;
;PT;1966;p99.9p100;316555.46875;;;;0.0333000012;0.0333000012
;PT;1966;p99.99p100;788871.0625;;;;0.0082999999;0.0082999999
;PT;1966;p99.9p99.99;264065.53125;;;;0.0250000004;0.0250000004
;PT;1965;p0p100;9285.06542969;;;33744787456.0;;
;PT;1965;p99.9p100;301768.53125;;;;0.0324999988;0.0324999988
;PT;1965;p99.99p100;854084.375;;;;0.0092000002;0.0092000002
;PT;1965;p99.9p99.99;240387.90625;;;;0.0232999995;0.0232999995
;PT;1964;p0p100;8129.41162109;;;29771034624.0;;
;PT;1964;p99.9p100;256079.75;;;;0.0315000005;0.0315000005
;PT;1964;p99.99p100;601476.625;;;;0.0074;0.0074
;PT;1964;p99.9p99.99;217694.6875;;;;0.0241;0.0241
;PT;1963;p0p100;7628.15039062;;;28149274624.0;;
;PT;1963;p99.9p100;236475.703125;;;;0.0309999995;0.0309999995
;PT;1963;p99.99p100;617777.6875;;;;0.0081000002;0.0081000002
;PT;1963;p99.9p99.99;194100.40625;;;;0.0229000002;0.0229000002
;PT;1962;p0p100;7520.37890625;;;27964098560.0;;
;PT;1962;p99.9p100;240655.234375;;;;0.0320000015;0.0320000015
;PT;1962;p99.99p100;594011.375;;;;0.0078999996;0.0078999996
;PT;1962;p99.9p99.99;201385.640625;;;;0.0241;0.0241
;PT;1961;p0p100;6824.89697266;;;25572331520.0;;
;PT;1961;p99.9p100;229319.46875;;;;0.0335999988;0.0335999988
;PT;1961;p99.99p100;641433.8125;;;;0.0093999999;0.0093999999
;PT;1961;p99.9p99.99;183519.890625;;;;0.0241999999;0.0241999999
;PT;1960;p0p100;6677.57666016;;;25211938816.0;;
;PT;1960;p99.9p100;217024.046875;;;;0.0324999988;0.0324999988
;PT;1960;p99.99p100;627588.125;;;;0.0093999999;0.0093999999
;PT;1960;p99.9p99.99;171396.765625;;;;0.0230999999;0.0230999999
;PT;1959;p0p100;6467.93261719;;;24291489792.0;;
;PT;1959;p99.9p100;234142.171875;;;;0.0362000018;0.0362000018
;PT;1959;p99.99p100;646685.9375;;;;0.0099999998;0.0099999998
;PT;1959;p99.9p99.99;188294.875;;;;0.0262000002;0.0262000002
;PT;1958;p0p100;6189.59716797;;;23123435520.0;;
;PT;1958;p99.9p100;216019.734375;;;;0.0348999985;0.0348999985
;PT;1958;p99.99p100;581725.625;;;;0.0093999999;0.0093999999
;PT;1958;p99.9p99.99;175377.671875;;;;0.0254999995;0.0254999995
;PT;1957;p0p100;5928.0078125;;;22029264896.0;;
;PT;1957;p99.9p100;196812.390625;;;;0.0331999995;0.0331999995
;PT;1957;p99.99p100;551213.25;;;;0.0093;0.0093
;PT;1957;p99.9p99.99;157426.6875;;;;0.0239000004;0.0239000004
;PT;1956;p0p100;5694.44970703;;;21049624576.0;;
;PT;1956;p99.9p100;186780.359375;;;;0.0328000002;0.0328000002
;PT;1956;p99.99p100;552270.0;;;;0.0097000003;0.0097000003
;PT;1956;p99.9p99.99;146162.328125;;;;0.0230999999;0.0230999999
;PT;1955;p0p100;5526.22265625;;;20319930368.0;;
;PT;1955;p99.9p100;193420.28125;;;;0.0350000001;0.0350000001
;PT;1955;p99.99p100;602258.3125;;;;0.0109000001;0.0109000001
;PT;1955;p99.9p99.99;147984.8125;;;;0.0241;0.0241
;PT;1954;p0p100;5305.58007812;;;19405641728.0;;
;PT;1954;p99.9p100;191003.34375;;;;0.0359999985;0.0359999985
;PT;1954;p99.99p100;599431.0625;;;;0.0113000004;0.0113000004
;PT;1954;p99.9p99.99;145613.46875;;;;0.0247000009;0.0247000009
;PT;1953;p0p100;4994.81689453;;;18172555264.0;;
;PT;1953;p99.9p100;178816.734375;;;;0.0357999988;0.0357999988
;PT;1953;p99.99p100;539350.6875;;;;0.0108000003;0.0108000003
;PT;1953;p99.9p99.99;138749.453125;;;;0.0250000004;0.0250000004
;PT;1952;p0p100;4766.81591797;;;17251469312.0;;
;PT;1952;p99.9p100;174944.390625;;;;0.0366999991;0.0366999991
;PT;1952;p99.99p100;529028.8125;;;;0.0110999998;0.0110999998
;PT;1952;p99.9p99.99;135593.875;;;;0.0255999994;0.0255999994
;PT;1951;p0p100;4757.51171875;;;17126904832.0;;
;PT;1951;p99.9p100;169369.59375;;;;0.0355999991;0.0355999991
;PT;1951;p99.99p100;523239.4375;;;;0.0109999999;0.0109999999
;PT;1951;p99.9p99.99;130042.90625;;;;0.0245999992;0.0245999992
;PT;1950;p0p100;4497.15527344;;;16104164352.0;;
;PT;1950;p99.9p100;165947.15625;;;;0.0368999988;0.0368999988
;PT;1950;p99.99p100;512590.625;;;;0.0114000002;0.0114000002
;PT;1950;p99.9p99.99;127423.5625;;;;0.0254999995;0.0254999995
;PT;1949;p0p100;4353.54101562;;;15403162624.0;;
;PT;1949;p99.9p100;155423.421875;;;;0.0357000008;0.0357000008
;PT;1949;p99.99p100;474457.28125;;;;0.0109000001;0.0109000001
;PT;1949;p99.9p99.99;119968.179688;;;;0.0248000007;0.0248000007
;PT;1948;p0p100;4329.22167969;;;15133661184.0;;
;PT;1948;p99.9p100;153689.34375;;;;0.0355000012;0.0355000012
;PT;1948;p99.99p100;484792.34375;;;;0.0111999996;0.0111999996
;PT;1948;p99.9p99.99;116892.804688;;;;0.0242999997;0.0242999997
;PT;1947;p0p100;4280.64892578;;;14784640000.0;;
;PT;1947;p99.9p100;143403.578125;;;;0.0335000008;0.0335000008
;PT;1947;p99.99p100;449393.5625;;;;0.0104999999;0.0104999999
;PT;1947;p99.9p99.99;109397.9375;;;;0.023;0.023
;PT;1946;p0p100;4215.08837891;;;14383838208.0;;
;PT;1946;p99.9p100;131512.453125;;;;0.0311999992;0.0311999992
;PT;1946;p99.99p100;505726.6875;;;;0.0120000001;0.0120000001
;PT;1946;p99.9p99.99;89924.828125;;;;0.0192000009;0.0192000009
;PT;1945;p0p100;3905.22924805;;;13166839808.0;;
;PT;1945;p99.9p100;133560.5625;;;;0.0342000015;0.0342000015
;PT;1945;p99.99p100;570068.875;;;;0.0146000003;0.0146000003
;PT;1945;p99.9p99.99;85050.0;;;;0.0196000002;0.0196000002
;PT;1944;p0p100;4054.35351562;;;13505901568.0;;
;PT;1944;p99.9p100;160959.90625;;;;0.0397000015;0.0397000015
;PT;1944;p99.99p100;660749.9375;;;;0.0163000003;0.0163000003
;PT;1944;p99.9p99.99;105416.640625;;;;0.0233999994;0.0233999994
;PT;1943;p0p100;3643.01831055;;;11990304768.0;;
;PT;1943;p99.9p100;143901.078125;;;;0.0395000018;0.0395000018
;PT;1943;p99.99p100;546362.0625;;;;0.0149999997;0.0149999997
;PT;1943;p99.9p99.99;99174.296875;;;;0.0244999994;0.0244999994
;PT;1942;p0p100;3349.68383789;;;10892803072.0;;
;PT;1942;p99.9p100;147722.96875;;;;0.0441000015;0.0441000015
;PT;1942;p99.99p100;515765.75;;;;0.0153999999;0.0153999999
;PT;1942;p99.9p99.99;106821.195312;;;;0.0286999997;0.0286999997
;PT;1941;p0p100;3562.37670898;;;11445706752.0;;
;PT;1941;p99.9p100;186314.6875;;;;0.0522999987;0.0522999987
;PT;1941;p99.99p100;687424.625;;;;0.0193000007;0.0193000007
;PT;1941;p99.9p99.99;130624.75;;;;0.0329999998;0.0329999998
;PT;1940;p0p100;3783.48461914;;;12010516480.0;;
;PT;1940;p99.9p100;195230.328125;;;;0.0516000018;0.0516000018
;PT;1940;p99.99p100;733874.25;;;;0.0194000006;0.0194000006
;PT;1940;p99.9p99.99;135369.109375;;;;0.0322000012;0.0322000012
;PT;1939;p0p100;4135.2265625;;;12969881600.0;;
;PT;1939;p99.9p100;189809.359375;;;;0.0458999984;0.0458999984
;PT;1939;p99.99p100;698737.375;;;;0.0168999992;0.0168999992
;PT;1939;p99.9p99.99;133250.5625;;;;0.0289999992;0.0289999992
;PT;1938;p0p100;3950.87402344;;;12243252224.0;;
;PT;1938;p99.9p100;188854.203125;;;;0.0478000008;0.0478000008
;PT;1938;p99.99p100;754491.6875;;;;0.0190999992;0.0190999992
;PT;1938;p99.9p99.99;125993.101562;;;;0.0286999997;0.0286999997
