Variable Name;.;.;.;Fiscal capital income [total fiscal income ranking] | individuals | Average | Adults | constant 2015 local currency;Dividends | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Average | All Ages | constant 2015 local currency;Interest | individuals | Average | Adults | constant 2015 local currency;Fiscal labour income [total fiscal income ranking] | individuals | Average | Adults | constant 2015 local currency;Wages and pensions | individuals | Average | Adults | constant 2015 local currency;Net personal wealth | individuals | Average | Adults | constant 2015 local currency;Net personal wealth | individuals | Average | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Average | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Average | All Ages | constant 2015 local currency;Fiscal income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Net personal wealth | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Net personal wealth | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | individuals | Share | Adults | share of total (ratio);Net personal wealth | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | individuals | Threshold | Adults | constant 2015 local currency;Net personal wealth | individuals | Threshold | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Threshold | Adults | constant 2015 local currency
;KR;2016;p99.99p100;;;3492119576.57;;;;;;;;5247705477.04;;;2.3270823956;;2.3270823956;;;;0.0159105577;;0.0159105577;1500642816.0;;2255057920.0
;KR;2016;p90p100;19891334.1857;2569852.06752;95073641.2479;;;450529.709855;75182307.0622;;;;142869812.147;;;1.849157691;;1.849157691;;;;0.4331680566;;0.4331680566;51414568.0;;77262104.0
;KR;2016;p90p95;;;61656428.5556;;;;;;;;92652834.6844;;;;;;;;;0.1404574127;;0.1404574127;51414568.0;;77262104.0
;KR;2016;p95p99;;;93869144.9205;;;;;;;;141059781.924;;;;;;;;;0.1710720849;;0.1710720849;74347632.0;;111724264.0
;KR;2016;p99.5p99.9;;;244725530.587;;;;;;;;367755879.795;;;;;;;;;0.0446000726;;0.0446000726;174506640.0;;262235984.0
;KR;2016;p99.95p99.99;;;874337538.232;;;;;;;;1313891402.5;;;;;;;;;0.0159343888;;0.0159343888;605371648.0;;909708928.0
;KR;2016;p99.9p99.95;;;492253731.816;;;;;;;;739723410.928;;;;;;;;;0.0112138648;;0.0112138648;414035712.0;;622183040.0
;KR;2016;p99p99.5;;;149160187.797;;;;;;;;224147174.029;;;;;;;;;0.033979675;;0.033979675;132652016.0;;199339888.0
;KR;2016;p95p100;33931395.2801;5001099.38759;128490853.94;;;825896.8856;94559458.6601;;;;193086789.609;;;1.7282440662;;1.728243947;;;;0.2927106439;;0.2927106439;74347632.0;;111724264.0
;KR;2016;p0p90;;;13823420.2684;;;;;;;;20772839.1493;;;;;;;;;0.5668319434;;0.5668319434;;;
;KR;2016;p99.5p100;173659631.976;34665194.2518;384795192.241;;;4935155.06179;211135560.264;;;;578242466.67;;;2.2050461769;;2.2050461769;;;;0.0876588839;;0.0876588839;174506640.0;;262235984.0
;KR;2016;p99.95p100;;;1397893945.9;;;;;;;;2100654217.41;;;2.3091499805;;2.3091497421;;;;0.0318449465;;0.0318449465;605371648.0;;909708928.0
;KR;2015;p0p100;;;21779261.949;;17402421.2946;;;;;;32304968.0;;25812842.7106;;;;8.87783613513e+14;;1.31684082282e+15;;;;;;
;KR;2015;p99p100;107428215.126;22367650.2756;262842833.964;;;3737656.37791;155414618.837;;;;389872226.161;;;1.9971932173;;1.9971932173;;;;0.1206849131;;0.1206849131;131606112.0;;195210064.0
;KR;2015;p99.9p100;584754467.399;192967119.818;934496537.725;;;25231080.9719;349742070.327;;;;1386129650.21;;;2.3150119781;;2.3150117397;;;;0.042907631;;0.042907631;403668128.0;;598757056.0
;KR;2015;p99.99p100;;;3561691492.45;;;;;;;;5283022443.96;;;2.4299461842;;2.4299461842;;;;0.0163535913;;0.0163535913;1465749120.0;;2174131456.0
;KR;2015;p90p100;19611507.2401;2903670.82454;93927047.4784;;;584795.771425;74315540.2383;;;;139321078.475;;;1.8614914417;;1.8614914417;;;;0.4312682749;;0.4312682749;50457952.0;;74843792.0
;KR;2015;p90p95;;;60779547.0386;;;;;;;;90153712.5882;;;;;;;;;0.1395353687;;0.1395353687;50457952.0;;74843792.0
;KR;2015;p95p99;;;93132476.4068;;;;;;;;138142498.911;;;;;;;;;0.1710479932;;0.1710479932;73248208.0;;108648352.0
;KR;2015;p99.5p99.9;;;239259546.12;;;;;;;;354891364.05;;;;;;;;;0.0439426361;;0.0439426361;171282592.0;;254061808.0
;KR;2015;p99.95p99.99;;;847555805.985;;;;;;;;1257171306.11;;;;;;;;;0.0155662907;;0.0155662907;585319616.0;;868198912.0
;KR;2015;p99.9p99.95;;;478610132.172;;;;;;;;709917766.748;;;;;;;;;0.0109877491;;0.0109877491;403668128.0;;598757056.0
;KR;2015;p99p99.5;;;147378723.486;;;;;;;;218605431.04;;;;;;;;;0.0338346459;;0.0338346459;131606112.0;;195210064.0
;KR;2015;p95p100;33107193.2713;5530100.07416;127074547.918;;;1046975.02357;93967354.6468;;;;188488444.361;;;1.7348484993;;1.7348486185;;;;0.2917329062;;0.2917329062;73248208.0;;108648352.0
;KR;2015;p0p90;;;13762841.3798;;;;;;;;20414289.1252;;;;;;;;;0.5687317251;;0.5687317251;;;
;KR;2015;p99.5p100;168914365.02;37765138.0337;378306944.441;;;6040023.10377;209392579.421;;;;561139021.283;;;2.2086713314;;2.2086713314;;;;0.0868502672;;0.0868502672;171282592.0;;254061808.0
;KR;2015;p99.95p100;;;1390382943.28;;;;;;;;2062341533.68;;;2.3754251003;;2.3754251003;;;;0.0319198819;;0.0319198819;585319616.0;;868198912.0
;KR;2014;p0p100;;;21469270.1633;;17025611.7506;;;;;;31827440.0;;25239872.2608;;;;8.63992887063e+14;;1.28083915123e+15;;;;;;
;KR;2014;p99p100;100364369.629;19271159.7075;252876306.171;;;4673905.65632;152511936.542;;;;374880254.469;;;1.956487298;;1.956487298;;;;0.1177852419;;0.1177852419;129250168.0;;191608832.0
;KR;2014;p99.9p100;532221286.949;164462036.437;886195443.388;;;30631874.0935;353974156.438;;;;1313753662.24;;;2.3030347824;;2.303034544;;;;0.0412773922;;0.0412773922;384794656.0;;570444608.0
;KR;2014;p99.99p100;;;3298276806.19;;;;;;;;4889579680.82;;;2.3508207798;;2.3508205414;;;;0.015362781;;0.015362781;1403032064.0;;2079945856.0
;KR;2014;p90p100;18340475.9142;2514580.60925;91663003.3103;;;747099.335576;73322527.3961;;;;135887187.403;;;1.8713059425;;1.8713059425;;;;0.4269498073;;0.4269498073;48983440.0;;72616232.0
;KR;2014;p90p95;;;59528442.2985;;;;;;;;88248827.7961;;;;;;;;;0.1386363966;;0.1386363966;48983440.0;;72616232.0
;KR;2014;p95p99;;;91527878.8597;;;;;;;;135686870.144;;;;;;;;;0.1705281687;;0.1705281687;71588520.0;;106127472.0
;KR;2014;p99.5p99.9;;;230938464.205;;;;;;;;342358173.207;;;;;;;;;0.0430267956;;0.0430267956;166124448.0;;246273680.0
;KR;2014;p99.95p99.99;;;816754359.833;;;;;;;;1210809691.46;;;;;;;;;0.0152171805;;0.0152171805;565786880.0;;838759232.0
;KR;2014;p99.9p99.95;;;459332037.669;;;;;;;;680943635.149;;;;;;;;;0.0106974307;;0.0106974307;384794656.0;;570444608.0
;KR;2014;p99p99.5;;;143762752.301;;;;;;;;213123237.925;;;;;;;;;0.0334810541;;0.0334810541;129250168.0;;191608832.0
;KR;2014;p95p100;30353619.9733;4662646.30074;123797564.322;;;1293978.67291;93443944.3488;;;;183525547.009;;;1.7292935848;;1.7292934656;;;;0.2883134107;;0.2883134107;71588520.0;;106127472.0
;KR;2014;p0p90;;;13669965.3666;;;;;;;;20265244.1932;;;;;;;;;0.5730501927;;0.5730501927;;;
;KR;2014;p99.5p100;154879796.469;31839902.5001;361989860.042;;;7403147.52195;207110063.573;;;;536637271.014;;;2.1790282726;;2.1790280342;;;;0.0843041878;;0.0843041878;166124448.0;;246273680.0
;KR;2014;p99.95p100;;;1313058849.11;;;;;;;;1946563689.33;;;2.3207657337;;2.3207657337;;;;0.0305799615;;0.0305799615;565786880.0;;838759232.0
;KR;2013;p0p100;;;20986757.4906;;16506618.8781;;;;104694416.0;82344816.0;31432330.0;;24722327.4959;;;;8.32410497271e+14;4.15255810539e+15;1.24671957816e+15;;;;;;
;KR;2013;p0p50;;;;;;;;;3774905.32143;;;;;;;;;;;;0.0180282074;;;;
;KR;2013;p99p100;95988796.5136;18768030.4412;244111414.068;;;5781843.6357;148122617.555;;2615668709.05;;365611053.884;;;1.9360107183;2.4556188583;1.9360105991;;;;0.1163168771;0.249838414;0.1163168771;126089912.0;1065177024.0;188847648.0
;KR;2013;p99.9p100;510280095.462;156564396.527;856719722.591;;;34987971.2679;346439627.128;;9299430072.94;;1283128041.58;;;2.342833519;2.160982132;2.342833519;;;;0.0408219186;0.0888245079;0.0408219186;365676736.0;4303334912.0;547682112.0
;KR;2013;p99.99p100;;;3235549063.53;;;;;;;;4845953260.83;;;2.3821790218;;2.3821790218;;;;0.0154170981;;0.0154170981;1358230912.0;;2034252416.0
;KR;2013;p90p100;16740146.8457;2387165.16046;89288633.4306;;;932989.033517;72548486.5849;;687510645.818;;133729557.436;;;1.8580480814;2.6852562428;1.8580482006;;;;0.4254522484;0.6566831983;0.4254522484;48055072.0;256031664.0;71973136.0
;KR;2013;p90p95;;;58328592.8838;;;;;;;;87360021.2314;;;;;;;;;0.1389652302;;0.1389652302;48055072.0;;71973136.0
;KR;2013;p95p99;;;89282988.9546;;;;;;;;133721103.58;;;;;;;;;0.1701701412;;0.1701701412;69673184.0;;104351064.0
;KR;2013;p99.5p99.9;;;221281710.453;;;;;;;;331418502.788;;;;;;;;;0.0421754921;;0.0421754921;160583376.0;;240509264.0
;KR;2013;p99.95p99.99;;;785848821.538;;;;;;;;1176983128.51;;;;;;;;;0.0149779937;;0.0149779937;541497024.0;;811012096.0
;KR;2013;p99.9p99.95;;;437650575.245;;;;;;;;655478928.174;;;;;;;;;0.0104268267;;0.0104268267;365676736.0;;547682112.0
;KR;2013;p99p99.5;;;139853515.256;;;;;;;;209461697.222;;;;;;;;;0.0333194664;;0.0333194664;126089912.0;;188847648.0
;KR;2013;p50p100;;;;;;;;;205613928.633;;;;;;20.7688961029;;;;;;0.9819717926;;;9900089.0;
;KR;2013;p95p100;27807140.7057;4364247.02425;120248673.977;;;1586962.11887;92441533.2716;;1044252035.03;;180099093.641;;;1.7258961201;2.4677698612;1.7258961201;;;;0.2864870183;0.4987142893;0.2864870183;69673184.0;423156160.0;104351064.0
;KR;2013;p0p90;;;13397660.6387;;;;;;;;20065972.107;;;;;;;;;0.5745477516;;0.5745477516;;;
;KR;2013;p99.5p100;145659246.228;30215957.657;348369312.88;;;8880717.35771;202710066.653;;3894063626.48;;521760410.546;;;2.1693983078;2.2187657356;2.1693983078;;;;0.0829974106;0.1859728407;0.0829974106;160583376.0;1755058432.0;240509264.0
;KR;2013;p99.95p100;787071091.687;285048611.683;1275788869.94;;;58032691.9799;488717778.248;;;;1910777154.98;;;2.3560404778;;2.3560402393;;;;0.0303950919;;0.0303950919;541497024.0;;811012096.0
;KR;2012;p0p100;;;20281137.1717;19499243.8799;15831876.0267;;;;105053832.0;82007200.0;31081460.0;29883184.7323;24262831.8759;;;;7.94757875813e+14;4.11674942504e+15;1.21799063424e+15;;;;;;
;KR;2012;p0p50;;;;;;;;;3779874.35079;;;;;;;;;;;;0.017990178;;;;
;KR;2012;p99p100;95718062.3515;18679275.0583;238092576.11;;;6361045.50631;142374513.758;142788326.742;2827664050.01;;364884119.565;;;1.94315207;2.4700243473;1.9431521893;;;;0.1173960651;0.2691633368;0.1173960651;122529048.0;1144791936.0;187779488.0
;KR;2012;p99.9p100;512574476.139;159990926.061;847642287.694;;;40868189.0127;335067811.555;;10920721036.7;;1299037605.05;;;2.3898766041;2.3649725914;2.3898766041;;;;0.0417946123;0.1039535695;0.0417946123;354680352.0;4617694720.0;543558464.0
;KR;2012;p99.99p100;;;3258789585.82;;;;;;;;4994194226.03;;;2.4160168171;;2.4160168171;;;;0.0160680808;;0.0160680808;1348827392.0;;2067118976.0
;KR;2012;p90p100;15152327.9513;1959543.98879;86685206.4412;;;806064.296495;71532878.4898;;706075884.528;;132847717.255;;;1.8836271763;2.881688118;1.8836271763;;;;0.4274178685;0.6721086301;0.4274178685;46020364.0;245021616.0;70527608.0
;KR;2012;p90p95;;;56344535.0734;;;;;;;;86349714.9237;;;;;;;;;0.1389087139;;0.1389087139;46020364.0;;70527608.0
;KR;2012;p95p99;;;86759203.2337;;;;;;;;132961119.592;;;;;;;;;0.1711130895;;0.1711130895;67737256.0;;103809400.0
;KR;2012;p99.5p99.9;;;213678676.267;;;;;;;;327469074.985;;;;;;;;;0.0421433313;;0.0421433313;155420480.0;;238186608.0
;KR;2012;p99.95p99.99;;;774370074.05;;;;;;;;1186745707.5;;;;;;;;;0.0152727147;;0.0152727147;528559808.0;;810033984.0
;KR;2012;p99.9p99.95;;;424030598.984;;;;;;;;649839798.9;;;;;;;;;0.0104538169;;0.0104538169;354680352.0;;543558464.0
;KR;2012;p99p99.5;;;135713753.667;;;;;;;;207985458.131;;;;;;;;;0.0334581215;;0.0334581215;122529048.0;;187779488.0
;KR;2012;p50p100;;;;;;;;;206327793.629;;;;;;20.9251270294;;;;;;0.982009822;;;9860289.0;
;KR;2012;p95p100;26714744.067;4062719.81545;117025877.809;;;1583609.79498;90311133.742;;1091078423.2;;179345719.586;;;1.7276442051;2.6027786732;1.7276443243;;;;0.2885091546;0.519294909;0.2885091546;67737256.0;419197536.0;103809400.0
;KR;2012;p0p90;;;12902907.8351;;;;;;;;19774098.9751;;;;;;;;;0.5725821315;;0.5725821315;;;
;KR;2012;p99.5p100;153116670.331;33658611.9445;340471398.552;;;10629266.1663;187354728.222;;4247880833.72;;521782780.999;;;2.1906468868;2.3588027954;2.1906471252;;;;0.0839379436;0.2021763829;0.0839379436;155420480.0;1800863104.0;238186608.0
;KR;2012;p99.95p100;800295428.72;290615155.743;1271253976.4;;;68256225.8535;470958547.684;;;;1948235411.21;;;2.4051280022;;2.4051280022;;;;0.0313407955;;0.0313407955;528559808.0;;810033984.0
;KR;2011;p0p100;;;19607030.0902;19245710.7702;15193778.9149;;;;123995488.0;96085944.0;30783720.0;30216436.0856;23854761.9761;;;;7.58726240984e+14;4.79820910633e+15;1.1912266188e+15;;;;;;
;KR;2011;p0p50;;;;;;;;;3927761.19239;;;;;;;;;;;;0.0158565976;;;;
;KR;2011;p99p100;96619710.014;18936806.1149;235634984.104;;;5697748.11121;139015274.09;140489244.022;2882008112.78;;369955130.353;;;1.9674772024;2.4670782089;1.9674772024;;;;0.1201788225;0.2324241458;0.1201788225;119765040.0;1168186752.0;188035280.0
;KR;2011;p99.9p100;524362802.093;164321016.377;851039073.226;;;36740970.5898;326676271.133;;10422456829.7;;1336160979.95;;;2.4138221741;2.1360542774;2.4138221741;;;;0.0434047916;0.0840535672;0.0434047916;352569088.0;4879303168.0;553545728.0
;KR;2011;p99.99p100;;;3250615001.78;;;;;;;;5103578746.12;;;2.3709275723;;2.3709275723;;;;0.0165788236;;0.0165788236;1371030912.0;;2152566272.0
;KR;2011;p90p100;15192386.7857;2029039.33062;84561792.2133;;;735134.652922;69369405.4276;;772310911.357;;132764958.396;;;1.9131355286;2.4160039425;1.9131356478;;;;0.431283014;0.6228424655;0.431283014;44200628.0;319664576.0;69396520.0
;KR;2011;p90p95;;;54438903.7511;;;;;;;;85470974.5674;;;;;;;;;0.1388249579;;0.1388249579;44200628.0;;69396520.0
;KR;2011;p95p99;;;84447104.8186;;;;;;;;132584895.193;;;;;;;;;0.1722792336;;0.1722792336;66066052.0;;103726008.0
;KR;2011;p99.5p99.9;;;209755637.501;;;;;;;;329323655.013;;;;;;;;;0.0427919235;;0.0427919235;152830544.0;;239949264.0
;KR;2011;p99.95p99.99;;;784280696.534;;;;;;;;1231348003.88;;;;;;;;;0.0159999893;;0.0159999893;531714848.0;;834810816.0
;KR;2011;p99.9p99.95;;;424530588.868;;;;;;;;666527807.578;;;;;;;;;0.0108259787;;0.0108259787;352569088.0;;553545728.0
;KR;2011;p99p99.5;;;133257643.561;;;;;;;;209219140.705;;;;;;;;;0.0339821074;;0.0339821074;119765040.0;;188035280.0
;KR;2011;p50p100;;;;;;;;;244063219.851;;;;;;23.863609314;;;;;;0.9841434024;;;10227423.0;
;KR;2011;p95p100;26763788.2867;4181432.20314;114684680.676;;;1435655.5073;87920892.3889;;1145448541.12;;180058942.225;;;1.7359093428;2.2347793579;1.7359093428;;;;0.2924580561;0.4618826324;0.2924580561;66066052.0;512555552.0;103726008.0
;KR;2011;p0p90;;;12389834.784;;;;;;;;19452472.0512;;;;;;;;;0.568716986;;0.568716986;;;
;KR;2011;p99.5p100;156021776.859;34278748.8908;338012324.646;;;9563415.09814;181990547.787;;4324813961.17;;530691120.001;;;2.2116804123;2.3113765717;2.2116806507;;;;0.086196715;0.1743907635;0.086196715;152830544.0;1871098752.0;239949264.0
;KR;2011;p99.95p100;811055336.798;296656187.6;1277547557.58;;;60750379.6323;466492220.786;;;;2005794152.32;;;2.4026930332;;2.4026930332;;;;0.0325788129;;0.0325788129;531714848.0;;834810816.0
;KR;2010;p0p100;;;18736766.7902;18710428.5981;14423231.7434;;;;108043464.0;83169952.0;30157582.0;30115189.6174;23214773.332;;;;7.14730467104e+14;4.12141300166e+15;1.15038751941e+15;;;;;;
;KR;2010;p0p50;;;;;;;;;2752876.31065;;;;;;;;;;;;0.0127396708;;;;
;KR;2010;p99p100;93739324.3723;20765432.8644;220062207.045;;;6200578.75915;126322882.672;127524112.557;2722060737.19;;354198999.666;;;1.9326149225;2.4679677486;1.9326149225;;;;0.1174494013;0.2519412692;0.1174494013;113867592.0;1102956416.0;183274480.0
;KR;2010;p99.9p100;463364222.166;164666151.805;782351991.951;;;37079037.5195;318987769.785;;9488911180.62;;1259227091.55;;;2.4476912022;2.04174757;2.4476914406;;;;0.0417549084;0.0878249443;0.0417549084;319628544.0;4647446016.0;514455008.0
;KR;2010;p99.99p100;;;3117256524.79;;;;;;;;5017350128.45;;;2.5254580975;;2.5254580975;;;;0.0166371099;;0.0166371099;1234333056.0;;1986708864.0
;KR;2010;p90p100;14072136.3259;2036950.27174;80628742.3388;;;743069.576882;66556606.0129;;719389780.3;;129775213.401;;;1.9014650583;2.5283019543;1.9014649391;;;;0.4303236634;0.6658336891;0.4303236634;42403484.0;284534752.0;68250120.0
;KR;2010;p90p95;;;52308516.483;;;;;;;;84192667.433;;;;;;;;;0.1395878925;;0.1395878925;42403484.0;;68250120.0
;KR;2010;p95p99;;;81170658.4822;;;;;;;;130647449.295;;;;;;;;;0.1732863696;;0.1732863696;64040304.0;;103075456.0
;KR;2010;p99.5p99.9;;;195781692.273;;;;;;;;315118531.652;;;;;;;;;0.0417962591;;0.0417962591;146151744.0;;235237136.0
;KR;2010;p99.95p99.99;;;700219892.081;;;;;;;;1127032163.55;;;;;;;;;0.0149485744;;0.0149485744;472041504.0;;759769856.0
;KR;2010;p99.9p99.95;;;381076765.28;;;;;;;;613358426.559;;;;;;;;;0.0101692241;;0.0101692241;319628544.0;;514455008.0
;KR;2010;p99p99.5;;;127028661.881;;;;;;;;204457755.702;;;;;;;;;0.0338982338;;0.0338982338;113867592.0;;183274480.0
;KR;2010;p50p100;;;;;;;;;213334051.119;;;;;;29.36810112;;;;;;0.9872603292;;;7264142.0;
;KR;2010;p95p100;24495919.6114;4154456.38691;108948968.195;;;1446778.21531;84453048.5833;;1082929092.59;;175357759.369;;;1.7012562752;2.3594355583;1.701256156;;;;0.2907357709;0.5011543759;0.2907357709;64040304.0;458978048.0;103075456.0
;KR;2010;p0p90;;;11859880.8959;;;;;;;;19088956.736;;;;;;;;;0.5696763366;;0.5696763366;;;
;KR;2010;p99.5p100;141713246.41;34182528.4363;313095752.209;;;9684235.62918;171382505.799;;4007058311.93;;503940243.63;;;2.142264843;2.1401970387;2.142264843;;;;0.0835511675;0.1854373312;0.0835511675;146151744.0;1872284672.0;235237136.0
;KR;2010;p99.95p100;726899987.038;297270423.471;1183627218.62;;;60892095.5622;456727231.585;;;;1905095756.53;;;2.5074644089;;2.5074641705;;;;0.0315856843;;0.0315856843;472041504.0;;759769856.0
;KR;2009;p0p100;;;18323094.7335;18326593.4601;14013175.3299;;;;;;28209204.0;28214590.4423;21573894.9844;;;;6.90959360838e+14;;1.06376209091e+15;;;;;;
;KR;2009;p99p100;82757334.5144;15043773.6698;207294096.817;;;7643285.11107;124536762.302;125193004.277;;;319138308.793;;;1.9018551111;;1.9018551111;;;;0.113132691;;0.113132691;108995736.0;;167803696.0
;KR;2009;p99.9p100;427302582.788;129633179.503;725244511.369;;;48351993.9946;297941928.582;;;;1116545576.43;;;2.4304261208;;2.4304261208;;;;0.0395808971;;0.0395808971;298402208.0;;459403232.0
;KR;2009;p99.99p100;;;2861358408.72;;;;;;;;4405186145.83;;;2.5000529289;;2.5000526905;;;;0.015616131;;0.015616131;1144519168.0;;1762037248.0
;KR;2009;p90p100;13331775.6306;1622175.86879;77825648.8123;;;1005488.74661;64493873.1817;;;;119815982.819;;;1.872620821;;1.872620821;;;;0.4247407532;;0.4247407532;41559748.0;;63983044.0
;KR;2009;p90p95;;;51127686.6256;;;;;;;;78713304.8783;;;;;;;;;0.1395170645;;0.1395170645;41559748.0;;63983044.0
;KR;2009;p95p99;;;78830989.5445;;;;;;;;121363748.751;;;;;;;;;0.1720909977;;0.1720909977;63395308.0;;97599848.0
;KR;2009;p99.5p99.9;;;185678267.046;;;;;;;;285859795.501;;;;;;;;;0.04053426;;0.04053426;139250896.0;;214382816.0
;KR;2009;p99.95p99.99;;;651429899.117;;;;;;;;1002904759.44;;;;;;;;;0.0142209583;;0.0142209583;442158784.0;;680722752.0
;KR;2009;p99.9p99.95;;;357073421.701;;;;;;;;549730116.133;;;;;;;;;0.0097438079;;0.0097438079;298402208.0;;459403232.0
;KR;2009;p99p99.5;;;120996677.723;;;;;;;;186279665.9;;;;;;;;;0.0330175339;;0.0330175339;108995736.0;;167803696.0
;KR;2009;p95p100;23169241.0448;3323298.34976;104523610.999;;;1968258.55577;81354369.9541;;;;160918660.76;;;1.6487593651;;1.6487593651;;;;0.2852236887;;0.2852236887;63395308.0;;97599848.0
;KR;2009;p0p90;;;11711699.3716;;;;;;;;18030672.3053;;;;;;;;;0.5752592468;;0.5752592468;;;
;KR;2009;p99.5p100;137234542.257;27806929.1688;293591515.911;;;13213564.9502;156356973.653;;;;451996951.686;;;2.1083636284;;2.1083636284;;;;0.0801151571;;0.0801151571;139250896.0;;214382816.0
;KR;2009;p99.95p100;661621507.624;233953630.048;1093415601.04;;;78744973.6746;431794093.413;;;;1683361036.72;;;2.4729025364;;2.4729025364;;;;0.0298370893;;0.0298370893;442158784.0;;680722752.0
;KR;2008;p0p100;;;18605366.583;18653486.574;14144737.6041;;;;;;28710644.0;28784899.7759;21827278.9206;;;;6.93865973052e+14;;1.07073079411e+15;;;;;;
;KR;2008;p99p100;82285438.7599;16673927.6525;211817914.439;;;7693165.37997;129532475.679;130058140.637;;;326864225.284;;;1.8920161724;;1.8920161724;;;;0.1138477482;;0.1138477482;111953544.0;;172759744.0
;KR;2008;p99.9p100;434957035.689;145670823.939;745386169.924;;;49552224.1328;310429134.235;;;;1150233556.1;;;2.471773386;;2.471773386;;;;0.040062965;;0.040062965;301559264.0;;465347488.0
;KR;2008;p99.99p100;;;2952025516.57;;;;;;;;4555382088.67;;;2.4558045864;;2.4558045864;;;;0.0158665266;;0.0158665266;1202060416.0;;1854944768.0
;KR;2008;p90p100;13214916.8876;1822099.50707;79769074.2928;;;999077.258491;66554157.4052;;;;123094671.853;;;1.8494987488;;1.8494986296;;;;0.4287422765;;0.4287422765;43130104.0;;66555696.0
;KR;2008;p90p95;;;52379516.2766;;;;;;;;80828810.2255;;;;;;;;;0.1407645334;;0.1407645334;43130104.0;;66555696.0
;KR;2008;p95p99;;;80993811.7765;;;;;;;;124984610.529;;;;;;;;;0.1741299949;;0.1741299949;65026156.0;;100344320.0
;KR;2008;p99.5p99.9;;;188035718.054;;;;;;;;290165019.661;;;;;;;;;0.0404261238;;0.0404261238;142156400.0;;219366896.0
;KR;2008;p99.95p99.99;;;674224719.132;;;;;;;;1040421633.22;;;;;;;;;0.0144952737;;0.0144952737;448504864.0;;692104768.0
;KR;2008;p99.9p99.95;;;360987461.228;;;;;;;;557053387.879;;;;;;;;;0.0097011647;;0.0097011647;301559264.0;;465347488.0
;KR;2008;p99p99.5;;;124130020.449;;;;;;;;191549723.62;;;;;;;;;0.0333586594;;0.0333586594;111953544.0;;172759744.0
;KR;2008;p95p100;23154032.5292;3724836.16759;107158632.309;;;1967660.15094;84004599.7796;;;;165360533.48;;;1.6479312181;;1.6479312181;;;;0.2879777431;;0.2879777431;65026156.0;;100344320.0
;KR;2008;p0p90;;;11809399.5915;;;;;;;;18223530.6149;;;;;;;;;0.5712577235;;0.5712577235;;;
;KR;2008;p99.5p100;138088268.951;31193230.6608;299505808.428;;;13494198.8577;161417539.477;;;;462178726.948;;;2.1068754196;;2.1068754196;;;;0.0804890888;;0.0804890888;142156400.0;;219366896.0
;KR;2008;p99.95p100;676324400.597;264283028.969;1129784878.62;;;81466897.0182;453460478.022;;;;1743413724.31;;;2.5190024376;;2.519002676;;;;0.0303618003;;0.0303618003;448504864.0;;692104768.0
;KR;2007;p0p100;;;18666519.6385;18682656.258;14104383.2131;;;;108000872.0;81605232.0;28661158.0;28685934.6703;21656311.0635;;;;6.866526691e+14;3.97283969052e+15;1.05430798142e+15;;;;;;
;KR;2007;p0p50;;;;;;;;;4118932.15771;;;;;;;;;;;;0.019068976;;;;
;KR;2007;p99p100;78960610.6873;17403971.5013;210790473.155;;;8228957.6471;131829862.468;132187655.594;2784210539.31;;323654284.409;;;1.9032225609;2.9725773335;1.9032225609;;;;0.1129243598;0.2577951859;0.1129243598;110754504.0;936631808.0;170055936.0
;KR;2007;p99.9p100;428843778.258;149157957.52;745840175.075;;;51564864.6172;316996396.817;;13741884977.0;;1145186329.03;;;2.525233984;3.2042696476;2.525233984;;;;0.0399560393;0.127238646;0.0399560393;295354880.0;4288616960.0;453497120.0
;KR;2007;p99.99p100;;;3009315754.12;;;;;;;;4620597517.44;;;2.4914102554;;2.4914102554;;;;0.0161214617;;0.0161214617;1207876480.0;;1854611328.0
;KR;2007;p90p100;13439624.5228;2115691.25439;79055522.4064;;;1156084.8548;65615897.8836;;659409116.97;;121384321.36;;;1.8248836994;2.7370681763;1.8248835802;;;;0.4235150727;0.6105590562;0.4235150727;43320856.0;240918048.0;66516200.0
;KR;2007;p90p95;;;51867734.3213;;;;;;;;79639341.306;;;;;;;;;0.1389325287;;0.1389325287;43320856.0;;66516200.0
;KR;2007;p95p99;;;80106519.8257;;;;;;;;122998055.664;;;;;;;;;0.1716581842;;0.1716581842;63959328.0;;98205152.0
;KR;2007;p99.5p99.9;;;186174010.445;;;;;;;;285857397.747;;;;;;;;;0.039894746;;0.039894746;141312448.0;;216975552.0
;KR;2007;p99.95p99.99;;;669771008.006;;;;;;;;1028387351.05;;;;;;;;;0.0143523493;;0.0143523493;441917664.0;;678534208.0
