Variable Decomposition;.;.;.;[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ]
Variable Unit;.;.;.;"USD; United States dollar | local currency | market";"USD; United States dollar | local currency | market";"USD; United States dollar | local currency | market";"USD; United States dollar | local currency | market";;;"USD; United States dollar | local currency | market";"USD; United States dollar | local currency | market";"USD; United States dollar | local currency | market";share;share;"USD; United States dollar | local currency | market"
Methodological Notes;.;.;.;Excludes capital gains.;Excludes capital gains.;Fiscal income rescaled to match the macroeconomic aggregates.;Fiscal income rescaled to match the macroeconomic aggregates.;Excludes capital gains.;Fiscal income rescaled to match the macroeconomic aggregates.;Fiscal income rescaled to match the macroeconomic aggregates.;Excludes capital gains.;Fiscal income rescaled to match the macroeconomic aggregates.;Excludes capital gains.;Fiscal income rescaled to match the macroeconomic aggregates.;Excludes capital gains.
Sources;.;.;.;Atkinson, Anthony B. (2015). Top Incomes in Central Africa: Historical Evidence. The World Wealth and Income Database WP 4/2015.;Atkinson, Anthony B. (2015). Top Incomes in Central Africa: Historical Evidence. The World Wealth and Income Database WP 4/2015.;WID.world computations using fiscal and net national income.;WID.world computations using fiscal and net national income.;Atkinson, Anthony B. (2015). Top Incomes in Central Africa: Historical Evidence. The World Wealth and Income Database WP 4/2015.;WID.world computations using fiscal and net national income.;WID.world computations using fiscal and net national income.;Atkinson, Anthony B. (2015). Top Incomes in Central Africa: Historical Evidence. The World Wealth and Income Database WP 4/2015.;WID.world computations using fiscal and net national income.;Atkinson, Anthony B. (2015). Top Incomes in Central Africa: Historical Evidence. The World Wealth and Income Database WP 4/2015.;WID.world computations using fiscal and net national income.;Atkinson, Anthony B. (2015). Top Incomes in Central Africa: Historical Evidence. The World Wealth and Income Database WP 4/2015.
Variable Code;country;year;perc;afiinc992i;afiinc992t;aptinc992i;aptinc992t;bfiinc992i;bptinc992i;tptinc992i;mfiinc999i;mptinc999i;sfiinc992i;sptinc992i;tfiinc992i
;ZW;1975;p99.99p100;100367.804688;;174313.546875;;0.9132384658;0.9132384062;190874.078125;;;0.0094218804;0.0094218804;109903.179688
;ZW;1975;p99.5p99.9;22680.7109375;;39390.671875;;;;50182.1640625;;;0.0851507783;0.0851507783;28894.3339844
;ZW;1975;p99.95p99.99;49750.5585938;;86404.15625;;;;111034.390625;;;0.0186782591;0.0186782591;63932.3710938
;ZW;1975;p99.9p99.95;35201.1875;;61135.578125;;;;88700.296875;;;0.01651836;0.01651836;51072.6484375
;ZW;1975;p99.9p99.99;41667.8945312;;72366.6171875;;;;88700.296875;;;0.035196621;0.035196621;51072.6484375
;ZW;1975;p99p99.5;15985.7861328;;27763.2753906;;;;39616.3789062;;;0.0750195906;0.0750195906;22810.6738281
;ZW;1975;p99.5p100;27652.2714844;;;;0.957013607;;50182.1640625;;;0.1297692806;0.1297692806;28894.3339844
;ZW;1975;p99.75p100;35132.7460938;;61016.7148438;;;;;;;0.0824371204;0.0824371204;
;ZW;1975;p99.95p100;59875.2148438;;103988.132812;;0.9365398884;0.9365398288;111034.390625;;;0.0281001385;0.0281001385;63932.3710938
;ZW;1974;p0p100;1058.24475098;1690.58764648;1891.1427002;3021.17504883;;;;3458408448.0;6180370432.0;;;
;ZW;1974;p99p100;22084.390625;;39466.046875;;0.977158308;0.977158308;40388.5898438;;;0.2086886913;0.2086886913;22600.6269531
;ZW;1974;p99.9p100;50232.5;;89768.296875;;0.9522735476;0.9522735476;94267.34375;;;0.0474671461;0.0474671461;52750.0742188
;ZW;1974;p99.99p100;107128.742188;;191445.0625;;0.9033404589;0.9033404589;211930.140625;;;0.0101249283;0.0101249283;118591.765625
;ZW;1974;p99.5p99.9;22951.9550781;;41016.4335938;;;;51436.0703125;;;0.0867549926;0.0867549926;28782.5703125
;ZW;1974;p99.95p99.99;53211.2421875;;95091.4765625;;;;120505.914062;;;0.0201133601;0.0201133601;67432.640625
;ZW;1974;p99.9p99.95;36467.3359375;;65169.1757812;;;;94267.34375;;;0.0172288567;0.0172288567;52750.0742188
;ZW;1974;p99.9p99.99;43909.4414062;;78468.6328125;;;;94267.34375;;;0.0373422168;0.0373422168;52750.0742188
;ZW;1974;p99p99.5;15760.78125;;28165.4003906;;;;40388.5898438;;;0.0744665489;0.0744665489;22600.6269531
;ZW;1974;p99.5p100;28407.9746094;;;;0.9869853258;;51436.0703125;;;0.1342221349;0.1342221349;28782.5703125
;ZW;1974;p99.75p100;36585.328125;;65380.0390625;;;;;;;0.0864291936;0.0864291936;
;ZW;1974;p99.95p100;63996.0273438;;114364.492188;;0.9490363002;0.9490363002;120505.914062;;;0.0302382875;0.0302382875;67432.640625
;ZW;1973;p0p100;1041.73522949;1665.73986816;1906.02746582;3047.74731445;;;;3312032000.0;6059912192.0;;;
;ZW;1973;p99p100;22556.7207031;;41271.265625;;0.9720025063;0.9720025063;42460.0390625;;;0.2165300846;0.2165300846;23206.4433594
;ZW;1973;p99.9p100;50874.265625;;93082.90625;;0.9474375844;0.9474375844;98247.0078125;;;0.0488354526;0.0488354526;53696.6914062
;ZW;1973;p99.99p100;108898.023438;;199247.015625;;0.9117552638;0.9117552042;218531.25;;;0.0104552573;0.0104552573;119437.78125
;ZW;1973;p99.5p99.9;23398.3339844;;42811.1367188;;;;54176.2070312;;;0.0898438767;0.0898438767;29609.8886719
;ZW;1973;p99.95p99.99;53078.34375;;97115.640625;;;;125280.132812;;;0.0203810893;0.0203810893;68471.5859375
;ZW;1973;p99.9p99.95;37503.3242188;;68618.5546875;;;;98247.0078125;;;0.017999107;0.017999107;53696.6914062
;ZW;1973;p99.9p99.99;44425.8984375;;81284.5546875;;;;98247.0078125;;;0.0383801945;0.0383801945;53696.6914062
;ZW;1973;p99p99.5;16219.9873047;;29677.1601562;;;;42460.0390625;;;0.0778507441;0.0778507441;23206.4433594
;ZW;1973;p99.5p100;28893.4277344;;;;0.9758033156;;54176.2070312;;;0.1386793256;0.1386793256;29609.8886719
;ZW;1973;p99.75p100;37032.828125;;67757.703125;;;;;;;0.0888728574;0.0888728574;
;ZW;1973;p99.95p100;64243.6132812;;117544.351562;;0.938252151;0.9382520914;125280.132812;;;0.0308363475;0.0308363475;68471.5859375
;ZW;1973;p99.995p100;132951.796875;;243257.375;;;;;;;0.0063823257;0.0063823257;
;ZW;1972;p0p100;1045.63586426;1673.51037598;1915.76647949;3066.12988281;;;;3248183040.0;5951173632.0;;;
;ZW;1972;p99p100;22166.6328125;;40612.6953125;;0.9768905044;0.9768905044;41573.4375;;;0.2119916975;0.2119916975;22691.0097656
;ZW;1972;p99.9p100;50435.6210938;;92405.8515625;;0.9479826093;0.9479826093;97476.3203125;;;0.048233781;0.048233781;53203.109375
;ZW;1972;p99.99p100;107481.328125;;196922.40625;;0.9198930264;0.919893086;214070.96875;;;0.0102807451;0.0102807451;116841.109375
;ZW;1972;p99.5p99.9;22985.5917969;;42113.1601562;;;;53223.8554688;;;0.0879298076;0.0879298076;29049.8710938
;ZW;1972;p99.95p99.99;52393.8085938;;95993.5625;;;;124657.59375;;;0.0200431906;0.0200431906;68038.796875
;ZW;1972;p99.9p99.95;37457.0703125;;68627.140625;;;;97476.3203125;;;0.0179098453;0.0179098453;53203.109375
;ZW;1972;p99.9p99.99;44095.9492188;;80790.59375;;;;97476.3203125;;;0.0379530378;0.0379530378;53203.109375
;ZW;1972;p99p99.5;15857.7324219;;29053.8164062;;;;41573.4375;;;0.0758281052;0.0758281052;22691.0097656
;ZW;1972;p99.5p100;28475.5039062;;;;0.9802282453;;53223.8554688;;;0.1361635923;0.1361635923;29049.8710938
;ZW;1972;p99.75p100;36614.140625;;67082.765625;;;;;;;0.0875402838;0.0875402838;
;ZW;1972;p99.95p100;63412.625;;116181.734375;;0.9320068955;0.9320068955;124657.59375;;;0.0303239357;0.0303239357;68038.796875
;ZW;1972;p99.995p100;136442.484375;;249983.71875;;;;;;;0.0065254611;0.0065254611;
;ZW;1971;p0p100;1008.50524902;1615.56408691;1823.66638184;2921.40258789;;;;3039957760.0;5497114624.0;;;
;ZW;1971;p99p100;21638.1972656;;39128.0585938;;0.9775899649;0.9775899053;40025.0234375;;;0.2145569026;0.2145569026;22134.2265625
;ZW;1971;p99.9p100;50645.7734375;;91582.0703125;;0.9899253845;0.9899253845;92514.109375;;;0.0502180047;0.0502180047;51161.203125
;ZW;1971;p99.99p100;125472.671875;;226890.53125;;1.1149158478;1.114915967;203504.609375;;;0.0124435136;0.0124435136;112540.03125
;ZW;1971;p99.5p99.9;22154.7832031;;40062.1914062;;;;50947.6445312;;;0.0878719315;0.0878719315;28174.5429688
;ZW;1971;p99.95p99.99;50382.7148438;;91106.3828125;;;;118042.445312;;;0.0199834611;0.0199834611;65278.6210938
;ZW;1971;p99.9p99.95;35887.2929688;;64894.5039062;;;;92514.109375;;;0.0177910272;0.0177910272;51161.203125
;ZW;1971;p99.9p99.99;42330.0234375;;76544.8046875;;;;92514.109375;;;0.0377744883;0.0377744883;51161.203125
;ZW;1971;p99p99.5;15423.4824219;;27890.0742188;;;;40025.0234375;;;0.0764669627;0.0764669627;22134.2265625
;ZW;1971;p99.5p100;27852.8847656;;;;0.9885833859;;50947.6445312;;;0.13808994;0.13808994;28174.5429688
;ZW;1971;p99.75p100;36032.6445312;;65157.34375;;;;;;;0.0893218219;0.0893218219;
;ZW;1971;p99.95p100;65402.4960938;;118266.445312;;1.0018975735;1.0018976927;118042.445312;;;0.0324269757;0.0324269757;65278.6210938
;ZW;1971;p99.995p100;174587.71875;;315704.59375;;;;;;;0.0086572021;0.0086572021;
;ZW;1970;p0p100;966.382019043;1549.5045166;1728.90625;2772.1418457;;;;2827981312.0;5059401216.0;;;
;ZW;1970;p99p100;20257.8632812;;36242.34375;;0.9525569081;0.9525569081;38047.4296875;;;0.2096256316;0.2096256316;21266.828125
;ZW;1970;p99.9p100;45688.71875;;81739.421875;;0.9822763205;0.9822763205;83214.2890625;;;0.0472775027;0.0472775027;46513.1015625
;ZW;1970;p99.99p100;106398.335938;;190352.0;;1.012455821;1.012455821;188010.171875;;;0.0110117933;0.0110117933;105089.359375
;ZW;1970;p99.5p99.9;20711.0644531;;37053.140625;;;;48185.40625;;;0.0857263729;0.0857263729;26933.5078125
;ZW;1970;p99.95p99.99;46882.859375;;83875.8046875;;;;107658.25;;;0.0194058474;0.0194058474;60176.1953125
;ZW;1970;p99.9p99.95;32588.5;;58302.4726562;;;;83214.2890625;;;0.016859863;0.016859863;46513.1015625
;ZW;1970;p99.9p99.99;38941.8632812;;69668.9609375;;;;83214.2890625;;;0.0362657085;0.0362657085;46513.1015625
;ZW;1970;p99p99.5;14809.1923828;;26494.3925781;;;;38047.4296875;;;0.076621756;0.076621756;21266.828125
;ZW;1970;p99.5p100;25706.5097656;;;;0.9544434547;;48185.40625;;;0.1330038756;0.1330038756;26933.5078125
;ZW;1970;p99.75p100;32784.4765625;;58653.0898438;;;;;;;0.0848123357;0.0848123357;
;ZW;1970;p99.95p100;58787.375;;105173.585938;;0.9769207835;0.9769207835;107658.25;;;0.0304176398;0.0304176398;60176.1953125
;ZW;1970;p99.995p100;139039.125;;248748.03125;;;;;;;0.0071949912;0.0071949912;
;ZW;1969;p0p100;837.884338379;1341.37304688;1440.57653809;2306.22583008;;;;2381278720.0;4094137856.0;;;
;ZW;1969;p99p100;16409.5449219;;28212.96875;;0.9378703237;0.9378703237;30081.9511719;;;0.1958447993;0.1958447993;17496.6035156
;ZW;1969;p99.9p100;34199.96875;;58800.0898438;;0.7819264531;0.7819264531;75199.0;;;0.0408165269;0.0408165269;43738.0898438
;ZW;1969;p99.99p100;76114.046875;;130863.054688;;0.7192442417;0.7192442417;181945.21875;;;0.0090855826;0.0090855826;105825.03125
;ZW;1969;p99.5p99.9;17344.6953125;;29820.7734375;;;;42408.1640625;;;0.0828024969;0.0828024969;24665.9140625
;ZW;1969;p99.95p99.99;36269.6757812;;62358.5390625;;;;92570.3359375;;;0.0173151772;0.0173151772;53841.8007812
;ZW;1969;p99.9p99.95;24159.2441406;;41537.046875;;;;75199.0;;;0.014415768;0.014415768;43738.0898438
;ZW;1969;p99.9p99.99;29541.9257812;;50791.5039062;;;;75199.0;;;0.0317309462;0.0317309462;43738.0898438
;ZW;1969;p99p99.5;12103.3808594;;20809.3710938;;;;30081.9511719;;;0.0722257718;0.0722257718;17496.6035156
;ZW;1969;p99.5p100;20715.6894531;;;;0.839850843;;42408.1640625;;;0.1236190274;0.1236190274;24665.9140625
;ZW;1969;p99.75p100;25146.0644531;;43233.6875;;;;;;;0.0750283748;0.0750283748;
;ZW;1969;p99.95p100;44239.5;;76061.078125;;0.8216571212;0.8216571212;92570.3359375;;;0.0264007598;0.0264007598;53841.8007812
;ZW;1968;p0p100;778.465759277;1238.54150391;1311.60388184;2086.76586914;;;;2128902272.0;3586896896.0;;;
;ZW;1968;p99p100;15314.890625;;25803.4082031;;0.9059488773;0.9059489369;28482.1894531;;;0.1967315376;0.1967315376;16904.8066406
;ZW;1968;p99.9p100;29059.3945312;;48960.9375;;0.721550405;0.721550405;67855.1875;;;0.0373285785;0.0373285785;40273.546875
;ZW;1968;p99.99p100;63211.4726562;;106502.320312;;0.7668448091;0.7668448091;138883.796875;;;0.0081213545;0.0081213545;82430.59375
;ZW;1968;p99.5p99.9;16297.2363281;;27458.5195312;;;;36000.0742188;;;0.0837404579;0.0837404579;21366.8378906
;ZW;1968;p99.95p99.99;32288.8007812;;54402.0273438;;;;81994.71875;;;0.0165912751;0.0165912751;48665.6679688
;ZW;1968;p99.9p99.95;19643.5917969;;33096.6523438;;;;67855.1875;;;0.0126159489;0.0126159489;40273.546875
;ZW;1968;p99.9p99.99;25263.9648438;;42566.1796875;;;;67855.1875;;;0.0292072222;0.0292072222;40273.546875
;ZW;1968;p99p99.5;11780.1445312;;19847.8652344;;;;28482.1894531;;;0.0756625012;0.0756625012;16904.8066406
;ZW;1968;p99.5p100;18849.6191406;;;;0.8821904063;;36000.0742188;;;0.121069029;0.121069029;21366.8378906
;ZW;1968;p99.75p100;22871.2011719;;38534.7148438;;;;;;;0.0734495372;0.0734495372;
;ZW;1968;p99.95p100;38474.0742188;;64823.328125;;0.7905793786;0.790579319;81994.71875;;;0.0247126278;0.0247126278;48665.6679688
;ZW;1968;p99.995p100;78947.21875;;133014.8125;;;;;;;0.0050715343;0.0050715343;
;ZW;1967;p0p100;819.840087891;1296.28479004;1320.34313965;2087.65185547;;;;2156472064.0;3472973824.0;;;
;ZW;1967;p99p100;15584.0419922;;25097.921875;;0.9166651964;0.9166651964;27379.5957031;;;0.1900861859;0.1900861859;17000.8007812
;ZW;1967;p99.9p100;31518.3574219;;50759.9570312;;0.9255028367;0.9255028367;54845.8125;;;0.0384440236;0.0384440236;34055.3867188
;ZW;1967;p99.99p100;63508.1132812;;102279.09375;;0.872271955;0.872271955;117255.96875;;;0.0077476879;0.0077476879;72807.6953125
;ZW;1967;p99.5p99.9;16136.3183594;;25987.3574219;;;;34067.9726562;;;0.0787292644;0.0787292644;21153.8125
;ZW;1967;p99.95p99.99;33189.8007812;;53451.796875;;;;68359.1328125;;;0.016193578;0.016193578;42446.2070312
;ZW;1967;p99.9p99.95;23781.6074219;;38300.0078125;;;;54845.8125;;;0.0145027572;0.0145027572;34055.3867188
;ZW;1967;p99.9p99.99;27963.234375;;45034.46875;;;;54845.8125;;;0.0306963362;0.0306963362;34055.3867188
;ZW;1967;p99p99.5;11955.3945312;;19254.0273438;;;;27379.5957031;;;0.0729128942;0.0729128942;17000.8007812
;ZW;1967;p99.5p100;19212.6699219;;;;0.9082368016;;34067.9726562;;;0.1171732843;0.1171732843;21153.8125
;ZW;1967;p99.75p100;23733.9335938;;38223.2304688;;;;;;;0.0723735988;0.0723735988;
;ZW;1967;p99.95p100;39254.1875;;63218.4179688;;0.924798429;0.924798429;68359.1328125;;;0.0239412654;0.0239412654;42446.2070312
;ZW;1967;p99.995p100;76493.578125;;123192.039062;;;;;;;0.0046659266;0.0046659266;
;ZW;1966;p0p100;796.266357422;1251.19360352;1241.69494629;1951.10693359;;;;2019473152.0;3149159168.0;;;
;ZW;1966;p99p100;14932.6396484;;23285.90625;;0.9166337252;0.9166337252;25403.71875;;;0.1875330359;0.1875330359;16290.7373047
;ZW;1966;p99.9p100;29527.0898438;;46044.4375;;0.9070738554;0.9070738554;50761.5117188;;;0.0370814465;0.0370814465;32552.0234375
;ZW;1966;p99.99p100;57959.6679688;;90382.1015625;;0.879811883;0.879811883;102728.890625;;;0.0072801374;0.0072801374;65877.34375
;ZW;1966;p99.5p99.9;15504.3984375;;24177.5039062;;;;31576.2773438;;;0.0778856426;0.0778856426;20249.0371094
;ZW;1966;p99.95p99.99;30889.5566406;;48169.0664062;;;;62712.6914062;;;0.0155174602;0.0155174602;40216.0
;ZW;1966;p99.9p99.95;22749.1464844;;35474.9414062;;;;50761.5117188;;;0.0142838499;0.0142838499;32552.0234375
;ZW;1966;p99.9p99.99;26367.2871094;;41117.0546875;;;;50761.5117188;;;0.0298013091;0.0298013091;32552.0234375
;ZW;1966;p99p99.5;11556.3769531;;18020.9726562;;;;25403.71875;;;0.0725659505;0.0725659505;16290.7373047
;ZW;1966;p99.5p100;18308.8847656;;;;0.9041854739;;31576.2773438;;;0.1149670854;0.1149670854;20249.0371094
;ZW;1966;p99.75p100;22489.7421875;;35070.421875;;;;;;;0.0706099123;0.0706099123;
;ZW;1966;p99.95p100;36304.2226562;;56612.6796875;;0.9027308822;0.9027308226;62712.6914062;;;0.0227975976;0.0227975976;40216.0
;ZW;1966;p99.995p100;69922.6953125;;109037.195312;;;;;;;0.004391388;0.004391388;
;ZW;1965;p0p100;767.822753906;1198.99279785;1249.96936035;1951.88830566;;;;1878757888.0;3058505216.0;;;
;ZW;1965;p99p100;14631.0615234;;23818.4921875;;0.9261265993;0.9261265993;25718.3964844;;;0.1905524284;0.1905524284;15798.1230469
;ZW;1965;p99.9p100;28724.0371094;;46761.0117188;;0.9021129608;0.9021129608;51834.984375;;;0.0374092422;0.0374092422;31840.84375
;ZW;1965;p99.99p100;54964.9609375;;89479.6640625;;0.8881732225;0.8881732225;100745.734375;;;0.0071597365;0.0071597365;61885.40625
;ZW;1965;p99.5p99.9;15292.3271484;;24894.9921875;;;;32249.6953125;;;0.079666093;0.079666093;19810.125
;ZW;1965;p99.95p99.99;30134.1425781;;49056.5742188;;;;63436.7890625;;;0.0156987552;0.0156987552;38967.5234375
;ZW;1965;p99.9p99.95;22346.4160156;;36378.625;;;;51834.984375;;;0.014550752;0.014550752;31840.84375
;ZW;1965;p99.9p99.99;25807.7988281;;42013.5507812;;;;51834.984375;;;0.0302495081;0.0302495081;31840.84375
;ZW;1965;p99p99.5;11283.4863281;;18368.8398438;;;;25718.3964844;;;0.0734770894;0.0734770894;15798.1230469
;ZW;1965;p99.5p100;17978.6210938;;;;0.9075470567;;32249.6953125;;;0.1170753315;0.1170753315;19810.125
;ZW;1965;p99.75p100;22032.6679688;;35867.859375;;;;;;;0.0717374161;0.0717374161;
;ZW;1965;p99.95p100;35100.8984375;;57142.15625;;0.900773108;0.9007731676;63436.7890625;;;0.0228584912;0.0228584912;38967.5234375
;ZW;1965;p99.995p100;66263.1796875;;107872.484375;;;;;;;0.0043157213;0.0043157213;
;ZW;1964;p0p100;753.733642578;1162.69506836;1220.35693359;1882.49926758;;;;1778632960.0;2879753472.0;;;
;ZW;1964;p99p100;14305.5625;;23161.8847656;;0.9294105768;0.9294106364;24921.046875;;;0.189795807;0.189795807;15392.0800781
;ZW;1964;p99.9p100;28262.8261719;;45759.8476562;;0.9229078293;0.9229078293;49582.25;;;0.0374966189;0.0374966189;30623.671875
;ZW;1964;p99.99p100;55382.796875;;89669.3203125;;0.8871757388;0.8871757388;101072.78125;;;0.0073490134;0.0073490134;62425.9609375
;ZW;1964;p99.5p99.9;14864.5449219;;24066.9238281;;;;30934.4863281;;;0.0788850263;0.0788850263;19106.1835938
;ZW;1964;p99.95p99.99;29701.6347656;;48089.3984375;;;;60941.0742188;;;0.01576267;0.01576267;37639.265625
;ZW;1964;p99.9p99.95;21686.3886719;;35112.0507812;;;;49582.25;;;0.0143849337;0.0143849337;30623.671875
;ZW;1964;p99.9p99.99;25248.8964844;;40880.046875;;;;49582.25;;;0.0301476046;0.0301476046;30623.671875
;ZW;1964;p99p99.5;11066.9550781;;17918.3144531;;;;24921.046875;;;0.0734141618;0.0734141618;15392.0800781
;ZW;1964;p99.5p100;17544.1523438;;;;0.9182447195;;30934.4863281;;;0.1163816452;0.1163816452;19106.1835938
;ZW;1964;p99.75p100;21514.0742188;;34833.0625;;;;;;;0.0713582784;0.0713582784;
;ZW;1964;p99.95p100;34838.4804688;;56406.3710938;;0.925588727;0.925588727;60941.0742188;;;0.0231116842;0.0231116842;37639.265625
;ZW;1964;p99.995p100;66403.296875;;107512.414062;;;;;;;0.0044056885;0.0044056885;
;ZW;1963;p0p100;810.05267334;1234.45178223;1268.6184082;1933.26721191;;;;1851144576.0;2899065856.0;;;
;ZW;1963;p99p100;15362.9179688;;24059.7695312;;0.96182549;0.9618254304;25014.6933594;;;0.1896531284;0.1896531284;15972.6669922
;ZW;1963;p99.9p100;31796.6777344;;49796.5742188;;0.961717546;0.9617174864;51778.796875;;;0.0392520986;0.0392520986;33062.3867188
;ZW;1963;p99.99p100;65636.875;;102793.5;;0.9644189477;0.9644189477;106585.9375;;;0.0081041353;0.0081041353;68058.46875
;ZW;1963;p99.5p99.9;15915.90625;;24925.8007812;;;;31229.9765625;;;0.0785921142;0.0785921142;19941.3203125
;ZW;1963;p99.95p99.99;33203.2265625;;51999.3632812;;;;64843.8242188;;;0.016395865;0.016395865;41404.8164062
;ZW;1963;p99.9p99.95;23901.6855469;;37432.2773438;;;;51778.796875;;;0.0147520974;0.0147520974;33062.3867188
;ZW;1963;p99.9p99.99;28035.9082031;;43906.859375;;;;51778.796875;;;0.0311479624;0.0311479624;33062.3867188
;ZW;1963;p99p99.5;11633.8134766;;18219.6425781;;;;25014.6933594;;;0.0718089193;0.0718089193;15972.6669922
;ZW;1963;p99.5p100;19092.0058594;;;;0.9574092627;;31229.9765625;;;0.1178442091;0.1178442091;19941.3203125
;ZW;1963;p99.75p100;23766.2871094;;37220.234375;;;;;;;0.0733478963;0.0733478963;
;ZW;1963;p99.95p100;39690.7304688;;62159.3984375;;0.9586017132;0.9586017132;64843.8242188;;;0.0245000012;0.0245000012;41404.8164062
;ZW;1963;p99.995p100;81049.921875;;126931.773438;;;;;;;0.0050035864;0.0050035864;
;ZW;1962;p0p100;792.498046875;1193.1418457;1222.38061523;1840.34973145;;;;1748698368.0;2697262080.0;;;
;ZW;1962;p99p100;15154.9023438;;23375.5253906;;0.9716187716;0.9716187716;24058.3300781;;;0.1912293434;0.1912293434;15597.5800781
;ZW;1962;p99.9p100;31696.7890625;;48890.390625;;0.9768311977;0.9768311381;50049.9921875;;;0.0399955325;0.0399955325;32448.5839844
;ZW;1962;p99.99p100;65083.3867188;;100387.21875;;0.9623073936;0.9623073936;104319.28125;;;0.0082137985;0.0082137985;67632.640625
;ZW;1962;p99.5p99.9;15670.2099609;;24170.3574219;;;;29876.6503906;;;0.0790928975;0.0790928975;19369.734375
;ZW;1962;p99.95p99.99;33233.3671875;;51260.4726562;;;;62936.2460938;;;0.0167742651;0.0167742651;40803.046875
;ZW;1962;p99.9p99.95;23788.5019531;;36692.3359375;;;;50049.9921875;;;0.0150074679;0.0150074679;32448.5839844
;ZW;1962;p99.9p99.99;27986.4296875;;43167.3867188;;;;50049.9921875;;;0.031781733;0.031781733;32448.5839844
;ZW;1962;p99p99.5;11434.3164062;;17636.7460938;;;;24058.3300781;;;0.0721409097;0.0721409097;15597.5800781
;ZW;1962;p99.5p100;18875.46875;;;;0.9744825959;;29876.6503906;;;0.1190884337;0.1190884337;19369.734375
;ZW;1962;p99.75p100;23588.609375;;36384.0117188;;;;;;;0.0744121298;0.0744121298;
;ZW;1962;p99.95p100;39604.1328125;;61086.9921875;;0.9706169963;0.9706170559;62936.2460938;;;0.0249880645;0.0249880645;40803.046875
;ZW;1962;p99.995p100;80274.0859375;;123817.953125;;;;;;;0.0050654639;0.0050654639;
;ZW;1961;p0p100;802.346313477;1199.8795166;1239.19104004;1853.16479492;;;;1715315968.0;2649235200.0;;;
;ZW;1961;p99p100;15753.0332031;;24329.9140625;;1.0059205294;1.0059205294;24186.7167969;;;0.1963368952;0.1963368952;15660.3154297
;ZW;1961;p99.9p100;34812.2695312;;53766.125;;1.015407443;1.015407443;52950.296875;;;0.0433875248;0.0433875248;34284.0390625
;ZW;1961;p99.99p100;70440.6953125;;108792.773438;;0.9157393575;0.9157393575;118803.210938;;;0.0087807961;0.0087807961;76922.2109375
;ZW;1961;p99.5p99.9;16211.4414062;;25037.9082031;;;;30257.2011719;;;0.0808203369;0.0808203369;19590.8085938
;ZW;1961;p99.95p99.99;37065.5195312;;57246.1796875;;;;69156.84375;;;0.0184788778;0.0184788778;44777.3867188
;ZW;1961;p99.9p99.95;25882.1191406;;39973.875;;;;52950.296875;;;0.0161278527;0.0161278527;34284.0390625
;ZW;1961;p99.9p99.99;30852.7675781;;47650.8359375;;;;52950.296875;;;0.0346067324;0.0346067324;34284.0390625
;ZW;1961;p99p99.5;11574.5039062;;17876.3476562;;;;24186.7167969;;;0.0721290335;0.0721290335;15660.3154297
;ZW;1961;p99.5p100;19931.5449219;;;;1.0173926353;;30257.2011719;;;0.1242078617;0.1242078617;19590.8085938
;ZW;1961;p99.75p100;25344.7207031;;39143.8867188;;;;;;;0.0789705738;0.0789705738;
;ZW;1961;p99.95p100;43741.3515625;;67556.7265625;;0.9768625498;0.9768625498;69156.84375;;;0.0272596739;0.0272596739;44777.3867188
;ZW;1961;p99.995p100;85407.8671875;;131908.96875;;;;;;;0.0053232652;0.0053232652;
;ZW;1960;p0p100;752.746643066;1118.23400879;1197.07971191;1778.30786133;;;;1560949376.0;2482350336.0;;;
;ZW;1960;p99p100;16456.8222656;;26170.9941406;;1.0893496275;1.0893496275;24024.4199219;;;0.2186234444;0.2186234444;15107.015625
;ZW;1960;p99.9p100;41342.1132812;;65745.6328125;;1.1108129025;1.1108129025;59186.953125;;;0.0549209751;0.0549209751;37217.890625
;ZW;1960;p99.99p100;94634.953125;;150496.296875;;1.0408858061;1.0408858061;144584.828125;;;0.0125740394;0.0125740394;90917.7109375
;ZW;1960;p99.5p99.9;16643.8945312;;26468.4902344;;;;30638.1914062;;;0.0884437189;0.0884437189;19265.8808594
;ZW;1960;p99.95p99.99;43424.6679688;;69057.4765625;;;;80774.2265625;;;0.0230757073;0.0230757073;50792.3828125
;ZW;1960;p99.9p99.95;29014.8125;;46141.7421875;;;;59186.953125;;;0.0192712303;0.0192712303;37217.890625
