Variable Code;country;year;perc;npopul992t;npopul999i;ntaxre992t;inyixx999i;xlceup999i;xlceux999i;xlcusp999i;xlcusx999i;xlcyup999i;xlcyux999i
;US-WY;1978;p0p100;182181.15625;;192833.0;0.33810094;;;1.0;1.0;0.9547064304;
;US-WY;1977;p0p100;174843.90625;;174544.0;0.315928787;;;1.0;1.0;0.9135241508;
;US-WY;1976;p0p100;167905.40625;;167388.0;0.2975162268;;;1.0;1.0;0.8714398146;
;US-WY;1975;p0p100;161344.84375;;155939.0;0.2820289731;;;1.0;1.0;0.8604028821;
;US-WY;1974;p0p100;154996.8125;;151274.0;0.2580621839;;;1.0;1.0;0.7967916131;
;US-WY;1973;p0p100;149017.296875;;144351.0;0.2368501127;;;1.0;1.0;0.7372254133;
;US-WY;1972;p0p100;143220.40625;;129783.007812;0.2246379256;;;1.0;1.0;0.7126262784;
;US-WY;1971;p0p100;137498.390625;;126559.0;0.2153150141;;;1.0;1.0;0.6847807765;
;US-WY;1970;p0p100;131758.609375;;126494.0;0.2049063742;;;1.0;1.0;0.672759831;
;US-WY;1969;p0p100;131581.90625;;123989.0;0.1946323365;;;1.0;1.0;0.6523371339;
;US-WY;1968;p0p100;131647.46875;;128771.0;0.1855068803;;;1.0;1.0;0.6194906235;
;US-WY;1967;p0p100;131679.9375;;116591.0;0.1779426634;;;1.0;1.0;0.6002780199;
;US-WY;1966;p0p100;131588.4375;;114131.0;0.1729178131;;;1.0;1.0;0.5991725326;
;US-WY;1965;p0p100;131404.71875;;117993.0;0.1681890637;;;1.0;1.0;0.5878564715;
;US-WY;1964;p0p100;131091.40625;;119037.0;0.165165171;;;1.0;1.0;0.6169885993;
;US-WY;1963;p0p100;130592.4375;;118734.0;0.1626706868;;;1.0;1.0;0.6245597005;
;US-WY;1962;p0p100;130025.195312;;116361.0;0.1608581692;;;1.0;1.0;0.5787657499;
;US-WY;1961;p0p100;129328.1875;;115723.0;0.1589020491;;;1.0;1.0;0.5063357949;
;US-WY;1960;p0p100;128475.375;;116381.0;0.1571702808;;;1.0;1.0;0.6174277663;
;US-WY;1959;p0p100;128138.289062;;114694.0;0.1550257355;;;1.0;;0.6377097964;
;US-WY;1958;p0p100;127661.664062;;111200.0;0.152988866;;;1.0;;0.6633341312;
;US-WY;1957;p0p100;127158.070312;;116263.0;0.149516359;;;1.0;;0.7038274407;
;US-WY;1956;p0p100;126454.414062;;111087.0;0.1444735378;;;1.0;;0.6517068744;
;US-WY;1955;p0p100;125767.523438;;112669.0;0.1396730095;;;1.0;;0.6540765762;
;US-WY;1954;p0p100;125067.835938;;108252.0;0.1376989633;;;1.0;;0.653101325;
;US-WY;1953;p0p100;124355.226562;;111093.0;0.136299178;;;1.0;;0.6625382304;
;US-WY;1952;p0p100;123746.78125;;106711.0;0.1345584542;;;1.0;;0.7204616666;
;US-WY;1951;p0p100;123046.976562;;106318.0;0.1316781193;;;1.0;;;
;US-WY;1950;p0p100;122344.679688;;101191.0;0.1233422235;;;1.0;;;
;US-WY;1949;p0p100;120767.414062;;101625.0;0.122229591;;;1.0;;;
;US-WY;1948;p0p100;119562.25;;99279.0;0.1222924143;;;1.0;;;
;US-WY;1947;p0p100;118349.726562;;96535.0;0.115778029;;;1.0;;;
;US-WY;1946;p0p100;116897.132812;;90191.0;0.1041131839;;;1.0;;;
;US-WY;1945;p0p100;116457.992188;;82206.0;0.0924932137;;;1.0;;;
