Sources;.;.;.;http://wid.world/wp-content/uploads/2018/03/WID_WORKING_PAPER_2018_5_Novokmet_Czech_Republic.pdf/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;http://wordpress.wid.world/document/7736/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);http://wordpress.wid.world/document/7736/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);http://wid.world/wp-content/uploads/2018/03/WID_WORKING_PAPER_2018_5_Novokmet_Czech_Republic.pdf/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;http://wid.world/wp-content/uploads/2018/03/WID_WORKING_PAPER_2018_5_Novokmet_Czech_Republic.pdf/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);http://wid.world/wp-content/uploads/2018/03/WID_WORKING_PAPER_2018_5_Novokmet_Czech_Republic.pdf/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);http://wordpress.wid.world/document/7736/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);http://wordpress.wid.world/document/7736/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015)
Variable Code;country;year;perc;afiinc992i;ahwagr992i;ahwagr999i;ahwbus992i;ahwbus999i;ahwdeb992i;ahwdeb999i;ahwdwe992i;ahwdwe999i;ahweal992i;ahweal999i;ahwequ992i;ahwequ999i;ahwfin992i;ahwfin999i;ahwfix992i;ahwfix999i;ahwhou992i;ahwhou999i;ahwlan992i;ahwlan999i;ahwnfa992i;ahwnfa999i;ahwodk992i;ahwodk999i;ahwpen992i;ahwpen999i;aptinc992j;bptinc992j;mfiinc992i;mhwagr999i;mhwbus999i;mhwdeb999i;mhwdwe999i;mhweal999i;mhwequ999i;mhwfin999i;mhwfix999i;mhwhou999i;mhwlan999i;mhwnfa999i;mhwodk999i;mhwpen999i;sfiinc992i;sfiinc992t;sptinc992j;tptinc992j
;CZ;2008;p61p62;;;;;;;;;;;;;;;;;;;;;;;;;;;;356533.737356;;;;;;;;;;;;;;;;;;0.0090957872;354293.368313
;CZ;2008;p62p63;;;;;;;;;;;;;;;;;;;;;;;;;;;;361076.840424;;;;;;;;;;;;;;;;;;0.0092116896;358788.115177
;CZ;2008;p63p64;;;;;;;;;;;;;;;;;;;;;;;;;;;;365740.842671;;;;;;;;;;;;;;;;;;0.0093306763;363385.789569
;CZ;2008;p64p65;;;;;;;;;;;;;;;;;;;;;;;;;;;;370558.324701;;;;;;;;;;;;;;;;;;0.0094535785;368121.590327
;CZ;2008;p65p66;;;;;;;;;;;;;;;;;;;;;;;;;;;;375554.884823;;;;;;;;;;;;;;;;;;0.0095810493;373025.073055
;CZ;2008;p66p67;;;;;;;;;;;;;;;;;;;;;;;;;;;;380745.925167;;;;;;;;;;;;;;;;;;0.0097134817;378117.346793
;CZ;2008;p67p68;;;;;;;;;;;;;;;;;;;;;;;;;;;;386132.458595;;;;;;;;;;;;;;;;;;0.0098509014;383407.412714
;CZ;2008;p68p69;;;;;;;;;;;;;;;;;;;;;;;;;;;;391695.644958;;;;;;;;;;;;;;;;;;0.0099928278;388887.391069
;CZ;2008;p69p70;;;;;;;;;;;;;;;;;;;;;;;;;;;;397389.672271;;;;;;;;;;;;;;;;;;0.0101380922;394526.303271
;CZ;2008;p70p71;;;;;;;;;;;;;;;;;;;;;;;;;;;;403140.460571;;;;;;;;;;;;;;;;;;0.0102848047;400261.967479
;CZ;2008;p71p72;;;;;;;;;;;;;;;;;;;;;;;;;;;;408922.346644;;;;;;;;;;;;;;;;;;0.0104323105;406022.911617
;CZ;2008;p72p73;;;;;;;;;;;;;;;;;;;;;;;;;;;;414783.214192;;;;;;;;;;;;;;;;;;0.0105818313;411834.905969
;CZ;2008;p73p74;;;;;;;;;;;;;;;;;;;;;;;;;;;;420780.222623;;;;;;;;;;;;;;;;;;0.0107348253;417754.201287
;CZ;2008;p74p75;;;;;;;;;;;;;;;;;;;;;;;;;;;;426971.072239;;;;;;;;;;;;;;;;;;0.0108927645;423838.583432
;CZ;2008;p75p76;;;;;;;;;;;;;;;;;;;;;;;;;;;;433411.308296;;;;;;;;;;;;;;;;;;0.0110570659;430145.225184
;CZ;2008;p76p77;;;;;;;;;;;;;;;;;;;;;;;;;;;;440150.201564;;;;;;;;;;;;;;;;;;0.0112289867;436727.368485
;CZ;2008;p77p78;;;;;;;;;;;;;;;;;;;;;;;;;;;;447224.543681;;;;;;;;;;;;;;;;;;0.0114094653;443629.294755
;CZ;2008;p78p79;;;;;;;;;;;;;;;;;;;;;;;;;;;;454649.378413;;;;;;;;;;;;;;;;;;0.0115988855;450878.784846
;CZ;2008;p79p80;;;;;;;;;;;;;;;;;;;;;;;;;;;;462404.204455;;;;;;;;;;;;;;;;;;0.0117967245;458475.881918
;CZ;2008;p80p81;;;;;;;;;;;;;;;;;;;;;;;;;;;;470425.880277;;;;;;;;;;;;;;;;;;0.0120013712;466376.170979
;CZ;2008;p81p82;;;;;;;;;;;;;;;;;;;;;;;;;;;;478733.21922;;;;;;;;;;;;;;;;;;0.0122133056;474520.872532
;CZ;2008;p82p83;;;;;;;;;;;;;;;;;;;;;;;;;;;;487481.539525;;;;;;;;;;;;;;;;;;0.0124364903;483018.574283
;CZ;2008;p83p84;;;;;;;;;;;;;;;;;;;;;;;;;;;;496866.567926;;;;;;;;;;;;;;;;;;0.0126759185;492050.114062
;CZ;2008;p84p85;;;;;;;;;;;;;;;;;;;;;;;;;;;;507114.079486;;;;;;;;;;;;;;;;;;0.0129373501;501826.29615
;CZ;2008;p85p86;;;;;;;;;;;;;;;;;;;;;;;;;;;;518477.210699;;;;;;;;;;;;;;;;;;0.013227243;512587.481476
;CZ;2008;p86p87;;;;;;;;;;;;;;;;;;;;;;;;;;;;531226.128457;;;;;;;;;;;;;;;;;;0.0135524898;524597.982708
;CZ;2008;p87p88;;;;;;;;;;;;;;;;;;;;;;;;;;;;545622.209073;;;;;;;;;;;;;;;;;;0.0139197585;538129.758439
;CZ;2008;p88p89;;;;;;;;;;;;;;;;;;;;;;;;;;;;561861.212621;;;;;;;;;;;;;;;;;;0.0143340433;553424.616375
;CZ;2008;p89p90;;;;;;;;;;;;;;;;;;;;;;;;;;;;579954.015557;;;;;;;;;;;;;;;;;;0.0147956218;570613.399576
;CZ;2008;p90p91;;;;;;;;;;;;;;;;;;;;;;;;;;;;599585.761179;;;;;;;;;;;;;;;;;;0.0152964613;589547.911489
;CZ;2008;p91p92;;;;;;;;;;;;;;;;;;;;;;;;;;;;620957.15384;;;;;;;;;;;;;;;;;;0.0158416822;609894.840537
;CZ;2008;p92p93;;;;;;;;;;;;;;;;;;;;;;;;;;;;645299.079892;;;;;;;;;;;;;;;;;;0.0164626865;632511.25297
;CZ;2008;p93p94;;;;;;;;;;;;;;;;;;;;;;;;;;;;674044.660247;;;;;;;;;;;;;;;;;;0.0171960355;658828.78152
;CZ;2008;p94p95;;;;;;;;;;;;;;;;;;;;;;;;;;;;707867.311812;;;;;;;;;;;;;;;;;;0.0180589094;690160.369998
;CZ;2008;p95p96;;;;;;;;;;;;;;;;;;;;;;;;;;;;761773.007974;;;;;;;;;;;;;;;;;;0.0194341362;726045.454207
;CZ;2008;p96p97;;;;;;;;;;;;;;;;;;;;;;;;;;;;843174.260013;;;;;;;;;;;;;;;;;;0.0215108218;799141.847113
;CZ;2008;p97p98;;;;;;;;;;;;;;;;;;;;;;;;;;;;973885.150702;;;;;;;;;;;;;;;;;;0.0248454808;894615.944056
;CZ;2008;p98p99;;;;;;;;;;;;;;;;;;;;;;;;;;;;1279046.06612;;;;;;;;;;;;;;;;;;0.0326306592;1080217.46026
;CZ;2008;p1p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;395583.619964;5.6674827723;;;;;;;;;;;;;;;;;0.9991096562;69798.8217798
;CZ;2008;p2p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;398551.838201;2.8550040534;;;;;;;;;;;;;;;;;0.9964386246;139597.64356
;CZ;2008;p3p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;401145.486397;2.6818225188;;;;;;;;;;;;;;;;;0.9926892198;149579.430996
;CZ;2008;p4p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;403740.905656;2.6150539239;;;;;;;;;;;;;;;;;0.9888118157;154391.044087
;CZ;2008;p5p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;406340.316762;2.5523463236;;;;;;;;;;;;;;;;;0.984811659;159202.657178
;CZ;2008;p6p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;408943.847113;2.493343088;;;;;;;;;;;;;;;;;0.9806887499;164014.270269
;CZ;2008;p7p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;411551.62959;2.437728276;;;;;;;;;;;;;;;;;0.9764430883;168825.883359
;CZ;2008;p8p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;414163.802847;2.3852209996;;;;;;;;;;;;;;;;;0.9720746741;173637.49645
;CZ;2008;p9p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;416780.511637;2.3355706997;;;;;;;;;;;;;;;;;0.9675835075;178449.109541
;CZ;2008;p10p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;419401.907143;2.2885531669;;;;;;;;;;;;;;;;;0.9629695883;183260.722632
;CZ;2008;p11p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;422038.400757;2.2660117125;;;;;;;;;;;;;;;;;0.9582561975;186247.228302
;CZ;2008;p12p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;424700.877116;2.2443190662;;;;;;;;;;;;;;;;;0.9534666158;189233.733972
;CZ;2008;p13p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;427390.232177;2.2234403254;;;;;;;;;;;;;;;;;0.9486008432;192220.239642
;CZ;2008;p14p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;430107.403569;2.2033429372;;;;;;;;;;;;;;;;;0.9436588797;195206.745313
;CZ;2008;p15p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;432853.64382;2.1858245453;;;;;;;;;;;;;;;;;0.9386413125;198027.625201
;CZ;2008;p16p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;435634.962061;2.1736297711;;;;;;;;;;;;;;;;;0.9335587943;200418.198104
;CZ;2008;p17p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;438454.497934;2.161910926;;;;;;;;;;;;;;;;;0.9284152884;202808.771008
;CZ;2008;p18p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;441313.649647;2.1506581904;;;;;;;;;;;;;;;;;0.923210795;205199.343912
;CZ;2008;p19p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;444213.884453;2.1398625293;;;;;;;;;;;;;;;;;0.9179453139;207589.916816
;CZ;2008;p20p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;447156.742968;2.1295156686;;;;;;;;;;;;;;;;;0.9126188452;209980.48972
;CZ;2008;p21p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;450149.409721;2.1264389754;;;;;;;;;;;;;;;;;0.9072426066;211691.666171
;CZ;2008;p22p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;453190.141805;2.1139613158;;;;;;;;;;;;;;;;;0.9018093177;214379.581314
;CZ;2008;p23p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;456270.875004;2.0965444599;;;;;;;;;;;;;;;;;0.8962994585;217629.954306
;CZ;2008;p24p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;459388.194851;2.07785463;;;;;;;;;;;;;;;;;0.8907033472;221087.745132
;CZ;2008;p25p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;462542.774724;2.0606018801;;;;;;;;;;;;;;;;;0.8850194721;224469.743132
;CZ;2008;p26p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;465738.586511;2.0464927617;;;;;;;;;;;;;;;;;0.8792524799;227578.907299
;CZ;2008;p27p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;468981.837332;2.0362133534;;;;;;;;;;;;;;;;;0.8734107748;230320.578416
;CZ;2008;p28p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;472279.578233;2.0293828478;;;;;;;;;;;;;;;;;0.8675036776;232720.789348
;CZ;2008;p29p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;475637.92078;2.0244477262;;;;;;;;;;;;;;;;;0.861538088;234947.000424
;CZ;2008;p30p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;479059.784891;2.018524575;;;;;;;;;;;;;;;;;0.8555145824;237331.658393
;CZ;2008;p31p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;482542.60326;2.0084643843;;;;;;;;;;;;;;;;;0.8494237798;240254.498432
;CZ;2008;p32p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;486081.092516;1.9948930236;;;;;;;;;;;;;;;;;0.8432518495;243662.736184
;CZ;2008;p33p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;489671.761819;1.9793524752;;;;;;;;;;;;;;;;;0.836988564;247389.8752
;CZ;2008;p34p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;493313.30701;1.9631502652;;;;;;;;;;;;;;;;;0.8306277336;251286.575336
;CZ;2008;p35p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;497006.479261;1.9473237036;;;;;;;;;;;;;;;;;0.8241667103;255225.404145
;CZ;2008;p36p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;500753.861261;1.932618972;;;;;;;;;;;;;;;;;0.8176057596;259106.356973
;CZ;2008;p37p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;504559.527816;1.9194754634;;;;;;;;;;;;;;;;;0.8109472817;262863.233957
;CZ;2008;p38p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;508428.563053;1.9080071793;;;;;;;;;;;;;;;;;0.8041948577;266470.99055
;CZ;2008;p39p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;512366.400681;1.8979752134;;;;;;;;;;;;;;;;;0.7973520934;269954.210708
;CZ;2008;p40p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;516377.946434;1.8887484534;;;;;;;;;;;;;;;;;0.7904212325;273396.886446
;CZ;2008;p41p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;520466.602291;1.8795308971;;;;;;;;;;;;;;;;;0.7834017541;276913.033504
;CZ;2008;p42p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;524634.907522;1.8703062022;;;;;;;;;;;;;;;;;0.776291514;280507.494921
;CZ;2008;p43p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;528885.920525;1.8612698427;;;;;;;;;;;;;;;;;0.7690888637;284153.274501
;CZ;2008;p44p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;533223.37671;1.8525883569;;;;;;;;;;;;;;;;;0.7617928097;287826.151301
;CZ;2008;p45p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;537651.69143;1.844395735;;;;;;;;;;;;;;;;;0.7544029314;291505.603278
;CZ;2008;p46p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;542175.944574;1.8367893071;;;;;;;;;;;;;;;;;0.7469192733;295175.90422
;CZ;2008;p47p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;546801.840847;1.829824828;;;;;;;;;;;;;;;;;0.739342206;298827.424607
;CZ;2008;p48p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;551535.638199;1.8235104442;;;;;;;;;;;;;;;;;0.7316722522;302458.173445
;CZ;2008;p49p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;556384.03488;1.8177992233;;;;;;;;;;;;;;;;;0.7239098687;306075.625812
;CZ;2008;p50p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;561354.003092;1.8125799641;;;;;;;;;;;;;;;;;0.7160551782;309698.890093
;CZ;2008;p51p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;566452.577516;1.8076936257;;;;;;;;;;;;;;;;;0.7081076703;313356.516536
;CZ;2008;p52p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;571686.854445;1.8030394072;;;;;;;;;;;;;;;;;0.7000661917;317068.419115
;CZ;2008;p53p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;577064.176177;1.7985493257;;;;;;;;;;;;;;;;;0.6919291604;320849.791515
;CZ;2008;p54p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;582592.214707;1.7941717904;;;;;;;;;;;;;;;;;0.6836946317;324713.730214
;CZ;2008;p55p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;588279.063276;1.7898750739;;;;;;;;;;;;;;;;;0.6753603617;328670.459658
;CZ;2008;p56p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;594133.359963;1.7856514996;;;;;;;;;;;;;;;;;0.6669238923;332726.380311
;CZ;2008;p57p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;600164.453085;1.7815224581;;;;;;;;;;;;;;;;;0.6583826629;336882.900557
;CZ;2008;p58p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;606382.621087;1.7775444124;;;;;;;;;;;;;;;;;0.6497341558;341135.004478
;CZ;2008;p59p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;612799.36334;1.7738161257;;;;;;;;;;;;;;;;;0.6409760811;345469.496227
;CZ;2008;p60p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;619427.783252;1.7704874588;;;;;;;;;;;;;;;;;0.6321066127;349862.847187
;CZ;2008;p61p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;626282.997485;1.7676960776;;;;;;;;;;;;;;;;;0.62312459;354293.368313
;CZ;2008;p62p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;633381.662225;1.7653362401;;;;;;;;;;;;;;;;;0.6140288028;358788.115177
;CZ;2008;p63p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;640741.252004;1.7632534634;;;;;;;;;;;;;;;;;0.6048171132;363385.789569
;CZ;2008;p64p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;648380.152263;1.7613206324;;;;;;;;;;;;;;;;;0.5954864369;368121.590327
;CZ;2008;p65p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;656317.918765;1.7594471958;;;;;;;;;;;;;;;;;0.5860328584;373025.073055
;CZ;2008;p66p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;664575.655057;1.7575910248;;;;;;;;;;;;;;;;;0.5764518091;378117.346793
;CZ;2008;p67p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;673176.555963;1.7557734505;;;;;;;;;;;;;;;;;0.5667383274;383407.412714
;CZ;2008;p68p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;682146.684006;1.7540982291;;;;;;;;;;;;;;;;;0.556887426;388887.391069
;CZ;2008;p69p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;691516.072362;1.7527755859;;;;;;;;;;;;;;;;;0.5468945982;394526.303271
;CZ;2008;p70p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;701320.285699;1.7521531964;;;;;;;;;;;;;;;;;0.536756506;400261.967479
;CZ;2008;p71p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;711602.348634;1.7526162398;;;;;;;;;;;;;;;;;0.5264717013;406022.911617
;CZ;2008;p72p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;722412.348705;1.7541309351;;;;;;;;;;;;;;;;;0.5160393907;411834.905969
;CZ;2008;p73p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;733806.020354;1.7565497082;;;;;;;;;;;;;;;;;0.5054575594;417754.201287
;CZ;2008;p74p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;745845.474113;1.7597394463;;;;;;;;;;;;;;;;;0.4947227341;423838.583432
;CZ;2008;p75p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;758600.450187;1.7635914704;;;;;;;;;;;;;;;;;0.4838299697;430145.225184
;CZ;2008;p76p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;772149.997766;1.7680366597;;;;;;;;;;;;;;;;;0.4727729037;436727.368485
;CZ;2008;p77p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;786584.771514;1.773067696;;;;;;;;;;;;;;;;;0.461543917;443629.294755
;CZ;2008;p78p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;802010.236416;1.778771287;;;;;;;;;;;;;;;;;0.4501344518;450878.784846
;CZ;2008;p79p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;818551.229654;1.7853746771;;;;;;;;;;;;;;;;;0.4385355662;458475.881918
;CZ;2008;p80p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;836358.580914;1.79331328;;;;;;;;;;;;;;;;;0.4267388418;466376.170979
;CZ;2008;p81p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;855618.196737;1.8031202551;;;;;;;;;;;;;;;;;0.4147374706;474520.872532
;CZ;2008;p82p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;876556.251043;1.8147464667;;;;;;;;;;;;;;;;;0.4025241649;483018.574283
;CZ;2008;p83p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;899442.99878;1.8279499853;;;;;;;;;;;;;;;;;0.3900876746;492050.114062
;CZ;2008;p84p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;924604.025708;1.8424782296;;;;;;;;;;;;;;;;;0.3774117562;501826.29615
;CZ;2008;p85p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;952436.68879;1.8580958826;;;;;;;;;;;;;;;;;0.3644744061;512587.481476
;CZ;2008;p86p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;983433.794368;1.8746427298;;;;;;;;;;;;;;;;;0.3512471631;524597.982708
;CZ;2008;p87p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;1018218.99944;1.8921440108;;;;;;;;;;;;;;;;;0.3376946733;538129.758439
;CZ;2008;p88p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;1057602.0653;1.911013775;;;;;;;;;;;;;;;;;0.3237749147;553424.616375
;CZ;2008;p89p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;1102669.41555;1.9324281841;;;;;;;;;;;;;;;;;0.3094408714;570613.399576
;CZ;2008;p91p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;1216647.08825;1.9948473202;;;;;;;;;;;;;;;;;0.2793487883;609894.840537
;CZ;2008;p92p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;1291108.33005;2.0412416759;;;;;;;;;;;;;;;;;0.2635071061;632511.25297
;CZ;2008;p93p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;1383366.79436;2.099736431;;;;;;;;;;;;;;;;;0.2470444196;658828.78152
;CZ;2008;p94p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;1501587.15005;2.1757075824;;;;;;;;;;;;;;;;;0.2298483841;690160.369998
;CZ;2008;p95p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;1660331.11769;2.286814287;;;;;;;;;;;;;;;;;0.2117894747;726045.454207
;CZ;2008;p96p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;1884970.64512;2.3587435096;;;;;;;;;;;;;;;;;0.1923553385;799141.847113
;CZ;2008;p97p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;2232236.10683;2.4951892727;;;;;;;;;;;;;;;;;0.1708445168;894615.944056
;CZ;2008;p98p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;2861411.58489;2.6489218052;;;;;;;;;;;;;;;;;0.145999036;1080217.46026
;CZ;2008;p0p90;;;;;;;;;;;;;;;;;;;;;;;;;;;;307202.980354;;;;;;;;;;;;;;;;;;0.7053547504;0.0
;CZ;2008;p0p99;;;;;;;;;;;;;;;;;;;;;;;;;;;;351049.501855;;;;;;;;;;;;;;;;;;0.8866316232;0.0
;CZ;2008;p99.1p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;4759511.93904;2.860586743;;;;;;;;;;;;;;;;;0.1092809826;1663823.67206
;CZ;2008;p99.1p99.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1730123.41705;;;;;;;;;;;;;;;;;;0.0044138416;1663823.67206
;CZ;2008;p99.2p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;5138185.50429;2.85495609;;;;;;;;;;;;;;;;;0.104867141;1799742.39263
;CZ;2008;p99.2p99.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;1875521.00906;;;;;;;;;;;;;;;;;;0.0047847758;1799742.39263
;CZ;2008;p99.3p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;5604280.43218;2.8656450356;;;;;;;;;;;;;;;;;0.1000823652;1955678.51657
;CZ;2008;p99.3p99.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;2044335.05714;;;;;;;;;;;;;;;;;;0.0052154494;1955678.51657
;CZ;2008;p99.4p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;6197604.66135;2.8974011163;;;;;;;;;;;;;;;;;0.0948669158;2139021.97613
;CZ;2008;p99.4p99.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;2246045.89016;;;;;;;;;;;;;;;;;;0.0057300484;2139021.97613
;CZ;2008;p99.5p100;2349404.6168;;;;;;;;;;;;;;;;;;;;;;;;;;;6987916.41559;2.9586394805;;;;;;;;;;;;;;;0.0789081904;;0.0891368674;2361868.17003
;CZ;2008;p99.5p99.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;2508014.97244;;;;;;;;;;;;;;;;;;0.0063983764;2361868.17003
;CZ;2008;p99.6p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;8107891.77638;3.0319795427;;;;;;;;;;;;;;;;;0.082738491;2674124.82909
;CZ;2008;p99.6p99.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;2896350.19971;;;;;;;;;;;;;;;;;;0.0073890862;2674124.82909
