Variable Name;.;.;.;Fiscal income  | equal-split adults | Average | Adults | constant 2015 local currency;Personal agricultural land | individuals | Average | Adults | constant 2015 local currency;Personal agricultural land | individuals | Average | All Ages | constant 2015 local currency;Personal bonds & loans | individuals | Average | Adults | constant 2015 local currency;Personal bonds & loans | individuals | Average | All Ages | constant 2015 local currency;Personal business and other non-financial assets | individuals | Average | Adults | constant 2015 local currency;Personal business and other non-financial assets | individuals | Average | All Ages | constant 2015 local currency;Net personal wealth | individuals | Average | Adults | constant 2015 local currency;Net personal wealth | equal-split adults | Average | Adults | constant 2015 local currency;Net personal wealth | individuals | Average | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | Adults | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | All Ages | constant 2015 local currency;Personal financial assets | individuals | Average | Adults | constant 2015 local currency;Personal financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | Adults | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | All Ages | constant 2015 local currency;Personal housing assets | individuals | Average | Adults | constant 2015 local currency;Personal housing assets | individuals | Average | All Ages | constant 2015 local currency;Personal other domestic capital | individuals | Average | Adults | constant 2015 local currency;Personal other domestic capital | individuals | Average | All Ages | constant 2015 local currency;Personal offshore wealth | individuals | Average | Adults | constant 2015 local currency;Personal offshore wealth | individuals | Average | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | Adults | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | All Ages | constant 2015 local currency;Pre-tax national income  | equal-split adults | Average | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Net personal wealth | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Personal agricultural land | individuals | Total | All Ages | constant 2015 local currency;Personal bonds & loans | individuals | Total | All Ages | constant 2015 local currency;Personal business and other non-financial assets | individuals | Total | All Ages | constant 2015 local currency;Net personal wealth | individuals | Total | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Total | All Ages | constant 2015 local currency;Personal financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Total | All Ages | constant 2015 local currency;Personal housing assets | individuals | Total | All Ages | constant 2015 local currency;Personal other domestic capital | individuals | Total | All Ages | constant 2015 local currency;Personal offshore wealth | individuals | Total | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | equal-split adults | Share | Adults | share of total (ratio);Net personal wealth | equal-split adults | Share | Adults | share of total (ratio);Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio);Fiscal income  | equal-split adults | Threshold | Adults | constant 2015 local currency;Net personal wealth | equal-split adults | Threshold | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Threshold | Adults | constant 2015 local currency
;RU;2009;p99.3p99.4;3386729.54846;;;;;;;;33732979.4526;;;;;;;;;;;;;;;;5008820.15928;;;;;;;;;;;;;;;0.00811980012804;0.0136771332473;0.00862827710807;3183697.0;31884546.0;4718391.5
;RU;2009;p99.4p100;12047106.6589;;;;;;;;111029675.171;;;;;;;;;;;;;;;;17577613.69;3.3340086937;3.0997800827;3.29653954506;;;;;;;;;;;;0.173300105826;0.270103801032;0.181676942266;3613400.0;35818564.0;5332141.0
;RU;2009;p99.4p99.5;3894888.00963;;;;;;;;38194905.2783;;;;;;;;;;;;;;;;5733327.61326;;;;;;;;;;;;;;;0.00933812744915;0.0154862338677;0.00987632572651;3613400.0;35818564.0;5332141.0
;RU;2009;p99.5p100;13677550.4209;;;;;;;;125596629.36;;;;;;;;;;;;;;;;19946470.8534;3.25032353401;3.0797996521;3.22739648819;;;;;;;;;;;;0.163961978761;0.254617567591;0.171800616091;4208058.0;40780780.0;6180359.5
;RU;2009;p99.5p99.6;4594899.28712;;;;;;;;44099356.7629;;;;;;;;;;;;;;;;6734356.6935;;;;;;;;;;;;;;;0.0110164284706;0.0178802106529;0.0116007151082;4208058.0;40780780.0;6180359.5
;RU;2009;p99.6p100;15948213.2201;;;;;;;;145970947.434;;;;;;;;;;;;;;;;23249499.4504;3.17413592339;3.05060720444;3.1630153656;;;;;;;;;;;;0.152945550442;0.236737356816;0.160199901377;5024426.5;47849800.0;7350422.5
;RU;2009;p99.6p99.7;5553932.62929;;;;;;;;52635186.5014;;;;;;;;;;;;;;;;8117437.34777;;;;;;;;;;;;;;;0.0133157437667;0.0213410872966;0.0139832329005;5024426.5;47849800.0;7350422.5
;RU;2009;p99.7p100;19412973.4158;;;;;;;;177082867.573;;;;;;;;;;;;;;;;28293520.2373;3.16048431396;3.04591202736;3.15260720253;;;;;;;;;;;;0.139629806666;0.21539626931;0.14621666892;6142404.5;58137880.0;8974642.0
;RU;2009;p99.7p99.8;6882709.92833;;;;;;;;65991082.3909;;;;;;;;;;;;;;;;10080378.8249;;;;;;;;;;;;;;;0.0165015328676;0.0267562735826;0.017364628613;6142404.5;58137880.0;8974642.0
;RU;2009;p99.8p100;25678105.2002;;;;;;;;232628761.236;;;;;;;;;;;;;;;;37400091.1271;3.32012367249;3.068400383;3.28783321381;;;;;;;;;;;;0.123128273994;0.188639996596;0.12885204094;7734081.0;75814344.0;11375301.0
;RU;2009;p99.8p99.9;9260382.29954;;;;;;;;92803174.6852;;;;;;;;;;;;;;;;13716375.9708;;;;;;;;;;;;;;;0.022202083841;0.0376273132861;0.023628057912;7734081.0;75814344.0;11375301.0
;RU;2009;p99.91p100;45362133.6992;;;;;;;;400357616.802;;;;;;;;;;;;;;;;65790222.5501;3.37909126282;3.18381237984;3.33644723892;;;;;;;;;;;;0.097881542761;0.14609352937;0.101998200734;13424359.0;125747864.0;19718646.0
;RU;2009;p99.91p99.92;14322669.2899;;;;;;;;131065205.003;;;;;;;;;;;;;;;;20942648.8003;;;;;;;;;;;;;;;0.00343390903436;0.00531407631934;0.00360761559568;13424359.0;125747864.0;19718646.0
;RU;2009;p99.92p100;49242066.7438;;;;;;;;434019167.916;;;;;;;;;;;;;;;;71396169.3019;3.21456408501;3.1829726696;3.20216393471;;;;;;;;;;;;0.094447633714;0.140779452933;0.098390585184;15318428.0;136356544.0;22296226.0
;RU;2009;p99.92p99.93;16534214.151;;;;;;;;142441535.871;;;;;;;;;;;;;;;;23944922.6419;;;;;;;;;;;;;;;0.00396413449198;0.00577533291653;0.00412479229271;15318428.0;136356544.0;22296226.0
;RU;2009;p99.93p100;53914617.1692;;;;;;;;475673114.655;;;;;;;;;;;;;;;;78174919.0076;3.01641964912;3.19655919075;3.03463983536;;;;;;;;;;;;0.0904834993143;0.135004119819;0.0942657931117;17873712.0;148807856.0;25760856.0
;RU;2009;p99.93p99.94;19491393.9555;;;;;;;;156696148.818;;;;;;;;;;;;;;;;27941577.5334;;;;;;;;;;;;;;;0.00467312848195;0.00635329028592;0.00481326272711;17873712.0;148807856.0;25760856.0
;RU;2009;p99.94p100;59651821.0194;;;;;;;;528835942.716;;;;;;;;;;;;;;;;86547142.7207;2.80522298813;3.20306110382;2.85194563866;;;;;;;;;;;;0.0858103708054;0.128650829636;0.0894525305232;21264556.0;165103296.0;30346702.0
;RU;2009;p99.94p99.95;23383553.8796;;;;;;;;174626387.689;;;;;;;;;;;;;;;;33211297.9477;;;;;;;;;;;;;;;0.00560628715903;0.00708027696237;0.0057210335508;21264556.0;165103296.0;30346702.0
;RU;2009;p99.95p100;66905474.5274;;;;;;;;599677854.615;;;;;;;;;;;;;;;;97214311.7904;2.60403037071;3.22738575935;2.6745800972;;;;;;;;;;;;0.0802040837424;0.121570552855;0.0837314970716;25693046.0;185809168.0;36347504.0
;RU;2009;p99.95p99.96;28415787.8404;;;;;;;;200205626.182;;;;;;;;;;;;;;;;40058028.6029;;;;;;;;;;;;;;;0.00681278249249;0.00811739452183;0.0069004627876;25693046.0;185809168.0;36347504.0
;RU;2009;p99.96p100;76527896.4319;;;;;;;;699545912.023;;;;;;;;;;;;;;;;111503382.526;2.4404103756;3.23390722275;2.52927947044;;;;;;;;;;;;0.0733913014731;0.113453158382;0.0768310342418;31358618.0;216316016.0;44085040.0
;RU;2009;p99.96p99.97;34752666.6339;;;;;;;;237378927.551;;;;;;;;;;;;;;;;48784454.5161;;;;;;;;;;;;;;;0.00833207089454;0.00962459668517;0.00840369146317;31358618.0;216316016.0;44085040.0
;RU;2009;p99.97p100;90452973.2898;;;;;;;;853601570.753;;;;;;;;;;;;;;;;132409690.965;2.3574051857;3.25715947151;2.4587635994;;;;;;;;;;;;0.0650592307645;0.103828561361;0.0684273423146;38369720.0;262069312.0;53852144.0
;RU;2009;p99.97p99.98;42417674.0146;;;;;;;;297953102.205;;;;;;;;;;;;;;;;59678968.7772;;;;;;;;;;;;;;;0.0101697826758;0.0120805939659;0.010280398652;38369720.0;262069312.0;53852144.0
;RU;2009;p99.98p100;114470623.542;;;;;;;;1131425805.7;;;;;;;;;;;;;;;;168775051.741;2.45076107979;3.30336594582;2.55494809151;;;;;;;;;;;;0.0548894483833;0.0917479674493;0.0581469435533;46708196.0;342506944.0;66058112.0
;RU;2009;p99.98p99.99;52990988.3426;;;;;;;;423182680.537;;;;;;;;;;;;;;;;76019650.771;;;;;;;;;;;;;;;0.0127047710121;0.0171580631286;0.0130952717736;46708196.0;342506944.0;66058112.0
;RU;2009;p99.991p100;188110374.649;;;;;;;;1981532759.98;;;;;;;;;;;;;;;;279902714.312;2.72168278694;3.38457870483;2.80444741249;;;;;;;;;;;;0.0405900961407;0.072307632556;0.0433948573721;69115464.0;585459200.0;99806728.0
;RU;2009;p99.991p99.992;72046851.9755;;;;;;;;608893508.654;;;;;;;;;;;;;;;;103968020.146;;;;;;;;;;;;;;;0.0017273479607;0.00246877619065;0.00179097044747;69115464.0;585459200.0;99806728.0
;RU;2009;p99.992p100;202618314.814;;;;;;;;2153112665.19;;;;;;;;;;;;;;;;301894551.212;2.6956038475;3.39424133301;2.78443408012;;;;;;;;;;;;0.0388627481476;0.0698388563262;0.0416038869424;75166208.0;634342848.0;108422232.0
;RU;2009;p99.992p99.993;78727000.2934;;;;;;;;664525770.843;;;;;;;;;;;;;;;;113528966.752;;;;;;;;;;;;;;;0.00188750680536;0.00269433879293;0.00195566890761;75166208.0;634342848.0;108422232.0
;RU;2009;p99.993p100;220317074.124;;;;;;;;2365767935.39;;;;;;;;;;;;;;;;328803919.938;2.66896605492;3.40021896362;2.76231646538;;;;;;;;;;;;0.0369752413577;0.0671445175215;0.0396482179766;82547728.0;695769280.0;119031952.0
;RU;2009;p99.993p99.994;86993103.2252;;;;;;;;733506206.43;;;;;;;;;;;;;;;;125380358.932;;;;;;;;;;;;;;;0.00208568945527;0.00297402194701;0.00215982296504;82547728.0;695769280.0;119031952.0
;RU;2009;p99.994p100;242537735.347;;;;;;;;2637811553.15;;;;;;;;;;;;;;;;362707846.835;2.64158654213;3.3912293911;2.74114918709;;;;;;;;;;;;0.0348895518171;0.0641704954836;0.0374883950181;91815176.0;777833408.0;132319632.0
;RU;2009;p99.994p99.995;97570640.0065;;;;;;;;829063143.179;;;;;;;;;;;;;;;;140653352.588;;;;;;;;;;;;;;;0.00233928952366;0.00336146028712;0.00242291809991;91815176.0;777833408.0;132319632.0
;RU;2009;p99.995p100;271531155.349;;;;;;;;2999561237.44;;;;;;;;;;;;;;;;407118746.043;2.61320567131;3.403465271;2.71720743179;;;;;;;;;;;;0.0325502624055;0.060809035243;0.0350654769491;103907304.0;881325632.0;149829840.0
;RU;2009;p99.995p99.996;111747468.596;;;;;;;;955737909.385;;;;;;;;;;;;;;;;161157240.301;;;;;;;;;;;;;;;0.00267918384634;0.00387506675906;0.00277612148784;103907304.0;881325632.0;149829840.0
;RU;2009;p99.996p100;311477077.698;;;;;;;;3510517064.73;;;;;;;;;;;;;;;;468609121.959;2.58342862129;3.39003682137;2.69380664825;;;;;;;;;;;;0.0298710786225;0.0569339684073;0.0322893554254;120567320.0;1035539520.0;173957968.0
;RU;2009;p99.996p99.997;132091885.514;;;;;;;;1138394884.73;;;;;;;;;;;;;;;;190708009.917;;;;;;;;;;;;;;;0.00316694821231;0.00461565470323;0.00328516797163;120567320.0;1035539520.0;173957968.0
;RU;2009;p99.997p100;371272140.347;;;;;;;;4301224462.77;;;;;;;;;;;;;;;;561242825.39;2.55159831047;3.39748549461;2.66924071312;;;;;;;;;;;;0.0267041303086;0.0523183137614;0.0290041874237;145505712.0;1266002304.0;210263104.0
;RU;2009;p99.997p99.998;164744472.089;;;;;;;;1454606581.02;;;;;;;;;;;;;;;;238447818.348;;;;;;;;;;;;;;;0.00394980516285;0.00589774409309;0.00410754187033;145505712.0;1266002304.0;210263104.0
;RU;2009;p99.998p100;474535971.331;;;;;;;;5724533378.52;;;;;;;;;;;;;;;;722640328.343;2.51645255089;3.37700533867;2.64235854149;;;;;;;;;;;;0.0227543249949;0.0464205694646;0.0248966455338;188573392.0;1695150848.0;273483072.0
;RU;2009;p99.998p99.999;230290989.327;;;;;;;;2113101423.32;;;;;;;;;;;;;;;;335195434.897;;;;;;;;;;;;;;;0.00552130537108;0.00856763031334;0.00577413244173;188573392.0;1695150848.0;273483072.0
;RU;2009;p99.99p99.991;66509218.1323;;;;;;;;562894320.106;;;;;;;;;;;;;;;;96180082.142;;;;;;;;;;;;;;;0.00159458129201;0.00228227116168;0.00165681412909;64043908.0;541672640.0;92809544.0
;RU;2009;p99.9p99.91;12699079.6819;;;;;;;;121324953.648;;;;;;;;;;;;;;;;18726055.2136;;;;;;;;;;;;;;;0.00304464786313;0.00491915503517;0.00322578148916;12050392.0;117127632.0;17823792.0
;RU;2009;p99p99.1;2588425.23019;;;;;;;;25207417.2749;;;;;;;;;;;;;;;;3848330.52867;;;;;;;;;;;;;;;0.00620583817363;0.0102204196155;0.00662919832394;2522723.5;24116612.0;3743379.0
;RU;2008;p0p100;461959.845241;65959.9296875;51352.8945312;3010.25439453;2343.62402344;245748.671875;191326.84375;2519661.75;2519661.77568;1961674.625;233051.328125;181441.359375;386574.3125;300966.1875;150512.71875;117181.195312;1572976.125;1224635.5;179788.734375;139973.953125;385050.75;299780.03125;0.0;0.0;643360.896916;1980349.75;-0.00409026769921;-0.0408883430064;7.33052316069e+12;3.34547635294e+11;2.73115243507e+13;2.8002512696e+14;2.59003918276e+13;4.29623212277e+13;1.67273817647e+13;1.74814268933e+14;1.998100119e+13;4.27929995929e+13;0.0;1.0;1.0;1.0;0.233271852136;-616013888.0;-15734580.0
;RU;2008;p0p50;130515.604829;;;;;;;;248839.955313;;;;;;;;;;;;;;;;172149.314873;;;;;;;;;;;;;;;0.141262932453;0.0493796345436;0.134543564189;0.233271852136;-616013888.0;-15646344.0
;RU;2008;p50p90;405022.348149;;;;;;;;1802785.27821;;;;;;;;;;;;;;;;550283.08717;;;;;;;;;;;;;;;0.350699180737;0.286194805289;0.344059680589;244622.875;800034.0625;327091.25
;RU;2008;p90p99;1392553.59288;;;;;;;;7593808.87831;;;;;;;;;;;;;;;;1923795.07698;;;;;;;;;;;;;;;0.271300256252;0.271243870258;0.270638108253;659597.1875;3944092.0;944894.0625
;RU;2008;p99p100;10936326.2457;;;;;;;;99068479.0161;;;;;;;;;;;;;;;;16042360.8649;3.68172860146;4.61121034622;3.74348759651;;;;;;;;;;;;0.236737593776;0.393181656254;0.250758638373;2970432.5;21484268.0;4285405.0
;RU;2008;p99.9p100;53122838.227;;;;;;;;570152133.196;;;;;;;;;;;;;;;;79968658.8439;3.15251779556;4.40982055664;3.27769422531;;;;;;;;;;;;0.11499449308;0.226281217067;0.124999259366;16850924.0;129291464.0;24397840.0
;RU;2008;p99.99p100;199177419.68;;;;;;;;3324581253.14;;;;;;;;;;;;;;;;327839869.691;2.30368471146;4.5883641243;2.59640598297;;;;;;;;;;;;0.0431157429703;0.131945536705;0.0512447517831;86460360.0;724567872.0;126266800.0
;RU;2008;p99.999p100;671085260.593;;;;;;;;20366739726.8;;;;;;;;;;;;;;;;1313499097.42;2.0114171505;5.32937526703;2.51916837692;;;;;;;;;;;;0.0145269175991;0.0808312445879;0.0205313451588;333638048.0;3821600000.0;521401856.0
;RU;2008;p0p10;19674.1484251;;;;;;;;-97720.4782827;;;;;;;;;;;;;;;;25198.1548565;;;;;;;;;;;;;;;0.00425884384276;-0.00387831728949;0.00393873140638;0.233271852136;-616013888.0;-15646344.0
;RU;2008;p10p20;100451.528242;;;;;;;;116023.711841;;;;;;;;;;;;;;;;130568.138206;;;;;;;;;;;;;;;0.0217446449678;0.00460473357816;0.0204091462074;72220.96875;77175.3203125;93150.25
;RU;2008;p20p30;137495.098967;;;;;;;;215478.925658;;;;;;;;;;;;;;;;180506.633481;;;;;;;;;;;;;;;0.0297634308226;0.00855189881986;0.0282150479034;120788.171875;161233.34375;157706.421875
;RU;2008;p30p40;173922.83327;;;;;;;;359866.528421;;;;;;;;;;;;;;;;230476.88503;;;;;;;;;;;;;;;0.0376489071641;0.0142823347123;0.0360259134322;154892.515625;267114.90625;204166.078125
;RU;2008;p40p50;221034.41524;;;;;;;;650551.088926;;;;;;;;;;;;;;;;293996.762789;;;;;;;;;;;;;;;0.0478471056558;0.0258189847227;0.0459547252394;195852.71875;480398.28125;260375.0
;RU;2008;p50p60;274323.041093;;;;;;;;955283.099587;;;;;;;;;;;;;;;;367374.301914;;;;;;;;;;;;;;;0.0593824428506;0.0379131480586;0.0574243911542;244622.875;800034.0625;327091.25
;RU;2008;p60p70;340474.275809;;;;;;;;1349357.99299;;;;;;;;;;;;;;;;459214.072359;;;;;;;;;;;;;;;0.0737021365203;0.0535531397909;0.0717798941769;306390.9375;1117074.625;410277.3125
;RU;2008;p70p80;436269.694139;;;;;;;;1923167.77192;;;;;;;;;;;;;;;;590864.979644;;;;;;;;;;;;;;;0.094438877888;0.076326425653;0.0923582883552;386104.59375;1633027.0;521130.53125
;RU;2008;p80p90;569022.381554;;;;;;;;2983332.24834;;;;;;;;;;;;;;;;783678.994764;;;;;;;;;;;;;;;0.123175723478;0.118402091786;0.122497106902;482791.09375;2316924.25;661417.0625
;RU;2008;p90p100;2346931.04215;;;;;;;;16741276.8604;;;;;;;;;;;;;;;;3335651.71;3.55812764168;4.24464654922;3.53018593788;;;;;;;;;;;;0.508037888212;0.664425558178;0.521396754077;659597.1875;3944092.0;944894.0625
;RU;2008;p0p1;1352.23195349;;;;;;;;-746024.499172;;;;;;;;;;;;;;;;-10059.2830526;;;;;;;;;;;;;;;2.92716340482e-05;-0.00296081206761;-0.000157236965606;0.233271852136;-616013888.0;-15646344.0
;RU;2008;p1p2;4056.22924183;;;;;;;;-192106.841715;;;;;;;;;;;;;;;;3489.16944558;;;;;;;;;;;;;;;8.78048012964e-05;-0.000762431067415;5.45393158973e-05;2704.23071289;-252667.921875;631.603881836
;RU;2008;p2p3;6760.22678227;;;;;;;;-99821.8398641;;;;;;;;;;;;;;;;8203.89659837;;;;;;;;;;;;;;;0.000146337974002;-0.000396171584725;0.000128235362354;5408.22802734;-142723.421875;5989.33056641
;RU;2008;p3p4;9464.22432271;;;;;;;;-54734.0923488;;;;;;;;;;;;;;;;12436.9119531;;;;;;;;;;;;;;;0.000204871146707;-0.000217227934627;0.000194401756744;8112.22558594;-72774.484375;10354.4326172
;RU;2008;p4p5;12168.2211909;;;;;;;;-29824.8222561;;;;;;;;;;;;;;;;16525.5935607;;;;;;;;;;;;;;;0.00026340430486;-0.000118368356198;0.000258312065853;10816.2226562;-39589.3632812;14495.6982422
;RU;2008;p5p6;14872.2194036;;;;;;;;-14755.2298951;;;;;;;;;;;;;;;;20594.8692397;;;;;;;;;;;;;;;0.000321937492117;-5.85603593208e-05;0.000321919040289;13520.2197266;-22206.3769531;18539.3183594
;RU;2008;p6p7;17576.2162718;;;;;;;;4340.68944519;;;;;;;;;;;;;;;;25212.2551093;;;;;;;;;;;;;;;0.000380470650271;1.72272702912e-05;0.000394093542127;16224.2177734;-8465.1953125;22674.7167969
;RU;2008;p7p8;24628.6758877;;;;;;;;29820.3178497;;;;;;;;;;;;;;;;36025.6742405;;;;;;;;;;;;;;;0.000533134560101;0.00011835047917;0.000563118432183;18928.2148438;17560.6347656;28445.4746094
;RU;2008;p8p9;43286.9458788;;;;;;;;52937.2576961;;;;;;;;;;;;;;;;57778.1776442;;;;;;;;;;;;;;;0.000937028322369;0.000210096681258;0.00090313248802;33642.2734375;40036.8164062;46122.0546875
;RU;2008;p9p10;62576.2933178;;;;;;;;72964.2774334;;;;;;;;;;;;;;;;81774.2838262;;;;;;;;;;;;;;;0.00135458295699;0.000289579649689;0.00127821636852;52931.6210938;65321.7734375;69697.625
;RU;2008;p10p11;77453.0570641;;;;;;;;80326.6150735;;;;;;;;;;;;;;;;100036.386353;;;;;;;;;;;;;;;0.00167661882006;0.000318799196975;0.00156367185991;72220.96875;77175.3203125;93150.25
;RU;2008;p11p12;85889.3147575;;;;;;;;87377.4538547;;;;;;;;;;;;;;;;110892.043286;;;;;;;;;;;;;;;0.00185923767276;0.000346782471752;0.00173335697036;82141.1015625;84019.6484375;106088.523438
;RU;2008;p12p13;91930.397284;;;;;;;;96247.1781637;;;;;;;;;;;;;;;;118659.337677;;;;;;;;;;;;;;;0.00199000840075;0.000381984515116;0.00185476779006;89239.578125;91486.140625;115186.859375
;RU;2008;p13p14;96375.4743718;;;;;;;;102754.943566;;;;;;;;;;;;;;;;124532.710253;;;;;;;;;;;;;;;0.00208623055369;0.00040781244752;0.00194657465909;94356.84375;99944.3828125;121820.070312
;RU;2008;p14p15;99926.0096911;;;;;;;;110855.079871;;;;;;;;;;;;;;;;129460.760416;;;;;;;;;;;;;;;0.00216308864765;0.000439960160293;0.00202360516414;98247.046875;106773.742188;127087.570312
;RU;2008;p15p16;103161.59248;;;;;;;;118317.456765;;;;;;;;;;;;;;;;134134.180963;;;;;;;;;;;;;;;0.0022331289947;0.000469576742034;0.00209665554576;101554.953125;114807.210938;131791.84375
;RU;2008;p16p17;106513.090965;;;;;;;;128892.607627;;;;;;;;;;;;;;;;138986.137915;;;;;;;;;;;;;;;0.0023056785576;0.000511547259521;0.00217249663547;104790.523438;122291.578125;136502.8125
;RU;2008;p17p18;110232.363915;;;;;;;;136809.861733;;;;;;;;;;;;;;;;144193.737719;;;;;;;;;;;;;;;0.0023861892987;0.000542969151866;0.00225389678963;108300.492188;133537.90625;141536.4375
;RU;2008;p18p19;114357.938751;;;;;;;;144463.70798;;;;;;;;;;;;;;;;149676.828163;;;;;;;;;;;;;;;0.00247549521737;0.000573345634621;0.00233960314654;112236.140625;140963.765625;146906.59375
;RU;2008;p19p20;118676.043138;;;;;;;;154192.213773;;;;;;;;;;;;;;;;155109.259312;;;;;;;;;;;;;;;0.00256896880455;0.000611955998465;0.00242451764643;116516.75;147946.484375;152445.46875
;RU;2008;p20p21;122725.090167;;;;;;;;165854.24471;;;;;;;;;;;;;;;;160150.045399;;;;;;;;;;;;;;;0.00265661813319;0.000658240111079;0.00250331033021;120788.171875;161233.34375;157706.421875
;RU;2008;p21p22;126274.808043;;;;;;;;176811.263635;;;;;;;;;;;;;;;;164784.588921;;;;;;;;;;;;;;;0.00273345853202;0.000701726181433;0.00257575302385;124572.632812;170202.859375;162525.796875
;RU;2008;p22p23;129482.920414;;;;;;;;189299.641396;;;;;;;;;;;;;;;;169170.647184;;;;;;;;;;;;;;;0.00280290422961;0.000751289888285;0.00264431163669;127920.375;182754.875;167007.015625
;RU;2008;p23p24;132525.263766;;;;;;;;201171.063982;;;;;;;;;;;;;;;;173476.523445;;;;;;;;;;;;;;;0.00286876154132;0.000798405031674;0.00271161692217;131018.273438;195097.4375;171325.84375
;RU;2008;p24p25;135551.709986;;;;;;;;214368.868331;;;;;;;;;;;;;;;;177835.546536;;;;;;;;;;;;;;;0.00293427472934;0.000850784301292;0.00277975294739;134030.140625;207428.109375;175634.734375
;RU;2008;p25p26;138679.949483;;;;;;;;223883.28924;;;;;;;;;;;;;;;;182330.743481;;;;;;;;;;;;;;;0.00300199142657;0.000888545007911;0.00285001751035;137090.890625;218858.0625;180059.25
;RU;2008;p26p27;141988.284779;;;;;;;;231729.323493;;;;;;;;;;;;;;;;187002.540428;;;;;;;;;;;;;;;0.0030736066401;0.000919684243854;0.00292304251343;140299.8125;228943.828125;184632.96875
;RU;2008;p27p28;145507.391532;;;;;;;;240654.068658;;;;;;;;;;;;;;;;191837.159121;;;;;;;;;;;;;;;0.00314978440292;0.000955104653258;0.00299861258827;143712.828125;235166.5;189396.03125
;RU;2008;p28p29;149210.907175;;;;;;;;250593.594065;;;;;;;;;;;;;;;;196771.785608;;;;;;;;;;;;;;;0.00322995404713;0.000994552508928;0.00307574588805;147333.8125;247927.234375;194298.15625
;RU;2008;p29p30;153004.664322;;;;;;;;260423.899075;;;;;;;;;;;;;;;;201706.75469;;;;;;;;;;;;;;;0.00331207714044;0.00103356689215;0.00315288454294;151104.375;254854.125;199242.0
;RU;2008;p30p31;156730.541358;;;;;;;;275027.488872;;;;;;;;;;;;;;;;206605.051268;;;;;;;;;;;;;;;0.00339273083955;0.00109152542427;0.00322944996878;154892.515625;267114.90625;204166.078125
;RU;2008;p31p32;160327.757027;;;;;;;;288923.74937;;;;;;;;;;;;;;;;211501.173117;;;;;;;;;;;;;;;0.00347059941851;0.00114667671733;0.00330598140135;158544.796875;282679.8125;209041.71875
;RU;2008;p32p33;163878.087985;;;;;;;;301649.194205;;;;;;;;;;;;;;;;216461.941052;;;;;;;;;;;;;;;0.00354745308869;0.00119718129281;0.00338352331892;162103.015625;295968.8125;213966.265625
;RU;2008;p33p34;167470.850735;;;;;;;;318903.582238;;;;;;;;;;;;;;;;221545.700402;;;;;;;;;;;;;;;0.00362522527575;0.00126566027757;0.0034629877191;165660.390625;307797.96875;218978.671875
;RU;2008;p34p35;171185.832105;;;;;;;;342734.601575;;;;;;;;;;;;;;;;226804.600004;;;;;;;;;;;;;;;0.00370564311743;0.0013602405088;0.003545189742;169301.890625;330910.03125;224137.4375
;RU;2008;p35p36;175090.385168;;;;;;;;366211.956264;;;;;;;;;;;;;;;;232291.071706;;;;;;;;;;;;;;;0.0037901645992;0.0014534171205;0.00363094895147;173101.640625;353573.78125;229508.796875
;RU;2008;p36p37;179235.912089;;;;;;;;389896.957303;;;;;;;;;;;;;;;;238042.696634;;;;;;;;;;;;;;;0.0038799024187;0.00154741783626;0.00372085277922;177119.625;379021.25;235117.75
;RU;2008;p37p38;183653.895214;;;;;;;;411753.35635;;;;;;;;;;;;;;;;244088.863434;;;;;;;;;;;;;;;0.00397553807125;0.00163416122086;0.00381536060013;181398.03125;401834.75;241013.546875
;RU;2008;p38p39;188351.078455;;;;;;;;436370.727343;;;;;;;;;;;;;;;;250419.696448;;;;;;;;;;;;;;;0.00407721754164;0.00173186231405;0.00391431804746;185956.796875;422716.25;247206.96875
;RU;2008;p39p40;193303.992566;;;;;;;;467193.670687;;;;;;;;;;;;;;;;257008.056236;;;;;;;;;;;;;;;0.00418443279341;0.00185419199988;0.0040173009038;190788.578125;449754.78125;253682.296875
;RU;2008;p40p41;198452.684493;;;;;;;;492298.023558;;;;;;;;;;;;;;;;263785.230264;;;;;;;;;;;;;;;0.00429588602856;0.00195382582024;0.00412323512137;195852.71875;480398.28125;260375.0
;RU;2008;p41p42;203703.729;;;;;;;;526722.849369;;;;;;;;;;;;;;;;270665.927404;;;;;;;;;;;;;;;0.00440955488011;0.0020904506091;0.00423078751191;201069.671875;508513.96875;267214.71875
