Variable Name;.;.;.;Consumption of fixed capital of national economy | individuals | Average | All Ages | constant 2015 local currency;Gross domestic product | individuals | Average | All Ages | constant 2015 local currency;Net domestic product | individuals | Average | All Ages | constant 2015 local currency;National income | individuals | Average | All Ages | constant 2015 local currency;Population | individuals | Population | All Ages | population;Consumption of fixed capital of national economy | individuals | Total | All Ages | constant 2015 local currency;Gross domestic product | individuals | Total | All Ages | constant 2015 local currency;Net domestic product | individuals | Total | All Ages | constant 2015 local currency;National income | individuals | Total | All Ages | constant 2015 local currency;National income price index | individuals | Indices | All Ages | constant 2015 local currency;PPP conversion factor, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency
;SM;2014;p0p100;8943.25390625;43833.7578125;34890.5039062;34890.5039062;32657.0;292059840.0;1431479040.0;1139419136.0;1139419136.0;0.9713837504;0.9320890903;;0.7142391205;0.7537307143;0.2065148801;
;SM;2013;p0p100;9039.4609375;44736.2578125;35696.796875;35696.796875;32303.0;292001696.0;1445115264.0;1153113600.0;1153113600.0;0.9720013738;0.941018641;;0.7270331979;0.7531591654;0.2076011449;
;SM;2012;p0p100;9292.92871094;46694.5546875;37401.625;37401.625;31914.0;296574528.0;1490210048.0;1193635456.0;1193635456.0;0.9404044151;0.9216166735;;0.714844048;0.7782936096;0.2047360539;
;SM;2011;p0p100;9706.9609375;51148.484375;41441.5234375;41441.5234375;31504.0;305808096.0;1611381888.0;1305573760.0;1305573760.0;0.9169145823;0.9101318121;;0.7102568746;0.7193552256;0.2026100606;
;SM;2010;p0p100;12265.2207031;57210.5390625;44945.3164062;44945.3164062;31110.0;381571008.0;1779819904.0;1398248832.0;1398248832.0;0.9075645208;0.910131216;;0.7182161808;0.7550449371;0.2167320848;
;SM;2009;p0p100;13709.9433594;60755.265625;47045.3242188;47045.3242188;30723.0;421210592.0;1866584064.0;1445373440.0;1445373440.0;0.9111827016;0.9197366238;;0.7326237559;0.7198433876;0.2326353192;
;SM;2008;p0p100;13779.4765625;70515.1796875;56735.7070312;56735.7070312;30351.0;418220896.0;2140206208.0;1721985408.0;1721985408.0;0.8777654767;0.8945746422;;0.7138863802;0.682674706;0.22089912;
;SM;2007;p0p100;11678.2548828;70235.703125;58557.4453125;58557.4453125;29977.0;350079040.0;2105455616.0;1755376512.0;1755376512.0;0.8632340431;0.8978413343;;0.7162537575;0.7306374907;0.2341965884;
;SM;2006;p0p100;12365.6201172;68696.7578125;56331.1328125;56331.1328125;29614.0;366195488.0;2034385664.0;1668190208.0;1668190208.0;0.848467648;0.9042157531;;0.7233194113;0.7971408367;0.2474975884;
;SM;2005;p0p100;12789.3330078;66992.9453125;54203.6171875;54203.6171875;29240.0;373960096.0;1958873856.0;1584913792.0;1584913792.0;0.8322627544;0.9042972922;;0.7305502295;0.8041200042;0.251008153;
;SM;2004;p0p100;13026.3271484;66322.140625;53295.8164062;53295.8164062;28866.0;376017952.0;1914455040.0;1538436992.0;1538436992.0;0.816924572;0.9045753479;;0.7389656305;0.805365026;0.2568437159;
;SM;2003;p0p100;13141.5361328;64226.1328125;51084.5976562;51084.5976562;28494.0;374454944.0;1830059520.0;1455604480.0;1455604480.0;0.8014374971;0.9044898748;;0.7452377081;0.8860341907;0.2686884701;
;SM;2002;p0p100;13188.0361328;62629.6835938;49441.6484375;49441.6484375;28121.0;370860768.0;1761209344.0;1390348544.0;1390348544.0;0.7825501561;0.9026430845;;0.7437247634;1.0625516176;0.271412164;
;SM;2001;p0p100;13166.1435547;63279.4804688;50113.3359375;50113.3359375;27762.0;365518464.0;1756764928.0;1391246464.0;1391246464.0;0.7643913627;0.9033123851;;0.7393753529;1.1175099611;0.2652509809;
;SM;2000;p0p100;13032.3691406;60671.3320312;47638.9648438;47638.9648438;27418.0;357321504.0;1663486592.0;1306165120.0;1306165120.0;0.7443398237;0.9010663033;;0.7380666733;1.0854008198;0.2629193366;
;SM;1999;p0p100;12769.8232422;60080.890625;47311.0664062;47311.0664062;27096.0;346011136.0;1627951744.0;1281940608.0;1281940608.0;0.7252744436;0.8905394673;;0.7361106277;0.9386273026;0.2735141218;
;SM;1998;p0p100;12368.2910156;55691.4414062;43323.1484375;43323.1484375;26799.0;331457824.0;1492474880.0;1161017088.0;1161017088.0;0.71407336;0.8910893202;;0.7362006307;;0.27236709;
;SM;1997;p0p100;11890.6630859;52364.9765625;40474.3125;40474.3125;26508.0;315197696.0;1388090880.0;1072893120.0;1072893120.0;0.7019324899;0.8851345181;;0.7330836058;;0.2696704865;
;SM;1996;p0p100;11388.8134766;50431.0078125;39042.1953125;39042.1953125;26209.0;298489408.0;1321746304.0;1023256896.0;1023256896.0;0.7077931166;0.8906793594;;0.7535834908;;0.2895599306;
