Variable Name;.;.;.;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Personal debt | individuals | Average | Adults | constant 2015 local currency;Personal debt | individuals | Average | All Ages | constant 2015 local currency;Net personal wealth | individuals | Average | Adults | constant 2015 local currency;Net personal wealth | individuals | Average | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | Adults | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | All Ages | constant 2015 local currency;Personal financial assets | individuals | Average | Adults | constant 2015 local currency;Personal financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | Adults | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | All Ages | constant 2015 local currency;Personal housing assets | individuals | Average | Adults | constant 2015 local currency;Personal housing assets | individuals | Average | All Ages | constant 2015 local currency;Personal non-financial assets | individuals | Average | Adults | constant 2015 local currency;Personal non-financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | Adults | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Personal debt | individuals | Total | All Ages | constant 2015 local currency;Net personal wealth | individuals | Total | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Total | All Ages | constant 2015 local currency;Personal financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Total | All Ages | constant 2015 local currency;Personal housing assets | individuals | Total | All Ages | constant 2015 local currency;Personal non-financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | individuals | Threshold | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Threshold | Adults | constant 2015 local currency
;SG;2014;p90p100;250857.09375;;;;;;;;;;;;;;;;;;346407.75;;2.2358164787;2.2358164787;;;;;;;;;;;0.4375603497;0.4375603497;112199.320312;154935.671875
;SG;2014;p90p95;137978.296875;;;;;;;;;;;;;;;;;;190533.78125;;;;;;;;;;;;;;0.1203351095;0.1203351095;112199.320312;154935.671875
;SG;2014;p95p99;253671.953125;;;;;;;;;;;;;;;;;;350294.78125;;;;;;;;;;;;;;0.1769881397;0.1769881397;173540.71875;239641.796875
;SG;2014;p99.5p99.9;794353.5;;;;;;;;;;;;;;;;;;1096920.125;;;;;;;;;;;;;;0.0554225035;0.0554225035;592753.75;818531.6875
;SG;2014;p99p99.5;491720.1875;;;;;;;;;;;;;;;;;;679014.8125;;;;;;;;;;;;;;0.0428843759;0.0428843759;421353.3125;581845.375
;SG;2014;p95p100;363735.90625;;;;;;;;;;;;;;;;;;502281.6875;;2.0959687233;2.0959687233;;;;;;;;;;;0.3172252476;0.3172252476;173540.71875;239641.796875
;SG;2014;p99.5p100;1116264.375;;;;;;;;;;;;;;;;;;1541445.875;;1.8831840754;1.8831840754;;;;;;;;;;;0.0973527282;0.0973527282;592753.75;818531.6875
;SG;2013;p0p100;56187.25;56187.25;67068.53125;51355.1640625;347189.75;265847.28125;41451.6132812;31739.9902344;211457.421875;161915.4375;76707.3984375;58735.7578125;202800.859375;155287.015625;202800.859375;155287.015625;93298.40625;71439.6875;78772.21875;78772.21875;;;1.81456715776e+11;2.77274853376e+11;1.43535256371e+12;1.7136934912e+11;8.742076416e+11;3.17123854336e+11;8.3841974272e+11;8.3841974272e+11;3.85714454528e+11;2.54394875904e+11;;;;
;SG;2013;p99p100;762730.0625;;;;;;;;;;;;;;;;;;1069316.25;;;;;;;;;;;;;;0.1357477605;0.1357477605;;
;SG;2013;p99.9p100;2280808.5;;;;;;;;;;;;;;;;;;3197600.0;;;;;;;;;;;;;;0.0405924693;0.0405924693;;
;SG;2013;p90p100;238754.875;;;;;;;;;;;;;;;;;;334724.53125;;;;;;;;;;;;;;0.4249272346;0.4249272346;;
;SG;2013;p90p95;131721.140625;;;;;;;;;;;;;;;;;;184667.640625;;;;;;;;;;;;;;0.1172162518;0.1172162518;;
;SG;2013;p95p99;241553.390625;;;;;;;;;;;;;;;;;;338647.9375;;;;;;;;;;;;;;0.1719632298;0.1719632298;;
;SG;2013;p99.5p99.9;754530.1875;;;;;;;;;;;;;;;;;;1057820.375;;;;;;;;;;;;;;0.0537155084;0.0537155084;;
;SG;2013;p99p99.5;465677.90625;;;;;;;;;;;;;;;;;;652861.3125;;;;;;;;;;;;;;0.0414397828;0.0414397828;;
;SG;2013;p95p100;345788.59375;;;;;;;;;;;;;;;;;;484781.4375;;;;;;;;;;;;;;0.3077109754;0.3077109754;;
;SG;2013;p99.5p100;1059782.25;;;;;;;;;;;;;;;;;;1485771.125;;;;;;;;;;;;;;0.0943079814;0.0943079814;;
;SG;2012;p0p100;54691.0117188;54691.0117188;63181.4609375;48020.6914062;335128.75;254712.609375;39181.5859375;29779.7304688;199302.171875;151478.4375;72385.6328125;55016.265625;199008.03125;151254.875;199008.03125;151254.875;87734.9609375;66682.4375;76919.3671875;76919.3671875;;;1.74573699072e+11;2.5510690816e+11;1.3531447296e+12;1.58202937344e+11;8.04719624192e+11;2.92270440448e+11;8.035319808e+11;8.035319808e+11;3.54246230016e+11;2.4552660992e+11;;;;
;SG;2012;p99p100;742157.6875;;;;;;;;;;;;;;;;;;1043796.8125;;;;;;;;;;;;;;0.1357000023;0.1357000023;;
;SG;2012;p99.9p100;2220483.5;;;;;;;;;;;;;;;;;;3122966.5;;;;;;;;;;;;;;0.0406000018;0.0406000018;;
;SG;2012;p90p100;228663.0625;;;;;;;;;;;;;;;;;;321599.78125;;;;;;;;;;;;;;0.4180999994;0.4180999994;;
;SG;2012;p90p95;123492.273438;;;;;;;;;;;;;;;;;;173683.890625;;;;;;;;;;;;;;0.1128999963;0.1128999963;;
;SG;2012;p95p99;231753.03125;;;;;;;;;;;;;;;;;;325945.65625;;;;;;;;;;;;;;0.1694999933;0.1694999933;;
;SG;2012;p99.5p99.9;736959.875;;;;;;;;;;;;;;;;;;1036486.375;;;;;;;;;;;;;;0.0538999997;0.0538999997;;
;SG;2012;p99p99.5;450654.34375;;;;;;;;;;;;;;;;;;633816.1875;;;;;;;;;;;;;;0.0412000008;0.0412000008;;
;SG;2012;p95p100;333833.84375;;;;;;;;;;;;;;;;;;469515.6875;;;;;;;;;;;;;;0.3052000105;0.3052000105;;
;SG;2012;p99.5p100;1033661.0625;;;;;;;;;;;;;;;;;;1453777.375;;;;;;;;;;;;;;0.0944999978;0.0944999978;;
;SG;2011;p0p100;53820.6289062;53820.6289062;58729.9257812;44635.84375;323052.59375;245526.03125;40255.8320312;30595.1855469;191836.5625;145799.390625;68277.890625;51892.4765625;189945.96875;144362.484375;189945.96875;144362.484375;83302.84375;63311.7226562;76678.109375;76678.109375;;;1.69664151552e+11;2.3137828864e+11;1.27273035366e+12;1.58595907584e+11;7.5577851904e+11;2.68994412544e+11;7.48330090496e+11;7.48330090496e+11;3.2818823168e+11;2.41720082432e+11;;;;
;SG;2011;p99p100;745416.4375;;;;;;;;;;;;;;;;;;1061992.875;;;;;;;;;;;;;;0.138500005;0.138500005;;
;SG;2011;p99.9p100;2276642.0;;;;;;;;;;;;;;;;;;3243526.0;;;;;;;;;;;;;;0.0423000008;0.0423000008;;
;SG;2011;p90p100;225239.28125;;;;;;;;;;;;;;;;;;320897.8125;;;;;;;;;;;;;;0.4185000062;0.4185000062;;
;SG;2011;p90p95;119697.054688;;;;;;;;;;;;;;;;;;170532.078125;;;;;;;;;;;;;;0.1111999974;0.1111999974;;
;SG;2011;p95p99;227122.9375;;;;;;;;;;;;;;;;;;323581.46875;;;;;;;;;;;;;;0.1687999964;0.1687999964;;
;SG;2011;p99.5p99.9;735995.625;;;;;;;;;;;;;;;;;;1048571.0625;;;;;;;;;;;;;;0.0546999983;0.0546999983;;
;SG;2011;p99p99.5;446711.65625;;;;;;;;;;;;;;;;;;636428.9375;;;;;;;;;;;;;;0.0414999984;0.0414999984;;
;SG;2011;p95p100;330781.53125;;;;;;;;;;;;;;;;;;471263.5625;;;;;;;;;;;;;;0.3073000014;0.3073000014;;
;SG;2011;p99.5p100;1044121.25;;;;;;;;;;;;;;;;;;1487556.75;;;;;;;;;;;;;;0.0970000029;0.0970000029;;
;SG;2010;p0p100;53772.1601562;53772.1601562;54684.1796875;41360.1953125;303146.3125;229283.671875;41389.1757812;31304.5625;185646.171875;140412.859375;64781.6015625;48997.34375;172184.3125;130231.015625;172184.3125;130231.015625;79475.3984375;60110.9453125;74006.5625;74006.5625;;;1.67623950336e+11;2.09974624256e+11;1.16401176576e+12;1.5892488192e+11;7.12838414336e+11;2.487463936e+11;6.61147942912e+11;6.61147942912e+11;3.05167171584e+11;2.30700662784e+11;;;;
;SG;2010;p99p100;720212.375;;;;;;;;;;;;;;;;;;991227.4375;;;;;;;;;;;;;;0.133937642;0.133937642;;
;SG;2010;p99.9p100;2247705.25;;;;;;;;;;;;;;;;;;3093514.25;;;;;;;;;;;;;;0.0417999998;0.0417999998;;
;SG;2010;p90p100;213039.4375;;;;;;;;;;;;;;;;;;293205.9375;;;;;;;;;;;;;;0.396189183;0.396189183;;
;SG;2010;p90p95;111153.695312;;;;;;;;;;;;;;;;;;152980.703125;;;;;;;;;;;;;;0.10335619;0.10335619;;
;SG;2010;p95p99;213603.546875;;;;;;;;;;;;;;;;;;293982.3125;;;;;;;;;;;;;;0.1588953584;0.1588953584;;
;SG;2010;p99.5p99.9;708014.375;;;;;;;;;;;;;;;;;;974439.375;;;;;;;;;;;;;;0.0526678339;0.0526678339;;
;SG;2010;p99p99.5;424475.84375;;;;;;;;;;;;;;;;;;584205.5625;;;;;;;;;;;;;;0.0394698121;0.0394698121;;
;SG;2010;p95p100;314925.1875;;;;;;;;;;;;;;;;;;433431.15625;;;;;;;;;;;;;;0.2928330004;0.2928330004;;
;SG;2010;p99.5p100;1015948.875;;;;;;;;;;;;;;;;;;1398249.25;;;;;;;;;;;;;;0.0944678336;0.0944678336;;
;SG;2009;p0p100;47312.9492188;47312.9492188;51637.9375;38714.2617188;272868.0625;204576.0625;33642.7773438;25222.8359375;168617.625;126416.875;61669.3242188;46235.0429688;155888.390625;116873.453125;155888.390625;116873.453125;73305.515625;54958.9921875;65025.3398438;65025.3398438;;;1.45056776192e+11;1.93090207744e+11;1.02033804493e+12;1.2580073472e+11;6.30513401856e+11;2.30600654848e+11;5.829148672e+11;5.829148672e+11;2.74111987712e+11;1.99361200128e+11;;;;
;SG;2009;p99p100;646366.9375;;;;;;;;;;;;;;;;;;888345.1875;;;;;;;;;;;;;;0.1366150975;0.1366150975;;
;SG;2009;p99.9p100;1904100.125;;;;;;;;;;;;;;;;;;2616931.75;;;;;;;;;;;;;;0.0402442813;0.0402442813;;
;SG;2009;p90p100;195616.953125;;;;;;;;;;;;;;;;;;268849.40625;;;;;;;;;;;;;;0.4134534001;0.4134534001;;
;SG;2009;p90p95;102657.359375;;;;;;;;;;;;;;;;;;141088.859375;;;;;;;;;;;;;;0.1084876209;0.1084876209;;
;SG;2009;p95p99;199129.078125;;;;;;;;;;;;;;;;;;273676.375;;;;;;;;;;;;;;0.1683506817;0.1683506817;;
;SG;2009;p99.5p99.9;644862.75;;;;;;;;;;;;;;;;;;886277.875;;;;;;;;;;;;;;0.0545190312;0.0545190312;;
;SG;2009;p99p99.5;396026.625;;;;;;;;;;;;;;;;;;544285.8125;;;;;;;;;;;;;;0.0418517813;0.0418517813;;
;SG;2009;p95p100;288576.53125;;;;;;;;;;;;;;;;;;396609.96875;;;;;;;;;;;;;;0.3049657643;0.3049657643;;
;SG;2009;p99.5p100;896707.1875;;;;;;;;;;;;;;;;;;1232404.5;;;;;;;;;;;;;;0.0947633162;0.0947633162;;
;SG;2008;p0p100;48478.7617188;48478.7617188;52265.5625;39286.578125;272801.375;205057.25;35930.671875;27008.0898438;169583.109375;127470.929688;60358.1367188;45369.5390625;155483.828125;116872.890625;155483.828125;116872.890625;73294.3046875;55093.3007812;68300.515625;68300.515625;;;1.44054648832e+11;1.9012329472e+11;9.92353255424e+11;1.30702843904e+11;6.16882307072e+11;2.19561181184e+11;5.65594226688e+11;5.65594226688e+11;2.6661830656e+11;2.02954981376e+11;;;;
;SG;2008;p99p100;734508.0625;;;;;;;;;;;;;;;;;;1034830.0;;;;;;;;;;;;;;0.1515111625;0.1515111625;;
;SG;2008;p99.9p100;2380337.75;;;;;;;;;;;;;;;;;;3353598.5;;;;;;;;;;;;;;0.0491000004;0.0491000004;;
;SG;2008;p90p100;211345.078125;;;;;;;;;;;;;;;;;;297758.78125;;;;;;;;;;;;;;0.4359540343;0.4359540343;;
;SG;2008;p90p95;107821.335938;;;;;;;;;;;;;;;;;;151906.78125;;;;;;;;;;;;;;0.1112047359;0.1112047359;;
;SG;2008;p95p99;209959.15625;;;;;;;;;;;;;;;;;;295806.21875;;;;;;;;;;;;;;0.1732381433;0.1732381433;;
;SG;2008;p99.5p99.9;712530.875;;;;;;;;;;;;;;;;;;1003867.0;;;;;;;;;;;;;;0.0587912984;0.0587912984;;
;SG;2008;p99p99.5;422927.75;;;;;;;;;;;;;;;;;;595852.375;;;;;;;;;;;;;;0.04361986;0.04361986;;
;SG;2008;p95p100;314868.8125;;;;;;;;;;;;;;;;;;443610.8125;;;;;;;;;;;;;;0.3247492909;0.3247492909;;
;SG;2008;p99.5p100;1046088.3125;;;;;;;;;;;;;;;;;;1473807.75;;;;;;;;;;;;;;0.1078912988;0.1078912988;;
;SG;2007;p0p100;53285.7421875;53285.7421875;50141.2734375;38622.6679688;254851.0;196305.859375;41759.7382812;32166.5625;167284.0;128855.0;54717.0117188;42147.2539062;137708.28125;106073.515625;137708.28125;106073.515625;70807.2421875;54541.1875;69442.390625;69442.390625;;;1.54773766144e+11;1.7722392576e+11;9.00768858112e+11;1.47599458304e+11;5.91263956992e+11;1.93396850688e+11;4.8672882688e+11;4.8672882688e+11;2.50267631616e+11;2.01702375424e+11;;;;
;SG;2007;p99p100;749060.1875;;;;;;;;;;;;;;;;;;976181.0;;;;;;;;;;;;;;0.1405740827;0.1405740827;;
;SG;2007;p99.9p100;2653664.25;;;;;;;;;;;;;;;;;;3458275.75;;;;;;;;;;;;;;0.0498000011;0.0498000011;;
;SG;2007;p90p100;201519.234375;;;;;;;;;;;;;;;;;;262621.40625;;;;;;;;;;;;;;0.3781861067;0.3781861067;;
;SG;2007;p90p95;98422.3046875;;;;;;;;;;;;;;;;;;128264.703125;;;;;;;;;;;;;;0.0923533365;0.0923533365;;
;SG;2007;p95p99;193505.3125;;;;;;;;;;;;;;;;;;252177.625;;;;;;;;;;;;;;0.14525868;0.14525868;;
;SG;2007;p99.5p99.9;705452.5625;;;;;;;;;;;;;;;;;;919351.25;;;;;;;;;;;;;;0.0529563054;0.0529563054;;
;SG;2007;p99p99.5;403030.09375;;;;;;;;;;;;;;;;;;525231.9375;;;;;;;;;;;;;;0.0378177799;0.0378177799;;
;SG;2007;p95p100;304616.15625;;;;;;;;;;;;;;;;;;396978.125;;;;;;;;;;;;;;0.2858327627;0.2858327627;;
;SG;2007;p99.5p100;1095090.25;;;;;;;;;;;;;;;;;;1427130.125;;;;;;;;;;;;;;0.1027563065;0.1027563065;;
;SG;2006;p0p100;47322.3789062;47322.3789062;52789.734375;41147.4882812;242228.703125;188807.59375;41864.5585938;32631.75;164903.859375;128535.96875;51861.6523438;40424.0820312;130114.570312;101419.109375;130114.570312;101419.109375;71177.65625;55480.1328125;65215.9804688;65215.9804688;;;1.34561185792e+11;1.81105115136e+11;8.31011094528e+11;1.43624241152e+11;5.65733687296e+11;1.7792114688e+11;4.46382505984e+11;4.46382505984e+11;2.44188315648e+11;1.8544164864e+11;;;;
;SG;2006;p99p100;673271.5625;;;;;;;;;;;;;;;;;;927849.9375;;;;;;;;;;;;;;0.142273277;0.142273277;;
;SG;2006;p99.9p100;2251259.0;;;;;;;;;;;;;;;;;;3102508.0;;;;;;;;;;;;;;0.0475722067;0.0475722067;;
;SG;2006;p90p100;185684.421875;;;;;;;;;;;;;;;;;;255895.671875;;;;;;;;;;;;;;0.3923819661;0.3923819661;;
;SG;2006;p90p95;92634.671875;;;;;;;;;;;;;;;;;;127661.828125;;;;;;;;;;;;;;0.0978762135;0.0978762135;;
;SG;2006;p95p99;180099.96875;;;;;;;;;;;;;;;;;;248199.609375;;;;;;;;;;;;;;0.1522324681;0.1522324681;;
;SG;2006;p99.5p99.9;650716.375;;;;;;;;;;;;;;;;;;896766.125;;;;;;;;;;;;;;0.0550029576;0.0550029576;;
;SG;2006;p99p99.5;375722.125;;;;;;;;;;;;;;;;;;517790.6875;;;;;;;;;;;;;;0.039698109;0.039698109;;
;SG;2006;p95p100;278734.15625;;;;;;;;;;;;;;;;;;384129.53125;;;;;;;;;;;;;;0.2945057452;0.2945057452;;
;SG;2006;p99.5p100;970821.0625;;;;;;;;;;;;;;;;;;1337909.25;;;;;;;;;;;;;;0.102575168;0.102575168;;
;SG;2005;p0p100;45084.3203125;45084.3203125;55200.1992188;43056.5;235432.875;183639.109375;40516.0234375;31602.7519531;158611.8125;123718.203125;48326.6640625;37695.1015625;132021.25;102977.40625;132021.25;102977.40625;69769.125;54420.3554688;61605.1445312;61605.1445312;;;1.2499177472e+11;1.83668768768e+11;7.83360720896e+11;1.34809812992e+11;5.27752429568e+11;1.60798326784e+11;4.39277092864e+11;4.39277092864e+11;2.32144273408e+11;1.7079410688e+11;;;;
;SG;2005;p99p100;612979.5625;;;;;;;;;;;;;;;;;;837601.5;;;;;;;;;;;;;;0.1359627843;0.1359627843;;
;SG;2005;p99.9p100;1980830.625;;;;;;;;;;;;;;;;;;2706691.75;;;;;;;;;;;;;;0.0439355671;0.0439355671;;
;SG;2005;p90p100;172447.84375;;;;;;;;;;;;;;;;;;235640.109375;;;;;;;;;;;;;;0.3825007975;0.3825007975;;
;SG;2005;p90p95;87118.53125;;;;;;;;;;;;;;;;;;119042.492188;;;;;;;;;;;;;;0.0966173559;0.0966173559;;
;SG;2005;p95p99;168976.671875;;;;;;;;;;;;;;;;;;230896.96875;;;;;;;;;;;;;;0.1499206573;0.1499206573;;
;SG;2005;p99.5p99.9;596057.9375;;;;;;;;;;;;;;;;;;814479.125;;;;;;;;;;;;;;0.0528839491;0.0528839491;;
;SG;2005;p99p99.5;352949.875;;;;;;;;;;;;;;;;;;482285.84375;;;;;;;;;;;;;;0.0391432717;0.0391432717;;
;SG;2005;p95p100;257777.140625;;;;;;;;;;;;;;;;;;352237.71875;;;;;;;;;;;;;;0.2858834565;0.2858834565;;
;SG;2005;p99.5p100;873009.1875;;;;;;;;;;;;;;;;;;1192917.125;;;;;;;;;;;;;;0.09681952;0.09681952;;
;SG;2004;p0p100;42568.734375;42568.734375;57524.4140625;44460.4179688;232273.09375;179523.0625;38657.640625;29878.3554688;152795.0;118094.71875;47424.421875;36654.171875;137002.515625;105888.765625;137002.515625;105888.765625;66712.9296875;51562.1914062;59138.0898438;59138.0898438;;;1.1538681856e+11;1.85251627008e+11;7.48012306432e+11;1.24493070336e+11;4.9206099968e+11;1.52725618688e+11;4.41202900992e+11;4.41202900992e+11;2.1484232704e+11;1.60299712512e+11;;;;
;SG;2004;p99p100;578956.6875;;;;;;;;;;;;;;;;;;804308.4375;;;;;;;;;;;;;;0.1360050142;0.1360050142;;
;SG;2004;p99.9p100;1856484.5;;;;;;;;;;;;;;;;;;2579098.25;;;;;;;;;;;;;;0.0436108932;0.0436108932;;
;SG;2004;p90p100;165687.734375;;;;;;;;;;;;;;;;;;230179.625;;;;;;;;;;;;;;0.3892240822;0.3892240822;;
;SG;2004;p90p95;85251.3671875;;;;;;;;;;;;;;;;;;118434.40625;;;;;;;;;;;;;;0.1001338065;0.1001338065;;
;SG;2004;p95p99;162916.0625;;;;;;;;;;;;;;;;;;226329.125;;;;;;;;;;;;;;0.1530852616;0.1530852616;;
;SG;2004;p99.5p99.9;560693.8125;;;;;;;;;;;;;;;;;;778936.9375;;;;;;;;;;;;;;0.0526860803;0.0526860803;;
;SG;2004;p99p99.5;338064.5;;;;;;;;;;;;;;;;;;469651.90625;;;;;;;;;;;;;;0.0397080332;0.0397080332;;
;SG;2004;p95p100;246124.09375;;;;;;;;;;;;;;;;;;341924.84375;;;;;;;;;;;;;;0.2890902758;0.2890902758;;
;SG;2004;p99.5p100;819848.875;;;;;;;;;;;;;;;;;;1138964.875;;;;;;;;;;;;;;0.0962969735;0.0962969735;;
;SG;2003;p0p100;40567.0859375;40567.0859375;60167.1640625;45573.2382812;229797.0625;174058.34375;34265.8203125;25954.4296875;146724.1875;111135.3125;48075.0429688;36414.1367188;143240.03125;108496.265625;143240.03125;108496.265625;64383.3320312;48766.7460938;55630.1210938;55630.1210938;;;1.0753523712e+11;1.87525955584e+11;7.16219744256e+11;1.0679795712e+11;4.57302474752e+11;1.49837840384e+11;4.46443225088e+11;4.46443225088e+11;2.00666677248e+11;1.47464323072e+11;;;;
;SG;2003;p99p100;577807.0;;;;;;;;;;;;;;;;;;792353.5625;;;;;;;;;;;;;;0.142432332;0.142432332;;
;SG;2003;p99.9p100;1828953.5;;;;;;;;;;;;;;;;;;2508065.5;;;;;;;;;;;;;;0.0450840853;0.0450840853;;
;SG;2003;p90p100;167783.28125;;;;;;;;;;;;;;;;;;230083.1875;;;;;;;;;;;;;;0.4135947227;0.4135947227;;
;SG;2003;p90p95;87022.9765625;;;;;;;;;;;;;;;;;;119335.632812;;;;;;;;;;;;;;0.1072581336;0.1072581336;;
;SG;2003;p95p99;166227.859375;;;;;;;;;;;;;;;;;;227950.21875;;;;;;;;;;;;;;0.1639042497;0.1639042497;;
;SG;2003;p99.5p99.9;559135.125;;;;;;;;;;;;;;;;;;766748.5625;;;;;;;;;;;;;;0.0551320091;0.0551320091;;
;SG;2003;p99p99.5;342518.25;;;;;;;;;;;;;;;;;;469699.3125;;;;;;;;;;;;;;0.0422162339;0.0422162339;;
;SG;2003;p95p100;248543.59375;;;;;;;;;;;;;;;;;;340830.75;;;;;;;;;;;;;;0.3063365817;0.3063365817;;
;SG;2003;p99.5p100;813095.75;;;;;;;;;;;;;;;;;;1115007.75;;;;;;;;;;;;;;0.1002160907;0.1002160907;;
;SG;2002;p0p100;37113.2929688;37113.2929688;59135.7890625;42697.7539062;220277.078125;159046.4375;29963.4707031;21634.4941406;137985.40625;99629.4609375;47715.9375;34452.2890625;141427.453125;102114.726562;141427.453125;102114.726562;60305.9960938;43542.6757812;55290.3320312;55290.3320312;;;98506104832.0;1.78303696896e+11;6.64169938944e+11;90344570880.0;4.16047661056e+11;1.43871049728e+11;4.26426007552e+11;4.26426007552e+11;1.81832040448e+11;1.46751602688e+11;;;;
;SG;2002;p99p100;559087.6875;;;;;;;;;;;;;;;;;;832913.0;;;;;;;;;;;;;;0.1506433785;0.1506433785;;
;SG;2002;p99.9p100;1838487.75;;;;;;;;;;;;;;;;;;2738927.0;;;;;;;;;;;;;;0.0495365374;0.0495365374;;
;SG;2002;p90p100;161571.75;;;;;;;;;;;;;;;;;;240705.03125;;;;;;;;;;;;;;0.4353474975;0.4353474975;;
;SG;2002;p90p95;84190.28125;;;;;;;;;;;;;;;;;;125424.296875;;;;;;;;;;;;;;0.1134233773;0.1134233773;;
;SG;2002;p95p99;158919.734375;;;;;;;;;;;;;;;;;;236754.125;;;;;;;;;;;;;;0.1712807566;0.1712807566;;
;SG;2002;p99.5p99.9;533008.6875;;;;;;;;;;;;;;;;;;794061.1875;;;;;;;;;;;;;;0.0574467741;0.0574467741;;
;SG;2002;p99.9p99.95;1033454.8125;;;;;;;;;;;;;;;;;;1539611.625;;;;;;;;;;;;;;0.013921964;0.013921964;;
;SG;2002;p99p99.5;324074.03125;;;;;;;;;;;;;;;;;;482796.3125;;;;;;;;;;;;;;0.0436600596;0.0436600596;;
;SG;2002;p95p100;238953.234375;;;;;;;;;;;;;;;;;;355985.75;;;;;;;;;;;;;;0.3219241202;0.3219241202;;
;SG;2002;p99.5p100;794101.375;;;;;;;;;;;;;;;;;;1183029.75;;;;;;;;;;;;;;0.1069833115;0.1069833115;;
;SG;2002;p99.95p100;2643424.75;;;;;;;;;;;;;;;;;;3938099.25;;;;;;;;;;;;;;0.0356145762;0.0356145762;;
;SG;2001;p0p100;37048.8515625;37048.8515625;58136.734375;40961.296875;224816.671875;158398.6875;30577.3320312;21543.8183594;135143.984375;95218.1640625;47842.5351562;33708.3320312;147809.421875;104141.828125;147809.421875;104141.828125;56724.1132812;39966.0117188;54907.2578125;54907.2578125;;;96461316096.0;1.69498345472e+11;6.5545568256e+11;89148579840.0;3.940139008e+11;1.39485478912e+11;4.30940127232e+11;4.30940127232e+11;1.65379833856e+11;1.42957903872e+11;;;;
;SG;2001;p99p100;558221.3125;;;;;;;;;;;;;;;;;;827296.875;;;;;;;;;;;;;;0.1506715417;0.1506715417;;
;SG;2001;p99.9p100;1754608.875;;;;;;;;;;;;;;;;;;2600371.0;;;;;;;;;;;;;;0.0473587215;0.0473587215;;
;SG;2001;p90p100;162537.109375;;;;;;;;;;;;;;;;;;240883.765625;;;;;;;;;;;;;;0.4387103617;0.4387103617;;
;SG;2001;p90p95;84263.6328125;;;;;;;;;;;;;;;;;;124880.65625;;;;;;;;;;;;;;0.1137196571;0.1137196571;;
;SG;2001;p95p99;161458.03125;;;;;;;;;;;;;;;;;;239284.546875;;;;;;;;;;;;;;0.174319163;0.174319163;;
;SG;2001;p99.5p99.9;541447.8125;;;;;;;;;;;;;;;;;;802438.1875;;;;;;;;;;;;;;0.0584578328;0.0584578328;;
;SG;2001;p99.9p99.95;1033856.625;;;;;;;;;;;;;;;;;;1532199.5;;;;;;;;;;;;;;0.0139516024;0.0139516024;;
;SG;2001;p99p99.5;332365.4375;;;;;;;;;;;;;;;;;;492573.28125;;;;;;;;;;;;;;0.0448549837;0.0448549837;;
;SG;2001;p95p100;240810.59375;;;;;;;;;;;;;;;;;;356886.875;;;;;;;;;;;;;;0.3249906898;0.3249906898;;
;SG;2001;p99.5p100;784077.125;;;;;;;;;;;;;;;;;;1162020.5;;;;;;;;;;;;;;0.105816558;0.105816558;;
;SG;2001;p99.95p100;2475275.25;;;;;;;;;;;;;;;;;;3668415.25;;;;;;;;;;;;;;0.0334071219;0.0334071219;;
;SG;2000;p0p100;40577.3476562;40577.3476562;54907.9375;38453.5546875;230493.75;161421.171875;32290.1542969;22613.6914062;133030.890625;93165.2265625;47488.765625;33257.6992188;152370.796875;106709.5;152370.796875;106709.5;53251.96875;37293.8320312;57825.1523438;57825.1523438;;;1.03595999232e+11;1.54886569984e+11;6.5018626048e+11;91085389824.0;3.75259004928e+11;1.33958254592e+11;4.29813792768e+11;4.29813792768e+11;1.50215344128e+11;1.47630505984e+11;;;;
;SG;2000;p99p100;538149.25;;;;;;;;;;;;;;;;;;766894.9375;;;;;;;;;;;;;;0.1326229423;0.1326229423;;
;SG;2000;p99.9p100;1796052.0;;;;;;;;;;;;;;;;;;2559481.75;;;;;;;;;;;;;;0.0442618616;0.0442618616;;
;SG;2000;p90p100;154430.4375;;;;;;;;;;;;;;;;;;220072.625;;;;;;;;;;;;;;0.3805829585;0.3805829585;;
