Variable Name;.;.;.;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Personal agricultural land | individuals | Average | Adults | constant 2015 local currency;Personal agricultural land | individuals | Average | All Ages | constant 2015 local currency;Personal business and other non-financial assets | individuals | Average | Adults | constant 2015 local currency;Personal business and other non-financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal debt | individuals | Average | Adults | constant 2015 local currency;Personal debt | individuals | Average | All Ages | constant 2015 local currency;Personal dwellings | individuals | Average | Adults | constant 2015 local currency;Personal dwellings | individuals | Average | All Ages | constant 2015 local currency;Net personal wealth | individuals | Average | Adults | constant 2015 local currency;Net personal wealth | individuals | Average | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | Adults | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | All Ages | constant 2015 local currency;Personal financial assets | individuals | Average | Adults | constant 2015 local currency;Personal financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | Adults | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | All Ages | constant 2015 local currency;Personal housing assets | individuals | Average | Adults | constant 2015 local currency;Personal housing assets | individuals | Average | All Ages | constant 2015 local currency;Personal land underlying dwellings | individuals | Average | Adults | constant 2015 local currency;Personal land underlying dwellings | individuals | Average | All Ages | constant 2015 local currency;Personal non-financial assets | individuals | Average | Adults | constant 2015 local currency;Personal non-financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal other domestic capital | individuals | Average | Adults | constant 2015 local currency;Personal other domestic capital | individuals | Average | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | Adults | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Personal agricultural land | individuals | Total | All Ages | constant 2015 local currency;Personal business and other non-financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal debt | individuals | Total | All Ages | constant 2015 local currency;Personal dwellings | individuals | Total | All Ages | constant 2015 local currency;Net personal wealth | individuals | Total | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Total | All Ages | constant 2015 local currency;Personal financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Total | All Ages | constant 2015 local currency;Personal housing assets | individuals | Total | All Ages | constant 2015 local currency;Personal land underlying dwellings | individuals | Total | All Ages | constant 2015 local currency;Personal non-financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal other domestic capital | individuals | Total | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | individuals | Threshold | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Threshold | Adults | constant 2015 local currency
;NO;2011;p0p100;339078.742609;339078.742609;46348.5469156;34617.6938535;186342.521572;139179.085277;670662.809436;500917.533795;741225.178838;553620.51294;1562622.39514;1167121.45867;226105.163567;168877.771838;742824.729475;554815.216075;241650.733131;180488.745725;1304117.95353;974044.691112;562892.774688;420424.178172;1490460.4751;1113223.77639;139993.974656;104561.391424;275068.832777;205448.698511;688273.610625;688273.610625;;;1.33334238563e+12;1.70329612156e+11;6.84803549185e+11;2.46466704612e+12;2.72398177792e+12;5.7425935487e+12;8.30930145164e+11;2.72986008173e+12;8.88059678036e+11;4.7925969639e+12;2.06861518598e+12;5.47740051309e+12;5.1447393703e+11;1.01087025853e+12;2.70646390538e+12;;;;
;NO;2011;p99p100;2645971.76241;;;;;;;;;;;;;;;;;;;;;;;;;;;;5370883.8381;;1.8975020456;1.8975020456;;;;;;;;;;;;;;;;0.0780341387;0.0780341387;1394450.0184;2830502.26509
;NO;2011;p99.9p100;8269324.97059;;;;;;;;;;;;;;;;;;;;;;;;;;;;16785358.2066;;2.0102631105;2.0102631105;;;;;;;;;;;;;;;;0.0243876243;0.0243876243;4113553.55793;8349831.4817
;NO;2011;p99.99p100;25499417.8392;;;;;;;;;;;;;;;;;;;;;;;;;;;;51759589.0853;;1.8899429488;1.8899429488;;;;;;;;;;;;;;;;0.0075202054;0.0075202054;13492162.7421;27386852.665
;NO;2011;p90p100;960603.219767;;;;;;;;;;;;;;;;;;;;;;;;;;;;1949865.21821;;1.73984507;1.73984507;;;;;;;;;;;;;;;;0.2832979774;0.2832979774;552119.976854;1120711.98284
;NO;2011;p90p95;631049.490123;;;;;;;;;;;;;;;;;;;;;;;;;;;;1280925.80416;;;;;;;;;;;;;;;;;;;0.0930535316;0.0930535316;552119.976854;1120711.98284
;NO;2011;p95p99;951203.246162;;;;;;;;;;;;;;;;;;;;;;;;;;;;1930784.83079;;;;;;;;;;;;;;;;;;;0.1122103071;0.1122103071;739066.387124;1500182.19026
;NO;2011;p99.5p99.9;2554228.4666;;;;;;;;;;;;;;;;;;;;;;;;;;;;5184660.16342;;;;;;;;;;;;;;;;;;;0.0301313901;0.0301313901;1878444.52023;3812930.83238
;NO;2011;p99.95p99.99;8246530.06552;;;;;;;;;;;;;;;;;;;;;;;;;;;;16739088.3299;;;;;;;;;;;;;;;;;;;0.0097281593;0.0097281593;5854599.49467;11883865.9774
;NO;2011;p99.9p99.95;4841542.32093;;;;;;;;;;;;;;;;;;;;;;;;;;;;9827527.93223;;;;;;;;;;;;;;;;;;;0.0071392596;0.0071392596;4113553.55793;8349831.4817
;NO;2011;p99.9p99.99;6354870.20741;;;;;;;;;;;;;;;;;;;;;;;;;;;;12899332.5534;;;;;;;;;;;;;;;;;;;0.0168674189;0.0168674189;4113553.55793;8349831.4817
;NO;2011;p99p99.5;1594695.75741;;;;;;;;;;;;;;;;;;;;;;;;;;;;3236967.90414;;;;;;;;;;;;;;;;;;;0.0235151243;0.0235151243;1394450.0184;2830502.26509
;NO;2011;p95p100;1290156.94941;;;;;;;;;;;;;;;;;;;;;;;;;;;;2618804.63225;;1.7456577269;1.7456577269;;;;;;;;;;;;;;;;0.1902444458;0.1902444458;739066.387124;1500182.19026
;NO;2011;p99.5p100;3697247.7674;;;;;;;;;;;;;;;;;;;;;;;;;;;;7504799.77205;;1.9682496489;1.9682496489;;;;;;;;;;;;;;;;0.0545190144;0.0545190144;1878444.52023;3812930.83238
;NO;2011;p99.95p100;11697107.6202;;;;;;;;;;;;;;;;;;;;;;;;;;;;23743188.481;;1.9979347231;1.9979347231;;;;;;;;;;;;;;;;0.0172483647;0.0172483647;5854599.49467;11883865.9774
;NO;2010;p0p100;346979.089317;346979.089317;46533.2667513;34658.5075683;196777.296784;146561.97396;678637.776269;505457.152422;746720.502652;556165.943193;1575006.82425;1173083.03821;236149.545345;175886.873542;762564.843686;567966.989026;246695.420462;183741.561555;1294302.46005;964011.227647;547581.957397;407845.284453;1491079.75683;1110573.20161;150244.030033;111903.466392;279719.87788;208338.553928;690661.163947;690661.163947;;;1.34273275042e+12;1.6837792681e+11;7.12027235331e+11;2.45561143244e+12;2.70196482906e+12;5.69907084315e+12;8.54493433157e+11;2.75929665812e+12;8.92653070606e+11;4.68335838214e+12;1.98139355309e+12;5.39538561747e+12;5.43649308521e+11;1.01215015436e+12;2.67270677925e+12;;;;
;NO;2010;p99p100;2686298.08176;;;;;;;;;;;;;;;;;;;;;;;;;;;;5347070.80912;;1.9097395944;1.9097395944;;;;;;;;;;;;;;;;0.0774195957;0.0774195957;1406630.5635;2799895.24481
;NO;2010;p99.9p100;8677415.66973;;;;;;;;;;;;;;;;;;;;;;;;;;;;17272378.0511;;2.1103687545;2.1103687545;;;;;;;;;;;;;;;;0.0250084686;0.0250084686;4111800.67516;8184530.79064
;NO;2010;p99.99p100;29200295.9319;;;;;;;;;;;;;;;;;;;;;;;;;;;;58123129.0209;;2.1382691749;2.1382691749;;;;;;;;;;;;;;;;0.008415578;0.008415578;13656043.0626;27182325.6413
;NO;2010;p90p100;971239.797047;;;;;;;;;;;;;;;;;;;;;;;;;;;;1933250.8193;;1.7420230484;1.7420230484;;;;;;;;;;;;;;;;0.279913063;0.279913063;557535.560693;1109773.38735
;NO;2010;p90p95;637037.348635;;;;;;;;;;;;;;;;;;;;;;;;;;;;1268021.5328;;;;;;;;;;;;;;;;;;;0.091797657;0.091797657;557535.560693;1109773.38735
;NO;2010;p95p99;960228.286383;;;;;;;;;;;;;;;;;;;;;;;;;;;;1911332.42996;;;;;;;;;;;;;;;;;;;0.1106958103;0.1106958103;745811.911376;1484537.07632
;NO;2010;p99.5p99.9;2546270.06897;;;;;;;;;;;;;;;;;;;;;;;;;;;;5068345.33753;;;;;;;;;;;;;;;;;;;0.0293535852;0.0293535852;1875024.58547;3732232.5826
;NO;2010;p99.95p99.99;8343088.75552;;;;;;;;;;;;;;;;;;;;;;;;;;;;16606901.0157;;;;;;;;;;;;;;;;;;;0.009617973;0.009617973;5878928.05835;11701994.2139
;NO;2010;p99.9p99.95;4840301.14867;;;;;;;;;;;;;;;;;;;;;;;;;;;;9634609.48548;;;;;;;;;;;;;;;;;;;0.0069749177;0.0069749177;4111800.67516;8184530.79064
;NO;2010;p99.9p99.99;6397095.6406;;;;;;;;;;;;;;;;;;;;;;;;;;;;12733405.7211;;;;;;;;;;;;;;;;;;;0.0165928906;0.0165928906;4111800.67516;8184530.79064
;NO;2010;p99p99.5;1600096.97441;;;;;;;;;;;;;;;;;;;;;;;;;;;;3184989.73799;;;;;;;;;;;;;;;;;;;0.0230575418;0.0230575418;1406630.5635;2799895.24481
;NO;2010;p95p100;1305442.24546;;;;;;;;;;;;;;;;;;;;;;;;;;;;2598480.10579;;1.7503638995;1.7503638995;;;;;;;;;;;;;;;;0.188115406;0.188115406;745811.911376;1484537.07632
;NO;2010;p99.5p100;3772499.18912;;;;;;;;;;;;;;;;;;;;;;;;;;;;7509151.88024;;2.011973186;2.011973186;;;;;;;;;;;;;;;;0.0543620539;0.0543620539;1875024.58547;3732232.5826
;NO;2010;p99.95p100;12514530.1908;;;;;;;;;;;;;;;;;;;;;;;;;;;;24910146.6167;;2.1287095312;2.1287095312;;;;;;;;;;;;;;;;0.018033551;0.018033551;5878928.05835;11701994.2139
;NO;2009;p0p100;358701.287683;358701.287683;44903.0139125;33381.4437965;202453.494884;150506.377457;687256.165051;510914.547789;758735.754531;564053.339396;1530502.78006;1137794.28331;226774.04272;168586.566958;761435.78414;566060.574073;255574.751268;189997.362134;1253869.66609;932141.879571;495133.91156;368088.540175;1456323.16098;1082648.25703;157550.480971;117124.93366;279086.990153;207476.644981;689184.829761;689184.829761;;;1.36768676279e+12;1.60205960903e+11;7.22318033023e+11;2.4520076653e+12;2.7070341172e+12;5.46056148977e+12;8.09089418645e+11;2.71666734224e+12;9.11845220217e+11;4.47358377981e+12;1.76654966261e+12;5.19590181284e+12;5.6211207212e+11;9.9573270338e+11;2.62778250636e+12;;;;
;NO;2009;p99p100;2550525.27248;;;;;;;;;;;;;;;;;;;;;;;;;;;;4900409.85653;;1.8048648167;1.8048648167;;;;;;;;;;;;;;;;0.0711044359;0.0711044359;1413139.22734;2715111.85286
;NO;2009;p99.9p100;7482690.04255;;;;;;;;;;;;;;;;;;;;;;;;;;;;14376743.6589;;1.8811898654;1.8811898654;;;;;;;;;;;;;;;;0.0208605051;0.0208605051;3977636.8033;7642367.16528
;NO;2009;p99.99p100;21259620.4238;;;;;;;;;;;;;;;;;;;;;;;;;;;;40846822.6506;;1.7378790985;1.7378790985;;;;;;;;;;;;;;;;0.0059268314;0.0059268314;12233083.6717;23503834.4641
;NO;2009;p90p100;966826.842497;;;;;;;;;;;;;;;;;;;;;;;;;;;;1857596.88001;;1.7075939569;1.7075939569;;;;;;;;;;;;;;;;0.2695353699;0.2695353699;566192.47133;1087844.60877
;NO;2009;p90p95;646243.450478;;;;;;;;;;;;;;;;;;;;;;;;;;;;1241649.24324;;;;;;;;;;;;;;;;;;;0.0900810051;0.0900810051;566192.47133;1087844.60877
;NO;2009;p95p99;971631.475025;;;;;;;;;;;;;;;;;;;;;;;;;;;;1866828.18183;;;;;;;;;;;;;;;;;;;0.1083499289;0.1083499289;756221.976985;1452954.67947
;NO;2009;p99.5p99.9;2502853.10179;;;;;;;;;;;;;;;;;;;;;;;;;;;;4808815.71409;;;;;;;;;;;;;;;;;;;0.0279101658;0.0279101658;1870064.67287;3593018.05561
;NO;2009;p99.95p99.99;7651328.46917;;;;;;;;;;;;;;;;;;;;;;;;;;;;14700754.3311;;;;;;;;;;;;;;;;;;;0.0085322565;0.0085322565;5524966.21889;10615303.1331
;NO;2009;p99.9p99.95;4592393.22502;;;;;;;;;;;;;;;;;;;;;;;;;;;;8823519.32279;;;;;;;;;;;;;;;;;;;0.0064014173;0.0064014173;3977636.8033;7642367.16528
;NO;2009;p99.9p99.99;5951920.0002;;;;;;;;;;;;;;;;;;;;;;;;;;;;11435623.7709;;;;;;;;;;;;;;;;;;;0.0149336737;0.0149336737;3977636.8033;7642367.16528
;NO;2009;p99p99.5;1602230.05501;;;;;;;;;;;;;;;;;;;;;;;;;;;;3078418.41001;;;;;;;;;;;;;;;;;;;0.022333765;0.022333765;1413139.22734;2715111.85286
;NO;2009;p95p100;1287410.23452;;;;;;;;;;;;;;;;;;;;;;;;;;;;2473544.51677;;1.7024237244;1.7024237244;;;;;;;;;;;;;;;;0.1794543648;0.1794543648;756221.976985;1452954.67947
;NO;2009;p99.5p100;3498820.48994;;;;;;;;;;;;;;;;;;;;;;;;;;;;6722401.30305;;1.8709622938;1.8709622938;;;;;;;;;;;;;;;;0.0487706709;0.0487706709;1870064.67287;3593018.05561
;NO;2009;p99.95p100;10372986.8601;;;;;;;;;;;;;;;;;;;;;;;;;;;;19929967.995;;1.8774751644;1.8774751644;;;;;;;;;;;;;;;;0.0144590878;0.0144590878;5524966.21889;10615303.1331
;NO;2008;p0p100;336140.656066;336140.656066;41726.7994611;30954.6271047;186986.681247;138714.281141;622779.933171;462003.33715;692294.416123;513571.99149;1422403.24125;1055196.24064;208141.921564;154408.093841;694476.192395;515190.521351;234342.468071;173844.718685;1163720.30078;863294.775301;471425.884656;349722.783811;1350706.98203;1002009.05644;145259.881786;107759.654036;251991.80276;186937.708825;721478.716325;721478.716325;;;1.26377454944e+12;1.46637361836e+11;6.57113269907e+11;2.18858881065e+12;2.4328783445e+12;4.99864503048e+12;7.31457544309e+11;2.44054559722e+12;8.23532159858e+11;4.08957497401e+12;1.65669662951e+12;4.74668824391e+12;5.1047590807e+11;8.85555893053e+11;2.71251460721e+12;;;;
;NO;2008;p99p100;2588905.37174;;;;;;;;;;;;;;;;;;;;;;;;;;;;5556721.83828;;1.9548389321;1.9548389321;;;;;;;;;;;;;;;;0.0770185137;0.0770185137;1324357.3827;2842547.15158
;NO;2008;p99.9p100;8379790.30996;;;;;;;;;;;;;;;;;;;;;;;;;;;;17986043.184;;2.019423734;2.019423734;;;;;;;;;;;;;;;;0.0249294162;0.0249294162;4149594.84184;8906522.62897
;NO;2008;p99.99p100;24551389.812;;;;;;;;;;;;;;;;;;;;;;;;;;;;52696110.6487;;1.757094078;1.757094078;;;;;;;;;;;;;;;;0.0073039037;0.0073039037;13972723.5548;29990489.017
;NO;2008;p90p100;911393.769666;;;;;;;;;;;;;;;;;;;;;;;;;;;;1956178.74583;;1.7652402403;1.7652402403;;;;;;;;;;;;;;;;0.2711346436;0.2711346436;516300.132324;1108165.73356
;NO;2008;p90p95;589839.63106;;;;;;;;;;;;;;;;;;;;;;;;;;;;1266007.94095;;;;;;;;;;;;;;;;;;;0.0877370262;0.0877370262;516300.132324;1108165.73356
;NO;2008;p95p99;893958.542403;;;;;;;;;;;;;;;;;;;;;;;;;;;;1918756.47882;;;;;;;;;;;;;;;;;;;0.1063791037;0.1063791037;691139.00107;1483432.8139
;NO;2008;p99.5p99.9;2482586.07418;;;;;;;;;;;;;;;;;;;;;;;;;;;;5328522.39574;;;;;;;;;;;;;;;;;;;0.0295422292;0.0295422292;1795224.97961;3853198.32765
;NO;2008;p99.95p99.99;8656002.82949;;;;;;;;;;;;;;;;;;;;;;;;;;;;18578894.5706;;;;;;;;;;;;;;;;;;;0.0103004533;0.0103004533;6070592.09843;13029673.4878
;NO;2008;p99.9p99.95;4924500.39394;;;;;;;;;;;;;;;;;;;;;;;;;;;;10569748.5819;;;;;;;;;;;;;;;;;;;0.0073250592;0.0073250592;4149594.84184;8906522.62897
;NO;2008;p99.9p99.99;6582945.92085;;;;;;;;;;;;;;;;;;;;;;;;;;;;14129369.0213;;;;;;;;;;;;;;;;;;;0.0176255125;0.0176255125;4149594.84184;8906522.62897
;NO;2008;p99p99.5;1515783.82215;;;;;;;;;;;;;;;;;;;;;;;;;;;;3253417.12315;;;;;;;;;;;;;;;;;;;0.0225468683;0.0225468683;1324357.3827;2842547.15158
;NO;2008;p95p100;1232947.90827;;;;;;;;;;;;;;;;;;;;;;;;;;;;2646349.55071;;1.7839362362;1.7839362362;;;;;;;;;;;;;;;;0.1833976173;0.1833976173;691139.00107;1483432.8139
;NO;2008;p99.5p100;3662026.92134;;;;;;;;;;;;;;;;;;;;;;;;;;;;7860026.5534;;2.0398707476;2.0398707476;;;;;;;;;;;;;;;;0.0544716454;0.0544716454;1795224.97961;3853198.32765
;NO;2008;p99.95p100;11835080.226;;;;;;;;;;;;;;;;;;;;;;;;;;;;25402337.7862;;1.9495759284;1.9495759284;;;;;;;;;;;;;;;;0.017604357;0.017604357;6070592.09843;13029673.4878
;NO;2007;p0p100;341541.88623;341541.88623;46262.2626775;34262.6733461;200807.054594;148721.357732;637048.947973;471810.040119;710817.217822;526444.162768;1577223.63383;1168120.51621;218027.129583;161474.858538;726802.483925;538283.14165;243066.752005;180019.658427;1286663.04329;952926.056946;575845.825466;426481.894178;1487470.09788;1101647.41468;154544.791917;114458.684386;265708.602337;196788.624685;729504.197811;729504.197811;;;1.26421012083e+12;1.60388165131e+11;6.96184604205e+11;2.20860602034e+12;2.46435566943e+12;5.46812866452e+12;7.55885450447e+11;2.519775516e+12;8.42696143729e+11;4.46077456465e+12;1.99641889522e+12;5.15695916886e+12;5.35796439074e+11;9.21193921828e+11;2.70024447146e+12;;;;
;NO;2007;p99p100;2917596.32635;;;;;;;;;;;;;;;;;;;;;;;;;;;;6231735.70624;;2.0396838285;2.0396838285;;;;;;;;;;;;;;;;0.0854242611;0.0854242611;1430415.97213;3055245.92548
;NO;2007;p99.9p100;9978359.44188;;;;;;;;;;;;;;;;;;;;;;;;;;;;21312920.5922;;2.1290363472;2.1290363472;;;;;;;;;;;;;;;;0.0292156243;0.0292156243;4686796.1907;10010594.9907
;NO;2007;p99.99p100;31227869.6853;;;;;;;;;;;;;;;;;;;;;;;;;;;;66700053.3246;;1.906062271;1.906062271;;;;;;;;;;;;;;;;0.0091432035;0.0091432035;16383446.732;34993638.1085
;NO;2007;p90p100;989457.1137;;;;;;;;;;;;;;;;;;;;;;;;;;;;2113395.59539;;1.8036148255;1.8036148255;;;;;;;;;;;;;;;;0.2897030067;0.2897030067;548596.684679;1171755.50207
;NO;2007;p90p95;627696.436124;;;;;;;;;;;;;;;;;;;;;;;;;;;;1340705.79207;;;;;;;;;;;;;;;;;;;0.0918915749;0.0918915749;548596.684679;1171755.50207
;NO;2007;p95p99;959623.157505;;;;;;;;;;;;;;;;;;;;;;;;;;;;2049672.82182;;;;;;;;;;;;;;;;;;;0.1123871708;0.1123871708;737369.342571;1574957.72094
;NO;2007;p99.5p99.9;2744604.99259;;;;;;;;;;;;;;;;;;;;;;;;;;;;5862241.0432;;;;;;;;;;;;;;;;;;;0.0321437001;0.0321437001;1957541.64215;4181141.18038
;NO;2007;p99.95p99.99;10117938.6906;;;;;;;;;;;;;;;;;;;;;;;;;;;;21611049.905;;;;;;;;;;;;;;;;;;;0.0118497193;0.0118497193;6983313.28435;14915758.6842
;NO;2007;p99.9p99.95;5616793.99426;;;;;;;;;;;;;;;;;;;;;;;;;;;;11996990.5955;;;;;;;;;;;;;;;;;;;0.0082227015;0.0082227015;4686796.1907;10010594.9907
;NO;2007;p99.9p99.99;7617302.74817;;;;;;;;;;;;;;;;;;;;;;;;;;;;16269905.8441;;;;;;;;;;;;;;;;;;;0.0200724208;0.0200724208;4686796.1907;10010594.9907
;NO;2007;p99p99.5;1643836.77026;;;;;;;;;;;;;;;;;;;;;;;;;;;;3511094.45948;;;;;;;;;;;;;;;;;;;0.0240649366;0.0240649366;1430415.97213;3055245.92548
;NO;2007;p95p100;1351217.79128;;;;;;;;;;;;;;;;;;;;;;;;;;;;2886085.3987;;1.8324843647;1.8324843647;;;;;;;;;;;;;;;;0.1978114319;0.1978114319;737369.342571;1574957.72094
;NO;2007;p99.5p100;4191355.88245;;;;;;;;;;;;;;;;;;;;;;;;;;;;8952376.95299;;2.1411324246;2.1411324246;;;;;;;;;;;;;;;;0.0613593245;0.0613593245;1957541.64215;4181141.18038
;NO;2007;p99.95p100;14339924.8895;;;;;;;;;;;;;;;;;;;;;;;;;;;;30628850.5889;;2.0534557603;2.0534557603;;;;;;;;;;;;;;;;0.0209929228;0.0209929228;6983313.28435;14915758.6842
;NO;2006;p0p100;322905.553963;322905.553963;42728.5996085;31623.5002743;192238.700609;142276.148929;588526.816916;435569.574634;665113.032471;492251.146948;1467889.52729;1086387.22762;189031.9958;139902.861919;677078.352964;501106.698485;232890.913848;172362.912556;1187099.29063;878573.954842;521986.258161;386322.807894;1379337.99124;1020850.10377;149510.101;110652.648655;255155.443316;188840.924009;724026.899215;724026.899215;;;1.17751704241e+12;1.46739966819e+11;6.60192489509e+11;2.02113821604e+12;2.28415312484e+12;5.04107465497e+12;6.49179918032e+11;2.32524482334e+12;7.99801661738e+11;4.07677555816e+12;1.79262243332e+12;4.73696804767e+12;5.13452522689e+11;8.76263243565e+11;2.64025812664e+12;;;;
;NO;2006;p99p100;2537918.52188;;;;;;;;;;;;;;;;;;;;;;;;;;;;5690584.30647;;1.9435841882;1.9435841882;;;;;;;;;;;;;;;;0.0785963106;0.0785963106;1305792.94549;2927881.56084
;NO;2006;p99.9p100;8469527.52793;;;;;;;;;;;;;;;;;;;;;;;;;;;;18990586.1903;;2.1382617556;2.1382617556;;;;;;;;;;;;;;;;0.0262291169;0.0262291169;3960940.47219;8881319.67029
;NO;2006;p99.99p100;27854172.747;;;;;;;;;;;;;;;;;;;;;;;;;;;;62455321.9254;;2.0511201587;2.0511201587;;;;;;;;;;;;;;;;0.0086261052;0.0086261052;13579980.9818;30449372.5827
;NO;2006;p90p100;911350.86624;;;;;;;;;;;;;;;;;;;;;;;;;;;;2043453.67765;;1.7357063455;1.7357063455;;;;;;;;;;;;;;;;0.2822344971;0.2822344971;525060.514192;1177303.80083
;NO;2006;p90p95;597847.049227;;;;;;;;;;;;;;;;;;;;;;;;;;;;1340507.58788;;;;;;;;;;;;;;;;;;;0.0925730515;0.0925730515;525060.514192;1177303.80083
;NO;2006;p95p99;896588.723596;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010353.63266;;;;;;;;;;;;;;;;;;;0.111065135;0.111065135;698333.86607;1565821.63875
;NO;2006;p99.5p99.9;2373506.95419;;;;;;;;;;;;;;;;;;;;;;;;;;;;5321936.58243;;;;;;;;;;;;;;;;;;;0.0294018722;0.0294018722;1738789.07339;3898756.29498
;NO;2006;p99.95p99.99;8294672.77438;;;;;;;;;;;;;;;;;;;;;;;;;;;;18598522.4941;;;;;;;;;;;;;;;;;;;0.010275045;0.010275045;5876614.45978;13176691.7384
;NO;2006;p99.9p99.95;4732482.28695;;;;;;;;;;;;;;;;;;;;;;;;;;;;10611290.0003;;;;;;;;;;;;;;;;;;;0.0073279667;0.0073279667;3960940.47219;8881319.67029
;NO;2006;p99.9p99.99;6315678.05915;;;;;;;;;;;;;;;;;;;;;;;;;;;;14161171.1087;;;;;;;;;;;;;;;;;;;0.0176030117;0.0176030117;3960940.47219;8881319.67029
;NO;2006;p99p99.5;1483125.97482;;;;;;;;;;;;;;;;;;;;;;;;;;;;3325502.10894;;;;;;;;;;;;;;;;;;;0.0229653215;0.0229653215;1305792.94549;2927881.56084
;NO;2006;p95p100;1224854.68325;;;;;;;;;;;;;;;;;;;;;;;;;;;;2746399.76742;;1.7539671821;1.7539671821;;;;;;;;;;;;;;;;0.1896614456;0.1896614456;698333.86607;1565821.63875
;NO;2006;p99.5p100;3592711.06894;;;;;;;;;;;;;;;;;;;;;;;;;;;;8055666.50401;;2.066214427;2.066214427;;;;;;;;;;;;;;;;0.0556309891;0.0556309891;1738789.07339;3898756.29498
;NO;2006;p99.95p100;12206572.7689;;;;;;;;;;;;;;;;;;;;;;;;;;;;27369882.3803;;2.0771437113;2.0771437113;;;;;;;;;;;;;;;;0.0189011502;0.0189011502;5876614.45978;13176691.7384
;NO;2005;p0p100;358890.730149;358890.730149;41064.8380098;30381.6807462;188419.396863;139401.449983;569600.691091;421417.134177;660614.108138;488753.101256;1432581.05171;1059890.21912;176243.435502;130393.106379;666362.800961;493006.252091;236587.691321;175038.598825;1147399.54498;848899.65122;486785.436842;360146.549963;1335818.94184;988301.101202;147354.558853;109019.769237;253531.674137;187574.546887;717787.745219;717787.745219;;;1.29450598354e+12;1.39949050067e+11;6.42133681347e+11;1.94120029444e+12;2.25137420176e+12;4.8822390894e+12;6.00637980677e+11;2.2709657584e+12;8.06291325199e+11;3.91033994409e+12;1.65896574233e+12;4.55247362544e+12;5.0218463128e+11;8.64036452524e+11;2.58903463655e+12;;;;
;NO;2005;p99p100;5916591.1401;;;;;;;;;;;;;;;;;;;;;;;;;;;;11833285.892;;3.391768059;3.391768059;;;;;;;;;;;;;;;;0.1648577309;0.1648577309;1744397.32822;3488825.20444
;NO;2005;p99.9p100;29620474.7758;;;;;;;;;;;;;;;;;;;;;;;;;;;;59241468.2674;;3.1434015329;3.1434015329;;;;;;;;;;;;;;;;0.0825334072;0.0825334072;9423064.30321;18846293.6238
;NO;2005;p99.99p100;141005640.113;;;;;;;;;;;;;;;;;;;;;;;;;;;;282013749.526;;2.9206479172;2.9206479172;;;;;;;;;;;;;;;;0.0392892957;0.0392892957;48278890.2014;96558625.8662
;NO;2005;p90p100;1329923.41556;;;;;;;;;;;;;;;;;;;;;;;;;;;;2659870.12083;;2.3917234484;2.3917234484;;;;;;;;;;;;;;;;0.3705649948;0.3705649948;556052.338086;1112114.4138
;NO;2005;p90p95;640649.470239;;;;;;;;;;;;;;;;;;;;;;;;;;;;1281310.15958;;;;;;;;;;;;;;;;;;;0.0892541122;0.0892541122;556052.338086;1112114.4138
;NO;2005;p95p99;1044848.91607;;;;;;;;;;;;;;;;;;;;;;;;;;;;2089716.12961;;;;;;;;;;;;;;;;;;;0.1164531517;0.1164531517;761952.071853;1523917.48706
;NO;2005;p99.5p99.9;4678397.14025;;;;;;;;;;;;;;;;;;;;;;;;;;;;9356876.20893;;;;;;;;;;;;;;;;;;;0.0521428585;0.0521428585;2818520.6917;5637090.74153
;NO;2005;p99.95p99.99;24062946.7817;;;;;;;;;;;;;;;;;;;;;;;;;;;;48126314.9555;;;;;;;;;;;;;;;;;;;0.0268192458;0.0268192458;15192574.4126;30385414.8787
;NO;2005;p99.9p99.95;11789464.1036;;;;;;;;;;;;;;;;;;;;;;;;;;;;23579134.6652;;;;;;;;;;;;;;;;;;;0.0164248657;0.0164248657;9423064.30321;18846293.6238
